timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1631585986,1.7,64275.5,6022.0,55175.4,8.8,63.4
1631585987,1.4,64275.5,6022.0,55175.4,10.2,67.0
1631585988,1.7,64275.5,6022.0,55177.8,22.4,101.1
1631585989,1.0,64275.5,6022.0,55214.4,12.0,45.7
1631585990,0.8,64275.5,6022.0,55214.9,8.0,56.1
1631585991,0.7,64275.5,6022.0,55214.9,11.5,183.2
1631585992,3.4,64275.5,6022.0,55201.4,10.9,79.0
1631585993,0.8,64275.5,6022.0,55175.8,27.5,82.2
1631585994,2.0,64275.5,6022.0,55176.0,6.9,69.1
1631585995,6.4,64275.5,6022.0,55176.0,8.8,19.4
1631585996,7.2,64275.5,6022.0,55175.9,8.8,34.0
1631585997,0.7,64275.5,6022.0,55176.0,9.8,108.6
1631585998,2.1,64275.5,6022.0,55176.0,27.3,170.9
1631585999,0.8,64275.5,6022.0,55176.4,12.7,68.9
1631586000,0.8,64275.5,6022.0,55176.6,8.2,46.1
1631586001,1.2,64275.5,6022.0,55176.1,8.2,111.8
1631586002,4.4,64275.5,6022.0,55177.5,32.1,125.8
1631586003,0.6,64275.5,6022.0,55189.8,7.9,22.0
1631586004,2.1,64275.5,6022.0,55204.2,11.3,68.3
1631586005,1.6,64275.5,6022.0,55218.1,16.5,122.4
1631586006,1.4,64275.5,6022.0,55217.2,11.4,52.6
1631586007,0.8,64275.5,6022.0,55217.2,25.0,50.3
1631586008,2.4,64275.5,6022.0,55228.9,17.6,119.8
1631586009,1.8,64275.5,6022.0,55216.7,13.8,97.9
1631586010,1.2,64275.5,6022.0,55204.8,10.6,62.1
1631586011,1.2,64275.5,6022.0,55202.2,10.1,88.9
1631586012,4.3,64275.5,6022.0,55176.7,11.5,1469.1
1631586013,2.0,64275.5,6022.0,55176.8,21.8,157.6
1631586014,2.9,64275.5,6022.0,55178.1,18.6,118.0
1631586015,1.9,64275.5,6022.0,55190.2,27.8,97.0
1631586016,3.1,64275.5,6022.0,55190.6,6.6,18.6
1631586017,6.8,64275.5,6022.0,55190.6,10.7,82.4
1631586018,6.9,64275.5,6022.0,55177.0,15.5,80.3
1631586019,6.8,64275.5,6022.0,55177.3,9.8,19.0
1631586020,1.2,64275.5,6022.0,55177.0,6.1,47.9
1631586021,1.5,64275.5,6022.0,55177.1,12.8,206.8
1631586022,3.5,64275.5,6022.0,55176.9,9.7,78.1
1631586023,0.9,64275.5,6022.0,55177.5,27.7,84.3
1631586024,2.1,64275.5,6022.0,55177.6,7.8,53.0
1631586025,23.9,64275.5,6022.0,55177.8,21.6,2373.6
1631586026,18.2,64275.5,6022.0,55180.0,43.2,6709.5
1631586027,12.6,64275.5,6022.0,55182.8,22.3,2754.4
1631586028,18.1,64275.5,6022.0,55183.2,18.1,164.3
1631586029,16.9,64275.5,6022.0,55183.2,12.4,68.3
1631586030,14.9,64275.5,6022.0,55181.4,12.0,55.6
1631586031,2.2,64275.5,6022.0,55177.3,1386.9,112.7
1631586032,1.8,64275.5,6022.0,55177.0,28.8,102.0
1631586033,0.6,64275.5,6022.0,55177.3,7.6,30.4
1631586034,1.8,64275.5,6022.0,55177.7,5.6,49.5
1631586035,1.8,64275.5,6022.0,55177.7,12.3,131.5
1631586036,1.2,64275.5,6022.0,55177.8,7.7,33.3
1631586037,0.9,64275.5,6022.0,55177.8,28.3,82.4
1631586038,2.9,64275.5,6022.0,55177.9,11.6,63.5
1631586039,1.1,64275.5,6022.0,55178.0,12.8,116.5
1631586040,0.9,64275.5,6022.0,55178.0,5.0,32.8
1631586041,1.9,64275.5,6022.0,55178.0,11.7,97.0
1631586042,4.4,64275.5,6022.0,55177.7,12.1,1485.4
