record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1631585986,61.80000000000002,1606887.6,160279.20000000004,1301454.3000000003,7979.800000000001,7084.300000000001
1,1631585987,49.3,1606887.6,160279.20000000004,1301422.7,8833.799999999997,9337.6
2,1631585988,60.70000000000002,1606887.6,160279.20000000004,1301415.5,8835.099999999999,8259.600000000002
3,1631585989,64.8,1606887.6,160279.20000000004,1301139.2000000002,8516.3,7542.3
4,1631585990,56.6,1606887.6,160279.20000000004,1300906.5999999999,8207.7,8313.8
5,1631585991,56.7,1606887.6,160279.20000000004,1300940.4,8297.599999999999,8437.399999999998
6,1631585992,51.699999999999996,1606887.6,160279.20000000004,1300937.4999999995,7831.4,8147.699999999999
7,1631585993,53.6,1606887.6,160279.30000000005,1300928.0000000002,7819.8,7482.699999999999
8,1631585994,58.39999999999999,1606887.6,160279.30000000005,1300896.1,7253.5999999999985,8017.700000000001
9,1631585995,53.0,1606887.6,160279.20000000004,1300950.4000000004,8410.8,7598.7
10,1631585996,55.5,1606887.6,160279.30000000005,1301004.3,10355.099999999999,10458.900000000001
11,1631585997,59.20000000000001,1606887.6,160279.40000000005,1301031.1,8439.3,8885.000000000002
12,1631585998,60.100000000000016,1606887.6,160279.40000000002,1301035.5000000005,8742.799999999997,7986.599999999999
13,1631585999,55.3,1606887.6,160279.30000000005,1301100.7,31344278.499999996,7702.300000000001
14,1631586000,61.899999999999984,1606887.6,160279.60000000003,1301146.5,8563.400000000003,8503.100000000002
15,1631586001,63.100000000000016,1606887.6,160279.50000000003,1301188.2999999998,128933092.30000001,80802039.69999997
16,1631586002,107.49999999999999,1606887.6,160281.0,1301201.4000000001,8599.700000000003,8772.4
17,1631586003,58.800000000000004,1606887.6,160281.1,1301271.6,8774.499999999995,8083.9
18,1631586004,60.6,1606887.6,160281.1,1301275.2000000004,8503.300000000001,9177.100000000002
19,1631586005,58.20000000000002,1606887.6,160281.2,1301328.1999999997,8814.9,8596.7
20,1631586006,54.1,1606887.6,160281.1,1301391.2,8422.599999999999,7810.200000000001
21,1631586007,53.69999999999999,1606887.6,160281.1,1301440.0999999999,8050.100000000001,8760.800000000001
22,1631586008,57.999999999999986,1606887.6,160281.2,1301518.0999999999,8686.500000000004,8906.5
23,1631586009,54.59999999999999,1606887.6,160281.40000000002,1301328.9,8281.799999999997,7685.799999999999
24,1631586010,46.599999999999994,1606887.6,160281.30000000002,1301263.0999999999,8053.900000000001,7553.0
25,1631586011,59.79999999999999,1606887.6,160281.4,1301273.0999999999,7952.4000000000015,8222.3
26,1631586012,54.800000000000004,1606887.6,160281.5,1301268.6,10210.7,11169.3
27,1631586013,60.99999999999999,1606887.6,160280.7,1301306.4,8812.599999999999,8271.999999999998
28,1631586014,70.1,1606887.6,160280.80000000002,1301448.0,204650.40000000005,108557.40000000001
29,1631586015,64.7,1606887.6,160280.9,1301454.0,46552.2,32526.199999999997
30,1631586016,82.40000000000002,1606887.6,160280.80000000002,1301424.3000000003,186283793.20000002,85066745.29999998
31,1631586017,77.99999999999997,1606887.6,160280.9,1301420.6,7603.699999999999,7676.299999999999
32,1631586018,67.19999999999999,1606887.6,160280.9,1301401.2,8726.999999999998,7722.3
33,1631586019,74.10000000000001,1606887.6,160280.8,1301439.9,8377.1,8374.900000000001
34,1631586020,51.9,1606887.6,160280.8,1301468.3,8219.0,8835.599999999999
35,1631586021,60.3,1606887.6,160280.9,1301545.6999999997,7718.9000000000015,8168.200000000001
36,1631586022,60.300000000000004,1606887.6,160280.8,1301477.9000000001,8113.499999999999,7525.299999999999
37,1631586023,58.7,1606887.6,160280.8,1301496.5999999999,8452.9,7876.7
38,1631586024,56.19999999999998,1606887.6,160280.8,1301536.7,8106.799999999998,8612.400000000001
39,1631586025,144.4,1606887.6,160280.8,1301523.8,37331.99999999999,86883.89999999998
40,1631586026,282.4,1606887.6,160280.8,1301610.1,66658.90000000002,137038.5
41,1631586027,363.8999999999999,1606887.6,160280.8,1301691.7000000002,33963.7,81016.70000000001
42,1631586028,447.80000000000007,1606887.6,160280.8,1301699.9000000001,7711.3,8295.900000000001
43,1631586029,438.49999999999994,1606887.6,160280.2,1301681.6999999997,8455.300000000003,8190.3
44,1631586030,335.6,1606887.6,160280.3,1301604.7,8128.899999999999,8068.699999999999
45,1631586031,102.60000000000002,1606887.6,160280.2,1301556.3,40059.8,37757.79999999999
46,1631586032,53.7,1606887.6,160280.2,1301529.7000000002,10681.699999999999,12448.699999999999
47,1631586033,61.1,1606887.6,160280.9,1301586.2000000002,8610.000000000002,7715.699999999999
48,1631586034,54.8,1606887.6,160280.9,1301611.4999999998,8146.599999999999,8618.9
49,1631586035,51.599999999999994,1606887.6,160280.9,1301658.6999999997,8059.599999999999,8508.4
50,1631586036,54.3,1606887.6,160280.8,1301661.2999999998,8855.300000000001,7897.200000000001
51,1631586037,49.2,1606887.6,160280.8,1301648.4,8630.7,9170.1
52,1631586038,54.19999999999999,1606887.6,160280.9,1301629.5000000002,7945.699999999999,8508.099999999999
53,1631586039,61.8,1606887.6,160280.9,1301648.4000000001,8209.299999999997,7519.3
54,1631586040,46.49999999999999,1606887.6,160280.9,1301660.4,7838.1,7712.599999999999
55,1631586041,56.300000000000004,1606887.6,160280.9,1301714.9999999998,7585.800000000001,7303.0
56,1631586042,56.00000000000001,1606887.6,160281.0,1301761.7,9607.6,9352.900000000001
