record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1631585513,70.69999999999999,1606887.6,160270.30000000002,1296520.6,7595.6,7833.5
1,1631585514,59.4,1606887.6,160270.30000000002,1296520.9000000001,8881.300000000001,8344.599999999999
2,1631585515,66.99999999999999,1606887.6,160270.40000000002,1296178.2999999996,9119.199999999999,8813.400000000001
3,1631585516,61.8,1606887.6,160270.30000000002,1296250.2,8651.199999999999,9489.599999999999
4,1631585517,58.20000000000001,1606887.6,160270.40000000002,1296400.0,8496.0,8462.5
5,1631585518,67.10000000000001,1606887.6,160270.40000000002,1296362.4,30960464.099999998,7580.5
6,1631585519,49.9,1606887.6,160270.5,1296367.2,8825.600000000002,7847.2
7,1631585520,51.50000000000001,1606887.6,160270.6,1296402.7,130076271.99999999,81361257.30000001
8,1631585521,56.199999999999996,1606887.6,160270.6,1296433.2000000002,7648.899999999998,8526.3
9,1631585522,52.20000000000001,1606887.6,160270.40000000002,1296481.9,8826.699999999997,8490.900000000001
10,1631585523,63.99999999999998,1606887.6,160271.2,1296523.4999999998,8414.9,8092.600000000001
11,1631585524,54.099999999999994,1606887.6,160271.1,1296505.4,9099.199999999997,9983.0
12,1631585525,57.699999999999996,1606887.6,160271.30000000002,1296564.2,8615.6,7668.0
13,1631585526,56.800000000000004,1606887.6,160271.4,1296573.4000000001,7191.300000000001,7336.8
14,1631585527,45.99999999999999,1606887.6,160271.30000000002,1296580.0000000002,7319.1,7745.0
15,1631585528,57.30000000000001,1606887.6,160271.59999999998,1296600.8,8290.5,8471.1
16,1631585529,54.20000000000001,1606887.6,160271.49999999997,1296621.0000000002,8438.300000000001,8533.1
17,1631585530,43.300000000000004,1606887.6,160271.5,1296683.0999999999,6167.100000000001,6198.1
18,1631585531,59.9,1606887.6,160271.5,1296716.2999999998,8579.800000000001,8602.800000000001
19,1631585532,48.900000000000006,1606887.6,160271.5,1296753.2,9810.599999999997,9334.0
20,1631585533,82.19999999999999,1606887.6,160270.1,1296816.4999999998,31071299.099999998,7865.9
21,1631585534,56.399999999999984,1606887.6,160270.2,1296662.9999999998,8560.099999999995,9219.8
22,1631585535,56.9,1606887.6,160270.3,1296529.7000000002,9449.6,9217.399999999998
23,1631585536,52.500000000000014,1606887.6,160270.19999999998,1296492.3,130042619.79999998,81339706.5
24,1631585537,48.6,1606887.6,160270.19999999998,1296617.9,7271.499999999999,7724.9000000000015
25,1631585538,64.60000000000002,1606887.6,160270.19999999998,1296675.5999999999,12947.299999999997,13064.2
26,1631585539,62.29999999999999,1606887.6,160270.19999999998,1296757.0999999999,47381.09999999999,48831.0
27,1631585540,66.8,1606887.6,160270.39999999997,1296778.4,84297.99999999997,86751.09999999999
28,1631585541,81.69999999999999,1606887.6,160270.39999999997,1296733.1999999997,7574.699999999997,7627.800000000001
29,1631585542,71.1,1606887.6,160270.39999999997,1296759.0999999999,8195.4,8547.5
30,1631585543,75.6,1606887.6,160270.49999999997,1296801.9999999998,8195.099999999999,8302.1
31,1631585544,66.7,1606887.6,160270.39999999997,1296838.2999999998,8189.899999999999,7802.4
32,1631585545,99.40000000000002,1606887.6,160270.39999999997,1296917.2999999998,26067.300000000007,56841.2
33,1631585546,292.4,1606887.6,160270.69999999998,1296964.2,54908.80000000001,103309.5
34,1631585547,314.09999999999997,1606887.6,160270.79999999996,1297190.8000000003,58355.59999999999,127458.1
35,1631585548,400.59999999999997,1606887.6,160271.09999999998,1297095.5000000002,13175.099999999997,32864.9
36,1631585549,420.9,1606887.6,160271.3,1297102.8,7686.500000000001,7733.5
37,1631585550,364.9,1606887.6,160271.3,1297120.6999999997,8279.3,7935.6
38,1631585551,165.00000000000003,1606887.6,160271.19999999998,1297038.7999999998,8130.8,8358.2
39,1631585552,74.9,1606887.6,160271.19999999998,1297104.2999999998,44269.9,43311.5
40,1631585553,71.49999999999999,1606887.6,160272.59999999998,1297159.9999999998,9185.8,8379.0
41,1631585554,56.19999999999998,1606887.6,160272.69999999998,1297138.4,8025.5999999999985,7656.000000000002
42,1631585555,52.1,1606887.6,160272.59999999998,1297173.2000000002,7663.1,7811.0
43,1631585556,60.10000000000001,1606887.6,160272.59999999998,1297253.0,8986.300000000003,9645.3
44,1631585557,49.1,1606887.6,160272.59999999998,1297243.5999999999,9019.799999999996,8371.800000000001
45,1631585558,53.3,1606887.6,160272.59999999998,1297271.4000000001,7986.5,7620.299999999999
