timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1632831180,0.9,64275.5,10165.1,3434.3,2.3,3.0
1632831181,0.4,64275.5,10165.1,3435.6,1.6,1.6
1632831182,0.4,64275.5,10165.1,3460.1,5.0,26.1
1632831183,2.6,64275.5,10165.1,3459.5,1.5,2.1
1632831184,0.2,64275.5,10165.1,3460.3,1.6,1.9
1632831185,0.2,64275.5,10165.1,3460.3,1.6,1.9
1632831186,0.2,64275.5,10165.1,3435.1,1.6,1.7
1632831187,0.2,64275.5,10165.1,3434.6,1.6,1.8
1632831188,0.2,64275.5,10165.1,3434.6,1.5,1.6
1632831189,0.2,64275.5,10165.1,3434.6,1.5,1.5
1632831190,0.7,64275.5,10165.1,3434.7,1.3,1.3
1632831191,0.2,64275.5,10165.1,3434.7,1.6,1.6
1632831192,0.2,64275.5,10165.1,3435.1,1.5,1.6
1632831193,2.5,64275.5,10165.1,3435.4,1.5,1.9
1632831194,0.2,64275.5,10165.1,3435.2,1.3,1.5
1632831195,0.2,64275.5,10165.1,3435.2,1.9,2.1
1632831196,0.2,64275.5,10165.1,3435.2,1.3,1.4
1632831197,0.4,64275.5,10165.1,3436.2,2.7,2.7
1632831198,0.5,64275.5,10165.1,3460.8,4.0,25.5
1632831199,0.2,64275.5,10165.1,3460.8,1.6,1.8
1632831200,0.6,64275.5,10165.1,3460.8,1.4,1.6
1632831201,0.2,64275.5,10165.1,3460.9,1.4,1.5
1632831202,0.2,64275.5,10165.1,3461.0,1.4,1.5
1632831203,0.2,64275.5,10165.1,3435.4,1.6,2.2
1632831204,2.7,64275.5,10165.1,3437.0,3.3,2.9
1632831205,0.4,64275.5,10165.1,3461.1,3.3,24.9
1632831206,0.2,64275.5,10165.1,3461.1,1.3,1.4
1632831207,0.2,64275.5,10165.1,3461.1,1.4,1.7
1632831208,0.2,64275.5,10165.1,3461.1,1.2,1.1
1632831209,0.1,64275.5,10165.1,3435.5,1.8,1.9
1632831210,0.6,64275.5,10165.1,3435.5,1.2,1.1
1632831211,0.2,64275.5,10165.1,3435.6,1.8,1.8
1632831212,0.2,64275.5,10165.1,3435.7,1.1,0.9
1632831213,0.2,64275.5,10165.1,3435.8,1.7,2.3
1632831214,2.2,64275.5,10165.1,3435.8,1.4,1.5
1632831215,0.4,64275.5,10165.2,3437.0,3.7,4.1
1632831216,0.4,64275.5,10165.2,3461.1,5.4,29.2
1632831217,0.2,64275.5,10165.2,3461.4,1.7,1.9
1632831218,0.4,64275.5,10165.2,3462.6,3.2,2.8
1632831219,0.5,64275.5,10165.2,3487.0,3.3,24.5
1632831220,0.7,64275.5,10165.2,3462.0,1.5,1.5
1632831221,0.2,64275.5,10165.2,3462.0,2.0,1.9
1632831222,0.2,64275.5,10165.2,3462.1,1.5,2.1
1632831223,0.2,64275.5,10165.2,3436.6,1.9,2.0
1632831224,0.4,64275.5,10165.2,3446.0,1.3,1.4
1632831225,2.2,64275.5,10165.2,3436.4,1.9,2.3
1632831226,0.2,64275.5,10165.2,3436.5,1.2,1.3
1632831227,0.4,64275.5,10165.2,3437.7,3.5,3.1
1632831228,0.4,64275.5,10165.2,3462.1,3.0,24.4
1632831229,0.3,64275.5,10165.2,3462.1,1.3,1.3
1632831230,0.4,64275.5,10165.2,3462.2,1.6,1.6
1632831231,0.2,64275.5,10165.2,3462.2,1.4,1.4
1632831232,0.2,64275.5,10165.2,3436.9,1.5,1.8
1632831233,0.2,64275.5,10165.2,3437.0,1.4,1.4
1632831234,0.2,64275.5,10165.2,3436.8,1.5,1.6
1632831235,2.3,64275.5,10165.2,3437.0,1.6,2.0
1632831236,0.4,64275.5,10165.2,3436.8,1.3,1.3
1632831237,0.2,64275.5,10165.2,3436.8,1.5,1.7
1632831238,0.2,64275.5,10165.2,3436.8,1.2,1.1
1632831239,0.2,64275.5,10165.2,3436.8,1.5,1.7
1632831240,0.6,64275.5,10165.2,3436.8,1.3,1.3
1632831241,0.2,64275.5,10165.2,3436.9,1.7,1.9
1632831242,0.2,64275.5,10165.2,3436.9,1.2,1.5
1632831243,0.2,64275.5,10165.2,3436.9,1.5,1.5
1632831244,0.2,64275.5,10165.2,3437.1,1.4,1.4
1632831245,1.3,64275.5,10165.2,3457.5,1.9,2.2
1632831246,1.8,64275.5,10165.2,3437.1,1.5,1.6
1632831247,0.2,64275.5,10165.2,3437.1,1.6,1.7
1632831248,0.1,64275.5,10165.2,3437.1,1.4,1.4
1632831249,0.2,64275.5,10165.2,3437.1,1.6,1.7
1632831250,0.7,64275.5,10165.2,3437.0,1.3,1.3
1632831251,0.2,64275.5,10165.2,3437.1,1.5,1.5
1632831252,0.2,64275.5,10165.2,3437.1,1.3,1.6
1632831253,0.2,64275.5,10165.2,3437.2,1.6,1.6
1632831254,0.4,64275.5,10165.2,3438.3,3.1,2.8
1632831255,0.4,64275.5,10165.2,3462.8,3.8,25.2
1632831256,2.6,64275.5,10165.2,3462.9,1.3,1.3
1632831257,0.2,64275.5,10165.2,3437.2,1.8,1.8
1632831258,0.2,64275.5,10165.2,3437.2,1.2,1.1
1632831259,0.2,64275.5,10165.2,3437.2,1.4,1.4
1632831260,0.7,64275.5,10165.2,3438.1,3.3,3.1
1632831261,0.4,64275.5,10165.2,3463.1,3.6,24.8
1632831262,0.4,64275.5,10165.2,3476.5,4.9,6.8
1632831263,0.2,64275.5,10165.2,3476.8,1.4,1.5
1632831264,0.2,64275.5,10165.2,3476.8,1.5,1.4
1632831265,0.2,64275.5,10165.2,3451.1,1.8,2.3
1632831266,2.0,64275.5,10165.2,3478.7,1.6,1.6
1632831267,0.8,64275.5,10165.2,3437.5,2.0,2.2
1632831268,0.4,64275.5,10165.2,3438.7,3.2,2.8
1632831269,0.4,64275.5,10165.2,3463.1,3.5,26.3
1632831270,0.6,64275.5,10165.2,3463.2,1.3,1.6
1632831271,0.2,64275.5,10165.2,3463.2,1.8,1.6
1632831272,0.2,64275.5,10165.2,3437.6,1.4,2.1
1632831273,0.2,64275.5,10165.2,3437.6,2.0,2.1
1632831274,0.2,64275.5,10165.2,3437.7,1.2,1.1
1632831275,0.2,64275.5,10165.2,3437.8,1.9,2.2
1632831276,0.2,64275.5,10165.2,3437.8,1.3,1.3
1632831277,2.6,64275.5,10165.2,3440.2,3.0,3.1
1632831278,0.4,64275.5,10165.2,3440.3,2.3,1.8
1632831279,0.6,64275.5,10165.3,3465.9,5.1,26.2
1632831280,0.9,64275.5,10165.3,3490.8,3.0,23.9
1632831281,0.2,64275.5,10165.3,3490.8,2.0,2.0
1632831282,0.2,64275.5,10165.3,3490.8,1.3,1.3
1632831283,0.3,64275.5,10165.3,3465.2,1.7,1.8
1632831284,0.2,64275.5,10165.3,3440.1,1.6,1.4
1632831285,0.2,64275.5,10165.3,3439.7,1.7,1.9
1632831286,0.2,64275.5,10165.3,3439.7,1.3,1.3
1632831287,2.1,64275.5,10165.3,3462.8,1.4,1.5
1632831288,0.6,64275.5,10165.3,3439.8,1.2,1.3
1632831289,0.2,64275.5,10165.3,3439.8,1.5,1.7
1632831290,0.5,64275.5,10165.3,3439.9,1.2,1.1
1632831291,0.2,64275.5,10165.3,3439.9,1.4,1.5
1632831292,0.6,64275.5,10165.3,3441.0,3.4,3.4
1632831293,0.4,64275.5,10165.3,3465.5,3.3,24.7
1632831294,0.2,64275.5,10165.3,3465.7,1.7,1.9
1632831295,0.3,64275.5,10165.3,3440.0,1.7,1.9
1632831296,0.3,64275.5,10165.3,3440.0,1.4,1.6
1632831297,0.2,64275.5,10165.3,3440.0,1.6,1.6
1632831298,2.2,64275.5,10165.3,3448.1,1.4,1.5
1632831299,0.5,64275.5,10165.3,3449.2,3.4,3.1
