record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1632831180,56.3,1606887.6,213904.9,1217391.4999999998,7861.899999999999,8265.6
1,1632831181,47.100000000000016,1606887.6,213904.8,1217396.3,8181.9000000000015,8663.7
2,1632831182,46.3,1606887.6,213904.9,1217385.4000000001,8353.699999999999,8400.000000000002
3,1632831183,54.50000000000001,1606887.6,213904.7,1217405.5999999996,8790.3,8233.4
4,1632831184,56.0,1606887.6,213905.1,1217465.7,7870.299999999999,7705.0
5,1632831185,60.60000000000002,1606887.6,213903.80000000002,1217440.0000000002,8351.400000000001,8387.4
6,1632831186,54.300000000000004,1606887.6,213903.9,1217446.1999999997,7895.499999999998,8466.0
7,1632831187,55.70000000000001,1606887.6,213903.80000000002,1217493.7999999998,7692.299999999999,7830.5
8,1632831188,56.70000000000002,1606887.6,213904.0,1217611.5,7301.199999999999,7781.999999999999
9,1632831189,51.30000000000001,1606887.6,213905.1,1217611.1999999997,8028.999999999998,7438.700000000001
10,1632831190,44.49999999999999,1606887.6,213905.1,1217632.2,8287.6,7652.199999999999
11,1632831191,51.699999999999996,1606887.6,213905.2,1217652.9999999998,8427.0,8487.0
12,1632831192,49.800000000000004,1606887.6,213905.2,1217657.6,8851.800000000001,9412.300000000001
13,1632831193,52.9,1606887.6,213905.30000000002,1217700.5999999999,7642.5,8189.0
14,1632831194,59.40000000000001,1606887.6,213905.30000000002,1217816.4999999998,8579.399999999998,7668.9
15,1632831195,54.9,1606887.6,213905.4,1217840.7,8687.6,8562.5
16,1632831196,54.50000000000001,1606887.6,213905.2,1217892.5000000002,8243.099999999999,9078.9
17,1632831197,57.7,1606887.6,213905.3,1217978.6,7652.0999999999985,8068.799999999999
18,1632831198,62.300000000000004,1606887.6,213905.3,1217932.2000000002,8452.5,7841.500000000001
19,1632831199,60.2,1606887.6,213905.4,1217938.6,9379.3,8529.6
20,1632831200,50.599999999999994,1606887.6,213905.4,1217991.1,8161.099999999999,9128.0
21,1632831201,55.49999999999999,1606887.6,213905.3,1218011.0,8087.399999999999,8473.5
22,1632831202,42.8,1606887.6,213905.4,1218045.9,8509.5,7685.3
23,1632831203,59.10000000000001,1606887.6,213905.4,1218042.8999999997,8543.6,8025.000000000001
24,1632831204,55.09999999999999,1606887.6,213905.4,1218074.4999999998,8380.599999999999,9368.5
25,1632831205,55.99999999999999,1606887.6,213906.5,1218196.0999999996,9673.599999999995,9488.300000000001
26,1632831206,75.3,1606887.6,213906.5,1218206.3,8329.800000000001,7798.2
27,1632831207,63.8,1606887.6,213906.4,1218316.7999999998,8191.200000000001,8165.899999999999
28,1632831208,63.4,1606887.6,213906.4,1218306.4000000001,8351.100000000002,9794.8
29,1632831209,52.99999999999999,1606887.6,213906.4,1218330.6000000003,7882.5,7589.0
30,1632831210,50.30000000000002,1606887.6,213906.5,1218392.5,9151.699999999997,8044.299999999999
31,1632831211,53.30000000000002,1606887.6,213906.6,1218346.3,8716.999999999996,9411.0
32,1632831212,55.599999999999994,1606887.6,213906.6,1218365.5999999999,175534.10000000003,8631.5
33,1632831213,54.6,1606887.6,213906.6,1218356.6,9545.5,8601.5
34,1632831214,62.89999999999999,1606887.6,213906.7,1218362.8,8425.000000000002,9449.7
35,1632831215,53.2,1606887.6,213906.5,1218388.5000000005,200345760.1,103935496.2
36,1632831216,57.2,1606887.6,213906.7,1218499.3000000003,8647.300000000003,7712.8
37,1632831217,54.699999999999996,1606887.6,213906.7,1218559.4000000001,8261.599999999999,7688.5
38,1632831218,59.4,1606887.6,213906.7,1218651.7000000002,8401.900000000001,9037.2
39,1632831219,53.89999999999999,1606887.6,213907.00000000003,1218720.3,8176.4,8933.6
40,1632831220,51.8,1606887.6,213906.9,1218741.5,9051.29999999999,8388.699999999999
41,1632831221,53.400000000000006,1606887.6,213907.00000000003,1218775.5000000002,8416.8,8151.5
42,1632831222,43.9,1606887.6,213906.9,1218777.7999999998,8942.900000000005,9953.100000000002
43,1632831223,56.20000000000002,1606887.6,213906.9,1218776.6,7536.0,7620.8
44,1632831224,54.7,1606887.6,213907.00000000003,1218878.7999999998,8580.700000000004,7604.8
45,1632831225,55.800000000000004,1606887.6,213906.9,1218858.0000000002,8962.500000000002,9179.599999999999
46,1632831226,57.10000000000001,1606887.6,213907.00000000003,1218854.4000000001,7211.099999999998,8005.599999999999
47,1632831227,56.70000000000001,1606887.6,213907.00000000003,1218937.3,8406.7,7854.5
48,1632831228,81.69999999999999,1606887.6,213907.10000000003,1219074.7,176436.69999999998,8387.0
49,1632831229,60.800000000000004,1606887.6,213905.80000000002,1219094.9000000001,7799.1,8549.5
50,1632831230,49.699999999999996,1606887.6,213905.80000000002,1219120.0999999999,200100704.60000002,103809219.69999999
51,1632831231,51.900000000000006,1606887.6,213905.7,1219136.7999999998,8937.499999999996,7697.8
52,1632831232,48.3,1606887.6,213905.7,1219144.8,7978.500000000001,7787.4
53,1632831233,52.300000000000004,1606887.6,213905.7,1219221.1,7922.599999999999,9349.099999999999
54,1632831234,53.3,1606887.6,213905.7,1219183.8,7750.899999999998,7470.1
55,1632831235,59.900000000000006,1606887.6,213905.80000000002,1219147.7000000002,9760.199999999997,9059.5
56,1632831236,58.1,1606887.6,213905.7,1219274.9000000001,8441.8,8514.2
57,1632831237,53.3,1606887.6,213905.7,1219279.7999999998,8286.400000000001,9182.6
58,1632831238,62.80000000000002,1606887.6,213905.7,1219311.9999999998,7506.200000000001,7831.3
59,1632831239,45.800000000000004,1606887.6,213905.7,1219301.7,7545.4,7443.9
60,1632831240,54.6,1606887.6,213905.7,1219299.3999999997,7792.300000000001,7523.099999999999
61,1632831241,51.6,1606887.6,213905.7,1219480.3,8447.3,7521.799999999999
62,1632831242,51.3,1606887.6,213906.0,1219366.6999999997,9328.700000000006,9219.7
63,1632831243,50.50000000000001,1606887.6,213906.0,1219426.4,7227.099999999997,8137.699999999999
64,1632831244,64.1,1606887.6,213906.0,1219493.2,8665.300000000001,8825.599999999999
65,1632831245,53.300000000000004,1606887.6,213906.0,1219549.5000000002,9458.799999999997,8606.400000000001
66,1632831246,60.9,1606887.6,213905.80000000002,1219578.5000000002,7839.299999999999,7873.0
67,1632831247,52.800000000000004,1606887.6,213905.90000000002,1219574.4,8099.099999999999,9064.500000000002
68,1632831248,59.3,1606887.6,213907.30000000002,1219633.2,7729.5999999999985,7520.3
69,1632831249,55.3,1606887.6,213907.2,1219583.2999999998,9204.4,8882.2
70,1632831250,47.099999999999994,1606887.6,213907.40000000002,1219609.1,8350.3,8075.6
