record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1626355832,5.1,64275.6,6295.5,53273.7,120.6,20.8
1,1626355833,8.3,64275.6,6295.5,49255.3,310.3,48.1
2,1626355834,10.8,64275.6,6295.5,49257.2,155.1,24.2
3,1626355835,9.9,64275.6,6295.5,49258.6,15.6,37.0
4,1626355836,10.6,64275.6,6295.5,49258.8,93.3,16.3
5,1626355837,9.5,64275.6,6295.5,49258.9,9.0,12.8
6,1626355838,10.5,64275.6,6295.5,49299.6,69.2,16.9
7,1626355839,9.8,64275.6,6295.6,49299.3,4.3,12.7
8,1626355840,10.4,64275.6,6295.6,49339.9,23.9,15.8
9,1626355841,10.2,64275.6,6295.6,49339.9,20.6,20.0
10,1626355842,13.8,64275.6,6295.6,49388.1,827.6,35.4
11,1626355843,13.0,64275.6,6295.6,49388.6,359.3,77.5
12,1626355844,9.5,64275.6,6295.6,49388.8,12.0,21.3
13,1626355845,10.0,64275.6,6295.6,49430.7,41.6,38.8
14,1626355846,9.3,64275.6,6295.6,49432.3,6.4,17.0
15,1626355847,12.9,64275.6,6295.6,49468.3,239.8,23.6
16,1626355848,9.3,64275.6,6295.6,49465.5,122.3,19.6
17,1626355849,15.2,64275.6,6295.6,49520.3,648.9,38.3
18,1626355850,12.8,64275.6,6295.6,49520.5,193.6,23.2
19,1626355851,13.1,64275.6,6295.6,49516.9,407.9,31.0
20,1626355852,10.0,64275.6,6295.6,49559.0,29.7,17.3
21,1626355853,14.1,64275.6,6295.6,49559.2,372.2,52.4
22,1626355854,11.8,64275.6,6295.6,49593.4,156.0,28.8
23,1626355855,10.0,64275.6,6295.6,49593.8,16.6,41.6
24,1626355856,9.1,64275.6,6295.6,49631.0,17.1,13.5
25,1626355857,17.7,64275.6,6295.6,49614.2,5.3,16.0
26,1626355858,9.6,64275.6,6295.6,49656.9,15.6,42.8
27,1626355859,11.6,64275.6,6295.6,49657.0,4.6,14.4
28,1626355860,9.2,64275.6,6295.6,49697.0,9.4,13.4
29,1626355861,10.0,64275.6,6295.6,49697.2,11.4,20.2
30,1626355862,8.7,64275.6,6295.6,49738.5,9.4,16.6
31,1626355863,12.7,64275.6,6295.6,49745.8,217.3,54.4
32,1626355864,9.3,64275.6,6295.6,49740.1,4.1,13.2
33,1626355865,11.1,64275.6,6295.6,49782.9,39.7,39.7
34,1626355866,8.9,64275.6,6295.6,49782.9,4.5,12.8
35,1626355867,9.6,64275.6,6295.6,49824.1,40.5,13.7
36,1626355868,12.6,64275.6,6295.6,49824.2,4.0,14.4
37,1626355869,11.5,64275.6,6295.6,49865.5,18.0,12.8
38,1626355870,9.0,64275.6,6295.6,49865.6,4.1,14.0
39,1626355871,10.9,64275.6,6295.6,49908.3,32.3,18.3
40,1626355872,9.8,64275.6,6295.6,49907.5,21.0,19.2
41,1626355873,13.4,64275.6,6295.6,49964.4,1086.9,112.3
42,1626355874,9.7,64275.6,6295.6,49948.4,22.5,77.7
43,1626355875,9.7,64275.6,6295.6,49990.3,21.6,108.7
44,1626355876,9.0,64275.6,6295.6,49990.2,16.2,60.6
45,1626355877,9.5,64275.6,6295.6,49992.6,22.7,36.9
46,1626355878,9.2,64275.6,6295.6,50034.6,29.2,39.8
47,1626355879,11.0,64275.6,6295.6,50036.1,6.5,17.2
48,1626355880,9.6,64275.6,6295.6,50079.6,58.0,56.6
49,1626355881,10.9,64275.6,6295.6,50079.9,137.2,16.9
