timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1624924618,0.9,64275.6,3741.4,22075.9,1.3,1.9
1624924619,0.1,64275.6,3741.4,22076.0,0.3,0.4
1624924620,0.2,64275.6,3741.4,22075.7,0.4,0.4
1624924621,0.1,64275.6,3741.4,22075.9,0.5,0.4
1624924622,0.1,64275.6,3741.4,22075.9,0.8,0.6
1624924623,0.7,64275.6,3741.4,22076.3,3.8,81.5
1624924624,1.4,64275.6,3741.4,22076.1,2.1,61.7
1624924625,0.6,64275.6,3741.4,22075.9,3.4,12.4
1624924626,0.8,64275.6,3741.4,22075.8,1.3,31.6
1624924627,0.1,64275.6,3741.4,22075.9,0.6,13.3
1624924628,0.5,64275.6,3741.4,22075.9,2.1,19.8
1624924629,0.4,64275.6,3741.4,22076.0,13.1,83.5
1624924630,0.2,64275.6,3741.4,22075.8,0.4,0.5
1624924631,0.2,64275.6,3741.5,22076.0,1.7,41.7
1624924632,0.5,64275.6,3741.5,22076.0,0.3,0.3
1624924633,0.5,64275.6,3741.5,22076.4,5.1,114.2
1624924634,0.8,64275.6,3741.5,22076.0,0.6,0.5
1624924635,0.6,64275.6,3741.5,22077.2,3.1,1.3
1624924636,0.9,64275.6,3741.5,22077.5,6.7,4.5
1624924637,0.6,64275.6,3741.5,22127.0,6.4,47.3
1624924638,0.3,64275.6,3741.5,22127.3,0.3,0.3
1624924639,0.2,64275.6,3741.5,22101.8,0.9,0.8
1624924640,0.3,64275.6,3741.5,22076.1,0.4,0.6
1624924641,0.1,64275.6,3741.5,22076.1,0.3,0.3
1624924642,0.6,64275.6,3741.5,22076.1,0.3,0.2
1624924643,0.5,64275.6,3741.5,22077.3,5.1,53.3
1624924644,1.4,64275.6,3741.5,22101.7,3.8,24.6
1624924645,0.2,64275.6,3741.5,22101.8,0.4,0.3
1624924646,0.9,64275.6,3741.5,22101.7,0.4,0.2
1624924647,0.4,64275.6,3741.5,22076.1,0.4,0.5
1624924648,0.4,64275.6,3741.5,22076.6,0.4,0.4
1624924649,0.1,64275.6,3741.5,22076.6,0.3,0.2
1624924650,0.3,64275.6,3741.5,22076.6,0.3,0.3
1624924651,0.0,64275.6,3741.5,22076.6,0.3,0.3
1624924652,0.2,64275.6,3741.5,22076.6,0.5,0.4
1624924653,0.6,64275.6,3741.5,22078.2,3.2,58.2
1624924654,0.6,64275.6,3741.6,22076.6,0.3,0.3
1624924655,0.7,64275.6,3741.6,22076.5,0.6,0.7
1624924656,0.8,64275.6,3741.6,22076.9,0.3,0.6
1624924657,0.1,64275.6,3741.6,22076.6,0.3,0.4
1624924658,0.2,64275.6,3741.6,22076.6,1.6,0.4
1624924659,0.1,64275.6,3741.6,22076.9,0.5,0.4
1624924660,0.2,64275.6,3741.6,22076.7,0.3,0.3
1624924661,0.1,64275.6,3741.6,22076.7,0.3,0.2
1624924662,0.2,64275.6,3741.6,22076.7,0.4,0.4
1624924663,0.6,64275.6,3741.6,22088.3,1.2,0.5
1624924664,0.9,64275.6,3741.6,22076.6,1.6,42.5
1624924665,0.6,64275.6,3741.6,22076.7,0.3,0.4
1624924666,0.9,64275.6,3741.6,22077.7,3.2,1.6
1624924667,0.5,64275.6,3741.6,22103.1,4.7,24.2
1624924668,0.6,64275.6,3741.6,22127.8,2.1,23.2
1624924670,0.1,64275.6,3741.6,22128.3,0.3,0.3
1624924671,0.4,64275.6,3741.6,22102.4,0.7,0.8
1624924672,0.1,64275.6,3741.6,22076.7,0.6,0.6
1624924673,0.5,64275.6,3741.6,22076.8,0.4,0.5
1624924674,0.2,64275.6,3741.6,22097.2,2.3,0.8
1624924675,0.9,64275.6,3741.6,22076.8,3.1,76.9
1624924676,0.5,64275.6,3741.6,22092.1,0.4,0.5
1624924677,0.7,64275.6,3741.6,22076.5,0.3,0.4
1624924678,0.1,64275.6,3741.6,22076.8,0.3,0.4
1624924679,0.4,64275.6,3741.6,22077.0,0.3,0.2
1624924680,0.1,64275.6,3741.6,22077.3,0.5,0.5
1624924681,0.2,64275.6,3741.6,22077.0,1.0,15.9
1624924682,0.1,64275.6,3741.6,22077.0,0.9,6.9
1624924683,0.0,64275.6,3741.6,22077.0,1.0,15.3
1624924684,0.5,64275.6,3741.7,22085.2,0.6,8.4
1624924685,0.5,64275.6,3741.7,22077.0,1.7,7.5
1624924686,1.1,64275.6,3741.7,22095.2,0.3,0.3
1624924687,0.4,64275.6,3741.7,22077.1,0.4,0.4
1624924688,0.1,64275.6,3741.7,22077.0,0.6,0.5
1624924689,0.3,64275.6,3741.7,22077.1,1.8,0.5
1624924690,0.1,64275.6,3741.7,22077.1,0.4,0.4
1624924691,0.2,64275.6,3741.7,22077.5,0.3,0.2
1624924692,0.1,64275.6,3741.7,22077.1,0.3,0.2
1624924693,0.7,64275.6,3741.7,22077.1,0.4,0.4
1624924694,0.7,64275.6,3741.7,22077.2,0.6,0.4
