timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1624924784,0.7,64275.6,3811.3,21206.0,1.4,2.1
1624924785,0.4,64275.6,3811.3,21205.9,0.3,0.4
1624924786,0.2,64275.6,3811.3,21206.3,2.0,28.1
1624924787,0.7,64275.6,3811.3,21206.0,0.3,0.3
1624924788,0.1,64275.6,3811.3,21206.0,0.3,0.4
1624924789,0.0,64275.6,3811.3,21206.0,0.3,0.2
1624924790,0.3,64275.6,3811.3,21206.4,0.4,0.4
1624924791,1.1,64275.6,3811.3,21206.9,2.9,1.2
1624924792,0.7,64275.6,3811.3,21231.6,2.2,23.2
1624924793,0.1,64275.6,3811.3,21231.6,0.3,0.2
1624924794,0.2,64275.6,3811.3,21206.0,0.7,0.5
1624924795,0.6,64275.6,3811.3,21206.1,0.3,0.4
1624924796,0.6,64275.6,3811.3,21206.5,1.5,7.6
1624924797,0.6,64275.6,3811.3,21206.1,0.4,0.4
1624924798,0.3,64275.6,3811.3,21206.1,1.5,0.3
1624924799,0.1,64275.6,3811.3,21206.1,6.5,4.3
1624924800,0.3,64275.6,3811.3,21206.1,0.5,0.4
1624924801,1.3,64275.6,3811.3,21206.1,0.3,0.2
1624924802,0.1,64275.6,3811.3,21206.1,10.4,6.6
1624924803,0.1,64275.6,3811.3,21206.1,0.3,0.2
1624924804,0.2,64275.6,3811.3,21206.1,0.4,0.4
1624924805,0.6,64275.6,3811.3,21206.3,0.5,0.6
1624924806,0.2,64275.6,3811.3,21206.4,1.6,7.5
1624924807,0.9,64275.6,3811.3,21206.3,0.6,0.6
1624924808,0.1,64275.6,3811.3,21206.3,0.4,17.5
1624924809,0.1,64275.6,3811.3,21206.3,0.4,3.3
1624924810,0.2,64275.6,3811.3,21206.3,0.3,16.5
1624924811,1.0,64275.6,3811.3,21206.0,0.3,9.9
1624924812,0.2,64275.6,3811.4,21206.3,0.5,5.8
1624924813,0.0,64275.6,3811.4,21206.3,1.6,0.4
1624924814,0.2,64275.6,3811.4,21206.3,3.0,2.0
1624924815,0.4,64275.6,3811.4,21206.5,0.6,0.5
1624924816,0.1,64275.6,3811.4,21206.4,1.2,0.5
1624924817,1.6,64275.6,3811.4,21206.4,0.7,7.4
1624924818,0.1,64275.6,3811.4,21206.4,0.5,0.4
1624924819,0.1,64275.6,3811.4,21206.4,0.4,0.4
1624924820,0.3,64275.6,3811.4,21206.4,0.4,0.4
1624924821,1.1,64275.6,3811.4,21206.3,0.3,0.3
1624924822,0.1,64275.6,3811.4,21206.4,0.4,0.5
1624924823,0.1,64275.6,3811.4,21206.4,0.4,0.5
1624924824,0.1,64275.6,3811.4,21206.4,0.4,0.5
1624924825,0.4,64275.6,3811.4,21206.5,0.4,0.4
1624924826,0.2,64275.6,3811.4,21206.5,0.4,0.4
1624924827,1.4,64275.6,3811.4,21206.5,2.0,23.6
1624924828,0.2,64275.6,3811.4,21206.5,1.5,0.5
1624924829,0.0,64275.6,3811.4,21206.5,0.3,0.2
1624924830,0.3,64275.6,3811.4,21206.5,0.3,0.2
1624924831,0.9,64275.6,3811.4,21206.2,0.4,0.6
1624924832,0.6,64275.6,3811.4,21206.5,0.5,0.4
1624924833,0.1,64275.6,3811.4,21206.5,0.3,0.2
1624924834,0.3,64275.6,3811.4,21206.5,0.3,0.3
1624924835,0.6,64275.6,3811.4,21206.8,0.3,0.3
1624924836,0.1,64275.6,3811.4,21206.8,0.3,0.3
1624924837,0.9,64275.6,3811.4,21206.9,1.7,7.6
1624924838,0.1,64275.6,3811.4,21206.9,0.4,0.6
1624924839,0.1,64275.6,3811.4,21206.8,0.3,0.2
1624924840,0.2,64275.6,3811.4,21206.8,0.3,0.5
1624924841,1.2,64275.6,3811.4,21206.8,0.3,0.4
1624924842,0.3,64275.6,3811.4,21206.8,0.3,0.5
1624924843,0.1,64275.6,3811.4,21206.8,1.8,0.5
1624924844,0.1,64275.6,3811.4,21206.8,0.3,0.4
1624924845,0.4,64275.6,3811.4,21206.7,0.3,0.3
1624924846,0.1,64275.6,3811.4,21206.7,0.3,0.3
1624924847,0.8,64275.6,3811.5,21206.8,1.5,7.6
