record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1624925865,32.5,1606890.0000000005,97897.00000000001,556812.9999999999,29.5,38.59999999999999
1,1624925866,44.599999999999994,1606890.0000000005,97897.40000000002,556875.5,1452.3000000000004,1394.8999999999999
2,1624925867,50.10000000000003,1606890.0000000005,97897.50000000003,556937.5,587.0,782.3
3,1624925868,29.0,1606890.0000000005,97897.70000000001,556993.6,1538.6999999999998,1282.5000000000002
4,1624925869,30.5,1606890.0000000005,97898.10000000002,556979.2,1011.1000000000001,1087.5000000000002
5,1624925870,27.4,1606890.0000000005,97898.90000000002,557493.2999999999,464.59999999999997,391.2
6,1624925871,114.30000000000001,1606890.0000000005,97899.20000000003,558061.6000000002,749.3000000000001,1010.7000000000002
7,1624925872,143.3,1606890.0000000005,97899.80000000002,558572.7000000001,2271.5999999999995,1731.1
8,1624925873,116.39999999999998,1606890.0000000005,97900.50000000001,560356.2,165.90000000000003,389.79999999999995
9,1624925874,79.70000000000002,1606890.0000000005,97901.10000000002,560491.7000000001,1329.0,1030.5
10,1624925875,76.9,1606890.0000000005,97901.3,561247.0999999999,30.100000000000005,230.0
11,1624925876,168.20000000000002,1606890.0000000005,97901.70000000003,561756.2000000001,2459.2999999999993,2070.8
12,1624925877,104.69999999999997,1606890.0000000005,97901.80000000002,563492.2999999999,54.69999999999999,79.5
13,1624925878,74.60000000000001,1606890.0000000005,97901.80000000002,563554.8999999999,37.19999999999998,114.60000000000001
14,1624925879,43.80000000000002,1606890.0000000005,97902.10000000002,563605.7999999999,19.900000000000006,15.700000000000005
15,1624925880,40.40000000000001,1606890.0000000005,97902.20000000001,563679.7999999999,22199.4,20419.000000000007
16,1624925881,20.9,1606890.0000000005,97902.5,563843.1,91763.29999999997,93326.79999999999
17,1624925882,17.6,1606890.0000000005,97902.80000000002,563972.3,20.000000000000004,75.90000000000002
18,1624925883,28.800000000000004,1606890.0000000005,97903.6,564243.6000000001,14.300000000000004,868.3
19,1624925884,49.90000000000003,1606890.0000000005,97903.70000000001,564418.4,33.099999999999994,76.6
20,1624925885,37.20000000000001,1606890.0000000005,97903.70000000001,564377.7000000001,32.300000000000004,47.599999999999994
21,1624925886,51.6,1606890.0000000005,97903.8,564361.4,712.4000000000001,571.8
22,1624925887,40.0,1606890.0000000005,97903.99999999999,564510.5999999999,58139.8,738.6999999999999
