timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1624925256,0.6,64275.6,3812.3,21214.1,1.1,1.7
1624925257,0.9,64275.6,3812.3,21213.9,0.3,0.2
1624925258,0.1,64275.6,3812.3,21213.9,0.3,0.2
1624925259,0.1,64275.6,3812.3,21213.9,0.6,0.7
1624925260,0.1,64275.6,3812.3,21213.9,0.4,0.5
1624925261,0.6,64275.6,3812.3,21213.9,0.3,0.3
1624925262,0.7,64275.6,3812.3,21214.1,0.6,0.5
1624925263,0.1,64275.6,3812.3,21213.9,1.5,0.3
1624925264,0.6,64275.6,3812.3,21213.9,5.2,32.7
1624925265,0.2,64275.6,3812.3,21213.9,1.3,28.2
1624925266,0.2,64275.6,3812.3,21213.9,0.3,0.4
1624925267,0.9,64275.6,3812.3,21214.1,0.5,0.5
1624925268,0.1,64275.6,3812.3,21214.0,0.4,0.4
1624925269,0.3,64275.6,3812.3,21214.0,0.3,0.2
1624925270,0.1,64275.6,3812.3,21214.0,0.4,0.4
1624925271,1.1,64275.6,3812.3,21214.0,0.3,0.2
1624925272,0.8,64275.6,3812.3,21213.9,0.5,0.5
1624925273,0.1,64275.6,3812.3,21214.0,0.9,0.9
1624925274,0.4,64275.6,3812.3,21214.0,1.2,0.7
1624925275,0.2,64275.6,3812.3,21214.0,1.8,42.9
1624925276,0.2,64275.6,3812.3,21214.2,0.3,0.5
1624925277,0.8,64275.6,3812.3,21213.7,0.4,0.5
1624925278,0.1,64275.6,3812.4,21214.0,1.6,0.5
1624925279,0.1,64275.6,3812.4,21214.0,0.3,0.2
1624925280,0.4,64275.6,3812.4,21221.2,0.3,0.2
1624925281,0.9,64275.6,3812.4,21214.0,0.3,0.2
1624925282,0.3,64275.6,3812.4,21214.1,0.3,0.2
1624925283,0.1,64275.6,3812.4,21214.1,0.3,0.3
1624925284,0.2,64275.6,3812.4,21214.1,0.3,0.2
1624925285,0.3,64275.6,3812.4,21214.6,3.2,77.1
1624925286,0.2,64275.6,3812.4,21214.4,0.5,0.5
1624925287,0.9,64275.6,3812.4,21214.3,0.4,0.4
1624925288,0.4,64275.6,3812.4,21214.4,0.4,0.4
1624925289,0.1,64275.6,3812.4,21214.4,0.4,0.4
1624925290,0.7,64275.6,3812.4,21228.3,0.3,0.2
1624925291,0.7,64275.6,3812.4,21214.4,0.5,0.5
1624925292,0.3,64275.6,3812.4,21214.6,0.3,0.2
1624925293,0.1,64275.6,3812.4,21214.4,1.7,0.6
