record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1625189163,15.899999999999999,1606890.0000000005,110685.9,768515.2999999999,100.10000000000001,158.69999999999996
1,1625189164,23.0,1606890.0000000005,110686.0,768576.9999999999,92.50000000000004,106.19999999999999
2,1625189165,29.000000000000014,1606890.0000000005,110686.1,768652.6,26.800000000000008,26.600000000000005
3,1625189166,38.30000000000001,1606890.0000000005,110686.09999999999,768781.6,25.9,65.20000000000002
4,1625189167,35.1,1606890.0000000005,110686.3,768874.8999999999,52.300000000000004,185.7
5,1625189168,52.20000000000002,1606890.0000000005,110686.3,768923.2999999999,667.7999999999997,909.2
6,1625189169,33.300000000000004,1606890.0000000005,110686.40000000001,768920.7,1694.2999999999995,1387.2
7,1625189170,20.9,1606890.0000000005,110686.5,769064.6999999998,389.4000000000001,527.7
8,1625189171,29.200000000000006,1606890.0000000005,110687.00000000001,769091.1,1079.1,751.0
9,1625189172,66.10000000000001,1606890.0000000005,110687.3,769793.3999999999,399.59999999999997,623.8
10,1625189173,151.59999999999997,1606890.0000000005,110687.40000000001,770195.4,2626.5,2053.1
11,1625189174,127.4,1606890.0000000005,110687.5,771980.7999999998,97.0,493.4000000000001
12,1625189175,96.19999999999997,1606890.0000000005,110688.20000000001,772351.5999999999,1407.8000000000004,649.2
13,1625189176,88.4,1606890.0000000005,110689.1,773026.8999999998,25.300000000000004,303.2
14,1625189177,147.10000000000002,1606890.0000000005,110689.2,773504.8,911.4999999999999,488.90000000000003
15,1625189178,117.89999999999999,1606890.0000000005,110689.49999999999,775010.4999999999,246.30000000000007,149.99999999999997
16,1625189179,93.60000000000002,1606890.0000000005,110689.7,775440.7,61.79999999999999,134.40000000000003
17,1625189180,44.000000000000014,1606890.0000000005,110689.59999999999,775508.7999999998,17.100000000000005,59.60000000000001
18,1625189181,51.6,1606890.0000000005,110692.7,775542.7,6668.5,61.69999999999999
19,1625189182,18.1,1606890.0000000005,110712.3,775580.5999999999,106608.70000000001,318.90000000000003
20,1625189183,20.700000000000003,1606890.0000000005,110712.79999999999,776048.0999999999,26.700000000000006,50.80000000000001
21,1625189184,34.5,1606890.0000000005,110713.59999999999,776065.9999999999,12.400000000000004,13.999999999999996
22,1625189185,30.599999999999998,1606890.0000000005,110713.59999999999,776087.6000000001,26.400000000000002,24.199999999999996
23,1625189186,35.69999999999999,1606890.0000000005,110713.7,776181.0999999999,31.400000000000002,72.19999999999999
24,1625189187,36.6,1606890.0000000005,110713.8,776277.3,32.6,125.09999999999998
25,1625189188,48.700000000000024,1606890.0000000005,110713.99999999999,776310.5999999997,241.60000000000005,248.8
26,1625189189,20.60000000000001,1606890.0000000005,110797.69999999998,776302.3,112552.40000000001,59823.9
27,1625189190,14.700000000000003,1606890.0000000005,110797.69999999998,776412.0,1661.5,54743.50000000001
28,1625189191,34.300000000000004,1606890.0000000005,110797.9,776778.8999999998,17.600000000000005,58.4
29,1625189192,41.90000000000002,1606890.0000000005,110798.69999999998,776815.3,9.3,99.5
30,1625189193,42.2,1606890.0000000005,110798.9,776875.3000000002,16.900000000000006,69.5
31,1625189194,97.9,1606890.0000000005,110798.99999999999,777017.0000000002,30890.3,12932.400000000001
32,1625189195,141.29999999999998,1606890.0000000005,110799.0,777494.7000000001,145751.9,42830.899999999994
33,1625189196,142.4,1606890.0000000005,110799.0,777938.4,152417.0,37090.799999999996
34,1625189197,52.1,1606890.0000000005,110798.99999999999,778351.0,152478.29999999996,49867.000000000015
35,1625189198,55.199999999999996,1606890.0000000005,110799.19999999998,778932.6000000002,152188.0,49682.00000000001
36,1625189199,33.5,1606890.0000000005,110799.19999999998,779412.7999999999,152811.0,49969.20000000002
37,1625189200,45.7,1606890.0000000005,110799.4,779782.4000000001,151608.2,43090.2
38,1625189201,94.7,1606890.0000000005,110800.4,781055.1000000002,154884.90000000002,57272.2
39,1625189202,163.49999999999997,1606890.0000000005,110804.3,782704.2,421103.80000000005,20992.900000000005
40,1625189203,241.80000000000004,1606890.0000000005,110810.0,784021.3,49539.70000000001,9244.599999999999
41,1625189204,334.1,1606890.0000000005,110812.9,785294.1,994.4000000000001,36121.000000000015
42,1625189205,412.7,1606890.0000000005,110813.19999999998,787181.9,2112.8999999999996,15104.3
43,1625189206,243.00000000000003,1606890.0000000005,110813.7,788810.1000000001,88761.20000000001,82955.59999999999
44,1625189207,226.20000000000002,1606890.0000000005,110814.19999999998,790382.2000000002,134434.0,107852.29999999997
45,1625189208,180.29999999999998,1606890.0000000005,110814.69999999997,792787.1999999998,440899.30000000005,134041.39999999997
46,1625189209,192.89999999999998,1606890.0000000005,110814.89999999998,794401.9999999999,146691.8,128824.29999999997
47,1625189210,229.59999999999997,1606890.0000000005,110815.69999999997,796740.2999999999,148510.99999999997,60760.700000000004
48,1625189211,232.20000000000002,1606890.0000000005,110817.39999999998,798635.2,69930.20000000001,32131.999999999996
49,1625189212,287.50000000000006,1606890.0000000005,110819.59999999999,799886.2,166196.30000000002,89183.5
50,1625189213,295.40000000000003,1606890.0000000005,110821.09999999999,801083.7000000002,169589.19999999998,102397.2
51,1625189214,261.4,1606890.0000000005,110821.19999999998,802788.9000000001,169335.6,132126.00000000003
52,1625189215,278.8,1606890.0000000005,110821.49999999999,803993.7000000001,162402.60000000003,145879.2
53,1625189216,205.3,1606890.0000000005,110821.89999999998,806057.4,138019.0,142696.49999999997
54,1625189217,200.1,1606890.0000000005,110824.59999999998,807245.1999999998,155105.9,143561.6
55,1625189218,236.49999999999994,1606890.0000000005,110825.99999999999,808762.2999999999,137428.80000000002,136984.9
56,1625189219,241.19999999999993,1606890.0000000005,110826.29999999999,810505.3,142622.3,125101.00000000003
57,1625189220,271.79999999999995,1606890.0000000005,110827.99999999999,812659.6000000001,129753.40000000001,69349.7
58,1625189221,288.0,1606890.0000000005,110830.29999999999,814694.1,139682.69999999995,95183.09999999999
59,1625189222,247.8,1606890.0000000005,110831.4,815875.0,150920.50000000003,90167.69999999998
60,1625189223,330.09999999999997,1606890.0000000005,110832.5,818294.4,140381.19999999995,76965.40000000001
