record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1625189763,23.699999999999996,1606890.0000000005,109878.0,703923.1000000001,87.39999999999998,122.2
1,1625189764,11.099999999999998,1606890.0000000005,109878.4,703927.6000000001,96.4,125.69999999999999
2,1625189765,10.799999999999999,1606890.0000000005,109878.4,703941.3,45.89999999999998,59.50000000000001
3,1625189766,12.599999999999996,1606890.0000000005,109878.4,703917.6000000001,103.49999999999999,106.29999999999997
4,1625189767,26.6,1606890.0000000005,109878.4,703995.7,311.30000000000007,278.4
5,1625189768,37.900000000000006,1606890.0000000005,109878.4,704099.0999999999,39.800000000000004,122.69999999999999
6,1625189769,38.40000000000002,1606890.0000000005,109878.4,704149.0000000001,75.29999999999998,102.49999999999994
7,1625189770,31.900000000000016,1606890.0000000005,109878.4,704179.3,40.69999999999999,44.3
8,1625189771,87.60000000000001,1606890.0000000005,109891.8,705004.2000000001,962.6999999999999,951.9
9,1625189772,177.19999999999996,1606890.0000000005,109893.0,705972.4999999999,195.3000000000001,184.7
10,1625189773,190.69999999999993,1606890.0000000005,109893.3,707258.1,91.89999999999999,110.00000000000001
11,1625189774,101.49999999999997,1606890.0000000005,109893.3,707590.8,25849.60000000001,21016.600000000002
12,1625189775,22.0,1606890.0000000005,109893.3,707717.9,88464.50000000003,93403.59999999998
13,1625189776,23.000000000000004,1606890.0000000005,109893.40000000001,707870.2999999999,27.400000000000002,52.400000000000006
14,1625189777,32.4,1606890.0000000005,109894.5,707867.3999999998,59.10000000000001,237.0
15,1625189778,46.4,1606890.0000000005,109894.99999999999,708041.4,259.5,1003.0
16,1625189779,29.30000000000001,1606890.0000000005,109895.1,708145.1,49.39999999999999,86.09999999999997
17,1625189780,47.100000000000016,1606890.0000000005,109894.9,708320.7000000001,56.699999999999974,70.2
18,1625189781,46.90000000000003,1606890.0000000005,109895.2,708366.2000000001,6619.200000000001,35838.00000000001
19,1625189782,14.899999999999997,1606890.0000000005,109895.2,708434.6000000001,107607.49999999999,78506.7
20,1625189783,25.900000000000006,1606890.0000000005,109895.50000000001,708587.8,42.300000000000004,109.20000000000002
21,1625189784,36.10000000000001,1606890.0000000005,109896.40000000001,708649.8999999999,30.600000000000005,133.20000000000002
22,1625189785,45.4,1606890.0000000005,109896.5,708867.7000000002,24.800000000000004,94.4
23,1625189786,35.800000000000026,1606890.0000000005,109896.59999999999,708871.7,27.900000000000002,65.60000000000001
24,1625189787,50.2,1606890.0000000005,109896.6,708913.5999999999,136.79999999999998,866.6999999999998
25,1625189788,191.49999999999997,1606890.0000000005,109896.90000000001,709450.5999999999,102384.9,120116.4
26,1625189789,111.49999999999999,1606890.0000000005,109896.90000000001,709896.3,123549.59999999998,236218.50000000003
27,1625189790,123.09999999999998,1606890.0000000005,109896.70000000001,710857.0,121980.20000000003,154344.5
28,1625189791,93.9,1606890.0000000005,109896.90000000001,711946.2,122496.7,179982.00000000003
29,1625189792,62.4,1606890.0000000005,109896.8,712540.5,123685.09999999998,270586.7
30,1625189793,113.69999999999999,1606890.0000000005,109897.2,713868.0999999997,122213.70000000001,214088.40000000002
31,1625189794,242.99999999999997,1606890.0000000005,109898.3,715393.0,121734.3,208631.7
32,1625189795,219.39999999999998,1606890.0000000005,109899.5,716284.2000000001,87886.09999999999,205927.39999999997
33,1625189796,266.50000000000006,1606890.0000000005,109901.9,717943.8,1546.3000000000002,99040.90000000001
34,1625189797,477.90000000000015,1606890.0000000005,109902.90000000001,719182.0000000001,869.9999999999999,106669.0
35,1625189798,297.09999999999997,1606890.0000000005,109905.2,719670.0999999999,2021.4,111295.5
36,1625189799,158.19999999999993,1606890.0000000005,109906.49999999999,719970.6999999998,2300.200000000001,117625.69999999995
37,1625189800,287.1,1606890.0000000005,109906.7,720671.3999999998,2489.2999999999997,125531.40000000001
38,1625189801,60.7,1606890.0000000005,109906.7,721096.3,2293.4000000000005,116828.90000000007
39,1625189802,33.900000000000006,1606890.0000000005,109906.6,721776.7,2407.4,116967.90000000002
40,1625189803,47.20000000000001,1606890.0000000005,109906.79999999999,722057.6,2508.8,119980.59999999996
41,1625189804,29.200000000000003,1606890.0000000005,109906.79999999999,722285.8,2515.6000000000004,119918.90000000001
42,1625189805,64.2,1606890.0000000005,109906.9,722904.0000000001,2459.4000000000005,120065.29999999999
43,1625189806,29.90000000000001,1606890.0000000005,109906.9,723160.9,2490.7000000000003,120158.80000000002
44,1625189807,43.2,1606890.0000000005,109906.9,723322.5,2493.3999999999996,119947.80000000005
45,1625189808,62.2,1606890.0000000005,109907.20000000001,723661.8999999999,2706.7999999999997,120587.8
46,1625189809,88.1,1606890.0000000005,109907.40000000001,724329.0,2478.4000000000005,121954.10000000002
47,1625189810,40.300000000000004,1606890.0000000005,109907.3,724698.5999999999,2477.0,118725.19999999998
48,1625189811,109.69999999999997,1606890.0000000005,109907.3,725663.5,2392.5000000000005,118118.1
49,1625189812,133.09999999999997,1606890.0000000005,109907.3,726841.1000000001,2411.9999999999995,121845.5
50,1625189813,57.7,1606890.0000000005,109907.5,727424.0999999999,2464.7000000000003,118842.69999999997
51,1625189814,58.19999999999999,1606890.0000000005,109907.6,727713.3999999999,2449.0000000000005,121816.4
52,1625189815,91.10000000000002,1606890.0000000005,109907.7,728630.3999999999,2335.5,119115.39999999998
53,1625189816,43.3,1606890.0000000005,109907.7,729016.3999999999,2477.1,119999.69999999998
54,1625189817,57.69999999999999,1606890.0000000005,109907.7,729386.2000000001,2444.2000000000003,122184.20000000001
55,1625189818,72.89999999999999,1606890.0000000005,109907.7,729481.7000000001,2642.2999999999997,120099.79999999999
56,1625189819,48.199999999999996,1606890.0000000005,109907.7,729804.3000000002,2346.7000000000007,121087.60000000003
57,1625189820,46.500000000000014,1606890.0000000005,109907.7,729846.8,2443.7000000000003,122008.2
58,1625189821,61.7,1606890.0000000005,109907.7,730151.3999999999,2174.7000000000003,116238.8
59,1625189822,62.900000000000006,1606890.0000000005,109907.7,730539.3,2321.1000000000004,121919.89999999997
