timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1624923570,0.5,64275.6,3757.5,21639.2,1.1,1.7
1624923571,0.7,64275.6,3757.5,21639.5,0.3,0.2
1624923572,0.6,64275.6,3757.5,21639.3,0.3,0.3
1624923573,0.1,64275.6,3757.5,21639.3,0.6,0.5
1624923574,0.3,64275.6,3757.5,21639.7,1.4,8.5
1624923575,1.0,64275.6,3757.5,21639.7,0.3,0.2
1624923576,1.2,64275.6,3757.5,21639.5,0.3,0.3
1624923577,6.9,64275.6,3757.5,21717.8,90.3,83.6
1624923578,16.1,64275.6,3757.5,21817.9,16.3,14.5
1624923579,14.8,64275.6,3757.5,21926.4,3.7,5.3
1624923580,6.4,64275.6,3757.5,21951.7,5.4,1.6
1624923581,0.8,64275.6,3757.5,21951.8,1.6,0.5
1624923582,0.4,64275.6,3757.5,21951.8,0.3,0.4
1624923583,0.1,64275.6,3757.5,21951.8,0.3,0.5
1624923584,0.4,64275.6,3757.5,21951.8,1.1,0.5
1624923585,0.8,64275.6,3757.5,21951.6,0.7,8.4
1624923586,0.6,64275.6,3757.5,21960.3,0.9,1.2
1624923587,0.2,64275.6,3757.5,21960.5,0.4,0.4
1624923588,0.1,64275.6,3757.5,21960.6,0.3,0.3
1624923589,0.3,64275.6,3757.5,21960.7,0.4,0.4
1624923590,0.4,64275.6,3757.5,21960.7,0.3,0.4
1624923591,0.9,64275.6,3757.5,21960.8,0.6,0.6
1624923592,0.3,64275.6,3757.5,21960.7,0.4,0.3
1624923593,0.1,64275.6,3757.5,21965.0,0.6,0.8
1624923594,0.6,64275.6,3757.5,21971.5,1.3,0.7
1624923595,1.6,64275.6,3757.6,21978.1,1.6,9.2
1624923596,0.6,64275.6,3757.6,21978.1,1.6,0.6
1624923597,0.6,64275.6,3757.6,21978.8,10.5,7.0
1624923598,0.1,64275.6,3757.6,21978.5,0.5,0.7
1624923599,0.1,64275.6,3757.6,21978.5,0.4,0.5
1624923600,0.3,64275.6,3757.6,21978.5,0.4,0.6
1624923601,0.7,64275.6,3757.6,21978.1,0.3,0.5
1624923602,0.5,64275.6,3757.6,21979.0,0.4,0.4
1624923603,0.1,64275.6,3757.6,21979.0,0.6,0.6
1624923604,0.4,64275.6,3757.6,21985.2,1.5,1.2
1624923605,1.2,64275.6,3757.6,21999.5,3.6,26.3
1624923606,0.6,64275.6,3757.6,22008.1,7.3,5.3
1624923607,0.5,64275.6,3757.6,22031.3,2.7,3.5
1624923608,0.4,64275.6,3757.6,22055.8,3.3,4.2
1624923609,0.2,64275.6,3757.6,22060.5,0.8,1.0
1624923610,0.1,64275.6,3757.6,22060.9,0.5,0.3
1624923611,0.9,64275.6,3757.6,22060.8,4.4,2.2
1624923612,0.6,64275.6,3757.6,22063.1,1.0,90.1
1624923613,10.8,64275.6,3757.6,22114.1,309.3,20786.2
1624923614,14.7,64275.6,3757.6,22173.1,347.6,24045.1
1624923615,2.3,64275.6,3757.6,22195.8,331.9,23989.7
1624923616,0.6,64275.6,3757.6,22218.2,336.0,24046.0
1624923617,0.6,64275.6,3757.6,22238.9,290.4,20851.6
1624923618,16.2,64275.6,3757.8,22364.2,40.8,41.2
1624923619,64.9,64275.6,3758.0,22472.8,0.3,0.4
1624923620,49.3,64275.6,3758.9,22523.4,0.6,0.7
1624923621,11.3,64275.6,3758.9,22530.7,53.2,1.2
1624923622,0.4,64275.6,3758.9,22531.1,0.3,0.3
1624923623,3.1,64275.6,3758.9,22547.2,34.8,1267.9
1624923624,17.8,64275.6,3760.0,22584.7,7.6,82.5
1624923625,22.5,64275.6,3760.1,22596.4,5.5,113.9
1624923626,34.0,64275.6,3760.1,22610.4,8.9,1529.7
1624923627,6.2,64275.6,3760.2,22612.3,26.6,52.1
1624923628,0.1,64275.6,3760.2,22612.4,0.3,0.2
1624923629,0.1,64275.6,3760.2,22612.4,0.3,0.2
1624923630,0.1,64275.6,3760.2,22612.7,0.2,0.2
1624923631,2.1,64275.6,3759.1,21757.2,4.7,3.2
1624923632,0.5,64275.6,3759.1,21757.3,0.5,0.5
1624923633,0.1,64275.6,3759.1,21757.2,0.4,0.4
1624923634,0.6,64275.6,3759.1,21757.2,0.3,0.4
1624923635,0.9,64275.6,3759.1,21757.6,1.8,8.7
1624923636,0.2,64275.6,3759.1,21757.2,0.5,0.6
1624923637,0.2,64275.6,3759.1,21757.6,0.3,0.2
1624923638,0.1,64275.6,3759.1,21757.2,0.3,0.3
