record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1626263035,4.1,64275.6,6289.5,53981.1,328.7,23.9
1,1626263036,3.6,64275.6,6289.5,53981.1,24.1,14.3
2,1626263037,2.5,64275.6,6289.5,53981.2,7.6,18.8
3,1626263038,4.7,64275.6,6289.5,53981.5,8.1,41.6
4,1626263039,11.5,64275.6,6289.5,54016.2,117.7,18.0
5,1626263040,9.9,64275.6,6289.5,54017.9,18.1,13.4
6,1626263041,9.5,64275.6,6289.5,54018.2,8.9,17.8
7,1626263042,18.3,64275.6,6289.5,54018.3,87.6,18.8
8,1626263043,32.8,64275.6,6289.5,54018.0,13.5,20.2
9,1626263044,33.2,64275.6,6289.6,54018.5,209.7,68.7
10,1626263045,31.2,64275.6,6289.5,54018.4,8.1,14.1
11,1626263046,14.7,64275.6,6289.5,54024.2,6.5,14.2
12,1626263047,8.6,64275.6,6289.5,54018.8,7.4,14.9
13,1626263048,9.3,64275.6,6289.5,54018.9,4.8,15.6
14,1626263049,10.3,64275.6,6289.5,54019.2,4.0,11.7
15,1626263050,9.7,64275.6,6289.5,54019.3,19.8,18.5
16,1626263051,9.1,64275.6,6289.5,54019.3,7.8,15.4
17,1626263052,8.9,64275.6,6289.5,54019.3,9.7,21.9
18,1626263053,20.2,64275.6,6289.5,54025.6,70.4,53.5
19,1626263054,32.7,64275.6,6289.6,54027.9,252.5,73.9
20,1626263055,31.4,64275.6,6289.5,54027.7,7.8,13.9
21,1626263056,32.5,64275.6,6289.5,54028.1,29.0,15.0
22,1626263057,12.6,64275.6,6289.5,54060.9,21.9,15.0
23,1626263058,9.4,64275.6,6289.5,54056.6,9.6,15.3
24,1626263059,10.7,64275.6,6289.5,54056.7,39.1,16.1
25,1626263060,9.8,64275.6,6289.5,54058.8,10.5,18.1
26,1626263061,11.1,64275.6,6289.5,54060.3,127.4,15.0
27,1626263062,9.5,64275.6,6289.5,54060.8,4.2,12.6
28,1626263063,10.4,64275.6,6289.6,54062.0,16.6,23.0
29,1626263064,11.1,64275.6,6289.6,54064.4,210.4,67.7
30,1626263065,11.7,64275.6,6289.5,54062.5,7.6,15.5
31,1626263066,13.9,64275.6,6289.5,54049.0,6.4,14.3
32,1626263067,9.1,64275.6,6289.5,54049.8,4.9,17.3
33,1626263068,9.1,64275.6,6289.5,54049.2,7.1,40.9
34,1626263069,10.9,64275.6,6289.6,54055.0,5.0,14.7
35,1626263070,14.1,64275.6,6289.6,54049.0,7.9,16.4
36,1626263071,10.3,64275.6,6289.6,54049.0,4.8,14.1
