timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1626284613,3.3,64275.6,6336.4,53844.1,10.0,37.3
1626284614,5.1,64275.6,6336.4,53898.2,159.2,50.8
1626284615,9.9,64275.6,6336.4,53899.6,80.3,14.7
1626284616,9.3,64275.6,6336.4,53900.4,31.3,20.0
1626284617,11.2,64275.6,6336.4,53899.8,60.1,38.5
1626284618,11.9,64275.6,6336.4,53900.4,4806.1,155.3
1626284619,12.7,64275.6,6336.4,53901.1,263.9,19.9
1626284620,12.5,64275.6,6336.4,53901.0,556.8,25.0
1626284621,10.1,64275.6,6336.4,53901.4,121.7,20.4
1626284622,8.6,64275.6,6336.4,53900.9,4.3,14.8
1626284623,9.2,64275.6,6336.4,53900.9,11.5,46.3
1626284624,13.0,64275.6,6336.4,53902.6,193.4,50.9
1626284625,9.1,64275.6,6336.4,53895.9,9.0,17.0
1626284626,10.5,64275.6,6336.4,53896.2,32.8,17.3
1626284627,11.5,64275.6,6336.4,53897.7,235.3,39.3
1626284628,14.8,64275.6,6336.5,53898.0,5436.4,206.5
1626284629,10.1,64275.6,6336.5,53892.6,6.9,16.4
1626284630,20.8,64275.6,6336.5,53873.1,40.3,13.9
1626284631,10.7,64275.6,6336.5,53874.5,134.8,22.7
1626284632,9.5,64275.6,6336.5,53873.7,6.7,15.4
1626284633,9.0,64275.6,6336.5,53873.7,8.6,72.3
1626284634,13.0,64275.6,6336.5,53877.0,41.2,116.2
1626284635,9.0,64275.6,6336.5,53877.2,4.4,14.1
1626284636,10.6,64275.6,6336.5,53877.5,9.8,15.0
1626284637,9.0,64275.6,6336.5,53878.9,13.7,16.3
1626284638,11.1,64275.6,6336.5,53880.4,208.9,77.0
1626284639,10.5,64275.6,6336.5,53879.8,8.7,17.1
1626284640,9.2,64275.6,6336.5,53879.7,6.7,14.3
1626284641,10.7,64275.6,6336.5,53880.0,26.6,21.5
1626284642,12.8,64275.6,6336.5,53881.9,450.4,24.8
1626284643,11.1,64275.6,6336.5,53882.2,317.1,22.9
1626284644,10.6,64275.6,6336.5,53882.6,27.7,45.9
1626284645,12.8,64275.6,6336.5,53848.9,83.5,26.1
1626284646,27.0,64275.6,6336.6,53885.9,483.7,44.3
1626284647,14.4,64275.6,6336.6,53885.9,74.1,22.2
1626284648,13.8,64275.6,6336.8,53878.1,848.0,67.8
1626284649,14.4,64275.6,6336.8,53887.3,171.8,21.0
1626284650,13.9,64275.6,6336.8,53879.3,326.8,24.8
1626284651,21.7,64275.6,6336.8,53902.4,217.6,37.5
1626284652,12.5,64275.6,6336.8,53910.2,246.4,25.4
1626284653,9.9,64275.6,6336.8,53906.1,9.5,45.3
1626284654,10.8,64275.6,6336.8,53907.6,33.3,71.3
1626284655,10.5,64275.6,6336.8,53905.4,6.2,15.1
1626284656,12.3,64275.6,6336.8,53910.3,172.4,24.0
1626284657,13.3,64275.6,6336.8,53964.4,294.9,67.2
1626284658,12.5,64275.6,6336.8,53964.6,747.6,61.6
1626284659,14.8,64275.6,6336.8,53964.8,478.3,26.3
1626284660,12.9,64275.6,6336.8,53938.6,184.2,22.3
1626284661,15.4,64275.6,6336.8,53913.3,433.8,26.8
1626284662,16.0,64275.6,6336.8,53913.3,713.0,24.7
1626284663,11.5,64275.6,6336.8,53920.5,229.0,19.2
1626284664,12.0,64275.6,6336.8,53913.8,96.1,47.4
1626284665,12.4,64275.6,6336.8,53913.8,365.9,21.7
1626284666,10.3,64275.6,6336.8,53912.4,5.1,13.3
1626284667,9.0,64275.6,6336.8,53912.4,6.8,17.2
1626284668,11.4,64275.6,6336.8,53912.6,206.4,76.4
1626284669,10.0,64275.6,6336.8,53912.9,5.0,14.8
1626284670,8.9,64275.6,6336.8,53906.2,7.5,16.3
1626284671,10.1,64275.6,6336.8,53906.8,5.4,14.3
1626284672,9.0,64275.6,6336.8,53906.8,4.8,13.9
1626284673,9.2,64275.6,6336.8,53922.4,4.2,12.4
1626284674,9.9,64275.6,6336.8,53906.5,21.8,45.8
1626284675,9.8,64275.6,6336.8,53907.9,41.3,15.4
1626284676,9.8,64275.6,6336.8,53908.6,4.8,12.8
1626284677,8.6,64275.6,6336.8,53949.6,10.9,13.3
1626284678,15.7,64275.6,6336.8,53955.7,636.3,60.4
1626284679,15.3,64275.6,6336.8,53955.5,161.9,18.1
1626284680,11.5,64275.6,6336.8,53956.2,177.8,23.5
1626284681,16.8,64275.6,6336.9,53956.4,680.0,33.5
1626284682,17.8,64275.6,6336.9,53957.0,560.5,28.1
1626284683,15.1,64275.6,6336.9,53941.2,84.2,44.5
1626284684,14.3,64275.6,6336.9,53980.5,499.0,56.0
1626284685,9.7,64275.6,6336.9,53979.3,5.7,13.0
1626284686,9.2,64275.6,6336.9,53979.6,4.3,13.7
1626284687,13.9,64275.6,6336.9,53979.7,522.6,27.6
1626284688,14.6,64275.6,6336.9,53980.1,642.2,60.4
1626284689,10.9,64275.6,6336.9,53981.3,40.8,17.5
1626284690,9.3,64275.6,6336.9,53982.4,8.3,14.6
1626284691,11.7,64275.6,6336.9,53983.1,160.5,21.1
1626284692,8.5,64275.6,6336.9,53983.2,4.0,12.3
1626284693,9.8,64275.6,6336.9,54021.2,17.9,24.0
1626284694,10.0,64275.6,6336.9,54022.0,17.0,36.8
1626284695,8.8,64275.6,6336.9,54022.1,14.6,21.0
1626284696,9.7,64275.6,6336.9,54022.3,4.4,12.5
1626284697,8.5,64275.6,6336.9,54022.5,4.6,16.6
1626284698,10.5,64275.6,6336.9,54021.9,204.4,72.2
1626284699,9.9,64275.6,6336.9,54021.7,4.7,14.1
1626284700,9.2,64275.6,6336.9,54022.9,5.4,12.9
1626284701,10.4,64275.6,6336.9,54024.6,17.4,18.3
1626284702,8.8,64275.6,6336.9,54068.0,4.5,14.0
1626284703,10.2,64275.6,6336.9,54068.1,15.8,21.1
1626284704,9.3,64275.6,6336.9,54071.4,18.4,38.5
1626284705,9.0,64275.6,6336.9,54071.6,4.8,13.6
