timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1634000422,1.2,64275.5,9653.2,52257.8,2.4,5.8
1634000423,1.3,64275.5,9653.2,52257.8,1.7,3.8
1634000424,1.4,64275.5,9653.2,52265.0,1.6,3.4
1634000425,1.9,64275.5,9653.2,52257.9,2.1,4.6
1634000426,1.1,64275.5,9653.2,52258.3,10.7,17.6
1634000427,1.4,64275.5,9653.2,52258.0,38.8,39.5
1634000428,0.9,64275.5,9653.2,52258.6,26.3,13.3
1634000429,0.6,64275.5,9653.2,52258.6,17.9,5.3
1634000430,0.8,64275.5,9653.2,52259.1,2.4,21.5
1634000431,1.3,64275.5,9653.2,52258.6,1.9,10.3
1634000432,0.7,64275.5,9653.2,52258.6,1.9,4.4
1634000433,1.4,64275.5,9653.2,52258.6,1.6,3.6
1634000434,0.8,64275.5,9653.2,52274.7,1.6,3.7
1634000435,2.5,64275.5,9653.2,52259.2,18.9,5.6
1634000436,0.6,64275.5,9653.2,52259.2,1.5,3.7
1634000437,1.4,64275.5,9653.2,52259.8,24.3,15.4
1634000438,0.7,64275.5,9653.2,52259.9,9.3,4.4
1634000439,0.6,64275.5,9653.2,52259.9,1.5,3.5
1634000440,2.7,64275.5,9653.2,52260.5,21.0,5.5
1634000441,0.7,64275.5,9653.2,52259.7,3.8,13.8
1634000442,1.4,64275.5,9653.2,52262.6,1.7,4.1
1634000443,1.4,64275.5,9653.2,52259.9,2.7,11.5
1634000444,1.1,64275.5,9653.3,52262.0,2.2,5.0
1634000445,2.1,64275.5,9653.2,52260.4,2.9,28.1
1634000446,0.9,64275.5,9653.2,52261.2,22.5,5.3
1634000447,0.8,64275.5,9653.2,52265.6,4.0,13.9
1634000448,1.7,64275.5,9653.2,52285.8,10.9,27.1
1634000449,0.6,64275.5,9653.2,52285.8,18.4,6.7
1634000450,1.4,64275.5,9653.2,52285.4,9.9,4.8
1634000451,0.6,64275.5,9653.2,52282.5,1.7,4.5
1634000452,0.7,64275.5,9653.2,52263.8,1.8,4.1
1634000453,1.3,64275.5,9653.2,52256.6,1.5,3.6
1634000454,1.6,64275.5,9653.2,52256.5,1.6,3.5
1634000455,1.4,64275.5,9653.2,52256.8,2.3,4.7
