record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1629762038,82.89999999999999,1606887.6,121305.39999999998,1384377.3,7422.000000000001,7477.400000000001
1,1629762039,63.00000000000001,1606887.6,121305.39999999998,1384384.0000000002,8447.500000000002,8250.499999999998
2,1629762040,50.79999999999999,1606887.6,121305.39999999998,1384372.0999999999,7171.799999999997,6954.200000000001
3,1629762041,71.2,1606887.6,121305.29999999999,1384416.7000000002,7066.900000000001,6838.599999999999
4,1629762042,54.400000000000006,1606887.6,121305.39999999998,1380927.9000000001,10844.3,11131.3
5,1629762043,68.2,1606887.6,121305.59999999998,1380265.2999999998,8688.500000000002,5673928.9
6,1629762044,67.3,1606887.6,121305.79999999999,1380310.5999999999,7921.699999999998,8235.100000000002
7,1629762045,55.400000000000006,1606887.6,121306.09999999999,1380354.2999999996,8682.7,8326.600000000002
8,1629762046,65.50000000000001,1606887.6,121308.09999999999,1380423.7999999998,80487549.69999999,8307.399999999998
9,1629762047,70.8,1606887.6,121311.29999999999,1380463.3000000003,8330.0,10256.899999999998
10,1629762048,75.9,1606887.6,121313.79999999999,1380490.1,8621.899999999998,7833.200000000001
11,1629762049,72.20000000000002,1606887.6,121313.9,1380499.1000000003,8189.0,7898.100000000002
12,1629762050,65.89999999999999,1606887.6,121314.0,1380498.2999999998,7817.499999999999,8044.6
13,1629762051,79.2,1606887.6,121314.09999999999,1380490.0,7985.0,8361.3
14,1629762052,60.90000000000001,1606887.6,121314.2,1380437.4,8196.9,8617.7
15,1629762053,70.80000000000001,1606887.6,121314.40000000001,1380455.9000000004,8715.5,8546.199999999999
16,1629762054,101.40000000000002,1606887.6,121314.40000000001,1380456.7000000004,7259.4000000000015,7184.8
17,1629762055,122.9,1606887.6,121314.50000000001,1380454.4,9938.799999999997,9615.900000000001
18,1629762056,93.5,1606887.6,121314.70000000001,1380470.1999999997,6784.1,7366.300000000001
19,1629762057,70.49999999999999,1606887.6,121314.6,1380673.7999999996,8822.4,8488.7
20,1629762058,65.2,1606887.6,121314.80000000002,1380494.5999999999,8716.099999999997,8091.300000000001
21,1629762059,54.59999999999999,1606887.6,121315.00000000001,1380490.3,8225.000000000002,7834.900000000003
22,1629762060,60.900000000000006,1606887.6,121315.00000000001,1380460.5999999999,8317.599999999999,8399.3
23,1629762061,64.1,1606887.6,121314.90000000002,1380472.3,7988.300000000003,8113.600000000001
24,1629762062,57.99999999999999,1606887.6,121314.90000000002,1380465.2,7846.300000000001,8365.599999999999
25,1629762063,67.00000000000001,1606887.6,121315.10000000002,1380466.6999999997,8557.1,9144.800000000001
26,1629762064,57.59999999999999,1606887.6,121315.10000000002,1380466.9999999998,8606.199999999999,8343.599999999999
27,1629762065,62.100000000000016,1606887.6,121315.10000000002,1380454.0999999999,8398.5,8049.1
28,1629762066,57.70000000000001,1606887.6,121315.10000000002,1380494.9,8504.900000000001,7817.099999999999
29,1629762067,59.6,1606887.6,121315.10000000002,1380500.6,7850.799999999998,8147.300000000001
