timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1629764041,2.4,64275.5,5224.4,56368.0,3.5,10.5
1629764042,0.7,64275.5,5224.4,56368.4,2.0,2.1
1629764043,1.4,64275.5,5224.4,56368.6,18.5,2.4
1629764044,1.5,64275.5,5224.4,56368.7,15.6,2.4
1629764045,0.8,64275.5,5224.4,56369.1,1.5,1.0
1629764046,0.7,64275.5,5224.4,56368.8,12.9,2.0
1629764047,0.7,64275.5,5224.4,56368.8,15.5,2.1
1629764048,0.6,64275.5,5224.4,56368.9,2.9,2.8
1629764049,0.6,64275.5,5224.4,56368.9,1.4,0.7
1629764050,0.8,64275.5,5224.4,56368.9,1.3,0.6
1629764051,3.6,64275.5,5224.4,56369.0,20.6,38.4
1629764052,1.0,64275.5,5224.4,56368.9,18.4,2.3
1629764053,1.2,64275.5,5224.4,56369.0,1.7,10.3
1629764054,0.8,64275.5,5224.4,56369.0,15.7,2.3
1629764055,1.1,64275.5,5224.4,56343.8,19.3,22.2
1629764056,1.3,64275.5,5224.4,56343.4,1.3,0.7
1629764057,0.5,64275.5,5224.4,56343.4,1.4,0.7
1629764058,0.7,64275.5,5224.4,56343.4,1.2,0.5
1629764059,0.6,64275.5,5224.4,56343.4,1.3,0.6
1629764060,1.4,64275.5,5224.4,56343.5,17.9,1.4
1629764061,2.2,64275.5,5224.4,56343.7,3.0,9.2
1629764062,1.2,64275.5,5224.4,56343.5,1.4,1.0
1629764063,1.0,64275.5,5224.4,56343.5,2.2,1.2
1629764064,0.6,64275.5,5224.4,56343.5,2.0,2.2
1629764065,0.7,64275.5,5224.4,56343.7,1.2,0.6
1629764066,0.8,64275.5,5224.4,56343.6,1.7,10.0
1629764067,1.4,64275.5,5224.4,56344.7,3.4,2.4
1629764068,0.7,64275.5,5224.4,56357.1,3.1,11.0
1629764069,0.6,64275.5,5224.5,56357.3,2.2,2.2
1629764070,1.1,64275.5,5224.5,56357.6,2.7,18.4
1629764071,1.9,64275.5,5224.5,56357.7,4.0,33.8
1629764072,1.1,64275.5,5224.5,56357.6,18.7,2.4
1629764073,1.9,64275.5,5224.5,56357.6,1.4,0.9
1629764074,0.7,64275.5,5224.5,56357.6,15.5,2.2
1629764075,1.0,64275.5,5224.5,56358.2,11.7,7.3
1629764076,0.9,64275.5,5224.5,56357.7,32.3,6.1
1629764077,2.7,64275.5,5224.5,56357.7,1.7,1.1
1629764078,3.6,64275.5,5224.5,56357.7,1.9,2.0
1629764079,1.0,64275.5,5224.5,56357.7,1.4,0.5
1629764080,0.9,64275.5,5224.5,56357.9,2.0,1.2
1629764081,3.3,64275.5,5224.5,56358.2,19.9,20.7
1629764082,1.2,64275.5,5224.5,56357.8,18.3,1.0
1629764083,0.9,64275.5,5224.5,56357.8,1.8,10.2
1629764084,0.7,64275.5,5224.5,56357.8,17.0,4.1
1629764085,1.2,64275.5,5224.5,56358.0,21.7,23.6
1629764086,1.5,64275.5,5224.5,56357.9,1.3,0.8
1629764087,0.6,64275.5,5224.5,56357.9,1.6,1.0
1629764088,0.7,64275.5,5224.5,56357.9,1.3,0.7
1629764089,0.6,64275.5,5224.5,56357.9,1.2,0.5
1629764090,1.3,64275.5,5224.5,56357.9,18.1,1.6
1629764091,2.8,64275.5,5224.5,56358.2,2.5,8.7
1629764092,1.2,64275.5,5224.5,56358.0,1.4,0.8
1629764093,0.7,64275.5,5224.5,56358.1,1.5,0.9
1629764094,0.6,64275.5,5224.5,56358.1,2.2,2.1
1629764095,0.7,64275.5,5224.5,56358.7,1.1,0.5
1629764096,1.5,64275.5,5224.5,56358.1,1.7,9.6
1629764097,0.5,64275.5,5224.5,56358.1,1.1,0.5
1629764098,0.7,64275.5,5224.5,56358.1,1.6,7.0
1629764099,0.6,64275.5,5224.5,56358.2,2.1,2.2
1629764100,0.9,64275.5,5224.5,56358.5,2.1,17.3
1629764101,1.9,64275.5,5224.5,56358.5,3.6,10.3
1629764102,1.7,64275.5,5224.5,56358.4,18.4,2.3
1629764103,1.2,64275.5,5224.5,56360.5,1.4,1.0
1629764104,0.6,64275.5,5224.5,56360.8,15.6,2.3
1629764105,0.9,64275.5,5224.5,56361.4,2.0,1.3
1629764106,0.8,64275.5,5224.5,56360.9,29.9,4.0
1629764107,1.1,64275.5,5224.5,56360.9,1.6,0.8
1629764108,0.6,64275.5,5224.5,56360.9,2.0,2.2
1629764109,0.7,64275.5,5224.5,56360.9,1.3,0.5
1629764110,1.3,64275.5,5224.5,56361.4,1.6,2.0
1629764111,2.7,64275.5,5224.5,56361.2,37.1,19.8
1629764112,1.3,64275.5,5224.5,56361.2,1.1,0.5
1629764113,0.9,64275.5,5224.5,56361.2,9.2,14.8
1629764114,1.1,64275.5,5224.5,56361.4,16.3,8.8
1629764115,1.0,64275.5,5224.5,56361.6,18.9,15.6
1629764116,0.6,64275.5,5224.5,56361.3,1.5,0.9
1629764117,0.5,64275.5,5224.5,56361.3,1.1,0.5
1629764118,0.6,64275.5,5224.5,56361.3,1.3,0.7
1629764119,1.1,64275.5,5224.5,56361.3,1.6,0.8
1629764120,1.7,64275.5,5224.5,56361.4,17.9,1.4
1629764122,2.5,64275.5,5224.6,56360.2,2.8,9.2
1629764123,1.4,64275.5,5224.6,56361.4,1.3,0.6
1629764124,0.5,64275.5,5224.6,56361.4,2.1,2.2
1629764125,0.7,64275.5,5224.6,56361.5,1.2,0.7
1629764126,0.9,64275.5,5224.6,56361.6,1.3,0.7
1629764127,0.7,64275.5,5224.6,56361.5,1.7,9.6
1629764128,0.4,64275.5,5224.6,56361.5,1.2,0.5
1629764129,0.6,64275.5,5224.6,56347.9,1.4,7.6
1629764130,0.6,64275.5,5224.6,56347.9,2.2,2.4
1629764131,1.4,64275.5,5224.6,56348.7,1.9,17.7
1629764132,2.2,64275.5,5224.6,56348.1,3.6,10.3
1629764133,2.1,64275.5,5224.6,56348.3,18.4,2.3
1629764134,0.5,64275.5,5224.6,56348.1,1.3,0.8
1629764135,0.7,64275.5,5224.6,56348.1,16.4,3.4
1629764136,0.7,64275.5,5224.6,56348.5,1.5,0.8
1629764137,1.5,64275.5,5224.6,56348.1,30.6,4.9
1629764138,0.6,64275.5,5224.6,56348.2,1.4,0.6
1629764139,5.9,64275.5,5224.6,56348.2,1.8,1.9
1629764140,0.6,64275.5,5224.6,56348.2,1.4,0.7
1629764141,1.2,64275.5,5224.6,56348.2,19.0,2.8
1629764142,2.4,64275.5,5224.6,56348.4,20.2,19.7
1629764143,2.2,64275.5,5224.6,56348.4,1.2,0.6
1629764144,0.6,64275.5,5224.6,56348.4,1.7,10.4
1629764145,0.9,64275.5,5224.6,56348.4,32.8,4.1
1629764146,1.1,64275.5,5224.6,56348.4,2.2,20.8
1629764147,0.7,64275.5,5224.6,56348.4,1.1,0.5
1629764148,0.6,64275.5,5224.6,56348.4,1.2,0.5
1629764149,0.6,64275.5,5224.6,56348.4,1.4,0.7
1629764150,0.5,64275.5,5224.6,56335.1,1.3,0.5
1629764151,1.6,64275.5,5224.6,56335.0,18.0,1.5
1629764152,2.2,64275.5,5224.6,56335.0,9.7,5.6
1629764153,2.1,64275.5,5224.6,56335.2,1.9,8.8
1629764154,0.8,64275.5,5224.6,56335.0,2.0,2.1
1629764155,0.6,64275.5,5224.6,56335.0,1.2,0.5
1629764156,0.9,64275.5,5224.6,56335.8,1.9,6.1
1629764157,1.9,64275.5,5224.6,56355.1,1.6,6.0
1629764158,1.0,64275.5,5224.6,56355.1,11.3,45.7
1629764159,0.6,64275.5,5224.6,56355.1,1.5,1.1
1629764160,1.2,64275.5,5224.6,56355.2,2.5,16.6
1629764161,1.9,64275.5,5224.6,56355.4,2.1,6.3
1629764162,2.0,64275.5,5224.6,56356.0,3.0,2.6
1629764163,1.8,64275.5,5224.6,56356.6,20.0,10.7
1629764164,1.0,64275.5,5224.6,56356.8,1.2,0.7
1629764165,0.6,64275.5,5224.7,56357.3,15.6,2.2
1629764166,1.2,64275.5,5224.7,56358.0,11.7,7.5
1629764167,0.9,64275.5,5224.7,56358.0,29.9,3.7
1629764168,1.3,64275.5,5224.7,56358.1,1.2,0.5
1629764169,1.0,64275.5,5224.7,56358.3,2.0,2.2
1629764170,0.6,64275.5,5224.7,56358.7,1.4,0.7
1629764171,1.7,64275.5,5224.7,56359.3,19.5,11.2
1629764172,2.2,64275.5,5224.7,56359.7,19.2,2.2
1629764173,2.1,64275.5,5224.7,56359.4,3.1,18.1
1629764174,1.0,64275.5,5224.7,56360.0,1.4,0.8
1629764175,1.1,64275.5,5224.7,56360.0,34.6,19.0
1629764176,1.1,64275.5,5224.7,56360.6,3.9,7.1
1629764177,0.6,64275.5,5224.7,56360.6,1.3,0.6
1629764178,0.7,64275.5,5224.7,56360.6,1.2,0.5
1629764179,0.6,64275.5,5224.7,56360.6,1.6,1.0
1629764180,1.4,64275.5,5224.7,56360.7,1.4,0.8
1629764181,1.7,64275.5,5224.7,56374.1,17.8,1.4
1629764182,2.2,64275.5,5224.8,56361.3,1.4,0.7
1629764183,1.4,64275.5,5224.8,56361.4,2.7,9.3
1629764184,0.7,64275.5,5224.8,56361.4,2.1,2.2
1629764185,0.5,64275.5,5224.8,56361.4,1.2,0.8
1629764186,1.2,64275.5,5224.8,56362.0,1.4,9.4
1629764187,0.6,64275.5,5224.8,56362.0,1.5,0.8
1629764188,0.7,64275.5,5224.8,56362.0,1.1,0.5
1629764189,0.6,64275.5,5224.8,56362.0,1.6,6.9
1629764190,1.2,64275.5,5224.8,56362.0,2.2,2.2
1629764191,1.4,64275.5,5224.8,56380.7,2.2,17.6
1629764192,1.7,64275.5,5224.8,56362.7,1.9,2.0
1629764193,1.8,64275.5,5224.8,56363.2,20.9,10.9
1629764194,0.7,64275.5,5224.8,56363.2,1.5,0.9
1629764195,0.6,64275.5,5224.8,56363.2,15.8,2.3
1629764196,1.8,64275.5,5224.8,56363.8,1.5,0.8
1629764197,1.4,64275.5,5224.8,56363.8,31.3,5.5
1629764198,0.6,64275.5,5224.8,56363.8,1.4,0.8
1629764199,2.7,64275.5,5224.8,56363.8,1.9,1.9
