record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1629764041,78.50000000000001,1606887.6,121745.8,1376541.3999999997,8309.7,7485.9
1,1629764042,50.000000000000014,1606887.6,121745.7,1376533.0000000002,8118.800000000001,8301.800000000003
2,1629764043,60.5,1606887.6,121745.79999999999,1376427.0,8101.700000000001,7647.2
3,1629764044,61.000000000000014,1606887.6,121745.99999999999,1376466.0999999999,7609.100000000001,7754.099999999999
4,1629764045,58.9,1606887.6,121745.99999999999,1376523.2000000002,7765.799999999999,7527.5
5,1629764046,63.9,1606887.6,121747.29999999997,1376611.6000000003,8489.9,8602.0
6,1629764047,60.30000000000001,1606887.6,121751.09999999998,1376668.4999999998,8883.600000000002,10136.199999999999
7,1629764048,65.4,1606887.6,121752.19999999998,1376670.2000000002,8369.6,8260.499999999996
8,1629764049,67.0,1606887.6,121752.19999999998,1376720.8,8194.0,8568.0
9,1629764050,61.200000000000024,1606887.6,121752.29999999997,1376682.1,8284.4,9154.800000000001
10,1629764051,83.89999999999999,1606887.6,121752.79999999997,1376692.5999999999,8751.599999999999,8024.299999999997
11,1629764052,66.9,1606887.6,121752.79999999997,1376708.5,9198.3,9444.900000000001
12,1629764053,80.29999999999998,1606887.6,121752.89999999998,1376677.0,8474.800000000003,8384.1
13,1629764054,67.2,1606887.6,121753.19999999998,1376675.3999999997,7782.499999999999,7715.1
14,1629764055,71.0,1606887.6,121753.19999999998,1376644.4,8724.099999999999,8313.500000000002
15,1629764056,72.00000000000001,1606887.6,121753.39999999998,1376655.0999999996,8923.4,7907.599999999999
16,1629764057,73.2,1606887.6,121753.59999999999,1376660.9999999998,7739.7,8179.4
17,1629764058,73.99999999999999,1606887.6,121753.59999999999,1376657.7,8502.5,8801.400000000001
18,1629764059,67.50000000000001,1606887.6,121753.49999999999,1376633.8999999997,8566.800000000003,8686.099999999999
19,1629764060,56.3,1606887.6,121753.7,1376660.0999999999,8951.799999999996,8321.300000000003
20,1629764061,65.5,1606887.6,121754.1,1376655.2999999998,7666.5,7979.4
21,1629764062,58.89999999999999,1606887.6,121754.0,1376646.3000000003,9367.199999999999,9012.9
22,1629764063,61.500000000000014,1606887.6,121753.9,1376675.9,8646.999999999996,9558.100000000002
23,1629764064,57.2,1606887.6,121754.0,1376657.5,8388.699999999999,8015.0
24,1629764065,68.0,1606887.6,121753.9,1376670.7999999998,10578.2,9948.8
25,1629764066,63.000000000000014,1606887.6,121754.20000000001,1376664.3000000003,8793.000000000002,9403.500000000004
26,1629764067,61.800000000000004,1606887.6,121754.20000000001,1376654.6000000003,8240.899999999998,8672.4
27,1629764068,66.1,1606887.6,121754.20000000001,1376642.8000000003,107326447.1,21829788.999999996
28,1629764069,56.90000000000002,1606887.6,121754.4,1376655.8000000005,9221.6,8472.300000000001
29,1629764070,59.99999999999999,1606887.6,121754.4,1376691.0000000002,9497.699999999999,9860.3
30,1629764071,70.8,1606887.6,121754.40000000001,1376657.3000000003,8536.199999999999,8990.499999999998
31,1629764072,55.89999999999999,1606887.6,121754.50000000001,1376679.6,8176.799999999999,8315.2
32,1629764073,61.0,1606887.6,121754.6,1376660.7000000002,8899.599999999997,8061.3
33,1629764074,56.00000000000002,1606887.6,121754.6,1376646.9,6348.499999999999,7313.4
34,1629764075,60.5,1606887.6,121754.6,1376671.9000000001,8513.300000000001,7960.299999999999
35,1629764076,54.50000000000001,1606887.6,121754.6,1376660.8,8449.599999999999,7965.9000000000015
36,1629764077,110.50000000000003,1606887.6,121754.6,1376696.2999999996,7854.200000000001,7701.1
37,1629764078,121.30000000000003,1606887.6,121754.6,1376676.9,8700.2,8864.400000000003
38,1629764079,88.0,1606887.6,121754.6,1376682.7999999998,8163.9000000000015,8704.100000000002
39,1629764080,70.2,1606887.6,121754.7,1376749.4,7762.2,8100.899999999999
40,1629764081,80.00000000000001,1606887.6,121754.7,1376754.0,7938.799999999998,8221.699999999999
41,1629764082,68.2,1606887.6,121754.8,1376970.2999999998,9604.9,9549.8
42,1629764083,67.2,1606887.6,121754.7,1376771.7999999998,9350.799999999996,8164.000000000002
43,1629764084,60.50000000000003,1606887.6,121754.7,1376805.2,8305.899999999998,8017.800000000001
44,1629764085,58.79999999999999,1606887.6,121754.7,1376816.8000000003,9692.7,9423.7
45,1629764086,57.10000000000002,1606887.6,121754.8,1376708.4000000001,8473.300000000001,9244.3
46,1629764087,70.20000000000002,1606887.6,121754.90000000001,1376755.2,8222.500000000002,8226.1
