record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1629766361,79.59999999999998,1606887.6,122010.1,1370974.1,8113.999999999999,8003.799999999998
1,1629766362,51.5,1606887.6,122010.0,1371032.7,10085.399999999998,9736.900000000001
2,1629766363,77.60000000000002,1606887.6,122010.1,1370626.4,9141.100000000002,3861037.0
3,1629766364,60.6,1606887.6,122010.20000000001,1370666.4,8147.599999999998,8510.2
4,1629766365,72.50000000000001,1606887.6,122010.20000000001,1370719.7,88591863.19999999,9174.699999999997
5,1629766366,61.699999999999996,1606887.6,122010.20000000001,1370749.7999999998,8371.300000000001,7982.4000000000015
6,1629766367,67.1,1606887.6,122011.10000000002,1370793.1,8856.300000000001,8774.8
7,1629766368,71.39999999999999,1606887.6,122014.50000000001,1370819.5,9229.999999999998,11500.599999999999
8,1629766369,79.60000000000001,1606887.6,122014.90000000002,1370841.7,8444.7,8422.800000000003
9,1629766370,54.30000000000001,1606887.6,122015.00000000001,1370904.7999999998,8236.1,7860.100000000002
10,1629766371,61.50000000000002,1606887.6,122014.90000000002,1370902.9,8848.4,9078.5
11,1629766372,54.40000000000001,1606887.6,122015.00000000001,1370943.8000000003,9101.100000000002,9130.5
12,1629766373,68.7,1606887.6,122015.20000000003,1370956.7000000002,8428.000000000002,8185.199999999999
13,1629766374,63.900000000000006,1606887.6,122015.40000000001,1370955.5,7769.600000000001,7513.5
14,1629766375,67.10000000000001,1606887.6,122015.20000000003,1370951.7,9405.300000000003,9337.800000000001
15,1629766376,59.80000000000001,1606887.6,122015.40000000001,1370990.8,8665.7,8505.600000000002
16,1629766377,66.49999999999999,1606887.6,122015.70000000001,1371038.5,8339.199999999997,8497.5
17,1629766378,57.80000000000001,1606887.6,122016.0,1371071.0,1527390.5,8942.499999999998
18,1629766379,66.4,1606887.6,122015.80000000002,1371022.5,7644.4,7690.4
19,1629766380,135.20000000000002,1606887.6,122015.70000000001,1371019.8999999997,76021347.10000002,14834175.899999999
20,1629766381,82.4,1606887.6,122015.8,1370995.9000000001,8125.999999999999,8022.3
21,1629766382,65.5,1606887.6,122015.9,1371039.7,9131.199999999999,9229.0
22,1629766383,60.50000000000001,1606887.6,122015.9,1371078.1,8753.700000000004,9359.900000000001
23,1629766384,72.4,1606887.6,122016.0,1371109.9000000001,11677.299999999996,10961.100000000002
24,1629766385,59.00000000000001,1606887.6,122015.99999999999,1371111.0999999999,8350.699999999999,8411.499999999998
25,1629766386,64.5,1606887.6,122015.99999999999,1371311.4,88240.90000000002,90403.70000000003
26,1629766387,60.900000000000006,1606887.6,122015.99999999999,1371304.4000000004,121058.69999999997,121270.6
27,1629766388,64.4,1606887.6,122015.99999999999,1371554.7999999998,63244.700000000004,66589.59999999999
28,1629766389,85.8,1606887.6,122018.09999999999,1371613.4999999998,130938.50000000001,126169.09999999998
29,1629766390,141.49999999999997,1606887.6,122033.10000000002,1372583.8,78910.1,112588.80000000002
30,1629766391,192.60000000000002,1606887.6,122053.6,1375180.7999999998,12735.7,225505.99999999997
31,1629766392,187.50000000000006,1606887.6,122062.30000000002,1376050.0000000002,16175.099999999999,350973.1
32,1629766393,205.0,1606887.6,122071.29999999999,1376064.5,15369.600000000004,372373.7
33,1629766394,205.50000000000006,1606887.6,122080.20000000001,1376196.3,17566.8,392253.89999999997
34,1629766395,200.10000000000002,1606887.6,122084.59999999998,1376236.0,16391.7,381286.5
35,1629766396,215.60000000000002,1606887.6,122088.19999999998,1376502.6,15268.1,371192.4
36,1629766397,216.20000000000002,1606887.6,122090.5,1376442.2999999998,19541.100000000002,370975.29999999993
37,1629766398,220.20000000000002,1606887.6,122091.99999999999,1376505.1,17719.500000000004,378972.7
38,1629766399,174.70000000000005,1606887.6,122093.29999999999,1376189.3,12431.099999999999,193725.9
39,1629766400,62.899999999999984,1606887.6,122094.19999999998,1376073.6999999997,14439.199999999999,12767.9
40,1629766401,65.60000000000001,1606887.6,122094.19999999998,1376051.4,9115.6,11265.6
41,1629766402,58.89999999999999,1606887.6,122094.4,1376050.0999999999,8463.5,7750.400000000001
42,1629766403,53.10000000000001,1606887.6,122094.29999999999,1376064.6999999997,7731.8,7762.4
43,1629766404,68.00000000000001,1606887.6,122094.49999999999,1376064.7,13241.1,12729.3
