timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1629766607,2.1,64275.5,5036.4,56451.7,2.6,2.4
1629766608,1.1,64275.5,5036.4,56451.8,33.3,4.1
1629766609,1.1,64275.5,5036.4,56454.0,1.6,0.9
1629766610,1.6,64275.5,5036.4,56451.6,1.1,0.5
1629766611,0.5,64275.5,5036.4,56451.6,1.3,0.7
1629766612,0.7,64275.5,5036.4,56451.6,1.5,0.7
1629766613,1.1,64275.5,5036.4,56451.7,1.9,2.1
1629766614,1.2,64275.5,5036.4,56451.8,1.4,5.8
1629766615,0.6,64275.5,5036.4,56451.7,1.1,0.5
1629766616,1.1,64275.5,5036.4,56456.1,17.5,19.7
1629766617,1.5,64275.5,5036.4,56451.8,1.6,6.5
1629766618,1.8,64275.5,5036.4,56451.9,23.1,5.9
1629766619,1.4,64275.5,5036.4,56451.8,1.4,6.8
1629766620,0.9,64275.5,5036.4,56451.9,1.1,0.5
1629766621,1.7,64275.5,5036.4,56466.8,52.7,905.6
1629766622,1.5,64275.5,5036.4,56459.8,99.1,3816.0
1629766623,4.7,64275.5,5036.7,56481.4,67.9,3771.7
1629766624,6.0,64275.5,5037.9,56606.3,101.4,8045.8
1629766625,6.8,64275.5,5038.7,56606.7,210.1,15537.8
1629766626,6.3,64275.5,5039.3,56626.5,228.8,14438.4
1629766627,6.8,64275.5,5039.6,56625.5,143.4,10225.2
1629766628,6.3,64275.5,5039.9,56629.1,203.8,16115.0
1629766629,7.7,64275.5,5040.0,56624.1,211.2,16071.7
1629766630,6.3,64275.5,5040.0,56626.5,239.0,17285.8
1629766631,7.5,64275.5,5040.1,56630.2,219.7,15929.7
1629766632,5.7,64275.5,5040.1,56620.9,137.9,10975.1
1629766633,2.3,64275.5,5040.1,56616.9,127.8,12.9
1629766634,0.9,64275.5,5040.1,56616.9,1.4,4.9
1629766635,0.6,64275.5,5040.1,56617.2,2.6,16.8
1629766636,1.0,64275.5,5040.1,56617.6,2.8,10.7
