record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1629766607,91.99999999999999,1606887.6,122245.3,1371023.0999999999,7769.999999999999,7954.800000000001
1,1629766608,59.100000000000016,1606887.6,122245.3,1371029.0999999999,9343.299999999997,9188.8
2,1629766609,68.30000000000001,1606887.6,122245.3,1371080.6000000003,8405.0,8778.3
3,1629766610,55.400000000000006,1606887.6,122245.3,1371069.7000000002,8013.9000000000015,8082.6
4,1629766611,57.400000000000006,1606887.6,122245.3,1371075.7,8594.599999999999,7961.1
5,1629766612,61.80000000000002,1606887.6,122245.4,1371088.9000000004,8494.199999999999,8735.800000000003
6,1629766613,56.40000000000001,1606887.6,122245.5,1371090.9,8316.5,8648.800000000001
7,1629766614,61.1,1606887.6,122245.5,1371161.3,9275.3,8851.099999999999
8,1629766615,63.40000000000001,1606887.6,122245.5,1371160.0999999999,8363.3,8302.600000000002
9,1629766616,66.5,1606887.6,122245.6,1371222.7000000002,8148.599999999999,8392.400000000001
10,1629766617,58.199999999999996,1606887.6,122245.6,1371215.6,8871.000000000002,8631.8
11,1629766618,64.6,1606887.6,122245.6,1371237.7999999998,8127.799999999998,8638.099999999999
12,1629766619,63.699999999999996,1606887.6,122245.6,1371410.8000000003,86409.5,84927.50000000001
13,1629766620,59.69999999999999,1606887.6,122245.80000000002,1371408.2,121030.00000000001,121045.2
14,1629766621,73.39999999999999,1606887.6,122246.20000000001,1371664.8,64813.99999999999,70177.90000000001
15,1629766622,83.8,1606887.6,122247.70000000001,1371836.1,130862.3,126922.29999999997
16,1629766623,164.29999999999998,1606887.6,122265.09999999999,1372781.1999999995,61345.90000000002,90571.5
17,1629766624,187.50000000000003,1606887.6,122286.10000000002,1375165.9999999998,11863.499999999998,244042.6
18,1629766625,195.79999999999998,1606887.6,122300.09999999998,1375358.0000000002,17738.099999999995,332928.60000000003
19,1629766626,206.4,1606887.6,122308.50000000004,1375517.3,17861.2,367786.3
20,1629766627,206.5,1606887.6,122314.59999999999,1375574.5999999999,15581.399999999994,376778.4000000001
21,1629766628,201.60000000000002,1606887.6,122319.20000000001,1375626.5000000002,17263.999999999996,371380.3
22,1629766629,208.29999999999995,1606887.6,122322.5,1375691.8000000003,19093.10000000001,384239.7000000001
23,1629766630,196.1,1606887.6,122325.0,1375683.6,16451.6,380293.4
24,1629766631,207.39999999999998,1606887.6,122326.8,1375697.2999999998,15679.800000000001,366059.9
25,1629766632,163.39999999999998,1606887.6,122328.3,1375532.5999999996,15633.199999999995,235158.69999999998
26,1629766633,70.8,1606887.6,122328.60000000002,1375500.7,14429.099999999999,16303.500000000004
27,1629766634,60.50000000000001,1606887.6,122328.50000000001,1375517.1,9192.0,8638.599999999999
28,1629766635,69.7,1606887.6,122328.50000000001,1375537.5999999996,8953.300000000001,8762.199999999999
29,1629766636,52.599999999999994,1606887.6,122328.40000000001,1375571.3000000003,8084.100000000002,8194.300000000003
