record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1629766881,71.39999999999999,1606887.6,122421.59999999999,1370663.7,8416.399999999998,8564.4
1,1629766882,65.60000000000002,1606887.6,122421.59999999999,1370658.2000000004,7994.900000000001,7904.9000000000015
2,1629766883,58.30000000000001,1606887.6,122421.7,1370734.9000000001,9215.4,9475.5
3,1629766884,58.10000000000001,1606887.6,122421.7,1370668.9000000001,8584.900000000001,8899.800000000003
4,1629766885,63.90000000000001,1606887.6,122421.7,1370675.2000000002,8209.900000000001,7586.4
5,1629766886,65.50000000000001,1606887.6,122421.79999999999,1370697.1000000003,10298.400000000001,10088.2
6,1629766887,62.900000000000006,1606887.6,122422.0,1370678.9000000004,8671.300000000003,8709.4
7,1629766888,69.40000000000002,1606887.6,122422.0,1370717.3,8233.6,8483.899999999998
8,1629766889,61.8,1606887.6,122422.09999999999,1370722.8,8876.699999999997,8641.900000000001
9,1629766890,52.29999999999999,1606887.6,122422.09999999999,1370755.1,8329.199999999999,7935.000000000001
10,1629766891,63.29999999999999,1606887.6,122422.0,1370799.2999999996,125436881.5,47899404.400000006
11,1629766892,59.50000000000001,1606887.6,122422.09999999999,1370786.0,8445.899999999998,8538.7
12,1629766893,57.6,1606887.6,122422.19999999998,1370807.2000000002,9316.9,9671.400000000001
13,1629766894,57.60000000000001,1606887.6,122422.19999999998,1370806.6,6698.899999999999,6545.0
14,1629766895,56.3,1606887.6,122422.19999999998,1370822.5999999999,8570.7,8706.3
15,1629766896,58.80000000000001,1606887.6,122422.19999999998,1370809.3999999997,9451.299999999997,8908.3
16,1629766897,62.6,1606887.6,122422.19999999998,1371057.4999999998,68631.29999999999,80039.79999999999
17,1629766898,59.6,1606887.6,122422.19999999998,1371077.3,121143.89999999998,121753.60000000002
18,1629766899,67.8,1606887.6,122422.19999999998,1371309.8000000003,77802.59999999999,64347.700000000004
19,1629766900,76.5,1606887.6,122423.99999999999,1371413.9000000001,131116.30000000002,124516.50000000001
20,1629766901,135.00000000000003,1606887.6,122436.5,1372268.6999999997,84120.3,89411.99999999999
21,1629766902,180.0,1606887.6,122461.60000000002,1373720.0000000002,39438.69999999998,88583.6
22,1629766903,157.39999999999998,1606887.6,122479.3,1374640.6000000003,112380.99999999999,256225.7
23,1629766904,145.2,1606887.6,122486.59999999999,1374764.9000000001,48871.799999999996,240739.69999999998
24,1629766905,139.0,1606887.6,122489.6,1374904.7,34179.799999999996,230340.89999999997
25,1629766906,133.0,1606887.6,122492.80000000002,1374920.3999999997,11477.8,202997.6
26,1629766907,137.79999999999998,1606887.6,122495.2,1374929.5,19487.8,219895.69999999998
27,1629766908,139.50000000000003,1606887.6,122496.09999999999,1374907.1,15983.8,213745.09999999998
28,1629766909,142.8,1606887.6,122496.69999999998,1374934.6,17429.899999999998,215139.80000000002
29,1629766910,147.2,1606887.6,122497.59999999999,1374916.4000000001,11422.899999999998,212620.1
30,1629766911,127.79999999999998,1606887.6,122497.79999999999,1374959.6,10919.1,204859.49999999997
31,1629766912,152.29999999999998,1606887.6,122498.4,1374913.8,17539.9,211006.90000000002
32,1629766913,139.10000000000005,1606887.6,122499.29999999999,1374932.2999999996,16430.399999999998,220076.8
33,1629766914,200.5,1606887.6,122499.29999999999,1374989.0999999999,12312.9,208747.80000000002
34,1629766915,193.89999999999998,1606887.6,122499.29999999999,1374988.6999999997,15483.0,216017.2
35,1629766916,135.29999999999998,1606887.6,122499.8,1374992.4999999995,15768.200000000003,200013.69999999998
36,1629766917,130.3,1606887.6,122500.0,1374923.9,14146.300000000001,189510.7
37,1629766918,67.0,1606887.6,122499.8,1374862.5,14366.400000000001,28940.2
38,1629766919,64.0,1606887.6,122499.8,1374886.3,7684.700000000002,7330.499999999997
39,1629766920,48.50000000000001,1606887.6,122499.90000000001,1374850.2,8624.699999999993,8729.500000000002
40,1629766921,54.80000000000001,1606887.6,122500.0,1374846.7000000002,8462.900000000001,8130.299999999999
