timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1634228171,1.5,64275.5,16493.9,13663.5,7.4,20.7
1634228172,0.9,64275.5,16493.9,13663.1,40.3,29.8
1634228173,2.3,64275.5,16493.9,13664.7,5.5,8.9
1634228174,0.7,64275.5,16493.9,13665.3,9.5,11.8
1634228175,0.9,64275.5,16493.9,13665.2,2.3,4.4
1634228176,0.7,64275.5,16493.9,13665.2,3.3,5.9
1634228177,1.8,64275.5,16493.9,13664.9,3.9,6.4
1634228178,0.8,64275.5,16493.9,13665.3,11.2,5.8
1634228179,0.7,64275.5,16493.9,13665.4,5.3,5.8
1634228180,1.3,64275.5,16493.9,13665.3,12.2,14.9
1634228181,1.7,64275.5,16493.9,13665.7,19.8,480.8
1634228182,0.9,64275.5,16493.9,13665.3,21.5,22.6
1634228183,1.8,64275.5,16494.0,13667.3,4.3,7.4
1634228184,0.8,64275.5,16493.9,13667.6,9.1,13.3
1634228185,1.3,64275.5,16493.9,13667.4,3.2,14.7
1634228186,0.7,64275.5,16493.9,13667.4,3.2,5.8
1634228187,4.9,64275.5,16493.9,13683.4,4.3,26.2
1634228188,0.8,64275.5,16493.9,13584.3,10.6,5.9
1634228189,1.0,64275.5,16493.9,13584.6,5.7,7.0
1634228190,1.0,64275.5,16493.9,13584.3,10.4,13.0
1634228191,0.9,64275.5,16493.9,13591.2,6.3,18.7
1634228192,1.6,64275.5,16493.9,13584.3,25.8,11.1
1634228193,2.5,64275.5,16493.9,13584.4,60.2,11.7
1634228194,2.0,64275.5,16493.9,13585.0,50.5,16.2
1634228195,1.2,64275.5,16493.9,13585.0,19.3,8.7
1634228196,0.7,64275.5,16493.9,13585.0,3.3,5.9
1634228197,2.3,64275.5,16494.0,13585.1,35.2,18.4
1634228198,0.8,64275.5,16493.9,13585.0,10.8,7.0
1634228199,0.7,64275.5,16493.9,13585.0,20.1,18.2
1634228200,1.3,64275.5,16493.9,13585.0,10.6,13.7
1634228201,0.8,64275.5,16493.9,13585.2,7.4,18.7
1634228202,0.9,64275.5,16493.9,13585.0,6.6,31.0
1634228203,2.1,64275.5,16493.9,13584.9,4.5,7.3
1634228204,0.8,64275.5,16494.0,13585.2,9.2,11.5
1634228205,0.9,64275.5,16494.0,13585.1,2.5,4.6
1634228206,0.6,64275.5,16494.0,13585.1,3.3,5.9
1634228207,1.4,64275.5,16494.0,13584.9,55.3,7.9
1634228208,0.9,64275.5,16494.0,13585.2,10.3,5.6
1634228209,0.6,64275.5,16494.0,13585.1,5.4,5.7
1634228210,1.6,64275.5,16494.0,13585.1,12.7,15.6
1634228211,0.7,64275.5,16494.0,13585.1,7.7,18.9
1634228212,1.4,64275.5,16494.0,13585.1,19.6,21.6
1634228213,1.9,64275.5,16493.9,13585.7,4.4,7.6
1634228214,0.9,64275.5,16494.0,13585.2,8.8,21.0
1634228215,0.8,64275.5,16494.0,13585.2,3.1,5.3
1634228216,1.3,64275.5,16494.0,13585.2,3.8,25.0
1634228217,1.6,64275.5,16494.0,13585.5,7.1,11.8
1634228218,5.2,64275.5,16493.9,13585.8,18.6,20.4
1634228219,0.6,64275.5,16494.0,13586.3,7.1,7.0
1634228220,1.4,64275.5,16494.0,13586.2,9.0,13.2
1634228221,1.5,64275.5,16494.0,13586.2,27.7,19.5
1634228222,0.7,64275.5,16494.0,13586.2,38.5,10.2
1634228223,2.1,64275.5,16494.0,13586.8,26.3,11.4
1634228224,2.3,64275.5,16494.0,13586.8,53.3,16.8
1634228225,0.9,64275.5,16494.0,13586.6,17.0,6.5
1634228226,1.2,64275.5,16494.0,13586.6,2.7,5.3
1634228227,6.3,64275.5,16494.0,13586.6,36.7,20.9
1634228228,2.4,64275.5,16493.9,13586.6,10.3,5.0
1634228229,1.2,64275.5,16494.0,13586.6,21.2,18.5
1634228230,0.9,64275.5,16494.0,13586.5,9.7,13.8
1634228231,0.7,64275.5,16494.0,13586.6,8.3,32.1
1634228232,1.2,64275.5,16494.0,13586.6,4.2,14.6
1634228233,1.6,64275.5,16494.0,13586.6,5.7,8.4
1634228234,1.1,64275.5,16494.0,13586.5,43.1,11.9
1634228235,0.6,64275.5,16494.0,13586.5,3.2,5.1
1634228236,0.8,64275.5,16494.0,13586.5,2.6,5.3
1634228237,4.7,64275.5,16494.0,13602.8,1612.4,6174.0
1634228238,7.0,64275.5,16494.0,13607.7,5478.4,183.0
1634228239,0.8,64275.5,16494.0,13607.3,41.1,37.0
1634228240,1.7,64275.5,16494.0,13607.6,43.4,44.2
1634228241,0.8,64275.5,16494.0,13607.6,15.4,25.0
1634228242,0.9,64275.5,16494.0,13607.6,35.0,38.6
1634228243,1.9,64275.5,16494.0,13606.9,14.5,16.4
1634228244,1.1,64275.5,16494.0,13606.9,40.3,16.0
1634228245,0.6,64275.5,16494.0,13606.9,3.2,9.7
1634228246,0.9,64275.5,16494.0,13606.9,2.8,5.6
1634228247,1.4,64275.5,16494.0,13607.1,5.7,26.7
1634228248,4.1,64275.5,16494.0,13606.9,10.9,7.0
1634228249,1.9,64275.5,16494.0,13622.0,6.0,6.7
1634228250,0.9,64275.5,16494.0,13622.0,9.5,14.7
1634228251,1.9,64275.5,16494.0,13622.0,27.8,28.1
1634228252,0.8,64275.5,16494.0,13622.0,4.7,15.4
1634228253,2.2,64275.5,16494.0,13621.6,30.4,14.3
1634228254,2.6,64275.5,16494.0,13622.4,84.2,15.3
1634228255,1.1,64275.5,16494.0,13622.4,17.0,7.0
1634228256,0.9,64275.5,16494.0,13622.4,19.6,11.7
1634228257,2.0,64275.5,16494.0,13622.5,19.7,18.8
1634228258,0.8,64275.5,16494.0,13622.5,9.0,5.2
1634228259,0.9,64275.5,16494.0,13622.5,21.3,18.4
1634228260,1.3,64275.5,16494.0,13622.5,9.7,14.4
1634228261,0.7,64275.5,16494.0,13622.9,42.4,37.8
1634228262,0.7,64275.5,16494.0,13622.6,5.1,9.5
1634228263,1.7,64275.5,16494.0,13622.9,4.8,8.2
1634228264,1.4,64275.5,16494.0,13622.9,7.7,9.9
1634228265,0.6,64275.5,16494.0,13622.3,4.2,6.7
1634228266,0.7,64275.5,16494.0,13622.4,2.3,4.3
1634228267,1.5,64275.5,16494.0,13622.1,7.3,8.1
1634228268,0.9,64275.5,16494.0,13622.9,6.5,3.3
1634228269,1.1,64275.5,16494.0,13622.8,10.3,9.7
1634228270,1.1,64275.5,16494.0,13622.5,8.2,12.5
1634228271,0.6,64275.5,16494.0,13622.5,42.8,11.4
1634228272,1.0,64275.5,16494.0,13622.6,18.6,29.0
1634228273,1.7,64275.5,16494.0,13622.5,6.0,10.1
1634228274,1.8,64275.5,16494.0,13622.5,7.1,18.3
1634228275,0.6,64275.5,16494.0,13622.5,4.6,6.9
1634228276,1.5,64275.5,16494.0,13622.2,230.8,2271.7
1634228277,8.0,64275.5,16494.0,13628.3,5191.6,2611.9
1634228278,1.4,64275.5,16494.0,13628.7,40.5,33.8
1634228279,0.8,64275.5,16494.0,13628.6,17.1,16.5
1634228280,1.3,64275.5,16494.0,13628.5,14.5,18.6
1634228281,1.1,64275.5,16494.0,13628.5,39.3,19.0
1634228282,1.3,64275.5,16494.0,13628.6,39.4,18.3
1634228283,2.9,64275.5,16494.0,13628.5,27.6,13.0
1634228284,2.1,64275.5,16494.0,13628.8,46.1,9.2
1634228285,1.2,64275.5,16494.0,13628.8,17.8,8.1
1634228286,1.5,64275.5,16494.0,13628.8,19.7,5.9
1634228287,1.8,64275.5,16494.0,13628.9,22.9,20.6
1634228288,6.2,64275.5,16494.0,13628.9,6.6,3.8
1634228289,0.9,64275.5,16494.0,13628.9,21.9,19.9
1634228290,0.9,64275.5,16494.0,13628.8,8.4,13.3
1634228291,0.7,64275.5,16494.0,13628.9,8.9,28.7
1634228292,1.4,64275.5,16494.0,13628.9,5.5,42.7
1634228293,1.7,64275.5,16494.0,13629.0,6.8,10.2
1634228294,1.0,64275.5,16494.0,13629.0,40.6,9.7
1634228295,0.6,64275.5,16494.0,13629.0,3.8,6.0
1634228296,1.1,64275.5,16494.0,13629.0,2.5,5.2
1634228297,1.6,64275.5,16494.0,13629.1,7.7,7.5
1634228298,0.9,64275.5,16494.0,13629.1,8.4,4.0
1634228299,0.7,64275.5,16494.0,13629.1,8.0,9.6
1634228300,1.5,64275.5,16494.0,13629.1,8.7,13.7
1634228301,0.7,64275.5,16494.0,13629.1,20.8,10.5
1634228302,0.9,64275.5,16494.0,13629.1,6.2,28.1
1634228303,1.6,64275.5,16494.0,13629.2,8.2,11.5
1634228304,1.1,64275.5,16494.0,13629.2,5.5,18.6
1634228305,1.1,64275.5,16494.0,13629.2,3.1,5.5
1634228306,0.7,64275.5,16494.0,13629.3,3.2,24.9
1634228307,1.3,64275.5,16494.0,13629.3,8.2,7.2
1634228308,1.7,64275.5,16494.0,13629.3,17.9,12.8
1634228309,0.6,64275.5,16494.0,13629.3,39.2,7.1
1634228310,3.8,64275.5,16494.0,13639.9,8.4,13.3
1634228311,1.4,64275.5,16494.0,13640.0,26.5,9.7
1634228312,0.9,64275.5,16494.0,13640.0,6.6,18.2
1634228313,2.8,64275.5,16494.0,13640.0,30.6,15.2
1634228314,2.6,64275.5,16494.0,13640.3,45.3,9.4
1634228315,0.8,64275.5,16494.0,13640.3,17.1,7.3
1634228316,1.2,64275.5,16494.0,13640.3,19.1,5.9
1634228317,1.6,64275.5,16494.0,13640.3,25.2,21.3
1634228318,1.0,64275.5,16494.0,13640.3,7.5,5.1
1634228319,1.2,64275.5,16494.0,13640.4,19.8,18.8
1634228320,0.8,64275.5,16494.0,13640.4,43.8,14.8
1634228321,0.7,64275.5,16494.0,13640.4,6.5,27.4
1634228322,1.4,64275.5,16494.0,13640.3,6.8,18.5
1634228323,1.5,64275.5,16493.9,13640.8,8.8,12.2
1634228324,1.1,64275.5,16494.0,13640.4,3.6,6.1
1634228325,0.6,64275.5,16494.0,13640.4,3.6,6.1
1634228326,1.6,64275.5,16494.0,13649.6,2.1,4.3
1634228327,1.4,64275.5,16494.0,13640.5,9.1,6.9
1634228328,0.9,64275.5,16494.0,13640.5,7.6,5.3
1634228329,0.6,64275.5,16494.0,13640.5,7.1,7.7
1634228330,1.5,64275.5,16494.0,13640.5,9.6,13.8
1634228331,0.7,64275.5,16494.0,13640.5,20.0,10.5
1634228332,1.6,64275.5,16494.0,13640.6,51.4,35.7
1634228333,1.8,64275.5,16494.0,13640.6,8.3,12.4
1634228334,1.0,64275.5,16494.0,13640.6,4.0,16.0
1634228335,0.6,64275.5,16494.0,13640.6,3.5,6.4
1634228336,1.6,64275.5,16494.0,13660.7,4.4,25.9
1634228337,1.1,64275.5,16494.0,13640.6,8.5,6.1
1634228338,0.9,64275.5,16494.0,13639.6,8.7,8.7
1634228339,0.8,64275.5,16494.0,13639.6,5.2,6.7
1634228340,1.8,64275.5,16494.0,13639.6,10.2,14.6
1634228341,1.1,64275.5,16494.0,13639.7,26.2,9.7
1634228342,0.8,64275.5,16494.0,13640.2,5.5,18.2
1634228343,2.8,64275.5,16494.0,13639.7,33.3,17.7
1634228344,2.7,64275.5,16494.0,13640.0,58.8,10.2
1634228345,0.6,64275.5,16494.0,13640.0,37.6,7.2
1634228346,1.9,64275.5,16494.0,13648.4,20.0,6.4
1634228347,1.4,64275.5,16494.0,13640.0,24.8,19.9
1634228348,4.4,64275.5,16494.0,13640.2,7.0,5.8
1634228349,2.5,64275.5,16494.0,13699.5,22.6,640.7
1634228350,1.3,64275.5,16494.0,13699.5,8.6,13.7
1634228352,0.7,64275.5,16494.0,13699.5,6.2,27.3
1634228353,0.9,64275.5,16494.0,13699.5,8.0,54.2
1634228354,1.8,64275.5,16494.0,13699.6,8.9,12.7
1634228355,1.0,64275.5,16494.0,13699.6,2.4,4.9
1634228356,0.7,64275.5,16494.0,13699.6,3.0,6.2
1634228357,2.1,64275.5,16494.0,13699.3,3.1,5.8
1634228358,0.6,64275.5,16494.0,13699.6,8.5,5.8
1634228359,0.8,64275.5,16494.0,13699.6,6.6,5.8
1634228360,0.8,64275.5,16494.0,13699.6,6.6,7.3
1634228361,1.4,64275.5,16494.0,13699.6,8.9,14.4
1634228362,0.7,64275.5,16494.0,13699.6,19.0,9.6
1634228363,1.0,64275.5,16494.0,13699.4,6.1,27.9
1634228364,1.7,64275.5,16494.0,13699.6,34.7,1281.3
1634228365,2.2,64275.5,16494.0,13699.3,154.0,5036.2
1634228366,1.5,64275.5,16494.0,13699.3,173.8,5007.9
1634228367,3.5,64275.5,16494.0,13699.0,137.4,5028.1
1634228368,1.7,64275.5,16494.0,13699.3,163.4,7400.1
1634228369,1.9,64275.5,16494.0,13699.7,164.5,8017.5
1634228370,1.5,64275.5,16494.0,13699.3,166.9,9357.7
1634228371,2.2,64275.5,16494.0,13699.3,174.9,10045.3
1634228372,6.3,64275.5,16494.0,13708.8,169.5,12771.7
1634228373,7.6,64275.5,16494.0,13744.6,33.7,56.6
1634228374,13.0,64275.5,16494.0,13760.5,3169.1,4382.8
1634228375,11.3,64275.5,16494.0,13776.5,1872.0,94.4
1634228376,6.9,64275.5,16494.0,13784.3,36.8,35.9
1634228377,8.3,64275.5,16494.0,13767.5,54.8,42.2
1634228378,6.9,64275.5,16494.0,13771.9,57.6,42.6
1634228379,7.5,64275.5,16494.0,13772.5,24.8,31.7
1634228380,6.9,64275.5,16494.0,13771.2,63.4,4031.9
1634228381,11.8,64275.5,16494.0,13771.3,15.6,21.0
1634228382,10.1,64275.5,16494.0,13771.2,42.2,3048.0
1634228383,11.4,64275.5,16494.0,13783.6,25.4,1000.9
1634228384,11.1,64275.5,16494.0,13769.7,51.9,1017.7
1634228385,10.7,64275.5,16494.2,13771.1,34.7,3022.0
1634228386,10.3,64275.5,16494.2,13771.2,12.7,1011.7
1634228387,10.7,64275.5,16494.2,13770.8,32.2,2981.9
1634228388,10.5,64275.5,16494.2,13771.2,24.2,1013.5
1634228389,10.6,64275.5,16494.2,13771.3,24.0,2016.4
1634228390,10.0,64275.5,16494.2,13771.3,27.7,2019.3
1634228391,10.7,64275.5,16494.2,13771.3,19.8,1021.7
1634228392,9.9,64275.5,16494.2,13771.3,40.7,2013.5
1634228393,10.5,64275.5,16494.2,13777.6,27.0,2031.5
1634228394,11.1,64275.5,16494.2,13772.1,29.0,2029.9
1634228395,11.1,64275.5,16494.2,13771.8,13.7,1015.2
1634228396,10.7,64275.5,16494.2,13772.2,32.3,3023.1
1634228397,12.2,64275.5,16494.2,13772.4,49.4,1025.5
1634228398,10.6,64275.5,16494.2,13772.7,53.8,2041.2
1634228399,18.4,64275.5,16494.2,13793.2,4898.2,6389.2
1634228400,9.5,64275.5,16494.2,13793.1,49.6,2038.5
1634228401,10.4,64275.5,16494.2,13792.9,46.6,2043.3
1634228402,14.6,64275.5,16494.2,13792.9,88.5,1031.0
1634228403,11.3,64275.5,16494.2,13799.7,35.0,3036.1
1634228404,11.1,64275.5,16494.2,13793.0,49.0,17.5
1634228405,10.1,64275.5,16494.4,13793.3,82.3,4019.0
1634228406,10.3,64275.5,16494.4,13793.1,4.6,6.8
1634228407,10.8,64275.5,16494.4,13792.8,40.5,2003.8
1634228408,9.7,64275.5,16494.4,13793.0,45.7,2022.2
1634228409,10.0,64275.5,16494.5,13792.9,23.3,1057.3
1634228410,16.3,64275.5,16494.6,13793.1,80.4,2992.3
1634228411,11.9,64275.5,16494.6,13793.2,19.2,1035.6
1634228412,9.8,64275.5,16494.6,13790.9,33.9,3006.6
1634228413,11.7,64275.5,16494.6,13799.9,17.5,1031.5
1634228414,10.9,64275.5,16494.6,13791.6,27.7,2024.3
1634228415,10.5,64275.5,16494.6,13791.4,13.4,1011.6
1634228416,10.0,64275.5,16494.6,13791.4,32.9,3024.3
1634228417,12.1,64275.5,16494.6,13791.6,14.1,1004.9
