timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1634227744,2.8,64275.5,33314.4,29067.7,20.4,11.0
1634227745,0.9,64275.5,33314.4,29067.6,3.8,6.1
1634227746,0.8,64275.5,33314.4,29067.6,20.6,7.4
1634227747,1.9,64275.5,33314.4,29067.9,9.1,50.1
1634227748,1.4,64275.5,33314.4,29067.9,8.1,5.2
1634227749,1.7,64275.5,33314.4,29067.9,4.8,5.0
1634227750,0.7,64275.5,33314.4,29067.9,25.1,25.7
1634227751,0.9,64275.5,33314.4,29067.9,7.5,21.6
1634227752,0.7,64275.5,33314.4,29068.1,4.6,23.1
1634227753,1.1,64275.5,33314.4,29068.0,4.0,7.0
1634227754,2.2,64275.5,33314.4,29068.0,24.3,12.7
1634227755,0.9,64275.5,33314.4,29068.0,2.7,5.6
1634227756,0.9,64275.5,33314.4,29068.1,4.6,7.1
1634227757,2.8,64275.5,33314.4,29068.2,27.1,17.1
1634227758,1.1,64275.5,33314.4,29068.2,7.3,5.4
1634227759,0.8,64275.5,33314.4,29068.2,5.5,6.1
1634227760,1.0,64275.5,33314.4,29068.1,27.7,17.8
1634227761,0.8,64275.5,33314.4,29068.2,7.0,7.7
1634227762,0.9,64275.5,33314.4,29068.5,20.1,18.9
1634227763,1.1,64275.5,33314.4,29068.3,4.8,8.1
1634227764,3.0,64275.5,33314.4,29069.3,9.5,19.1
1634227765,1.6,64275.5,33314.4,29093.8,6.2,31.4
1634227766,1.3,64275.5,33314.4,29094.0,7.7,26.5
1634227767,1.6,64275.5,33314.4,29094.1,27.9,17.8
1634227768,0.9,64275.5,33314.4,29094.1,6.2,3.6
1634227769,0.9,64275.5,33314.4,29068.8,6.0,6.4
1634227770,0.9,64275.5,33314.4,29068.4,8.3,13.8
1634227771,0.7,64275.5,33314.4,29068.4,6.1,6.1
1634227772,2.0,64275.5,33314.4,29068.8,22.0,8.8
1634227773,1.2,64275.5,33314.4,29068.4,5.5,10.2
1634227774,3.2,64275.5,33314.4,29068.2,22.7,8.9
1634227775,0.9,64275.5,33314.4,29068.5,3.9,7.0
1634227776,1.4,64275.5,33314.4,29068.5,19.2,7.7
1634227777,1.2,64275.5,33314.4,29068.8,11.3,24.6
1634227778,1.7,64275.5,33314.4,29068.8,4.9,3.8
1634227779,5.3,64275.5,33314.4,29069.2,36.2,1023.8
1634227780,22.6,64275.5,33314.4,29076.9,136.1,5083.8
1634227781,0.9,64275.5,33314.4,29080.0,7.4,27.9
1634227782,0.8,64275.5,33314.4,29080.1,3.7,8.1
1634227783,1.2,64275.5,33314.4,29089.4,4.8,8.3
1634227784,2.7,64275.5,33314.4,29080.0,20.4,8.3
1634227785,0.9,64275.5,33314.4,29080.9,12.8,19.5
1634227786,1.4,64275.5,33314.4,29105.6,6.3,29.9
1634227787,2.0,64275.5,33314.4,29106.9,30.4,17.9
1634227788,0.9,64275.5,33314.4,29106.2,5.2,4.5
1634227789,1.0,64275.5,33314.4,29080.6,6.4,6.6
1634227790,1.1,64275.5,33314.4,29080.8,37.1,23.5
1634227791,0.8,64275.5,33314.4,29080.5,6.9,7.6
1634227792,0.8,64275.5,33314.4,29080.2,19.7,18.9
1634227793,2.6,64275.5,33314.4,29094.9,5.1,9.1
1634227794,2.3,64275.5,33314.4,29080.7,5.1,21.0
1634227795,0.9,64275.5,33314.4,29080.7,6.1,8.3
1634227796,1.2,64275.5,33314.4,29081.0,11.4,25.5
1634227797,1.2,64275.5,33314.4,29081.1,30.3,22.9
1634227798,1.0,64275.5,33314.4,29080.9,4.2,4.1
1634227799,1.6,64275.5,33314.4,29080.8,5.7,5.6
1634227800,1.1,64275.5,33314.4,29080.8,8.3,13.9
1634227801,3.6,64275.5,33314.4,29080.8,6.4,6.3
1634227802,4.3,64275.5,33314.4,29081.4,21.6,9.2
1634227803,1.4,64275.5,33314.4,29084.4,5.9,10.5
1634227804,2.4,64275.5,33314.4,29080.9,22.5,8.3
1634227805,0.9,64275.5,33314.4,29081.0,4.4,7.0
1634227806,1.4,64275.5,33314.4,29081.0,19.1,8.3
1634227807,1.1,64275.5,33314.4,29081.4,12.6,23.7
1634227808,1.8,64275.5,33314.4,29081.6,4.3,3.7
1634227809,0.9,64275.5,33314.4,29081.2,6.7,15.4
1634227810,0.9,64275.5,33314.4,29081.3,25.2,17.2
1634227811,0.9,64275.5,33314.4,29081.3,7.2,26.1
