record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1634227744,153.10000000000002,1606887.6,360914.3,1105434.4999999998,12798.6,13223.5
1,1634227745,153.60000000000005,1606887.6,360923.60000000003,1105540.9,21042.5,20566.500000000004
2,1634227746,124.4,1606887.6,360945.39999999997,1105648.0000000002,9836.600000000002,9693.5
3,1634227747,111.2,1606887.6,360956.10000000003,1105615.8,7497.700000000001,8237.099999999999
4,1634227748,92.19999999999997,1606887.6,360964.1,1105683.8,8780.1,8540.6
5,1634227749,134.10000000000002,1606887.6,360978.69999999995,1105713.6,11005.399999999998,10866.5
6,1634227750,130.79999999999998,1606887.6,360841.39999999997,1105664.9000000001,44645965.199999996,14814.400000000001
7,1634227751,167.6,1606887.6,360848.60000000003,1105731.3,158112182.70000002,133803790.5
8,1634227752,90.3,1606887.6,360857.10000000003,1105738.2999999998,10322.100000000002,11174.0
9,1634227753,154.2,1606887.6,360870.4000000001,1105725.4000000001,10134.500000000002,10107.5
10,1634227754,152.20000000000002,1606887.6,360889.7,1105757.2000000002,10255.499999999998,9953.999999999998
11,1634227755,102.59999999999998,1606887.6,360829.6,1105889.0,8853.8,9501.7
12,1634227756,122.20000000000002,1606887.6,360810.3,1105914.0999999996,9740.200000000004,9315.3
13,1634227757,99.00000000000001,1606887.6,360817.3,1105953.0,8444.899999999998,8662.5
14,1634227758,109.39999999999998,1606887.6,360820.69999999995,1105976.0999999999,8971.699999999999,9514.899999999998
15,1634227759,159.7,1606887.6,360815.39999999997,1105974.2999999998,22220.0,21948.5
16,1634227760,70.80000000000001,1606887.6,360691.3,1106055.0999999999,9148.800000000003,9050.400000000001
17,1634227761,74.4,1606887.6,360691.2,1106058.8999999997,8919.100000000002,9390.800000000001
18,1634227762,129.70000000000002,1606887.6,360693.8,1106181.4000000001,9887.2,10135.099999999999
19,1634227763,126.9,1606887.6,360704.50000000006,1106411.6,10224.400000000003,10176.900000000001
20,1634227764,120.0,1606887.6,360714.39999999997,1106230.4000000001,43936099.0,9581.300000000001
21,1634227765,135.39999999999998,1606887.6,360727.1,1106155.6000000003,11716.099999999999,11948.7
22,1634227766,132.4,1606887.6,360683.9,1106241.2000000002,158104054.90000004,133796862.49999999
23,1634227767,122.0,1606887.6,360700.8,1106291.1,10572.399999999998,10694.800000000003
24,1634227768,129.0,1606887.6,360590.9,1106338.2000000002,9780.499999999998,10238.5
25,1634227769,98.69999999999999,1606887.6,360597.0,1106403.9000000001,8714.9,8532.2
26,1634227770,119.0,1606887.6,360602.0,1106445.4,9790.499999999998,10467.899999999998
27,1634227771,161.20000000000002,1606887.6,360613.69999999995,1106560.4,17563.600000000002,17255.4
28,1634227772,118.9,1606887.6,360618.69999999995,1106567.8000000003,10518.599999999995,10268.100000000002
29,1634227773,123.39999999999999,1606887.6,360577.19999999995,1106698.3000000003,9482.099999999999,9289.099999999999
30,1634227774,115.20000000000002,1606887.6,360583.10000000003,1106708.8,9809.299999999997,10192.699999999999
31,1634227775,125.19999999999999,1606887.6,360588.4,1106729.7999999998,11069.200000000003,11381.1
32,1634227776,133.6,1606887.6,360594.9,1106796.8,10101.8,10264.6
33,1634227777,137.79999999999998,1606887.6,360601.4,1106826.5,10506.6,10670.800000000001
34,1634227778,144.0,1606887.6,360606.29999999993,1106826.7999999998,11325.799999999997,11299.0
35,1634227779,141.1,1606887.6,360611.9,1106931.6,43951964.60000001,17250.9
36,1634227780,162.9,1606887.6,360610.4000000001,1107074.4999999998,20552.599999999995,21396.399999999998
37,1634227781,107.20000000000002,1606887.6,360613.80000000005,1107110.1,158109718.5,133802239.60000001
38,1634227782,98.2,1606887.6,360619.60000000003,1107217.0999999999,10626.100000000002,11436.2
39,1634227783,133.2,1606887.6,360569.00000000006,1107318.9000000001,10207.900000000001,10695.3
40,1634227784,111.29999999999998,1606887.6,360547.2,1107228.6,10665.9,10157.400000000001
41,1634227785,98.50000000000001,1606887.6,360545.4000000001,1107295.6,10159.099999999999,9629.2
42,1634227786,80.7,1606887.6,360546.2,1107344.6,8677.3,9447.6
43,1634227787,118.0,1606887.6,360521.8,1107421.0999999999,10338.599999999995,11053.800000000001
44,1634227788,97.6,1606887.6,360399.0,1107393.8,10011.300000000003,9556.099999999999
45,1634227789,81.8,1606887.6,360399.3,1107398.9,9643.2,9727.6
46,1634227790,95.9,1606887.6,360400.0,1107465.3,9275.999999999998,9748.0
47,1634227791,126.4,1606887.6,360405.4,1107594.8,9952.2,9453.7
48,1634227792,106.89999999999999,1606887.6,360289.5,1107624.5999999999,9753.2,9707.2
49,1634227793,85.0,1606887.6,360291.7,1107872.3,9406.5,8649.3
50,1634227794,91.5,1606887.6,360292.3,1107753.0,44290609.39999999,8544.6
51,1634227795,94.5,1606887.6,360294.5,1107793.1999999997,9345.400000000005,9671.300000000001
52,1634227796,87.30000000000003,1606887.6,360294.0,1107888.2000000002,158104500.70000002,133798409.0
53,1634227797,143.0,1606887.6,360294.9,1107980.2999999998,20251.600000000002,20607.5
54,1634227798,129.7,1606887.6,360296.5,1108053.3,15545.500000000002,16023.199999999999
55,1634227799,107.5,1606887.6,360299.0,1108044.2999999998,10571.300000000001,9678.500000000002
56,1634227800,101.10000000000001,1606887.6,360241.3,1108048.4,9700.199999999999,9589.5
57,1634227801,158.9,1606887.6,360249.9,1108125.8,10148.100000000002,10943.0
58,1634227802,155.3,1606887.6,360133.4,1108212.6999999997,10083.799999999997,10354.300000000001
59,1634227803,122.79999999999998,1606887.6,360138.9,1108296.2999999998,9236.3,9058.599999999999
60,1634227804,121.69999999999999,1606887.6,360147.3,1108322.5999999999,10374.5,10003.5
61,1634227805,165.8,1606887.6,360147.6,1108406.0,26786.9,26955.2
62,1634227806,119.69999999999999,1606887.6,360154.60000000003,1108500.9999999998,10102.999999999998,10579.5
63,1634227807,117.19999999999999,1606887.6,360131.9,1108361.2,9920.100000000002,10349.1
64,1634227808,125.6,1606887.6,360137.60000000003,1108445.3999999997,10053.1,10011.0
65,1634227809,113.79999999999998,1606887.6,360144.10000000003,1108537.4000000001,44278400.000000015,9423.599999999999
66,1634227810,124.20000000000002,1606887.6,360028.70000000007,1108557.7000000002,10317.599999999999,10373.0
67,1634227811,126.30000000000001,1606887.6,360033.30000000005,1108597.5,158104805.49999994,133798727.69999999
68,1634227812,73.1,1606887.6,360033.6,1108638.6999999997,10430.4,10052.2
69,1634227813,98.5,1606887.6,360039.30000000005,1108639.8,11805.600000000002,11634.099999999999
70,1634227814,163.70000000000002,1606887.6,360018.7,1108759.6999999997,22042.8,22544.199999999997
71,1634227815,95.99999999999999,1606887.6,360019.5000000001,1108856.5999999999,8589.8,9064.899999999998
72,1634227816,78.30000000000001,1606887.6,360020.1000000001,1108925.5999999999,9344.700000000003,8818.4
73,1634227817,85.00000000000001,1606887.6,359993.3000000001,1108926.1,7806.400000000001,7963.1
74,1634227818,93.1,1606887.6,359994.5000000001,1108955.1,9314.3,9061.0
75,1634227819,103.9,1606887.6,359997.5000000001,1109039.8,9370.1,9423.3
76,1634227820,103.10000000000001,1606887.6,360000.5000000001,1109068.7999999998,9600.300000000001,9730.399999999998
77,1634227821,114.19999999999999,1606887.6,360004.50000000006,1109139.5999999999,9554.9,10572.199999999999
78,1634227822,125.8,1606887.6,359984.4000000001,1109172.0999999999,10722.599999999999,11048.9
79,1634227823,143.79999999999998,1606887.6,359987.70000000007,1109387.1999999997,11268.199999999997,10514.6
80,1634227824,115.2,1606887.6,359992.89999999997,1109305.6999999997,44344860.20000001,10335.7
81,1634227825,135.5,1606887.6,360007.3,1109328.9,11431.400000000001,11745.2
82,1634227826,157.5,1606887.6,360014.50000000006,1109403.2,158099008.50000003,133796439.90000002
83,1634227827,118.3,1606887.6,360015.2,1109538.3,13794.199999999997,13064.600000000002
84,1634227828,116.6,1606887.6,360018.39999999997,1109576.8,10271.4,11039.4
85,1634227829,90.2,1606887.6,360019.5,1109674.7,9311.299999999997,8541.699999999999
86,1634227830,92.10000000000002,1606887.6,359993.2,1109647.2999999998,10681.500000000002,10895.2
87,1634227831,89.90000000000002,1606887.6,359989.7,1109676.9,9550.3,10302.900000000001
88,1634227832,131.2,1606887.6,359994.80000000005,1109806.0,9658.600000000002,9967.9
89,1634227833,124.30000000000003,1606887.6,359956.4,1109805.4,10256.200000000004,9763.5
90,1634227834,121.70000000000002,1606887.6,359961.5,1109808.2,8835.800000000001,8474.6
91,1634227835,91.9,1606887.6,359962.30000000005,1109822.9,8632.0,9253.2
92,1634227836,118.60000000000002,1606887.6,359962.3,1109980.7,20079.5,18509.1
