record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1631582476,58.7,1606887.6,160424.59999999998,1309514.8,7386.299999999998,6933.5
1,1631582477,48.1,1606887.6,160424.69999999995,1309585.7,7813.699999999999,8270.400000000001
2,1631582478,54.199999999999996,1606887.6,160424.39999999997,1309601.0000000002,8858.3,7791.500000000001
3,1631582479,58.79999999999999,1606887.6,160424.59999999998,1309228.7000000004,7781.1,8446.5
4,1631582480,54.09999999999999,1606887.6,160424.5,1309248.2999999998,7945.499999999998,8720.199999999999
5,1631582481,58.2,1606887.6,160424.4,1309271.4000000001,7922.800000000001,8242.599999999999
6,1631582482,51.1,1606887.6,160424.39999999997,1309320.0000000002,8633.399999999998,7784.099999999999
7,1631582483,62.400000000000006,1606887.6,160424.49999999997,1309299.3,8846.299999999997,8599.6
8,1631582484,51.90000000000002,1606887.6,160424.49999999997,1309327.1999999997,9086.799999999997,10037.8
9,1631582485,64.10000000000001,1606887.6,160424.49999999997,1309350.9,9544.2,9406.5
10,1631582486,53.99999999999999,1606887.6,160424.59999999998,1309393.6999999997,8941.300000000007,8201.800000000001
11,1631582487,56.800000000000004,1606887.6,160424.79999999996,1309471.5,8624.500000000004,9381.5
12,1631582488,56.8,1606887.6,160424.79999999996,1309415.5999999999,8123.800000000002,7908.199999999999
13,1631582489,49.5,1606887.6,160424.79999999996,1309431.0999999996,9026.299999999997,8539.2
14,1631582490,49.20000000000001,1606887.6,160424.69999999995,1309438.7999999998,8938.399999999998,8441.9
15,1631582491,51.3,1606887.6,160424.79999999996,1309466.8000000003,7674.7,7650.800000000001
16,1631582492,50.99999999999999,1606887.6,160424.79999999996,1309522.8,7809.299999999997,8755.5
17,1631582493,64.50000000000001,1606887.6,160424.79999999996,1309561.5,8268.400000000001,8881.8
18,1631582494,54.400000000000006,1606887.6,160424.8,1309603.9,9199.399999999998,8523.0
19,1631582495,53.6,1606887.6,160424.89999999997,1309654.9000000001,7948.700000000001,7921.5
20,1631582496,54.1,1606887.6,160424.99999999997,1309689.5000000002,9139.099999999999,9002.800000000001
21,1631582497,46.800000000000004,1606887.6,160424.99999999997,1309711.7000000002,8711.300000000003,9258.099999999999
22,1631582498,61.4,1606887.6,160424.99999999997,1309889.7000000002,12618.8,33508.8
23,1631582499,60.99999999999999,1606887.6,160424.99999999997,1309508.1,106892.70000000001,101558.20000000004
24,1631582500,44.9,1606887.6,160424.99999999997,1309707.0,25015.5,9251.8
25,1631582501,74.79999999999998,1606887.6,160424.99999999997,1309808.4000000001,9251.900000000001,11617.599999999999
26,1631582502,166.79999999999995,1606887.6,160427.49999999997,1310140.6,123562.49999999999,114530.59999999999
27,1631582503,213.5,1606887.6,160456.5,1311024.7,11931.0,15571.0
28,1631582504,214.3,1606887.6,160474.7,1311644.5,9635.399999999996,50896.0
29,1631582505,310.6,1606887.6,160479.89999999997,1311728.7999999998,8506.300000000001,21180.1
30,1631582506,286.8,1606887.6,160486.49999999997,1311780.9999999995,9428.400000000001,48733.50000000001
31,1631582507,289.6,1606887.6,160491.69999999998,1311787.5999999996,9154.6,46742.90000000001
32,1631582508,315.6000000000001,1606887.6,160494.60000000003,1311891.7000000002,7880.799999999999,20614.399999999998
33,1631582509,223.20000000000005,1606887.6,160497.7,1311859.0,15002.6,35877.799999999996
34,1631582510,115.5,1606887.6,160497.7,1311829.4000000001,8351.499999999996,8560.5
35,1631582511,83.60000000000001,1606887.6,160497.80000000002,1311807.6,73584.90000000001,69266.99999999997
36,1631582512,44.900000000000006,1606887.6,160497.80000000002,1311825.4000000001,8280.1,14313.499999999996
37,1631582513,62.1,1606887.6,160498.00000000003,1311875.7000000004,9526.3,9376.3
38,1631582514,53.20000000000001,1606887.6,160498.00000000003,1311910.9,7997.7999999999965,8645.0
39,1631582515,77.89999999999999,1606887.6,160498.00000000003,1311959.6,9716.5,18300.699999999997
40,1631582516,78.49999999999999,1606887.6,160498.00000000003,1311938.2,18961.09999999999,9997.0
41,1631582517,48.800000000000004,1606887.6,160498.1,1311982.8000000003,8713.000000000002,7940.5
42,1631582518,55.7,1606887.6,160498.1,1311946.2999999998,8719.300000000001,8827.1
43,1631582519,46.9,1606887.6,160498.30000000002,1311935.4000000001,8700.199999999999,9111.7
44,1631582520,47.60000000000001,1606887.6,160498.2,1311975.0000000002,8825.099999999997,8917.0
45,1631582521,41.499999999999986,1606887.6,160498.30000000002,1311977.7000000002,8352.9,7045.200000000001
46,1631582522,51.6,1606887.6,160498.40000000002,1311984.8,7595.7,8244.2
47,1631582523,55.10000000000001,1606887.6,160498.40000000002,1311980.2999999998,8224.2,7879.299999999999
48,1631582524,42.400000000000006,1606887.6,160498.40000000002,1312032.1,7710.199999999999,8195.800000000001
49,1631582525,44.89999999999999,1606887.6,160498.40000000002,1312087.0000000002,8174.800000000001,7717.199999999999
50,1631582526,51.400000000000006,1606887.6,160498.60000000003,1312063.3,7670.100000000001,8223.4
51,1631582527,44.699999999999996,1606887.6,160498.7,1312062.7999999998,8334.4,8802.0
52,1631582528,56.5,1606887.6,160498.80000000002,1312050.1999999997,8425.099999999999,8366.7
53,1631582529,44.00000000000001,1606887.6,160498.7,1311964.5,8257.300000000001,8613.9
54,1631582530,43.599999999999994,1606887.6,160498.7,1311958.1999999997,8683.900000000001,7773.5
55,1631582531,56.40000000000001,1606887.6,160498.80000000002,1311985.7000000002,8331.800000000003,9597.999999999998
56,1631582532,46.29999999999999,1606887.6,160498.80000000002,1312029.6,10228.499999999998,9276.2
