timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1631581520,1.2,64275.5,6013.8,55941.0,3.8,3.9
1631581521,1.2,64275.5,6013.8,55952.5,2.7,4.1
1631581522,0.6,64275.5,6013.8,55939.9,1.1,0.7
1631581523,1.6,64275.5,6013.8,55939.9,18.2,4.3
1631581524,1.5,64275.5,6013.8,55940.0,1.0,0.7
1631581525,0.4,64275.5,6013.8,55926.5,1.3,1.1
1631581526,0.7,64275.5,6013.8,55927.5,3.0,8.2
1631581527,2.1,64275.5,6013.8,55928.8,21.9,22.5
1631581528,1.0,64275.5,6013.8,55953.4,20.2,29.1
1631581529,0.9,64275.5,6013.8,55953.4,1.4,10.1
1631581530,1.7,64275.5,6013.8,55953.4,20.2,2.6
1631581531,1.3,64275.5,6013.9,55928.5,3.6,27.8
1631581532,0.7,64275.5,6013.8,55940.1,2.4,3.8
1631581533,0.6,64275.5,6013.8,55940.1,0.9,0.6
1631581534,1.5,64275.5,6013.8,55940.5,1.1,0.7
1631581535,0.5,64275.5,6013.8,55927.0,1.0,0.7
1631581536,0.8,64275.5,6013.8,55927.0,0.9,0.4
1631581537,1.1,64275.5,6013.8,55927.0,2.2,8.8
1631581538,0.8,64275.5,6013.8,55927.0,16.4,2.1
1631581539,0.6,64275.5,6013.8,55927.2,1.1,0.7
1631581540,0.8,64275.5,6013.8,55927.1,7.7,2.7
1631581541,2.0,64275.5,6013.8,55927.2,1.3,6.6
1631581542,1.0,64275.5,6013.8,55927.2,1.3,9.6
1631581543,0.9,64275.5,6013.8,55927.2,21.1,42.4
1631581544,1.4,64275.5,6013.8,55931.7,1.6,51.3
1631581545,1.2,64275.5,6013.8,55931.8,81.8,2615.2
1631581546,5.8,64275.5,6014.7,55963.1,54.0,2161.0
1631581547,6.9,64275.5,6015.9,55997.8,1.8,8.8
1631581548,9.6,64275.5,6016.9,56010.9,22.6,2012.3
1631581549,10.0,64275.5,6017.0,56014.9,37.8,2013.9
1631581550,11.7,64275.5,6017.0,56015.1,1.7,1.5
1631581551,10.8,64275.5,6017.0,56016.0,21.2,1995.8
1631581552,9.2,64275.5,6017.3,56013.8,2.3,1.2
1631581553,0.7,64275.5,6017.3,56011.7,17.7,3.6
1631581554,3.2,64275.5,6017.3,56012.3,1251.7,18.1
1631581555,0.9,64275.5,6017.3,56012.3,1.6,1.2
1631581556,0.6,64275.5,6017.3,56012.3,1.5,2.0
1631581557,7.3,64275.5,6017.3,56012.3,20.3,38.3
1631581558,0.7,64275.5,6017.3,56012.3,17.3,6.4
1631581559,0.5,64275.5,6017.3,56012.4,1.1,6.7
1631581560,1.1,64275.5,6017.3,56012.4,30.3,8.8
1631581561,2.0,64275.5,6017.3,56013.5,3.6,19.8
1631581562,0.7,64275.5,6017.3,56025.9,3.7,4.9
1631581563,0.5,64275.5,6017.3,56025.9,0.7,0.6
