record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1631581520,58.00000000000001,1606887.6,160184.8,1311017.8,8791.4,7814.5
1,1631581521,44.400000000000006,1606887.6,160184.89999999997,1311069.7999999998,8488.8,8352.9
2,1631581522,52.2,1606887.6,160184.89999999997,1311008.2999999998,7930.4,8459.8
3,1631581523,62.400000000000006,1606887.6,160184.99999999997,1311052.3,8516.300000000001,7802.4
4,1631581524,60.29999999999998,1606887.6,160185.09999999998,1311113.0,9203.099999999997,9531.7
5,1631581525,56.300000000000004,1606887.6,160185.09999999998,1311026.7000000002,6187.699999999998,6405.1
6,1631581526,63.70000000000001,1606887.6,160184.99999999997,1311068.5999999999,8958.600000000002,9266.299999999997
7,1631581527,57.800000000000004,1606887.6,160184.99999999997,1311150.9000000001,8825.500000000004,7931.699999999998
8,1631581528,66.5,1606887.6,160184.99999999997,1311157.1999999997,9370.400000000001,8199.900000000001
9,1631581529,57.10000000000001,1606887.6,160184.39999999997,1311135.1999999997,8239.800000000003,9101.3
10,1631581530,48.69999999999999,1606887.6,160184.49999999997,1311156.5999999999,8676.9,8955.7
11,1631581531,55.3,1606887.6,160184.49999999997,1311178.8,8951.000000000002,8767.1
12,1631581532,53.89999999999999,1606887.6,160184.39999999997,1311253.9,9215.899999999998,8098.3
13,1631581533,53.400000000000006,1606887.6,160184.49999999997,1311262.4000000001,8343.400000000001,9208.8
14,1631581534,64.3,1606887.6,160184.39999999997,1311281.5,8697.899999999998,9116.599999999999
15,1631581535,50.40000000000001,1606887.6,160184.49999999997,1311307.4000000001,9217.5,7859.4
16,1631581536,53.10000000000001,1606887.6,160184.49999999997,1311384.2000000002,8234.300000000003,8723.6
17,1631581537,58.60000000000001,1606887.6,160184.49999999997,1311393.2,8999.199999999999,9384.3
18,1631581538,60.99999999999999,1606887.6,160184.49999999997,1311386.2000000002,8954.600000000004,8431.300000000001
19,1631581539,58.900000000000006,1606887.6,160184.49999999997,1311474.9000000001,8651.100000000002,9270.8
20,1631581540,62.7,1606887.6,160184.49999999997,1311526.4000000004,8768.999999999996,9102.6
21,1631581541,52.499999999999986,1606887.6,160184.49999999997,1311409.5000000002,81480.30000000002,16338.200000000004
22,1631581542,59.30000000000001,1606887.6,160184.49999999997,1311351.0999999999,56734.399999999994,120991.20000000003
23,1631581543,52.3,1606887.6,160184.49999999997,1311551.2000000002,8967.100000000002,9436.199999999999
24,1631581544,62.099999999999994,1606887.6,160184.59999999998,1311645.5,9332.800000000001,18244.0
25,1631581545,86.50000000000001,1606887.6,160175.09999999998,1311717.5,107677.40000000001,92019.5
26,1631581546,173.60000000000002,1606887.6,160196.8,1312588.7000000002,25643.2,31121.599999999995
27,1631581547,218.50000000000006,1606887.6,160208.10000000003,1313177.4,8846.000000000002,42618.100000000006
28,1631581548,299.29999999999995,1606887.6,160216.90000000002,1313316.3999999997,8471.9,29351.999999999996
29,1631581549,291.7,1606887.6,160219.3,1313332.9999999995,8267.6,50021.899999999994
30,1631581550,293.59999999999997,1606887.6,160221.8,1313304.1000000003,8277.499999999998,30012.600000000002
31,1631581551,291.50000000000006,1606887.6,160225.79999999996,1313383.6999999997,8444.900000000001,40225.50000000001
32,1631581552,245.69999999999996,1606887.6,160230.29999999996,1313325.8,16560.999999999996,31546.5
33,1631581553,128.5,1606887.6,160230.8,1313306.4000000001,11760.900000000001,8237.699999999999
34,1631581554,99.9,1606887.6,160230.99999999997,1313393.9000000004,58989.2,77121.50000000003
35,1631581555,59.2,1606887.6,160230.99999999997,1313463.2000000002,22344.899999999998,8900.5
36,1631581556,96.50000000000001,1606887.6,160231.19999999998,1313491.7000000004,9922.0,9725.4
37,1631581557,129.60000000000002,1606887.6,160231.09999999998,1313485.2999999998,8044.9000000000015,8470.600000000002
38,1631581558,74.19999999999999,1606887.6,160231.19999999998,1313519.2,8746.499999999998,7897.299999999999
39,1631581559,51.900000000000006,1606887.6,160231.19999999998,1313514.5999999999,9156.099999999997,7905.9
40,1631581560,46.10000000000001,1606887.6,160231.19999999998,1313555.3,6105.200000000001,7718.0
41,1631581561,46.800000000000004,1606887.6,160231.19999999998,1313513.6,9155.700000000004,7741.499999999998
42,1631581562,44.60000000000001,1606887.6,160231.19999999998,1313483.4999999995,8947.5,8338.8
