timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1626459076,1.5,64275.6,4828.8,55548.5,2.7,3.7
1626459077,0.7,64275.6,4828.8,55548.7,0.7,0.4
1626459078,0.9,64275.6,4828.8,55549.0,0.7,0.4
1626459079,0.5,64275.6,4828.8,55549.0,14.7,2.2
1626459080,2.4,64275.6,4828.8,55554.6,72.5,3522.8
1626459081,0.6,64275.6,4828.8,55552.1,1.4,9.3
1626459082,0.6,64275.6,4828.8,55554.9,33.9,1524.8
1626459083,4.9,64275.6,4828.8,55581.7,23.2,1915.3
1626459084,6.0,64275.6,4828.9,55817.6,6.5,1.3
1626459085,7.3,64275.6,4828.9,56323.9,2.4,0.8
1626459086,14.8,64275.6,4828.9,56348.8,19.8,2.1
1626459087,9.8,64275.6,4828.9,56357.9,2.5,0.9
1626459088,10.2,64275.6,4828.9,56368.3,6.4,1.8
1626459089,6.4,64275.6,4828.9,56368.5,1.9,1.9
1626459090,19.6,64275.6,4828.9,56384.1,28.5,15.4
1626459091,8.7,64275.6,4828.9,56384.5,2.5,1.1
1626459092,14.2,64275.6,4828.9,56396.0,4.4,1.2
1626459093,6.4,64275.6,4828.9,56396.4,1.5,4.5
1626459094,12.5,64275.6,4828.9,56402.7,2.4,1.3
1626459095,10.1,64275.6,4828.9,56409.0,1.8,0.8
1626459096,11.1,64275.6,4828.9,56418.4,1.7,1.0
1626459097,6.6,64275.6,4828.9,56424.3,4.7,1.7
1626459098,10.7,64275.6,4828.9,56460.1,3.2,23.6
1626459099,6.5,64275.6,4828.9,56460.1,0.9,0.6
1626459100,7.0,64275.6,4828.9,56435.9,4.2,9.5
1626459101,7.2,64275.6,4828.9,56460.9,25.9,37.3
1626459102,10.0,64275.6,4828.9,56458.7,1.7,0.9
1626459103,6.6,64275.6,4828.9,56459.0,3.5,0.9
1626459104,7.0,64275.6,4828.9,56459.1,1.6,3.1
1626459105,6.7,64275.6,4828.9,56433.6,1.4,0.9
1626459106,7.5,64275.6,4828.9,56433.4,3.4,4.5
1626459107,13.0,64275.6,4828.9,56440.7,1.0,1.3
1626459108,7.7,64275.6,4828.9,56441.1,15.0,2.1
1626459109,6.8,64275.6,4828.9,56441.1,1.3,0.6
1626459110,7.1,64275.6,4828.9,56441.9,4.4,510.2
1626459111,6.7,64275.6,4828.9,56441.9,1.5,186.5
1626459112,9.6,64275.6,4828.9,56436.1,6.0,974.5
1626459113,6.6,64275.6,4828.9,56436.1,1.6,0.9
1626459114,6.6,64275.6,4828.9,56436.1,6.3,1.4
