record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1626459076,31.099999999999998,1606890.0000000005,147115.19999999998,1347318.7,94.2,133.60000000000002
1,1626459077,29.699999999999996,1606890.0000000005,147115.19999999998,1347242.5,96.19999999999999,91.7
2,1626459078,29.29999999999999,1606890.0000000005,147115.19999999998,1347244.2999999998,257.59999999999997,129.60000000000002
3,1626459079,30.2,1606890.0000000005,147115.19999999998,1347359.7999999998,178.39999999999998,118.10000000000002
4,1626459080,47.599999999999994,1606890.0000000005,147115.1,1347613.1000000003,79503.2,79540.59999999998
5,1626459081,34.3,1606890.0000000005,147115.29999999996,1347502.9000000001,660.5999999999997,927.0
6,1626459082,32.60000000000001,1606890.0000000005,147115.39999999997,1347710.8,20435.899999999994,57232.000000000015
7,1626459083,147.6,1606890.0000000005,147116.0,1348511.0999999999,61050.7,23746.699999999993
8,1626459084,155.5,1606890.0000000005,147116.4,1358879.4000000004,106.3,113.5
9,1626459085,173.89999999999998,1606890.0000000005,147117.19999999998,1366161.4,168.29999999999998,2086.4000000000005
10,1626459086,273.19999999999993,1606890.0000000005,147117.49999999997,1366668.3000000003,3046.6000000000004,1144.4999999999998
11,1626459087,220.6,1606890.0000000005,147117.59999999998,1366898.2999999996,227.69999999999993,203.9
12,1626459088,237.0,1606890.0000000005,147117.59999999998,1367103.8,207.00000000000003,192.40000000000003
13,1626459089,217.09999999999997,1606890.0000000005,147117.59999999998,1367269.5000000002,140.89999999999998,167.70000000000002
14,1626459090,213.49999999999994,1606890.0000000005,147117.49999999997,1367445.7,449.59999999999997,759.6999999999999
15,1626459091,213.59999999999997,1606890.0000000005,147117.69999999998,1367625.4,887.9999999999999,428.3
16,1626459092,234.29999999999998,1606890.0000000005,147117.69999999998,1367713.6999999997,346.99999999999994,158.3
17,1626459093,191.0,1606890.0000000005,147117.79999999996,1367781.0999999999,171.6,162.5
18,1626459094,206.3,1606890.0000000005,147117.79999999996,1367937.3999999997,199.79999999999998,247.0
19,1626459095,216.29999999999995,1606890.0000000005,147117.79999999996,1368036.7999999996,172.6,131.2
20,1626459096,186.2,1606890.0000000005,147117.9,1368150.0,154.19999999999996,138.59999999999997
21,1626459097,210.9,1606890.0000000005,147117.9,1368257.9999999998,221.7,186.4
22,1626459098,204.5,1606890.0000000005,147117.99999999997,1368409.4,2489.4999999999995,2768.6000000000004
23,1626459099,216.39999999999998,1606890.0000000005,147117.99999999997,1368513.3000000003,952.8000000000001,2893.2999999999997
24,1626459100,192.70000000000002,1606890.0000000005,147117.99999999997,1368529.7000000002,5196.999999999999,2915.1
25,1626459101,209.29999999999995,1606890.0000000005,147117.9,1368634.8,977.6000000000003,1694.9999999999995
26,1626459102,205.70000000000002,1606890.0000000005,147117.99999999997,1368641.8999999997,1091.6999999999998,312.5
27,1626459103,214.39999999999998,1606890.0000000005,147118.19999999998,1368710.9000000001,233.79999999999998,221.89999999999995
28,1626459104,208.3,1606890.0000000005,147118.3,1368772.4000000001,208.70000000000005,191.39999999999998
29,1626459105,230.09999999999997,1606890.0000000005,147118.3,1368852.7000000002,144.39999999999995,177.3
30,1626459106,237.4,1606890.0000000005,147118.3,1368895.4999999998,2223.4000000000005,2603.6000000000004
31,1626459107,245.69999999999996,1606890.0000000005,147118.3,1368925.0999999999,613.0,145.3
32,1626459108,280.59999999999997,1606890.0000000005,147118.3,1369081.0,5092.0,5032.699999999999
33,1626459109,309.8,1606890.0000000005,147118.3,1369113.8,334.1000000000001,346.6
34,1626459110,349.6,1606890.0000000005,147118.4,1369259.2,511.00000000000006,2339.0000000000005
35,1626459111,419.50000000000006,1606890.0000000005,147118.49999999997,1369359.4000000001,3096.7,1330.7000000000003
36,1626459112,451.19999999999993,1606890.0000000005,147118.49999999997,1369368.4000000004,7185.799999999999,9073.099999999999
37,1626459113,499.20000000000005,1606890.0000000005,147118.49999999997,1369344.7000000002,4342.499999999999,4541.6
38,1626459114,556.5999999999999,1606890.0000000005,147118.59999999998,1369370.5999999999,5005.899999999999,8644.699999999999
39,1626459115,623.2,1606890.0000000005,147118.49999999997,1369393.0,20604.099999999995,22970.1
40,1626459116,653.8000000000002,1606890.0000000005,147118.69999999998,1369420.3999999997,11146.9,2798.8
41,1626459117,641.0,1606890.0000000005,147118.8,1369502.3,542.8999999999999,140.1
42,1626459118,635.6999999999999,1606890.0000000005,147118.79999999996,1369650.4999999998,134.2,169.69999999999993
43,1626459119,636.7,1606890.0000000005,147118.89999999997,1369719.7,101.60000000000002,105.9
44,1626459120,673.0999999999999,1606890.0000000005,147118.79999999996,1369811.4000000001,376.9,4949.0
45,1626459121,670.6999999999999,1606890.0000000005,147118.89999999997,1369992.9,6611.999999999998,1769.4999999999998
46,1626459122,671.4,1606890.0000000005,147119.09999999998,1370171.1000000003,780.6,925.0999999999999
47,1626459123,708.4999999999999,1606890.0000000005,147118.99999999997,1370434.7999999998,2857.2,2707.2999999999997
48,1626459124,716.5000000000001,1606890.0000000005,147119.09999999998,1370594.2000000002,179.7,1302.7000000000003
49,1626459125,731.5000000000001,1606890.0000000005,147119.09999999998,1370751.5000000002,15112.4,14439.500000000005
50,1626459126,749.5,1606890.0000000005,147119.09999999998,1371013.7000000002,25826.9,32810.0
51,1626459127,747.3,1606890.0000000005,147119.09999999998,1371230.5999999999,42832.799999999996,53025.6
52,1626459128,735.9,1606890.0000000005,147119.19999999998,1371457.9000000001,18275.300000000007,170.79999999999998
53,1626459129,743.4000000000001,1606890.0000000005,147119.19999999998,1371656.8,132.50000000000003,82.80000000000001
54,1626459130,746.2,1606890.0000000005,147119.19999999998,1372028.9000000001,252.79999999999995,924.1999999999999
55,1626459131,762.5999999999999,1606890.0000000005,147119.4,1372301.2000000004,5951.899999999998,4993.5
56,1626459132,750.8999999999999,1606890.0000000005,147119.49999999997,1372542.2,208.59999999999997,153.39999999999998
57,1626459133,737.1999999999999,1606890.0000000005,147119.59999999998,1372847.1,193.99999999999997,226.80000000000004
58,1626459134,756.5999999999999,1606890.0000000005,147119.59999999998,1373054.0,195.6,144.7
59,1626459135,750.0000000000001,1606890.0000000005,147119.59999999998,1373378.9999999998,183.0,158.6
60,1626459136,756.1999999999999,1606890.0000000005,147119.8,1373638.2,121.2,127.4
61,1626459137,755.9,1606890.0000000005,147119.8,1374022.2,192.79999999999998,173.2
62,1626459138,755.6,1606890.0000000005,147119.8,1374337.4000000001,156.0,134.29999999999998
63,1626459139,759.0,1606890.0000000005,147119.8,1374620.8,127.40000000000003,131.2
64,1626459140,753.9000000000001,1606890.0000000005,147119.8,1374935.4000000004,191.39999999999995,130.8
65,1626459141,756.3000000000001,1606890.0000000005,147119.9,1375155.9000000001,1188.3000000000004,1151.8999999999999
66,1626459142,744.4000000000001,1606890.0000000005,147120.0,1375384.0,281.9,177.60000000000002
67,1626459143,759.1999999999999,1606890.0000000005,147120.0,1375661.2,153.1,125.30000000000001
68,1626459144,757.9,1606890.0000000005,147120.0,1375971.7,148.50000000000006,185.00000000000003
69,1626459145,754.9000000000001,1606890.0000000005,147120.0,1376387.2000000002,179.90000000000003,208.39999999999995
70,1626459146,759.0999999999999,1606890.0000000005,147120.19999999998,1376731.7,143.3,150.89999999999995
71,1626459147,728.8,1606890.0000000005,147120.19999999998,1376988.4,233.49999999999997,165.70000000000002
72,1626459148,755.7999999999998,1606890.0000000005,147120.19999999998,1377203.1000000003,156.5,113.60000000000001
73,1626459149,752.3999999999999,1606890.0000000005,147120.19999999998,1377513.5000000002,105.50000000000004,123.39999999999999
74,1626459150,753.7,1606890.0000000005,147120.19999999998,1377843.8,154.69999999999996,124.7
75,1626459151,755.4999999999999,1606890.0000000005,147120.59999999998,1378036.1999999997,847.2,806.7
76,1626459152,740.4000000000001,1606890.0000000005,147120.59999999998,1378414.0999999999,237.0,200.49999999999997
77,1626459153,730.8000000000001,1606890.0000000005,147120.6,1378717.8,127.50000000000001,130.99999999999997
78,1626459154,735.8000000000001,1606890.0000000005,147120.4,1378915.4,204.90000000000003,146.5
79,1626459155,751.3000000000001,1606890.0000000005,147120.4,1379210.0,141.00000000000003,137.3
80,1626459156,753.6000000000001,1606890.0000000005,147120.5,1379577.7,163.3,181.00000000000003
81,1626459157,750.1,1606890.0000000005,147120.69999999998,1379861.9,118.10000000000004,74.00000000000003
82,1626459158,756.8000000000001,1606890.0000000005,147120.8,1380129.9999999998,152.90000000000003,149.59999999999997
83,1626459159,751.6999999999999,1606890.0000000005,147120.8,1380421.5999999999,105.20000000000002,108.80000000000004
84,1626459160,756.9,1606890.0000000005,147120.8,1380768.7999999998,170.99999999999994,150.1
85,1626459161,764.4999999999999,1606890.0000000005,147120.8,1381079.5,837.6999999999999,781.0999999999999
86,1626459162,749.6999999999999,1606890.0000000005,147120.8,1381393.2000000002,155.70000000000005,135.9
87,1626459163,752.0,1606890.0000000005,147120.8,1381743.9000000004,221.99999999999997,271.40000000000003
88,1626459164,751.4,1606890.0000000005,147120.8,1382015.4999999998,8981.000000000005,8852.299999999996
89,1626459165,737.5999999999999,1606890.0000000005,147120.8,1382335.3,252.99999999999994,154.9
90,1626459166,749.9000000000001,1606890.0000000005,147120.8,1382627.9000000001,141.20000000000002,144.99999999999997
91,1626459167,741.6000000000001,1606890.0000000005,147120.8,1383011.4000000004,212.5,160.8
92,1626459168,726.4,1606890.0000000005,147120.8,1383211.9999999998,192.59999999999997,144.09999999999997
93,1626459169,729.8999999999997,1606890.0000000005,147120.8,1383432.2999999998,166.00000000000003,120.69999999999999
94,1626459170,716.8,1606890.0000000005,147120.8,1383714.2000000002,274.5,155.99999999999997
95,1626459171,703.5,1606890.0000000005,147120.9,1383948.1,1170.8999999999996,1063.4999999999998
96,1626459172,688.1,1606890.0000000005,147120.9,1384212.3,349.1,167.19999999999996
97,1626459173,667.1,1606890.0000000005,147120.9,1384555.3999999997,272.5,149.9
98,1626459174,660.1,1606890.0000000005,147120.9,1384883.6,317.7999999999999,184.1
99,1626459175,606.0,1606890.0000000005,147120.9,1385121.3000000003,356.7999999999999,173.5
100,1626459176,668.1,1606890.0000000005,147121.2,1385339.1000000003,247.40000000000003,162.2
101,1626459177,642.8,1606890.0000000005,147121.2,1385625.4000000001,341.4999999999999,175.2
102,1626459178,598.9999999999999,1606890.0000000005,147121.2,1385784.3,339.2,166.90000000000003
103,1626459179,608.9000000000001,1606890.0000000005,147121.4,1386063.3,269.20000000000005,154.00000000000003
104,1626459180,668.2999999999998,1606890.0000000005,147121.4,1386360.3,329.99999999999994,191.1
105,1626459181,616.4000000000001,1606890.0000000005,147121.30000000002,1386561.3000000003,561.9000000000001,417.9
106,1626459182,583.3,1606890.0000000005,147121.4,1386830.3,325.09999999999997,110.10000000000002
107,1626459183,623.4,1606890.0000000005,147121.4,1387086.4000000001,318.7999999999999,148.70000000000002
108,1626459184,574.7,1606890.0000000005,147121.4,1387211.0,466.90000000000003,204.10000000000002
109,1626459185,574.3,1606890.0000000005,147121.5,1387484.2999999996,321.0,173.90000000000003
110,1626459186,619.6,1606890.0000000005,147121.7,1387604.2999999998,348.59999999999997,180.00000000000003
111,1626459187,591.5,1606890.0000000005,147121.6,1388023.3999999997,306.7999999999999,163.7
112,1626459188,586.0999999999998,1606890.0000000005,147121.6,1388250.4999999998,308.80000000000007,158.2
113,1626459189,572.0999999999998,1606890.0000000005,147121.8,1388284.0999999999,309.09999999999997,124.0
114,1626459190,612.2999999999998,1606890.0000000005,147121.69999999998,1388324.2000000002,371.20000000000005,192.6
115,1626459191,512.6,1606890.0000000005,147121.9,1388542.7000000002,347.4999999999998,289.50000000000006
116,1626459192,486.1,1606890.0000000005,147121.8,1388873.7,575.5,192.5
117,1626459193,443.6000000000001,1606890.0000000005,147121.8,1388625.2999999998,450.2000000000001,259.7
118,1626459194,488.0999999999999,1606890.0000000005,147121.9,1388824.0,221.2,150.6
119,1626459195,623.2999999999998,1606890.0000000005,147121.9,1389289.2999999998,328.99999999999994,137.49999999999997
120,1626459196,562.0999999999999,1606890.0000000005,147122.1,1389100.9,342.90000000000015,169.60000000000002
121,1626459197,588.6,1606890.0000000005,147122.19999999998,1389587.0000000005,321.2,178.60000000000005
122,1626459198,627.4999999999999,1606890.0000000005,147122.19999999998,1389807.8000000003,413.8999999999999,163.2
123,1626459199,516.3999999999999,1606890.0000000005,147122.4,1390187.7000000002,393.99999999999983,186.1
124,1626459200,483.00000000000006,1606890.0000000005,147122.3,1389874.0,367.2999999999998,243.20000000000002
125,1626459201,484.1,1606890.0000000005,147122.49999999997,1390011.6999999995,1078.0000000000002,1088.3999999999999
126,1626459202,556.7,1606890.0000000005,147122.59999999998,1389999.4999999998,571.2999999999998,234.80000000000004
127,1626459203,550.1,1606890.0000000005,147122.59999999998,1390267.8,347.1999999999998,183.5
128,1626459204,555.3,1606890.0000000005,147122.5,1390004.9,398.6000000000001,160.7000000000001
129,1626459205,506.00000000000006,1606890.0000000005,147122.5,1390359.5999999999,296.3999999999999,180.10000000000002
130,1626459206,530.6999999999999,1606890.0000000005,147122.69999999998,1389802.3000000003,338.3,184.7
131,1626459207,458.6,1606890.0000000005,147122.8,1389815.5,379.4000000000001,159.70000000000005
132,1626459208,600.3999999999999,1606890.0000000005,147122.69999999998,1389660.4999999995,337.1000000000001,200.49999999999997
133,1626459209,509.4,1606890.0000000005,147122.69999999998,1389655.5999999999,327.79999999999995,177.5
134,1626459210,584.3,1606890.0000000005,147122.69999999998,1390010.5999999999,408.8000000000001,269.6
135,1626459211,643.3999999999997,1606890.0000000005,147122.99999999997,1390517.6,304.3,302.79999999999995
136,1626459212,577.9,1606890.0000000005,147122.99999999997,1390742.5999999999,531.4,224.49999999999997
137,1626459213,522.3000000000001,1606890.0000000005,147122.99999999997,1389912.8000000003,353.80000000000007,181.1
138,1626459214,470.4,1606890.0000000005,147122.99999999997,1389550.2,416.0000000000001,254.5
139,1626459215,504.3,1606890.0000000005,147122.99999999997,1389558.6,280.80000000000007,116.49999999999999
140,1626459216,489.0999999999999,1606890.0000000005,147123.09999999998,1389487.9,351.5999999999998,110.09999999999997
141,1626459217,444.20000000000005,1606890.0000000005,147108.99999999997,1389949.4000000001,317.40000000000015,161.1
142,1626459218,488.00000000000006,1606890.0000000005,147109.09999999998,1389348.9000000001,1131.1,5934.0
143,1626459219,494.1000000000001,1606890.0000000005,147109.3,1389435.0,8138.700000000002,2845.2999999999993
144,1626459220,619.2000000000002,1606890.0000000005,147109.19999999998,1389073.9,417.5999999999999,215.90000000000003
145,1626459221,624.3999999999999,1606890.0000000005,147109.19999999998,1388102.4999999998,388.8999999999999,212.39999999999995
146,1626459222,537.7,1606890.0000000005,147109.3,1388260.7,651.8999999999999,429.4
147,1626459223,620.6,1606890.0000000005,147109.3,1387977.9000000001,336.6,236.49999999999994
148,1626459224,610.6999999999999,1606890.0000000005,147109.3,1387554.4999999998,315.4,120.19999999999999
149,1626459225,492.8,1606890.0000000005,147109.3,1387972.5000000002,283.9000000000001,236.69999999999996
150,1626459226,594.7,1606890.0000000005,147109.4,1387197.0999999999,186.50000000000003,128.0
151,1626459227,574.0999999999999,1606890.0000000005,147109.4,1386831.4,320.69999999999993,178.50000000000003
152,1626459228,618.2999999999998,1606890.0000000005,147109.4,1387311.6000000003,241.79999999999995,152.9
153,1626459229,723.6000000000001,1606890.0000000005,147109.4,1387242.2000000002,259.3,142.1
154,1626459230,701.5000000000002,1606890.0000000005,147109.4,1386289.8,315.2,302.80000000000007
155,1626459231,617.4000000000001,1606890.0000000005,147109.4,1386208.0999999999,1081.2000000000005,767.9000000000001
156,1626459233,635.4999999999999,1606890.0000000005,147109.4,1386183.2999999998,524.4,393.2999999999999
157,1626459234,648.6,1606890.0000000005,147109.4,1385548.8999999997,295.9,152.89999999999998
158,1626459235,627.3000000000002,1606890.0000000005,147109.4,1385689.2,228.3,131.9
159,1626459236,632.0999999999999,1606890.0000000005,147109.4,1385539.3999999997,144.9,125.20000000000002
160,1626459237,693.0,1606890.0000000005,147109.4,1385659.7999999996,199.90000000000003,160.20000000000002
161,1626459238,744.7,1606890.0000000005,147109.5,1385886.7000000002,280.0,192.60000000000002
162,1626459239,718.2000000000002,1606890.0000000005,147109.6,1386002.9,176.99999999999997,161.70000000000002
163,1626459240,721.6999999999999,1606890.0000000005,147109.6,1385609.2,134.3,100.8
164,1626459241,695.9,1606890.0000000005,147109.6,1385755.0000000002,286.4,199.3
165,1626459242,691.8999999999999,1606890.0000000005,147109.9,1385580.3999999997,187.30000000000007,164.0
166,1626459243,674.4000000000001,1606890.0000000005,147109.8,1385677.0,441.3,365.39999999999986
167,1626459244,662.2,1606890.0000000005,147109.8,1385689.5999999999,202.10000000000005,140.8
168,1626459245,726.0,1606890.0000000005,147109.8,1385868.2000000002,188.3,216.00000000000003
169,1626459246,736.3999999999999,1606890.0000000005,147109.8,1385810.2000000002,168.49999999999997,165.5
170,1626459247,721.9,1606890.0000000005,147110.1,1385830.2,118.7,139.5
171,1626459248,727.8000000000001,1606890.0000000005,147110.0,1385894.8,96.80000000000003,89.10000000000001
172,1626459249,731.9999999999999,1606890.0000000005,147110.0,1385913.3000000003,144.6,117.4
173,1626459250,733.5999999999999,1606890.0000000005,147110.1,1386018.2000000002,112.50000000000001,133.20000000000005
174,1626459251,728.3000000000001,1606890.0000000005,147110.1,1386116.8,199.7,181.69999999999996
175,1626459252,728.3000000000001,1606890.0000000005,147110.2,1386207.3,88.99999999999997,83.6
176,1626459253,706.4,1606890.0000000005,147110.5,1386355.0999999999,484.6999999999999,377.7
177,1626459254,714.1,1606890.0000000005,147110.40000000002,1386405.7000000004,245.90000000000006,219.9
178,1626459255,704.2,1606890.0000000005,147110.40000000002,1386549.1,163.5,164.0
179,1626459256,702.8000000000002,1606890.0000000005,147110.40000000002,1386556.5,90.59999999999998,93.8
180,1626459257,699.4999999999999,1606890.0000000005,147110.60000000003,1386721.5999999999,174.39999999999998,185.7
181,1626459258,733.6999999999999,1606890.0000000005,147110.7,1386850.9,229.8,136.7
182,1626459259,760.0999999999999,1606890.0000000005,147110.60000000003,1386901.9,124.60000000000001,121.49999999999999
183,1626459260,758.8000000000001,1606890.0000000005,147110.60000000003,1387091.3,119.20000000000005,126.30000000000004
184,1626459261,746.3999999999997,1606890.0000000005,147110.60000000003,1387129.0,215.89999999999995,326.70000000000005
185,1626459262,743.0999999999999,1606890.0000000005,147110.60000000003,1387262.1,844.1999999999999,718.3000000000002
186,1626459263,750.0999999999999,1606890.0000000005,147110.7,1387365.6,379.9999999999998,320.99999999999994
187,1626459264,738.9000000000001,1606890.0000000005,147110.80000000002,1387529.2,248.2,160.70000000000005
188,1626459265,719.5999999999999,1606890.0000000005,147110.80000000002,1387708.3000000003,234.60000000000008,133.0
189,1626459266,740.5999999999999,1606890.0000000005,147110.80000000002,1387891.4000000001,261.70000000000005,160.39999999999998
190,1626459267,694.4000000000001,1606890.0000000005,147111.00000000003,1388035.5,230.90000000000003,152.3
191,1626459268,724.0999999999999,1606890.0000000005,147111.10000000003,1388229.9,248.7,175.00000000000003
192,1626459269,713.9000000000001,1606890.0000000005,147111.10000000003,1388329.4,189.10000000000002,146.8
193,1626459270,731.7,1606890.0000000005,147111.10000000003,1388495.5000000002,208.70000000000005,137.1
194,1626459271,717.1999999999999,1606890.0000000005,147111.10000000003,1388592.8000000003,225.19999999999987,124.8
195,1626459272,698.9000000000003,1606890.0000000005,147111.10000000003,1388622.9999999998,201.60000000000002,109.49999999999999
196,1626459273,683.7999999999997,1606890.0000000005,147111.20000000004,1388711.0000000002,169.59999999999994,266.2
197,1626459274,709.1999999999999,1606890.0000000005,147111.30000000005,1388965.5,439.1999999999999,204.49999999999997
198,1626459275,708.9999999999999,1606890.0000000005,147111.20000000004,1389117.2000000004,271.69999999999993,176.3
199,1626459276,699.1999999999998,1606890.0000000005,147111.10000000003,1389233.4,191.4,149.20000000000005
200,1626459277,705.0,1606890.0000000005,147111.60000000003,1389450.7999999998,268.9,157.2
201,1626459278,722.0,1606890.0000000005,147111.50000000003,1389647.2999999998,185.19999999999996,156.30000000000007
202,1626459279,718.9,1606890.0000000005,147111.50000000003,1389735.5,295.7,151.39999999999998
203,1626459280,681.3,1606890.0000000005,147111.50000000003,1389796.2000000002,191.69999999999993,123.0
204,1626459281,667.0000000000001,1606890.0000000005,147111.50000000003,1390082.4999999998,142.9,132.8
205,1626459282,697.3,1606890.0000000005,147111.60000000003,1390004.0,246.19999999999996,102.2
206,1626459283,678.3999999999997,1606890.0000000005,147111.70000000004,1390265.5999999996,345.4000000000001,465.6
207,1626459284,728.4000000000001,1606890.0000000005,147111.70000000004,1390543.6,516.5999999999999,199.1
208,1626459285,673.8000000000001,1606890.0000000005,147111.70000000004,1390402.7999999998,320.0999999999999,128.70000000000002
209,1626459286,641.4999999999998,1606890.0000000005,147111.70000000004,1390790.5999999999,210.39999999999992,105.39999999999999
210,1626459287,598.8000000000001,1606890.0000000005,147111.80000000005,1390738.8,310.5,249.10000000000002
211,1626459288,606.5000000000001,1606890.0000000005,147111.90000000005,1390719.4,269.0,134.89999999999998
212,1626459289,568.1,1606890.0000000005,147111.90000000005,1390901.6,282.9000000000001,152.29999999999998
213,1626459290,630.5999999999999,1606890.0000000005,147112.00000000003,1391294.5,163.70000000000005,150.79999999999995
214,1626459291,611.7,1606890.0000000005,147112.00000000003,1390794.0999999999,2925.5000000000014,2880.6000000000004
215,1626459292,461.4,1606890.0000000005,147112.00000000003,1391010.9,957.8999999999999,792.9999999999999
216,1626459293,499.00000000000006,1606890.0000000005,147112.00000000003,1391123.2000000002,578.3000000000001,561.7
217,1626459294,622.0,1606890.0000000005,147112.00000000003,1391138.3000000003,1159.8000000000002,1731.0
218,1626459295,652.6,1606890.0000000005,147112.00000000003,1390962.9000000004,2120.3,1161.1000000000004
219,1626459296,632.1999999999999,1606890.0000000005,147112.00000000003,1390959.8,346.4,228.49999999999997
220,1626459297,572.4000000000001,1606890.0000000005,147112.10000000003,1391050.1999999997,235.0,174.79999999999998
221,1626459298,575.7999999999998,1606890.0000000005,147112.10000000003,1391400.1999999997,280.5,197.1
222,1626459299,595.3,1606890.0000000005,147112.20000000004,1391524.9,3309.1999999999994,3140.3
223,1626459300,584.7,1606890.0000000005,147112.10000000003,1391473.0,383.5,163.10000000000002
224,1626459301,574.7,1606890.0000000005,147112.10000000003,1391884.4000000001,337.8,969.7000000000002
225,1626459302,622.7,1606890.0000000005,147112.30000000005,1391566.1,995.3000000000001,150.20000000000002
226,1626459303,586.7,1606890.0000000005,147112.20000000004,1391652.9000000001,299.3999999999999,189.79999999999998
227,1626459304,563.9000000000001,1606890.0000000005,147112.30000000005,1391304.2,487.4,332.4
228,1626459305,498.1000000000001,1606890.0000000005,147112.30000000005,1390805.0999999999,372.7000000000003,186.80000000000004
229,1626459306,474.2000000000001,1606890.0000000005,147112.30000000005,1390675.4,307.09999999999997,162.40000000000006
230,1626459307,477.69999999999993,1606890.0000000005,147112.50000000006,1390896.7000000002,265.2,171.60000000000002
