timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1626459541,1.3,64275.6,30982.6,30946.7,5.0,26.6
1626459542,0.5,64275.6,30982.6,30946.7,6.7,45.0
1626459543,1.2,64275.6,30982.6,30946.6,3.6,15.5
1626459544,0.7,64275.6,30982.6,30946.8,6.3,79.1
1626459545,0.7,64275.6,30982.6,30946.8,7.8,58.7
1626459546,1.0,64275.6,30982.6,30946.7,53.5,2458.6
1626459547,1.7,64275.6,30982.6,30947.1,24.0,1162.5
1626459548,3.3,64275.6,30982.6,30947.2,6.0,57.1
1626459549,1.3,64275.6,30982.6,31500.4,30.8,3238.2
1626459550,7.2,64275.6,30982.6,30946.0,11.6,44.4
1626459551,12.1,64275.6,30982.6,30945.5,8.1,31.6
1626459552,11.4,64275.6,30982.6,30945.5,10.5,35.0
1626459553,7.7,64275.6,30982.6,30945.7,15.5,63.1
1626459554,7.5,64275.6,30982.6,30971.1,14.3,112.9
1626459555,6.8,64275.6,30982.6,30971.5,5.6,29.4
1626459556,7.2,64275.6,30982.6,30946.0,5.9,18.3
1626459557,6.7,64275.6,30982.6,30946.0,10.0,41.4
1626459558,7.6,64275.6,30982.6,30946.0,10.1,49.1
1626459559,6.7,64275.6,30982.6,30945.7,8.7,51.4
1626459560,7.1,64275.6,30982.6,30946.1,9.4,48.7
1626459561,7.9,64275.6,30982.6,30945.8,11.2,764.1
1626459562,6.9,64275.6,30982.6,30945.9,6.9,38.7
1626459563,7.3,64275.6,30982.6,30958.1,9.3,50.2
1626459564,9.6,64275.6,30982.6,30948.4,3.5,17.1
1626459565,13.1,64275.6,30982.6,30948.8,10.9,45.1
1626459566,12.6,64275.6,30982.6,30948.5,5.0,46.8
1626459567,6.9,64275.6,30982.6,30948.9,10.3,66.2
1626459568,16.8,64275.6,30982.7,30949.3,10.1,16.4
1626459569,30.4,64275.6,30982.6,30949.5,5.3,1.9
1626459570,30.8,64275.6,30982.6,30949.5,11.6,52.5
1626459571,30.0,64275.6,30982.6,30974.1,6.2,37.9
1626459572,31.1,64275.6,30982.6,30974.3,7.7,45.2
1626459573,31.1,64275.6,30982.6,30973.9,4.1,14.8
1626459574,31.1,64275.6,30982.6,30974.4,7.8,79.1
1626459575,31.1,64275.6,30982.6,30948.6,9.2,58.8
1626459576,31.0,64275.6,30982.6,30949.0,9.4,45.3
1626459577,30.3,64275.6,30982.6,30949.1,5.7,25.2
1626459578,34.5,64275.6,30982.7,30949.1,8.6,61.0
1626459579,30.3,64275.6,30982.7,30949.3,4.1,14.5
1626459580,31.2,64275.6,30982.7,30949.3,11.1,57.1
1626459581,30.7,64275.6,30982.7,30950.6,12.6,23.4
1626459582,30.2,64275.6,30982.7,30952.1,9.4,34.0
1626459583,30.9,64275.6,30982.7,30953.4,12.6,61.6
1626459584,31.2,64275.6,30982.7,30955.0,11.3,89.6
1626459585,30.9,64275.6,30982.7,30958.9,6.0,29.1
1626459587,31.7,64275.6,30982.7,30963.2,5.5,17.6
1626459588,30.3,64275.6,30982.7,30967.1,10.5,44.8
1626459589,31.0,64275.6,30982.7,30971.2,9.0,45.1
1626459590,31.3,64275.6,30982.7,30974.1,6.2,50.2
1626459591,31.4,64275.6,30982.7,30979.9,8.5,48.4
1626459592,31.0,64275.6,30982.7,30983.4,11.1,762.7
1626459593,30.4,64275.6,30982.7,30985.7,29.0,52.5
1626459594,30.9,64275.6,30982.7,30990.4,8.6,50.0
1626459595,32.6,64275.6,30982.7,30994.0,6.1,31.8
1626459596,35.6,64275.6,30982.7,30997.9,9.9,30.8
1626459597,34.8,64275.6,30982.7,31000.5,5.2,46.4
1626459598,30.9,64275.6,30982.7,31004.4,10.4,65.3
1626459599,31.0,64275.6,30982.7,31008.5,7.4,15.7
1626459600,31.0,64275.6,30982.7,31013.1,5.9,19.7
1626459601,31.0,64275.6,30982.7,31017.5,6.0,32.3
1626459602,30.8,64275.6,30982.8,31022.0,7.7,53.2
1626459603,30.5,64275.6,30982.8,31026.8,5.9,29.7
1626459604,30.6,64275.6,30982.8,31030.7,5.6,15.0
1626459605,30.9,64275.6,30982.8,31036.7,9.8,109.2
1626459606,31.0,64275.6,30982.8,31041.9,5.6,28.7
1626459607,31.0,64275.6,30982.8,31047.6,9.4,45.3
1626459608,31.4,64275.6,30982.8,31053.6,5.1,17.3
1626459609,31.7,64275.6,30982.8,31060.0,9.7,69.0
1626459610,30.9,64275.6,30982.8,31064.6,5.9,28.3
1626459611,30.6,64275.6,30982.8,31069.7,9.8,59.9
1626459612,32.5,64275.6,30982.8,31074.6,2.4,1.1
1626459613,31.2,64275.6,30982.8,31079.8,11.3,50.4
1626459614,31.2,64275.6,30982.8,31086.0,17.0,73.2
1626459615,30.9,64275.6,30982.8,31091.1,7.5,61.8
1626459616,27.8,64275.6,30982.8,31096.4,5.6,28.8
1626459617,35.4,64275.6,30982.8,31102.7,6.0,17.8
1626459618,35.4,64275.6,30982.8,31108.4,8.9,37.0
1626459619,34.9,64275.6,30982.8,31115.2,10.3,53.1
1626459620,35.2,64275.6,30982.8,31121.7,6.6,50.4
1626459621,21.3,64275.6,30982.8,31124.6,13.9,49.0
1626459622,32.5,64275.6,30982.9,31131.8,9.9,762.5
1626459623,31.1,64275.6,30982.9,31138.6,6.5,38.0
1626459624,31.1,64275.6,30982.9,31147.3,16.3,54.5
1626459625,34.0,64275.6,30982.9,31178.8,9.2,55.1
1626459626,37.6,64275.6,30982.9,31183.8,11.8,31.4
1626459627,35.3,64275.6,30982.9,31189.7,5.0,46.6
1626459628,31.3,64275.6,30982.9,31198.2,11.9,59.2
1626459629,31.5,64275.6,30982.9,31230.6,11.7,47.0
1626459630,30.5,64275.6,30982.9,31213.8,5.9,19.8
1626459631,31.4,64275.6,30982.9,31222.1,7.7,46.2
1626459632,31.0,64275.6,30982.9,31230.4,4.6,30.1
1626459633,31.3,64275.6,30982.9,31213.5,5.7,15.8
1626459634,30.8,64275.6,30982.9,31222.3,8.4,61.7
1626459635,30.2,64275.6,30982.9,31230.2,8.2,62.3
1626459636,31.4,64275.6,30982.9,31238.8,4.6,28.9
1626459637,30.8,64275.6,30982.9,31246.2,11.9,45.8
1626459638,27.2,64275.6,30982.9,31296.5,8.5,41.8
1626459639,32.7,64275.6,30982.9,31302.4,10.3,69.2
1626459640,26.2,64275.6,30982.9,31307.4,5.7,28.1
1626459641,26.9,64275.6,30982.9,31311.8,10.3,59.8
1626459642,30.9,64275.6,30982.9,31303.7,3.5,1.5
1626459643,29.8,64275.6,30982.9,31352.4,15.1,64.4
1626459644,18.3,64275.6,30982.9,31384.3,16.7,105.9
1626459645,30.2,64275.6,30982.9,31388.5,7.7,15.8
1626459646,31.8,64275.6,30982.9,31395.5,6.1,29.9
1626459647,29.7,64275.6,30982.9,31401.8,4.9,34.3
1626459648,31.5,64275.6,30982.9,31408.7,10.2,35.5
1626459649,30.1,64275.6,30982.9,31414.0,9.6,37.2
1626459650,30.5,64275.6,30982.9,31420.9,7.0,50.7
1626459651,33.1,64275.6,30982.9,31599.6,11.0,62.1
1626459652,33.9,64275.6,30982.9,31451.6,10.9,748.3
1626459653,27.0,64275.6,30982.9,31512.6,7.7,38.6
1626459654,30.0,64275.6,30982.9,31515.8,11.6,52.2
1626459655,32.6,64275.6,30982.9,31429.2,7.3,31.9
1626459656,34.5,64275.6,30982.9,31572.1,10.2,30.9
1626459657,36.5,64275.6,30982.9,31547.3,7.7,60.5
1626459658,8.9,64275.6,30982.9,31436.8,11.9,45.6
1626459659,14.6,64275.6,30982.9,31396.7,20.4,28.2
1626459660,6.8,64275.6,30982.9,31396.8,17.3,21.5
1626459661,11.9,64275.6,30982.9,31396.9,21.1,50.1
1626459662,30.8,64275.6,30982.9,31401.1,5.8,30.1
1626459663,31.7,64275.6,30982.9,31584.1,4.3,15.6
1626459664,31.6,64275.6,30982.9,31461.9,9.0,61.8
1626459665,17.4,64275.6,30982.9,31264.6,10.1,76.8
1626459666,16.6,64275.6,30982.9,31265.6,4.8,15.6
1626459667,7.5,64275.6,30982.9,31265.7,7.3,44.8
1626459668,22.9,64275.6,30982.9,31357.9,8.0,17.9
1626459669,30.9,64275.6,30982.9,31233.7,10.7,82.6
1626459670,15.7,64275.6,30982.9,31193.2,4.0,15.0
1626459671,31.0,64275.6,30982.9,31194.5,11.2,59.8
1626459672,35.2,64275.6,30982.9,31195.6,12.3,7.3
1626459673,27.5,64275.6,30982.9,31196.5,17.7,78.9
1626459674,31.1,64275.6,30982.9,31283.2,10.4,90.6
1626459675,32.6,64275.6,30982.9,31123.8,7.3,29.3
1626459676,14.9,64275.6,30982.9,31082.9,5.3,16.1
1626459677,26.7,64275.6,30982.9,31083.0,6.9,34.2
1626459678,31.1,64275.6,30982.9,31103.0,12.5,49.8
1626459679,31.4,64275.6,30982.9,31083.2,6.2,22.4
1626459680,31.4,64275.6,30982.9,31083.1,6.9,51.7
1626459681,31.1,64275.6,30982.9,31089.0,12.9,175.5
1626459682,31.0,64275.6,30982.9,31089.4,8.3,649.7
1626459683,30.5,64275.6,30982.9,31089.4,28.2,38.5
1626459684,31.4,64275.6,30982.9,31089.6,7.9,65.8
1626459685,31.5,64275.6,30982.9,31089.6,10.0,17.6
1626459686,13.0,64275.6,30982.9,31089.6,14.5,32.9
1626459687,29.6,64275.6,30983.0,31089.7,8.0,60.0
1626459688,32.6,64275.6,30983.0,31092.5,9.5,45.0
1626459689,31.7,64275.6,30983.0,31090.9,7.8,15.9
1626459690,30.8,64275.6,30983.0,31093.2,6.2,40.0
1626459691,30.7,64275.6,30983.0,31096.2,6.2,32.5
1626459692,26.5,64275.6,30983.0,31097.6,6.2,43.8
1626459693,30.0,64275.6,30983.0,31100.1,3.9,1.7
1626459694,30.7,64275.6,30983.0,31103.3,8.0,61.5
1626459695,29.9,64275.6,30983.0,31104.5,9.0,76.5
1626459696,32.3,64275.6,30983.0,31123.6,7.8,29.9
1626459697,31.8,64275.6,30983.0,31109.7,6.1,30.5
1626459698,22.4,64275.6,30983.0,31124.5,9.5,32.5
1626459699,31.4,64275.6,30983.0,31112.4,7.3,60.3
1626459700,30.3,64275.6,30983.0,31114.9,6.0,37.9
1626459701,31.2,64275.6,30983.0,31118.7,9.0,44.0
1626459702,32.9,64275.6,30983.0,31121.9,2.0,0.9
1626459703,30.5,64275.6,30983.0,31125.7,17.6,78.9
1626459704,31.0,64275.6,30983.1,31129.6,13.3,91.2
1626459705,30.9,64275.6,30983.1,31133.5,6.8,29.3
1626459706,30.8,64275.6,30983.1,31138.3,5.7,16.0
