record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1626459541,30.7,1606890.0000000005,147110.49999999997,1390443.4999999998,118.99999999999996,137.80000000000004
1,1626459542,20.700000000000006,1606890.0000000005,147110.39999999997,1390444.7000000002,199.10000000000002,124.4
2,1626459543,19.399999999999995,1606890.0000000005,147110.39999999997,1390433.2,224.80000000000004,50.300000000000004
3,1626459544,25.199999999999996,1606890.0000000005,147110.49999999997,1390471.4000000004,273.4,167.50000000000003
4,1626459545,18.400000000000006,1606890.0000000005,147110.39999999997,1390517.0,108.39999999999999,146.30000000000004
5,1626459546,30.3,1606890.0000000005,147110.49999999997,1390629.4000000001,17468.599999999995,28709.6
6,1626459547,49.39999999999999,1606890.0000000005,147110.59999999998,1390561.0999999999,62128.8,50806.100000000006
7,1626459548,34.3,1606890.0000000005,147110.59999999998,1390099.3999999997,577.8000000000001,209.5
8,1626459549,52.7,1606890.0000000005,147087.59999999998,1392693.0000000002,67935.29999999999,75545.39999999998
9,1626459550,165.00000000000003,1606890.0000000005,147081.19999999998,1390365.7,13825.900000000001,5626.5
10,1626459551,183.10000000000002,1606890.0000000005,147081.19999999998,1390278.4,663.5,347.3000000000001
11,1626459552,178.50000000000003,1606890.0000000005,147081.19999999998,1390206.0999999999,601.3000000000001,278.9
12,1626459553,171.2,1606890.0000000005,147081.39999999997,1390246.2999999996,433.9,279.70000000000005
13,1626459554,177.20000000000002,1606890.0000000005,147081.39999999997,1390273.0999999999,491.70000000000005,331.79999999999995
14,1626459555,169.0,1606890.0000000005,147081.39999999997,1390325.0999999996,253.29999999999995,205.60000000000002
15,1626459556,168.5,1606890.0000000005,147081.59999999998,1390313.9,162.99999999999994,131.29999999999998
16,1626459557,172.39999999999995,1606890.0000000005,147081.49999999997,1390213.9,427.90000000000003,366.79999999999995
17,1626459558,168.2,1606890.0000000005,147081.49999999997,1390046.0,200.29999999999998,193.00000000000003
18,1626459559,177.20000000000002,1606890.0000000005,147081.49999999997,1389978.3,170.3,155.9
19,1626459560,191.20000000000002,1606890.0000000005,147081.4,1390007.8,190.4,168.9
20,1626459561,207.99999999999997,1606890.0000000005,147081.59999999998,1389969.7,308.9,918.2
21,1626459562,223.90000000000003,1606890.0000000005,147081.59999999998,1389913.3,770.0999999999999,146.9
22,1626459563,326.90000000000003,1606890.0000000005,147081.59999999998,1389780.1,176.1,148.20000000000002
23,1626459564,424.00000000000006,1606890.0000000005,147081.69999999998,1389795.3,127.7,125.00000000000001
24,1626459565,472.3,1606890.0000000005,147081.69999999998,1389822.2999999996,162.89999999999998,212.50000000000003
25,1626459566,514.0000000000001,1606890.0000000005,147081.69999999998,1389849.7999999998,180.29999999999995,190.6
26,1626459567,557.7,1606890.0000000005,147081.8,1389792.4999999998,395.79999999999995,373.0999999999999
27,1626459568,582.8,1606890.0000000005,147082.0,1389799.6,124.29999999999997,109.59999999999997
28,1626459569,628.6999999999999,1606890.0000000005,147081.9,1389710.3000000003,85.90000000000003,73.69999999999999
29,1626459570,652.5,1606890.0000000005,147081.8,1389687.0000000002,214.20000000000005,196.70000000000002
30,1626459571,677.4000000000001,1606890.0000000005,147082.0,1389712.3,125.70000000000002,137.8
31,1626459572,688.5,1606890.0000000005,147081.9,1389690.5,106.6,115.00000000000001
32,1626459573,707.0999999999999,1606890.0000000005,147081.9,1389751.7000000002,122.60000000000002,115.7
33,1626459574,700.2999999999998,1606890.0000000005,147082.0,1389730.0999999999,143.59999999999997,137.7
34,1626459575,697.8,1606890.0000000005,147082.0,1389707.3,167.49999999999997,151.99999999999997
35,1626459576,724.5999999999999,1606890.0000000005,147082.2,1389754.7,118.70000000000002,132.1
36,1626459577,728.9999999999999,1606890.0000000005,147082.2,1389724.9000000001,126.39999999999999,297.8
37,1626459578,723.0,1606890.0000000005,147082.30000000002,1389807.7,333.3000000000001,231.89999999999998
38,1626459579,725.5,1606890.0000000005,147082.30000000002,1389803.8,91.40000000000002,67.89999999999999
39,1626459580,718.5000000000001,1606890.0000000005,147082.40000000002,1389762.5999999999,278.0,170.89999999999998
40,1626459581,683.6,1606890.0000000005,147082.50000000003,1389778.7000000002,321.09999999999997,196.40000000000003
41,1626459582,735.1999999999998,1606890.0000000005,147082.50000000003,1389797.0999999999,313.09999999999997,170.70000000000005
