timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1626449862,1.0,64275.6,4859.6,55567.2,2.9,8.1
1626449863,0.7,64275.6,4859.6,55567.1,2.0,0.6
1626449864,1.3,64275.6,4859.6,55567.1,32.3,5.1
1626449865,2.2,64275.6,4859.6,55592.8,5.2,24.3
1626449866,1.1,64275.6,4859.6,55592.9,0.9,0.5
1626449867,0.4,64275.6,4859.6,55592.9,0.8,0.4
1626449868,0.4,64275.6,4859.6,55602.6,5.3,229.2
1626449869,1.1,64275.6,4859.6,55577.5,56.3,2831.4
1626449870,2.1,64275.6,4859.6,55607.7,54.6,7305.6
1626449871,0.7,64275.6,4859.7,55585.5,7.9,18.5
1626449872,0.6,64275.6,4859.7,55585.5,2.2,8.1
1626449873,0.8,64275.6,4859.7,55585.5,0.9,0.5
1626449874,0.4,64275.6,4859.7,55585.5,0.7,0.6
1626449875,1.8,64275.6,4859.7,55593.6,30.9,1488.1
1626449876,1.1,64275.6,4859.7,55593.5,78.9,4660.2
1626449877,4.8,64275.6,4859.7,55607.2,31.7,2399.0
1626449878,5.9,64275.6,4859.7,55628.5,4.4,0.7
1626449879,6.5,64275.6,4859.7,56343.6,1.7,2.2
1626449880,6.5,64275.6,4859.7,56345.8,7.5,2.1
1626449881,9.3,64275.6,4859.7,56352.2,8.6,2.1
1626449882,19.6,64275.6,4859.7,56364.8,3.8,8.3
1626449883,11.1,64275.6,4859.7,56368.2,5.3,4.9
1626449884,6.6,64275.6,4859.7,56369.1,4.2,1.4
1626449885,8.0,64275.6,4859.7,56368.8,2.8,0.9
1626449886,7.3,64275.6,4859.7,56372.6,4.0,1.2
1626449887,9.7,64275.6,4859.7,56379.7,2.8,1.2
1626449888,6.4,64275.6,4859.7,56379.7,4.1,1.3
1626449889,7.1,64275.6,4859.7,56379.8,18.4,3.3
1626449890,6.4,64275.6,4859.7,56380.6,4.4,1.3
1626449891,6.6,64275.6,4859.7,56381.2,3.7,1.5
1626449892,6.6,64275.6,4859.7,56381.7,5.6,9.0
1626449893,6.8,64275.6,4859.7,56389.2,4.4,1.2
1626449894,8.0,64275.6,4859.7,56389.4,32.3,3.8
1626449895,7.8,64275.6,4859.7,56389.4,1.9,0.8
1626449896,6.5,64275.6,4859.7,56389.4,2.2,1.0
1626449897,7.0,64275.6,4859.7,56389.5,12.0,8.9
1626449898,6.4,64275.6,4859.8,56389.5,2.2,1.7
1626449899,6.8,64275.6,4859.8,56391.6,4.1,2.7
1626449900,6.5,64275.6,4859.8,56391.1,2.9,1.4
1626449901,6.5,64275.6,4859.8,56391.2,3.2,0.9
1626449902,6.9,64275.6,4859.8,56396.6,7.6,9.6
1626449903,7.2,64275.6,4859.8,56421.3,5.1,25.5
1626449904,6.5,64275.6,4859.8,56421.7,3.7,1.4
1626449905,7.9,64275.6,4859.8,56396.9,3.5,1.8
1626449906,6.8,64275.6,4859.8,56396.9,3.6,1.4
1626449907,9.3,64275.6,4859.8,56402.6,3.3,1.1
1626449908,6.5,64275.6,4859.8,56402.9,10.9,5.2
1626449909,7.1,64275.6,4859.8,56405.7,4.1,3.3
1626449910,6.5,64275.6,4859.8,56406.2,2.3,1.0
1626449911,6.8,64275.6,4859.8,56406.2,2.5,1.2
1626449912,6.5,64275.6,4859.8,56406.4,3.6,1.0
1626449913,6.8,64275.6,4859.8,56406.5,6.8,911.5
1626449914,6.5,64275.6,4859.8,56406.6,4.3,125.4
1626449915,8.0,64275.6,4859.8,56406.5,2.1,0.6
1626449916,9.6,64275.6,4859.8,56412.4,3.6,1.5
1626449917,6.5,64275.6,4859.8,56412.4,3.5,1.5
1626449918,9.6,64275.6,4859.8,56414.0,5.5,159.9
1626449919,7.4,64275.6,4859.8,56413.8,36.9,15.8
1626449920,6.6,64275.6,4859.8,56414.9,6.2,2.2
1626449921,21.2,64275.6,4859.8,56449.7,4.6,23.7
1626449922,6.4,64275.6,4859.8,56450.1,2.2,0.7
1626449923,7.0,64275.6,4859.8,56450.1,3.6,8.7
1626449924,7.4,64275.6,4859.8,56450.4,31.4,3.2
1626449925,7.8,64275.6,4859.8,56424.5,2.2,1.1
1626449926,6.4,64275.6,4859.8,56424.5,1.4,0.6
1626449927,6.6,64275.6,4859.8,56424.5,1.8,0.7
1626449928,6.5,64275.6,4859.8,56424.5,1.7,1.0
1626449929,7.7,64275.6,4859.8,56424.5,5.2,2.4
1626449930,6.6,64275.6,4859.8,56424.6,1.7,0.8
1626449931,6.5,64275.6,4859.8,56424.6,1.8,1.1
1626449932,17.1,64275.6,4859.8,56433.9,1.5,0.8
1626449933,6.8,64275.6,4859.8,56434.5,2.7,8.4
1626449934,6.6,64275.6,4859.8,56434.0,1.7,0.9
1626449935,8.0,64275.6,4859.8,56435.2,2.7,1.0
1626449936,6.9,64275.6,4859.8,56459.4,4.8,24.4
1626449937,6.5,64275.6,4859.8,56459.8,1.6,1.0
1626449938,6.4,64275.6,4859.8,56459.8,2.8,0.9
1626449939,7.1,64275.6,4859.8,56460.0,2.7,2.6
1626449940,20.8,64275.6,4859.8,56460.1,25.4,1999.4
1626449941,30.4,64275.6,4859.8,56435.3,38.0,6036.9
1626449942,29.9,64275.6,4859.8,56435.7,17.2,116.3
1626449943,31.1,64275.6,4859.8,56437.3,5.8,1354.9
1626449944,30.3,64275.6,4859.8,56438.1,7.2,1544.3
