timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1626455265,1.7,64275.6,4839.6,55500.7,2.3,2.5
1626455266,0.4,64275.6,4839.6,55499.7,0.7,0.5
1626455267,1.1,64275.6,4839.6,55499.7,16.6,1.3
1626455268,0.6,64275.6,4839.6,55499.7,0.8,0.5
1626455269,1.4,64275.6,4839.6,55499.8,0.7,0.5
1626455270,0.2,64275.6,4839.6,55499.8,0.7,0.5
1626455271,1.1,64275.6,4839.6,55500.0,14.7,2.0
1626455272,0.9,64275.6,4839.6,55510.1,57.1,2922.3
1626455273,1.5,64275.6,4839.6,55510.4,114.8,6640.8
1626455274,3.2,64275.6,4839.6,55543.3,21.7,1410.2
1626455275,0.6,64275.6,4839.6,55517.3,1.2,18.6
1626455276,0.5,64275.6,4839.6,55517.3,2.6,2.0
1626455277,0.4,64275.6,4839.6,55517.3,0.9,0.6
1626455278,0.4,64275.6,4839.6,55517.3,1.9,0.4
1626455279,2.9,64275.6,4839.6,55524.4,118.4,5603.9
1626455280,5.3,64275.6,4839.6,55548.2,40.5,1934.9
1626455281,6.2,64275.6,4839.6,55563.9,0.3,0.3
1626455282,5.9,64275.6,4839.6,56276.5,5.8,1.8
1626455283,7.3,64275.6,4839.6,56281.5,7.2,8.9
1626455284,7.4,64275.6,4839.6,56287.2,6.8,2.1
1626455285,6.7,64275.6,4839.6,56286.9,3.3,1.2
1626455286,6.5,64275.6,4839.6,56287.4,3.5,1.2
1626455287,7.0,64275.6,4839.6,56293.5,2.0,4.6
1626455288,6.6,64275.6,4839.6,56293.6,3.4,1.3
1626455289,7.5,64275.6,4839.6,56294.1,16.6,2.7
1626455290,6.7,64275.6,4839.6,56294.7,4.2,1.5
1626455291,6.6,64275.6,4839.6,56301.1,4.9,1.5
1626455292,6.8,64275.6,4839.6,56302.1,3.5,1.4
1626455293,6.9,64275.6,4839.7,56306.1,7.4,2.1
1626455294,8.1,64275.6,4839.6,56307.7,5.4,9.1
1626455295,7.1,64275.6,4839.7,56336.9,6.0,23.9
1626455296,6.5,64275.6,4839.7,56337.3,2.5,0.9
1626455297,7.5,64275.6,4839.7,56312.9,21.2,3.1
1626455298,6.8,64275.6,4839.7,56337.4,5.1,24.4
1626455299,7.2,64275.6,4839.7,56341.2,2.7,1.2
1626455300,6.7,64275.6,4839.7,56315.5,5.1,429.1
1626455301,7.1,64275.6,4839.7,56315.8,18.6,665.8
1626455302,6.6,64275.6,4839.7,56318.9,3.9,62.4
1626455303,6.8,64275.6,4839.7,56319.1,3.4,1.2
1626455304,7.5,64275.6,4839.7,56319.5,3.7,8.4
1626455305,6.7,64275.6,4839.7,56334.9,2.2,1.0
1626455306,6.5,64275.6,4839.7,56335.3,3.0,2.3
1626455307,6.7,64275.6,4839.7,56335.4,1.6,1.1
1626455308,6.5,64275.6,4839.7,56335.4,2.5,1.0
1626455309,7.8,64275.6,4839.7,56335.4,1.3,0.6
1626455310,6.7,64275.6,4839.7,56335.5,1.0,0.5
1626455311,6.7,64275.6,4839.7,56335.5,1.6,0.9
1626455312,7.1,64275.6,4839.7,56336.7,1.7,1.0
1626455313,7.0,64275.6,4839.7,56336.1,1.6,0.9
1626455314,7.5,64275.6,4839.7,56336.1,2.6,7.7
1626455315,7.1,64275.6,4839.7,56336.0,3.6,2.4
1626455316,6.7,64275.6,4839.7,56336.0,1.5,1.0
1626455317,6.6,64275.6,4839.7,56338.8,1.5,1.0
1626455318,6.5,64275.6,4839.7,56341.7,2.2,1.0
1626455319,7.6,64275.6,4839.7,56342.2,15.1,2.4
1626455320,6.6,64275.6,4839.7,56341.8,2.1,1.1
1626455321,6.6,64275.6,4839.7,56342.2,54.3,7753.7
