record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1626455265,33.3,1606890.0000000005,146994.8,1347783.1,180.29999999999998,169.5
1,1626455266,18.6,1606890.0000000005,146994.9,1347859.6,135.7,152.9
2,1626455267,21.599999999999998,1606890.0000000005,146994.9,1347831.4000000001,209.9,93.79999999999998
3,1626455268,22.8,1606890.0000000005,146994.8,1347852.1000000003,101.99999999999999,135.49999999999997
4,1626455269,32.99999999999999,1606890.0000000005,146994.8,1347863.5999999999,182.49999999999994,101.50000000000003
5,1626455270,25.299999999999997,1606890.0000000005,146994.8,1347942.0999999999,107.50000000000001,128.60000000000002
6,1626455271,29.200000000000003,1606890.0000000005,146994.8,1347961.6,353.8,272.8999999999999
7,1626455272,40.300000000000004,1606890.0000000005,146994.9,1348400.7999999998,57990.60000000001,70373.40000000001
8,1626455273,55.4,1606890.0000000005,146994.9,1348724.2,122349.20000000004,119677.00000000001
9,1626455274,55.699999999999996,1606890.0000000005,146995.0,1348902.5999999999,47382.399999999994,38038.7
10,1626455275,38.80000000000002,1606890.0000000005,146995.19999999998,1348417.3999999997,538.9000000000002,491.3
11,1626455276,32.800000000000004,1606890.0000000005,146995.19999999998,1348406.0999999996,112.69999999999997,135.2
12,1626455277,27.299999999999997,1606890.0000000005,146995.19999999998,1348385.8999999994,108.5,111.19999999999999
13,1626455278,25.8,1606890.0000000005,146995.09999999998,1348822.8,130.8,157.1
14,1626455279,37.699999999999996,1606890.0000000005,146995.09999999998,1349123.2999999998,73457.79999999996,82918.99999999999
15,1626455280,70.99999999999999,1606890.0000000005,146995.59999999998,1349243.9000000001,122262.4,129253.3
16,1626455281,155.69999999999996,1606890.0000000005,146997.6,1351164.5999999999,33527.70000000002,16945.4
17,1626455282,157.6,1606890.0000000005,146999.2,1363213.6999999995,161.60000000000005,153.9
18,1626455283,172.20000000000005,1606890.0000000005,146999.6,1366996.4999999995,508.19999999999993,357.19999999999993
19,1626455284,174.0,1606890.0000000005,146999.6,1367058.5999999999,230.50000000000006,206.70000000000002
20,1626455285,172.09999999999997,1606890.0000000005,146999.6,1367103.3,223.79999999999998,158.50000000000006
21,1626455286,168.8,1606890.0000000005,146999.6,1367167.0999999996,158.5,103.80000000000001
22,1626455287,169.3,1606890.0000000005,146999.6,1367260.5,156.79999999999998,111.4
