timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1630396981,3.2,64275.5,4977.8,52185.2,149.0,29.7
1630396982,2.7,64275.5,4977.8,52185.0,162.2,42.1
1630396983,1.9,64275.5,4977.8,52185.0,152.9,24.2
1630396984,2.9,64275.5,4977.8,52185.2,124.7,25.0
1630396985,2.3,64275.5,4977.8,52186.3,148.3,29.5
1630396986,2.8,64275.5,4977.9,52186.5,133.0,24.4
1630396987,2.1,64275.5,4977.8,52186.5,131.3,22.7
1630396988,2.2,64275.5,4977.8,52186.6,132.5,24.2
1630396989,2.9,64275.5,4977.9,52187.0,136.9,34.0
1630396990,1.7,64275.5,4977.8,52186.7,136.9,23.8
1630396991,2.4,64275.5,4977.9,52186.9,136.8,23.2
1630396992,1.9,64275.5,4977.9,52186.9,138.5,24.3
1630396993,2.7,64275.5,4977.9,52187.1,155.7,33.0
1630396994,4.3,64275.5,4977.9,52187.7,137.8,32.2
1630396995,1.9,64275.5,4977.9,52187.7,136.6,30.6
1630396996,2.0,64275.5,4977.9,52188.1,136.0,23.2
1630396997,2.5,64275.5,4977.9,52188.1,155.7,43.6
1630396998,2.7,64275.5,4977.9,52188.0,162.0,25.7
1630396999,3.5,64275.5,4977.9,52188.2,139.5,24.9
1630397000,1.9,64275.5,4977.9,52188.2,128.9,33.9
1630397001,2.5,64275.5,4977.9,52188.6,151.9,25.8
1630397002,1.8,64275.5,4977.9,52188.4,137.0,31.6
1630397003,2.7,64275.5,4977.9,52188.9,135.2,32.8
1630397004,2.9,64275.5,4977.9,52188.7,177.9,34.8
1630397005,2.5,64275.5,4977.9,52188.7,139.9,26.3
1630397006,2.0,64275.5,4977.9,52189.0,137.1,24.1
1630397007,2.1,64275.5,4977.9,52189.1,139.7,24.5
1630397008,2.4,64275.5,4977.9,52189.0,137.8,32.6
1630397009,2.6,64275.5,4977.9,52189.2,137.6,23.9
1630397010,2.0,64275.5,4977.9,52189.2,138.2,41.4
1630397011,2.6,64275.5,4977.9,52189.7,158.2,25.3
1630397012,3.4,64275.5,4977.9,52189.6,179.9,46.2
1630397013,2.7,64275.5,4977.9,52189.4,137.0,24.3
1630397014,2.9,64275.5,4977.9,52189.6,135.7,23.3
1630397015,1.9,64275.5,4977.9,52189.6,137.1,27.2
1630397016,2.0,64275.5,4977.9,52189.8,125.4,22.7
1630397017,2.0,64275.5,4977.9,52193.8,131.5,23.1
1630397018,2.4,64275.5,4977.9,52193.7,127.4,23.3
1630397019,3.2,64275.5,4977.9,52193.9,129.7,22.1
1630397020,1.9,64275.5,4977.9,52193.9,137.3,35.7
1630397021,2.3,64275.5,4977.9,52194.0,132.8,23.5
1630397022,2.0,64275.5,4977.9,52194.2,135.0,24.1
1630397023,3.3,64275.5,4977.9,52194.2,152.5,32.9
1630397024,2.4,64275.5,4977.9,52195.5,135.1,24.6
1630397025,2.8,64275.5,4977.9,52207.9,137.6,39.9
1630397026,1.9,64275.5,4977.9,52208.2,134.0,24.5
1630397027,3.2,64275.5,4977.9,52197.3,175.4,48.1
1630397028,2.5,64275.5,4977.9,52196.6,133.1,24.3
1630397029,2.7,64275.5,4977.9,52196.8,145.8,32.2
1630397030,2.0,64275.5,4977.9,52196.8,135.5,34.5
1630397031,3.9,64275.5,4977.9,52196.6,146.8,25.0
1630397032,5.4,64275.5,4977.9,52196.9,126.5,24.0
1630397033,3.1,64275.5,4977.9,52197.0,169.3,27.3
