timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1634224641,1.2,64275.5,10019.5,51639.9,4.5,6.5
1634224642,0.7,64275.5,10019.5,51639.9,2.6,13.5
1634224643,1.8,64275.5,10019.5,51640.9,15.3,19.7
1634224644,1.2,64275.5,10019.5,51639.9,4.4,23.4
1634224645,1.4,64275.5,10019.5,51640.1,43.1,10.8
1634224646,1.5,64275.5,10019.5,51641.2,26.4,29.3
1634224647,1.4,64275.5,10019.5,51653.4,6.2,22.8
1634224648,1.7,64275.5,10019.6,51653.7,3.0,5.0
1634224649,0.7,64275.5,10019.5,51640.1,4.2,4.8
1634224650,1.0,64275.5,10019.5,51640.7,39.4,8.4
1634224651,3.7,64275.5,10020.0,51654.6,20.2,318.1
1634224652,6.4,64275.5,10021.1,51672.4,1.8,3.9
1634224653,7.5,64275.5,10021.7,51694.3,7.9,10.3
1634224654,6.6,64275.5,10022.2,51725.6,5.0,38.3
1634224655,8.6,64275.5,10022.8,51729.1,59.1,9.0
1634224656,6.7,64275.5,10022.9,51730.1,12.5,14.0
1634224657,6.6,64275.5,10022.9,51732.4,5.1,29.2
1634224658,7.5,64275.5,10022.9,51734.7,19.8,13.6
1634224659,6.8,64275.5,10022.9,51736.6,2.4,13.5
1634224660,6.8,64275.5,10022.9,51739.0,20.8,8.3
1634224662,7.7,64275.5,10022.9,51741.1,22.9,25.3
1634224663,7.0,64275.5,10022.9,51743.1,3.3,4.8
1634224664,7.7,64275.5,10022.9,51745.3,22.8,11.8
1634224665,7.1,64275.5,10022.9,51747.3,24.9,15.3
1634224666,7.4,64275.5,10022.9,51748.6,39.9,7.6
1634224667,6.6,64275.5,10022.9,51751.4,9.9,9.6
1634224668,7.5,64275.5,10022.9,51753.2,36.5,23.0
1634224669,7.4,64275.5,10022.9,51754.7,2.8,4.6
1634224670,7.1,64275.5,10022.9,51757.4,3.0,9.9
1634224671,6.7,64275.5,10022.9,51759.5,19.5,6.4
1634224672,6.7,64275.5,10022.9,51766.4,3.5,4.4
1634224673,7.6,64275.5,10023.1,51769.9,4.5,13.8
1634224674,7.5,64275.5,10023.1,51770.5,7.3,10.9
1634224675,6.7,64275.5,10023.2,51770.0,5.2,23.5
1634224676,7.5,64275.5,10023.2,51770.1,39.2,7.1
1634224677,13.2,64275.5,10023.2,51770.1,27.4,30.8
1634224678,7.0,64275.5,10023.2,51771.3,6.0,19.9
1634224679,7.7,64275.5,10023.2,51771.3,3.6,4.9
1634224680,6.7,64275.5,10023.2,51771.3,4.6,4.8
1634224681,8.2,64275.5,10023.2,51795.9,40.2,31.2
1634224682,7.0,64275.5,10023.2,51795.9,3.1,3.9
1634224683,6.6,64275.5,10023.2,51795.9,3.7,5.0
1634224684,7.5,64275.5,10023.2,51795.9,7.0,10.7
1634224685,6.8,64275.5,10023.2,51770.2,5.3,14.0
1634224686,8.1,64275.5,10023.2,51770.6,58.4,9.0
1634224687,7.7,64275.5,10023.2,51770.7,11.9,23.7
1634224688,6.6,64275.5,10023.2,51771.2,4.1,17.4
1634224689,7.7,64275.5,10023.2,51771.9,19.9,17.0
1634224690,7.7,64275.5,10023.4,51770.7,14.1,9.5
1634224691,6.8,64275.5,10023.4,51770.1,18.8,12.7
1634224692,7.3,64275.5,10023.4,51770.1,23.4,21.0
1634224693,6.6,64275.5,10023.4,51770.1,3.8,4.5
1634224694,8.6,64275.5,10023.5,51770.0,41.8,14.9
1634224695,6.9,64275.5,10023.5,51777.4,5.6,12.7
1634224696,7.6,64275.5,10023.6,51770.0,40.4,8.5
1634224697,6.8,64275.5,10023.6,51770.0,10.2,11.0
1634224698,6.8,64275.5,10023.6,51770.0,36.5,27.8
1634224699,7.5,64275.5,10023.6,51769.9,2.9,5.0
1634224700,6.7,64275.5,10023.6,51770.1,6.0,4.7
1634224701,6.9,64275.5,10023.6,51770.1,16.5,6.5
1634224702,7.4,64275.5,10023.6,51770.1,3.3,13.0
1634224703,6.9,64275.5,10023.6,51770.1,3.0,4.6
1634224704,8.1,64275.5,10023.6,51770.3,10.7,21.8
1634224705,6.6,64275.5,10023.6,51770.8,3.7,5.4
1634224706,7.5,64275.5,10023.6,51773.9,41.9,26.0
1634224707,7.7,64275.5,10023.6,51775.7,24.8,22.0
1634224708,6.7,64275.5,10023.6,51778.5,4.5,16.4
1634224709,7.3,64275.5,10023.6,51779.8,3.2,10.6
1634224710,7.2,64275.5,10023.6,51788.6,7.9,4.2
1634224711,7.8,64275.5,10023.8,51779.3,36.8,7.8
1634224712,7.0,64275.5,10023.8,51779.3,3.6,4.2
1634224713,6.6,64275.5,10023.8,51779.3,3.0,4.4
1634224714,7.5,64275.5,10023.9,51779.3,6.8,10.2
1634224715,6.6,64275.5,10023.9,51779.3,3.1,5.2
1634224716,8.8,64275.5,10023.9,51779.8,62.5,38.6
1634224717,6.8,64275.5,10023.9,51779.8,11.6,27.6
1634224718,6.6,64275.5,10023.9,51780.6,5.1,14.8
1634224719,8.0,64275.5,10023.9,51793.7,23.6,23.3
1634224720,6.8,64275.5,10023.9,51793.7,9.5,6.4
1634224721,7.1,64275.5,10023.9,51793.5,14.2,21.0
1634224722,7.6,64275.5,10023.9,51793.5,22.2,11.0
1634224723,6.6,64275.5,10023.9,51779.9,3.5,5.2
1634224724,8.1,64275.5,10023.9,51780.4,53.8,22.1
1634224725,6.6,64275.5,10023.9,51780.1,4.3,4.8
1634224726,7.8,64275.5,10023.9,51780.6,43.8,17.5
1634224727,6.9,64275.5,10023.9,51782.8,24.3,17.7
1634224728,7.5,64275.5,10023.9,51774.9,20.9,13.1
1634224729,7.9,64275.5,10023.9,51774.8,2.9,4.5
1634224730,7.4,64275.5,10023.9,51774.8,10.4,4.7
1634224731,6.8,64275.5,10023.9,51774.8,11.9,6.0
1634224732,6.7,64275.5,10023.9,51774.8,3.8,13.5
1634224733,6.8,64275.5,10023.9,51774.8,2.8,4.5
1634224734,7.8,64275.5,10024.0,51774.8,7.3,20.0
1634224735,6.6,64275.5,10024.0,51774.8,3.5,5.7
1634224736,7.6,64275.5,10024.0,51774.9,44.9,32.5
1634224737,10.4,64275.5,10024.0,51774.9,24.4,23.8
1634224738,9.8,64275.5,10024.0,51782.0,3.9,9.4
1634224739,7.3,64275.5,10024.0,51774.9,3.2,4.9
1634224740,6.7,64275.5,10024.0,51774.9,16.4,6.2
1634224741,7.8,64275.5,10024.0,51774.9,26.6,9.1
1634224742,6.8,64275.5,10024.0,51775.0,3.0,3.8
1634224743,6.7,64275.5,10024.0,51775.0,3.0,4.5
1634224744,7.5,64275.5,10024.0,51775.4,7.5,10.3
1634224745,7.4,64275.5,10024.0,51804.9,3.1,4.7
1634224746,8.6,64275.5,10024.0,51774.8,64.0,19.2
1634224747,7.4,64275.5,10024.0,51774.8,11.6,35.1
1634224748,7.1,64275.5,10024.0,51788.4,3.0,6.4
1634224749,7.3,64275.5,10024.0,51774.8,19.9,13.0
1634224750,6.8,64275.5,10024.0,51774.8,16.6,11.8
1634224751,6.6,64275.5,10024.0,51774.8,7.5,5.2
1634224752,7.4,64275.5,10024.0,51774.8,23.3,26.2
1634224753,6.6,64275.5,10024.0,51774.8,19.6,6.5
1634224754,8.5,64275.5,10024.0,51775.1,27.0,12.3
1634224755,7.0,64275.5,10024.0,51774.8,3.5,5.1
1634224756,7.8,64275.5,10024.0,51774.9,44.3,18.1
1634224757,6.8,64275.5,10024.0,51774.9,23.2,21.3
1634224758,7.0,64275.5,10024.0,51777.3,19.0,7.9
1634224759,7.1,64275.5,10024.0,51774.9,3.3,4.8
1634224760,6.8,64275.5,10024.0,51774.9,18.1,6.1
1634224761,6.9,64275.5,10024.0,51775.9,4.6,12.0
1634224762,8.2,64275.5,10024.0,51778.1,4.0,12.9
1634224763,6.6,64275.5,10024.0,51776.5,5.4,53.5
1634224764,8.1,64275.5,10024.0,51776.9,8.0,27.7
1634224765,6.6,64275.5,10024.0,51776.9,3.7,5.9
1634224766,7.7,64275.5,10024.0,51777.1,62.8,39.2
1634224767,7.5,64275.5,10024.0,51776.7,24.6,20.7
1634224768,7.4,64275.5,10024.0,51776.4,3.0,6.9
1634224769,6.8,64275.5,10024.0,51776.7,4.3,4.9
1634224770,7.6,64275.5,10024.0,51776.8,18.9,6.3
1634224771,7.4,64275.5,10024.0,51776.8,22.6,6.1
1634224772,7.1,64275.5,10024.0,51776.8,3.0,4.0
1634224773,6.5,64275.5,10024.0,51776.8,3.1,4.8
1634224774,7.5,64275.5,10024.0,51776.8,6.6,10.1
1634224775,7.1,64275.5,10024.0,51777.1,22.0,6.5
1634224776,8.3,64275.5,10024.0,51777.2,46.0,19.9
1634224777,6.8,64275.5,10024.0,51777.2,11.1,33.4
1634224778,7.5,64275.5,10024.0,51777.8,18.9,9.3
1634224779,6.7,64275.5,10024.0,51780.9,3.2,13.7
1634224780,7.5,64275.5,10024.0,51779.3,27.6,12.3
1634224781,7.3,64275.5,10024.0,51783.5,5.2,25.4
1634224782,7.8,64275.5,10024.0,51779.4,22.0,4.2
1634224783,6.7,64275.5,10024.0,51779.4,18.9,6.1
1634224784,7.8,64275.5,10024.0,51779.4,27.5,12.3
1634224785,6.7,64275.5,10024.0,51779.4,3.0,4.6
1634224786,7.6,64275.5,10024.0,51779.6,47.5,22.4
1634224787,6.8,64275.5,10024.0,51779.5,23.6,23.0
1634224788,7.5,64275.5,10024.0,51779.1,18.2,6.9
1634224789,6.7,64275.5,10024.0,51779.5,2.8,4.5
1634224790,7.7,64275.5,10024.0,51779.5,19.7,6.8
1634224791,6.9,64275.5,10024.0,51779.6,2.9,4.9
1634224792,6.6,64275.5,10024.0,51779.5,3.9,13.7
1634224793,6.8,64275.5,10024.0,51779.5,2.9,4.7
1634224794,7.6,64275.5,10024.0,51779.6,9.9,21.7
1634224795,6.6,64275.5,10024.0,51779.5,3.3,5.2
1634224796,7.6,64275.5,10024.0,51780.4,45.7,37.6
1634224797,8.1,64275.5,10024.0,51781.6,25.8,22.5
1634224798,13.1,64275.5,10024.0,51780.9,1.9,4.3
1634224799,7.2,64275.5,10024.0,51781.0,5.2,5.0
1634224800,6.6,64275.5,10024.0,51781.0,19.5,6.1
1634224801,7.8,64275.5,10024.0,51781.3,21.8,6.0
1634224802,9.0,64275.5,10024.9,51782.2,5.1,27.1
1634224803,6.6,64275.5,10024.9,51782.0,2.9,4.8
