record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1634224642,63.599999999999994,1606887.6,392571.0999999999,1064065.0000000002,8298.1,8489.599999999999
1,1634224643,70.30000000000001,1606887.6,392567.5999999999,1064142.4,7825.9000000000015,8643.1
2,1634224644,74.30000000000001,1606887.6,392567.69999999995,1064142.4,44609311.99999999,8677.2
3,1634224645,70.80000000000001,1606887.6,392567.69999999995,1064115.0999999999,9690.699999999997,9621.699999999997
4,1634224646,64.2,1606887.6,392567.5999999999,1064128.4,156517253.79999995,132083978.2
5,1634224647,74.80000000000001,1606887.6,392567.5999999999,1064140.8,8891.3,9225.100000000002
6,1634224648,64.90000000000002,1606887.6,392567.69999999995,1064149.2999999998,8549.599999999999,9424.0
7,1634224649,64.5,1606887.6,392567.5999999999,1064208.6,8412.6,7811.7
8,1634224650,70.70000000000002,1606887.6,392567.5999999999,1064247.2,8704.899999999996,8450.7
9,1634224651,116.2,1606887.6,392579.29999999993,1064518.9999999998,17739.700000000008,16469.9
10,1634224652,190.50000000000006,1606887.6,392607.70000000007,1064996.9,8072.900000000001,8785.0
11,1634224653,207.7,1606887.6,392593.7,1065581.2,7737.499999999999,7917.700000000001
12,1634224654,214.10000000000002,1606887.6,392597.1,1066147.2000000002,7828.5,7508.700000000001
13,1634224655,209.89999999999998,1606887.6,392610.69999999995,1066245.9,9000.599999999999,8673.9
14,1634224656,205.70000000000002,1606887.6,392410.7000000001,1066365.0999999999,8047.799999999999,8416.499999999998
15,1634224657,212.40000000000003,1606887.6,392412.20000000007,1066399.5999999999,8667.699999999997,8723.000000000002
16,1634224658,212.99999999999997,1606887.6,392412.60000000003,1066457.0,7704.1,8031.9
17,1634224659,216.6,1606887.6,392246.49999999994,1066614.8,44607365.3,8381.3
18,1634224660,200.19999999999996,1606887.6,392248.29999999993,1066690.5000000002,8174.100000000001,7639.300000000001
19,1634224661,212.3,1606887.6,392248.6999999999,1066730.4000000001,156754159.3,132285067.1
20,1634224662,202.6,1606887.6,392248.6999999999,1066809.7000000002,9847.9,9754.099999999999
21,1634224663,209.09999999999994,1606887.6,392252.1999999999,1066902.4,8739.199999999999,7018.300000000001
22,1634224664,204.6,1606887.6,392252.49999999994,1066952.7999999998,4525.4000000000015,7635.6
23,1634224665,203.29999999999995,1606887.6,392252.5999999999,1066956.5000000002,7951.7,7892.299999999999
24,1634224666,220.8,1606887.6,392252.5999999999,1067011.4000000001,7460.900000000001,7571.300000000001
25,1634224667,209.59999999999997,1606887.6,392252.5999999999,1067005.5999999999,8334.999999999998,8001.800000000001
26,1634224668,215.7,1606887.6,392252.6999999999,1067043.8,8387.5,8415.5
27,1634224669,203.70000000000002,1606887.6,392252.6999999999,1067056.5,8360.699999999999,8493.5
28,1634224670,199.99999999999997,1606887.6,392252.5999999999,1067149.1999999997,8082.9,7802.700000000001
29,1634224671,209.79999999999998,1606887.6,392253.29999999993,1067408.5,8257.999999999998,8377.899999999998
30,1634224672,218.89999999999995,1606887.6,392018.0,1067624.5999999999,8398.900000000001,8821.599999999999
31,1634224673,219.7,1606887.6,392018.30000000005,1067575.7000000002,8624.800000000003,8191.4
32,1634224674,215.40000000000003,1606887.6,392020.60000000003,1067564.2,44609147.800000004,7928.1
33,1634224675,218.10000000000002,1606887.6,392021.00000000006,1067548.1,9830.799999999997,9775.099999999999
34,1634224676,261.6,1606887.6,392021.4,1067554.1,156736024.8,132271032.9
35,1634224677,262.00000000000006,1606887.6,392021.7,1067573.7000000002,8260.499999999998,8689.7
36,1634224678,219.40000000000003,1606887.6,392021.89999999997,1067609.8,8205.9,8375.2
37,1634224679,199.19999999999996,1606887.6,392021.89999999997,1067573.4,8154.9000000000015,7570.700000000001
38,1634224680,207.39999999999998,1606887.6,392021.99999999994,1067574.0,8131.6,8446.0
39,1634224681,209.20000000000005,1606887.6,392022.2,1067595.7999999998,8724.100000000002,9031.8
40,1634224682,207.2,1606887.6,392022.4,1067581.2,8067.9,8366.8
41,1634224683,210.9,1606887.6,392022.5,1067574.5999999999,8375.1,8280.600000000002
42,1634224684,208.8,1606887.6,392022.69999999995,1067559.4,9343.2,7858.9000000000015
43,1634224685,218.29999999999995,1606887.6,392022.69999999995,1067604.6999999997,7122.500000000001,8366.699999999999
44,1634224686,205.70000000000002,1606887.6,392014.49999999994,1067619.2,8966.600000000006,8847.3
45,1634224687,205.9,1606887.6,392014.49999999994,1067641.2000000002,8457.9,8956.300000000001
46,1634224688,233.29999999999995,1606887.6,392014.5999999999,1067765.9,44613425.1,8414.3
47,1634224689,210.10000000000005,1606887.6,392016.7,1067671.0000000002,7868.6,7848.099999999999
48,1634224690,207.70000000000002,1606887.6,391857.60000000003,1067747.4000000001,8046.499999999999,7689.6
49,1634224691,212.20000000000005,1606887.6,391854.39999999997,1067710.7000000002,156742070.4,132276469.40000002
50,1634224692,206.79999999999998,1606887.6,391854.6,1067718.8,8076.0,7692.1
51,1634224693,217.4,1606887.6,391858.60000000003,1067743.9000000001,7964.9,7787.200000000001
52,1634224694,207.20000000000002,1606887.6,391859.20000000007,1067776.9000000001,8287.6,7729.2
53,1634224695,215.29999999999998,1606887.6,391860.00000000006,1067734.7999999998,6476.399999999998,7956.400000000001
54,1634224696,201.5,1606887.6,391860.00000000006,1067707.9,8110.699999999999,7723.0
55,1634224697,209.1,1606887.6,391860.10000000003,1067664.5,8948.099999999999,7969.699999999999
56,1634224698,213.2,1606887.6,391860.10000000003,1067666.2000000002,7857.699999999999,7801.200000000001
57,1634224699,204.2,1606887.6,391860.10000000003,1067661.0000000002,7830.1,7560.5
58,1634224700,201.4,1606887.6,391860.20000000007,1067656.6,7769.400000000001,7980.300000000001
59,1634224701,210.3,1606887.6,391860.20000000007,1067652.7000000002,8129.500000000002,9131.100000000002
60,1634224702,204.90000000000003,1606887.6,391860.20000000007,1067646.0000000002,8136.100000000001,8572.4
61,1634224703,236.90000000000003,1606887.6,391857.0,1067704.7999999998,44601411.50000001,8263.2
62,1634224704,211.4,1606887.6,391857.10000000003,1067713.8,8449.6,8053.9
63,1634224705,221.10000000000002,1606887.6,391857.4,1067783.3,10103.7,10111.7
64,1634224706,215.20000000000002,1606887.6,391857.9,1067835.4,156860769.2,132376679.50000001
65,1634224707,210.3,1606887.6,391858.4,1067864.9,8390.5,9008.1
66,1634224708,205.7,1606887.6,391858.7,1067826.9000000001,8454.4,8814.399999999998
67,1634224709,207.29999999999995,1606887.6,391859.3,1067757.5,8698.599999999997,8253.1
68,1634224710,203.1,1606887.6,391859.89999999997,1067790.1,8962.999999999995,8873.999999999998
69,1634224711,210.29999999999995,1606887.6,391860.1999999999,1067768.9,7911.200000000002,8413.400000000001
70,1634224712,209.8,1606887.6,391860.49999999994,1067796.3,8272.799999999997,8388.2
71,1634224713,213.79999999999998,1606887.6,391860.6999999999,1067809.9000000001,8507.3,7908.599999999999
72,1634224714,204.6,1606887.6,391860.89999999997,1067779.1999999997,8340.6,7824.200000000001
73,1634224715,218.6,1606887.6,391860.99999999994,1067776.9,8181.399999999999,8755.0
74,1634224716,204.3,1606887.6,391860.99999999994,1067762.4,8915.200000000008,8286.0
75,1634224717,205.29999999999998,1606887.6,391860.99999999994,1067785.0999999999,8068.199999999998,8973.5
76,1634224718,213.6,1606887.6,391861.1,1067816.5,44605309.10000001,8076.1
77,1634224719,202.39999999999998,1606887.6,391861.1,1067808.4999999998,7882.699999999999,8581.0
78,1634224720,204.1,1606887.6,391861.19999999995,1067871.0999999999,7846.100000000001,8010.299999999999
79,1634224721,216.89999999999998,1606887.6,391861.1,1067866.4999999998,156747777.49999994,132281658.80000001
80,1634224722,208.89999999999998,1606887.6,391860.99999999994,1067870.6,8702.199999999999,8023.3
81,1634224723,211.30000000000004,1606887.6,391864.69999999995,1067884.8,8721.7,9229.400000000001
82,1634224724,228.19999999999996,1606887.6,391864.89999999997,1067827.1,8314.800000000001,8771.300000000003
83,1634224725,211.1,1606887.6,391865.3,1067869.7,7909.299999999998,8448.400000000001
84,1634224726,202.1,1606887.6,391865.4,1067852.7999999998,7809.700000000001,7742.099999999999
85,1634224727,211.79999999999995,1606887.6,391865.7,1067855.5,8177.199999999999,7792.3
86,1634224728,213.00000000000006,1606887.6,391865.9,1067863.5,7812.000000000003,7575.4
87,1634224729,207.2,1606887.6,391866.10000000003,1067873.5,7809.299999999999,7721.500000000001
88,1634224730,202.19999999999996,1606887.6,391866.10000000003,1067871.1,7794.7,8096.0
89,1634224732,204.4,1606887.6,391866.2,1067870.7000000002,8644.199999999997,8756.1
90,1634224733,207.9,1606887.6,391866.3,1067896.0,8749.699999999997,8532.4
91,1634224734,220.20000000000002,1606887.6,391862.7,1067876.8,44600501.49999999,7678.4
92,1634224735,209.8,1606887.6,391862.80000000005,1067833.0,8451.4,8541.3
93,1634224736,216.89999999999998,1606887.6,391862.9,1067866.0999999999,158016830.3,133353494.60000001
94,1634224737,234.5,1606887.6,391862.8,1067884.9,7724.300000000001,8530.4
95,1634224738,263.09999999999997,1606887.6,391862.8,1067837.5999999999,8425.4,8742.5
96,1634224739,244.20000000000002,1606887.6,391862.89999999997,1067845.8,8337.000000000002,8166.100000000001
97,1634224740,209.7,1606887.6,391862.89999999997,1067861.9,8474.599999999999,8474.3
98,1634224741,217.5,1606887.6,391862.89999999997,1067923.7,8669.6,8869.8
99,1634224742,223.29999999999998,1606887.6,391863.0,1067883.6000000003,8723.399999999998,7876.900000000001
100,1634224743,203.29999999999998,1606887.6,391863.0,1067914.2999999998,8148.600000000001,8633.300000000001
101,1634224744,211.90000000000003,1606887.6,391863.0,1067920.9,8109.2,8765.699999999999
102,1634224745,217.0,1606887.6,391863.1,1067901.2,8363.900000000001,8425.800000000001
103,1634224746,213.9,1606887.6,391863.5,1067842.9000000001,8460.399999999998,7605.700000000001
104,1634224747,211.00000000000006,1606887.6,391863.80000000005,1067839.9,8556.599999999999,9140.300000000001
105,1634224748,205.90000000000003,1606887.6,391864.00000000006,1067833.9,7718.5999999999985,8601.6
106,1634224749,208.9,1606887.6,391864.00000000006,1067861.2,7815.3,8193.3
107,1634224750,201.6,1606887.6,391864.10000000003,1067867.9,44604347.099999994,7791.200000000001
108,1634224751,208.0,1606887.6,391864.10000000003,1067909.9,8163.900000000001,7643.200000000001
109,1634224752,212.69999999999993,1606887.6,391864.00000000006,1067869.6,156754968.19999996,132289082.19999999
110,1634224753,207.2,1606887.6,391864.00000000006,1067861.4000000001,9232.400000000001,8080.800000000002
111,1634224754,216.0,1606887.6,391867.9,1067855.9000000001,7692.300000000001,8235.7
112,1634224755,206.70000000000002,1606887.6,391867.80000000005,1067865.4000000001,8332.6,9205.7
113,1634224756,205.10000000000002,1606887.6,391867.7,1067864.8,7561.1,7137.1
114,1634224757,210.2,1606887.6,391868.0,1067850.2000000002,8012.699999999999,9052.8
115,1634224758,208.1,1606887.6,391859.4,1067877.9000000001,8348.4,8175.0
116,1634224759,207.49999999999997,1606887.6,391859.5,1067907.0,8730.3,7828.099999999999
117,1634224760,209.4,1606887.6,391859.5,1067896.0000000002,8093.200000000003,7809.9000000000015
118,1634224761,205.6,1606887.6,391859.8,1067972.0999999999,8182.100000000001,8783.2
119,1634224762,208.39999999999995,1606887.6,391860.0,1067966.7,8121.3,8671.0
120,1634224763,211.59999999999997,1606887.6,391860.0,1068061.3,7970.000000000002,8872.1
121,1634224764,221.50000000000006,1606887.6,391856.39999999997,1067977.1,44604893.300000004,8327.800000000001
122,1634224765,207.69999999999996,1606887.6,391856.7,1068002.3,7882.099999999999,7625.799999999999
123,1634224766,230.0,1606887.6,391856.5,1068007.4,158032747.29999998,133368081.80000001
124,1634224767,214.9,1606887.6,391856.5,1067952.0,9653.3,8520.599999999999
125,1634224768,207.8,1606887.6,391856.6,1067952.1,8701.700000000004,8805.0
126,1634224769,209.70000000000002,1606887.6,391856.6,1067922.1,7743.600000000001,9095.0
127,1634224770,202.79999999999998,1606887.6,391856.6,1067932.4000000001,8184.0999999999985,7729.6
128,1634224771,202.99999999999997,1606887.6,391856.6,1067977.0999999999,8444.3,7702.500000000002
129,1634224772,205.1,1606887.6,391856.5,1067940.2000000002,8547.000000000002,7893.700000000001
130,1634224773,204.0,1606887.6,391856.5,1067948.3,7958.900000000002,8857.4
131,1634224774,210.5,1606887.6,391856.6,1067940.0999999999,7912.299999999999,9236.599999999999
132,1634224775,214.8,1606887.6,391856.8,1067930.5999999999,8010.099999999999,8067.4
133,1634224776,212.4,1606887.6,391856.6,1067983.2,8055.099999999997,8125.600000000001
134,1634224777,208.80000000000004,1606887.6,391757.8,1067962.2,7796.299999999999,7800.200000000001
135,1634224778,223.1,1606887.6,391757.6,1068179.3,9155.699999999995,7743.299999999999
136,1634224779,209.1,1606887.6,391757.6,1067973.9,44612262.9,8462.7
137,1634224780,203.0,1606887.6,391757.7,1067989.0,7818.5,8191.800000000001
138,1634224781,221.90000000000006,1606887.6,391757.8,1068062.6,158036101.6,133371949.2
139,1634224782,207.0,1606887.6,391757.9,1067999.5,9735.8,10543.100000000002
140,1634224783,207.80000000000004,1606887.6,391761.5,1068033.6,8718.000000000002,7731.200000000001
141,1634224784,214.90000000000003,1606887.6,391761.7,1068042.1,8786.2,8481.1
142,1634224785,206.29999999999995,1606887.6,391761.80000000005,1068033.4,8332.400000000001,8631.7
143,1634224786,207.89999999999995,1606887.6,391761.9000000001,1068074.4000000001,8052.800000000001,9020.099999999999
144,1634224787,211.6,1606887.6,391761.9,1068023.2,7796.4000000000015,8103.500000000001
145,1634224788,205.4,1606887.6,391761.80000000005,1068007.0,7481.7,7528.9
146,1634224789,208.2,1606887.6,391761.80000000005,1068000.2999999998,7773.0,7987.700000000001
147,1634224790,206.89999999999998,1606887.6,391761.80000000005,1067996.1,8058.4,7599.500000000001
148,1634224791,206.09999999999997,1606887.6,391761.80000000005,1068068.2,8548.300000000001,7930.4
149,1634224792,207.60000000000002,1606887.6,391761.9,1068022.9,8400.0,8011.6
150,1634224793,210.0,1606887.6,391758.2,1068228.9,8393.6,8870.0
151,1634224794,213.70000000000002,1606887.6,391758.2,1068038.4000000001,44610114.2,9162.0
152,1634224795,218.99999999999997,1606887.6,391758.30000000005,1068040.4999999998,7785.399999999999,9755.7
153,1634224796,217.29999999999995,1606887.6,391758.5,1068082.7999999998,158037450.29999998,133370939.1
154,1634224797,211.6,1606887.6,391758.4,1068097.9000000001,8968.699999999999,8389.100000000002
155,1634224798,257.7,1606887.6,391758.5,1068103.4,8465.3,8151.200000000003
156,1634224799,257.3,1606887.6,391758.7,1068027.4000000001,8121.299999999998,8723.3
157,1634224800,223.1,1606887.6,391758.7,1068053.6999999997,8534.199999999999,8528.2
158,1634224801,222.3,1606887.6,391760.50000000006,1068087.2,8327.099999999999,8525.0
159,1634224802,240.99999999999997,1606887.6,391779.19999999995,1068114.4,8571.600000000002,9441.6
160,1634224803,213.39999999999998,1606887.6,391784.3,1068029.0000000002,8052.500000000001,8104.0
161,1634224804,215.60000000000002,1606887.6,391784.5,1068034.4999999998,9135.1,8111.500000000001
162,1634224805,208.9,1606887.6,391784.4,1068071.7,8601.699999999999,8743.2
163,1634224806,207.10000000000002,1606887.6,391784.6,1068056.6999999997,7920.999999999999,7222.1
164,1634224807,216.8,1606887.6,391784.7,1068048.5,8209.600000000002,8892.800000000001
165,1634224808,204.29999999999998,1606887.6,391784.6,1068206.2,7897.599999999997,9177.0
166,1634224809,209.4,1606887.6,391784.7,1068023.1,44613717.400000006,8245.300000000001
167,1634224810,204.10000000000002,1606887.6,391784.7,1068035.9,8113.499999999998,7811.499999999999
168,1634224811,213.20000000000002,1606887.6,391784.80000000005,1068076.8,158044007.3,133378541.39999998
169,1634224812,204.8,1606887.6,391784.6,1068042.0,9946.9,9982.1
170,1634224813,211.9,1606887.6,391788.19999999995,1068067.0,8364.999999999996,8576.3
171,1634224814,211.10000000000002,1606887.6,391788.5,1068096.5,8623.8,8708.100000000002
172,1634224815,211.99999999999997,1606887.6,391788.5,1068145.8,8667.799999999996,8461.8
173,1634224816,215.6,1606887.6,391788.69999999995,1068108.7,8023.000000000001,7851.1
174,1634224817,218.90000000000003,1606887.6,391788.89999999997,1068108.0999999999,8256.6,7991.9
175,1634224818,225.90000000000003,1606887.6,391788.79999999993,1068138.4,8472.300000000001,8199.499999999998
176,1634224819,221.1,1606887.6,391788.89999999997,1068088.0999999999,7969.699999999999,8912.899999999998
177,1634224820,193.20000000000002,1606887.6,391788.79999999993,1068104.9,7660.9,8675.7
178,1634224821,210.1,1606887.6,391788.89999999997,1068091.2000000002,8373.1,7869.4
179,1634224822,201.90000000000003,1606887.6,391788.79999999993,1068105.7,8264.600000000002,7871.099999999999
180,1634224823,211.49999999999997,1606887.6,391785.39999999997,1068302.3,8025.699999999999,7722.099999999999
181,1634224824,218.49999999999997,1606887.6,391785.39999999997,1068098.5,44614899.8,8166.899999999999
182,1634224825,211.0,1606887.6,391785.39999999997,1068137.5,9706.4,10274.6
183,1634224826,212.0,1606887.6,391785.49999999994,1068188.5,158032428.59999996,133369851.89999999
184,1634224827,215.49999999999997,1606887.6,391785.29999999993,1068140.7,7887.0999999999985,7984.7
185,1634224828,201.79999999999998,1606887.6,391785.29999999993,1068131.2999999998,8746.500000000002,8495.7
186,1634224829,200.79999999999998,1606887.6,391785.5,1068125.6000000003,8090.300000000001,8503.7
187,1634224830,206.3,1606887.6,391785.49999999994,1068170.4,7860.100000000001,8688.3
188,1634224831,209.2,1606887.6,391785.6,1068155.7000000002,8540.800000000003,8258.0
189,1634224832,203.90000000000003,1606887.6,391776.89999999997,1068171.0,8181.100000000001,7909.699999999999
190,1634224833,218.4,1606887.6,391776.8,1068264.0,7869.199999999999,8100.199999999999
191,1634224834,211.30000000000004,1606887.6,391776.8,1068200.0999999999,8783.8,8959.3
192,1634224835,211.8,1606887.6,391776.8,1068177.7000000002,8407.7,8246.9
193,1634224836,209.49999999999997,1606887.6,391776.99999999994,1068192.7,8410.000000000002,8371.8
194,1634224837,222.79999999999998,1606887.6,391776.89999999997,1068227.4000000001,7635.8,8324.699999999999
195,1634224838,221.7,1606887.6,391776.89999999997,1068403.9000000001,7975.199999999999,8073.399999999999
196,1634224839,216.50000000000003,1606887.6,391777.1,1068248.5,44610602.49999999,8108.299999999999
197,1634224840,206.8,1606887.6,391777.2,1068258.4000000001,8309.4,8148.4
198,1634224841,211.40000000000006,1606887.6,391777.3,1068269.3,158018831.5,133358333.0
199,1634224842,205.4,1606887.6,391777.30000000005,1068261.9,9810.699999999997,9864.599999999999
200,1634224843,209.60000000000002,1606887.6,391781.0,1068335.2,8177.7,8700.5
201,1634224844,208.40000000000003,1606887.6,391780.9,1068321.9,8599.300000000001,8758.8
202,1634224845,210.79999999999998,1606887.6,391780.9,1068319.0,8219.5,7943.8
203,1634224846,201.50000000000003,1606887.6,391781.2,1068339.8999999997,8823.400000000003,8487.9
204,1634224847,240.89999999999998,1606887.6,391781.30000000005,1068268.0,20290.800000000003,19775.5
205,1634224848,214.79999999999998,1606887.6,391781.20000000007,1068308.2,8342.300000000001,8959.199999999999
206,1634224849,207.10000000000002,1606887.6,391781.30000000005,1068300.0000000002,8348.1,8343.5
207,1634224850,203.10000000000002,1606887.6,391781.30000000005,1068320.5,8170.600000000002,7817.0999999999985
208,1634224851,213.49999999999997,1606887.6,391781.20000000007,1068379.6,7882.399999999998,8742.4
209,1634224852,206.7,1606887.6,391781.4,1068359.2999999998,8804.3,8097.4
210,1634224853,216.5,1606887.6,391777.9,1068427.5999999999,8051.9000000000015,8162.1
211,1634224854,211.70000000000002,1606887.6,391777.9,1068301.5,44608499.2,9187.7
212,1634224855,215.0,1606887.6,391778.0,1068264.5,9937.300000000005,10169.5
213,1634224856,212.40000000000006,1606887.6,391778.0,1068291.8,158015513.00000003,133356254.60000001
214,1634224857,213.2,1606887.6,391777.80000000005,1068320.1,8446.600000000002,8519.7
215,1634224858,244.29999999999998,1606887.6,391778.0,1068336.4,7755.2,8567.4
216,1634224859,255.10000000000005,1606887.6,391777.80000000005,1068349.5999999999,7869.799999999999,7970.0
217,1634224860,243.49999999999997,1606887.6,391777.9,1068332.9000000001,8858.800000000003,7908.900000000001
218,1634224861,217.9,1606887.6,391778.0,1068411.5999999999,8647.700000000004,8813.900000000001
219,1634224862,203.59999999999997,1606887.6,391778.20000000007,1068385.7000000002,8286.199999999999,9003.1
220,1634224863,213.4,1606887.6,391778.0,1068357.4,8115.799999999999,8410.4
221,1634224864,212.1,1606887.6,391778.10000000003,1068360.6,8463.1,7843.000000000001
