record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1634127979,94.19999999999999,1606887.6,279245.60000000003,1191918.4,7515.499999999999,7569.0
1,1634127980,71.8,1606887.6,279251.60000000003,1191960.5,7915.500000000002,8240.499999999998
2,1634127981,76.30000000000001,1606887.6,279264.60000000003,1191995.7999999996,8867.800000000001,8774.9
3,1634127982,76.20000000000002,1606887.6,279266.3,1192076.4,8676.799999999997,8468.699999999997
4,1634127983,94.2,1606887.6,279264.8,1192090.9,43318356.10000001,8968.2
5,1634127984,79.7,1606887.6,279264.80000000005,1192077.5000000002,8013.199999999998,9045.3
6,1634127985,150.00000000000003,1606887.6,279264.7,1192158.9999999998,156504053.39999998,130674008.5
7,1634127986,205.4,1606887.6,279264.7,1192103.5,7643.100000000002,7741.1
8,1634127987,205.80000000000004,1606887.6,279264.50000000006,1192089.4000000004,8481.499999999996,8247.199999999999
9,1634127988,211.50000000000003,1606887.6,279264.60000000003,1192129.7000000002,8419.1,8330.6
10,1634127989,206.10000000000002,1606887.6,279264.60000000003,1192152.7,8826.099999999999,8416.4
11,1634127990,212.0,1606887.6,279264.80000000005,1192175.5,6587.4,6937.800000000001
12,1634127991,211.79999999999998,1606887.6,279264.80000000005,1192165.9999999998,8360.100000000002,8415.800000000001
13,1634127992,205.80000000000004,1606887.6,279264.80000000005,1192176.2000000002,8273.2,7943.400000000001
14,1634127993,217.80000000000004,1606887.6,279264.80000000005,1192221.0999999999,8313.5,8325.5
15,1634127994,214.89999999999992,1606887.6,279264.8,1192185.0999999996,8044.500000000002,8066.000000000001
16,1634127995,206.9,1606887.6,279264.7,1192222.0,8229.699999999999,8571.199999999999
17,1634127996,211.70000000000002,1606887.6,279264.7,1192167.9000000001,8130.200000000001,8784.5
18,1634127997,221.00000000000006,1606887.6,279264.80000000005,1192159.8000000003,7875.599999999999,7959.6
19,1634127998,233.0,1606887.6,279264.9,1192202.8,43316042.30000001,8573.3
20,1634127999,212.60000000000002,1606887.6,279265.00000000006,1192188.7,8871.900000000003,8303.3
21,1634128000,219.79999999999995,1606887.6,279264.9,1192246.4999999998,156482187.59999996,130654042.5
22,1634128001,213.5,1606887.6,279265.00000000006,1192206.4000000001,8754.4,8223.300000000003
23,1634128002,203.6,1606887.6,279265.00000000006,1192242.2000000002,10556.999999999995,10267.399999999998
24,1634128003,219.89999999999998,1606887.6,279268.20000000007,1192251.9999999998,8067.4,8102.6
25,1634128004,212.4,1606887.6,279268.30000000005,1192228.7,8160.200000000003,9059.899999999998
26,1634128005,209.00000000000006,1606887.6,279268.20000000007,1192199.1,8556.500000000004,8751.5
27,1634128006,210.20000000000002,1606887.6,279268.4,1192202.0,8375.999999999998,7853.9
28,1634128007,208.2,1606887.6,279268.30000000005,1192222.7000000002,8815.599999999999,8618.0
29,1634128008,212.5,1606887.6,279268.4,1192212.4,8639.7,9310.599999999999
30,1634128009,216.80000000000004,1606887.6,279268.4,1192235.7,7988.799999999999,8429.199999999999
31,1634128010,204.59999999999997,1606887.6,279268.50000000006,1192290.5,7564.300000000001,6686.999999999999
32,1634128011,217.3,1606887.6,279268.80000000005,1192251.9,8149.300000000001,8406.5
33,1634128012,211.20000000000002,1606887.6,279268.80000000005,1192256.8,8012.9,8326.5
34,1634128013,221.90000000000006,1606887.6,279265.70000000007,1192303.7,43306770.0,9097.800000000001
35,1634128014,212.0,1606887.6,279265.60000000003,1192277.7000000002,7663.900000000001,7158.0
36,1634128015,229.09999999999997,1606887.6,279265.50000000006,1192267.2999999998,156480409.29999998,130652679.59999998
37,1634128016,213.90000000000006,1606887.6,279265.4,1192257.9,8207.5,8410.3
38,1634128017,209.4,1606887.6,279265.50000000006,1192242.8,9096.499999999996,9446.0
39,1634128018,218.40000000000003,1606887.6,279265.4,1192251.8,8157.200000000001,8151.3
40,1634128019,202.2,1606887.6,279265.4,1192223.5,8230.2,7751.9
41,1634128020,206.5,1606887.6,279265.4000000001,1192286.0999999999,8453.300000000003,8167.4
42,1634128021,217.89999999999998,1606887.6,279265.50000000006,1192250.7999999998,7832.0,7924.799999999999
43,1634128022,206.99999999999997,1606887.6,279265.50000000006,1192225.3,8929.200000000003,9122.800000000001
44,1634128023,214.60000000000005,1606887.6,279265.50000000006,1192260.2,8440.8,8849.2
45,1634128024,221.2,1606887.6,279265.4,1192279.9000000001,7973.199999999999,8414.600000000002
46,1634128025,240.29999999999998,1606887.6,279265.4000000001,1192281.4,8738.2,8560.2
47,1634128026,271.8,1606887.6,279265.50000000006,1192277.7,8588.4,8015.0
48,1634128027,241.40000000000003,1606887.6,279265.4000000001,1192314.2,8274.1,8290.3
49,1634128028,217.6,1606887.6,279265.60000000003,1192327.5,43312201.00000001,9032.0
50,1634128029,204.90000000000003,1606887.6,279265.60000000003,1192266.3999999997,8422.000000000002,8634.199999999999
51,1634128030,217.20000000000005,1606887.6,279265.50000000006,1192261.3,156498418.49999997,130667397.09999998
52,1634128031,215.49999999999997,1606887.6,279265.50000000006,1192270.3,8036.0,8681.399999999998
53,1634128032,202.39999999999998,1606887.6,279265.4,1192281.1,9901.199999999999,10105.0
54,1634128033,224.99999999999994,1606887.6,279268.80000000005,1192283.4000000001,8900.999999999996,8159.700000000002
55,1634128034,209.20000000000002,1606887.6,279269.0,1192261.9000000001,8770.199999999997,8636.0
56,1634128035,207.79999999999995,1606887.6,279268.9,1192258.3,8664.399999999996,8958.0
57,1634128036,210.7,1606887.6,279269.0,1192292.6,7637.999999999999,8288.2
58,1634128037,213.09999999999997,1606887.6,279269.0,1192302.1,8444.999999999998,8569.6
59,1634128038,216.49999999999997,1606887.6,279269.1,1192322.4,8831.000000000005,8107.299999999998
60,1634128039,209.10000000000002,1606887.6,279269.0,1192298.5,7923.200000000001,7970.300000000001
61,1634128040,209.00000000000006,1606887.6,279268.9,1192287.2,8392.900000000001,8303.3
62,1634128041,215.40000000000003,1606887.6,279269.2,1192319.4000000001,8800.499999999995,9004.8
