timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1634225165,3.5,64275.5,46484.2,16038.1,34.1,11.7
1634225166,1.6,64275.5,46484.2,16038.0,9.0,11.0
1634225167,1.4,64275.5,46484.2,16037.7,6.9,10.8
1634225168,0.6,64275.5,46484.2,16037.9,10.5,13.1
1634225169,1.9,64275.5,46484.2,16050.4,3.9,16.9
1634225170,1.2,64275.5,46484.2,16037.9,17.7,7.4
1634225171,5.0,64275.5,46484.2,16038.1,12.0,347.8
1634225172,6.8,64275.5,46484.2,16038.1,7.9,9.3
1634225173,6.5,64275.5,46484.2,16038.1,4.4,5.5
1634225174,7.9,64275.5,46484.2,16038.6,27.4,12.6
1634225175,7.2,64275.5,46484.2,16038.2,22.1,7.1
1634225176,6.5,64275.5,46484.2,16038.3,9.0,17.9
1634225177,7.1,64275.5,46484.2,16038.2,7.2,15.5
1634225178,6.6,64275.5,46484.2,16038.2,9.8,7.9
1634225179,8.4,64275.5,46484.2,16054.7,38.1,10.8
1634225180,7.7,64275.5,46484.2,16038.2,3.6,6.0
1634225181,7.1,64275.5,46484.2,16038.3,20.9,17.8
1634225182,6.9,64275.5,46484.2,16038.3,6.2,16.0
1634225183,6.5,64275.5,46484.2,16038.6,4.7,5.7
1634225184,6.8,64275.5,46484.2,16038.9,8.2,9.2
1634225185,6.8,64275.5,46484.2,16039.5,5.4,15.5
1634225186,6.9,64275.5,46484.2,16040.6,9.8,10.9
1634225187,7.1,64275.5,46484.2,16041.2,9.7,27.6
1634225188,6.6,64275.5,46484.2,16056.0,10.1,8.8
1634225189,9.7,64275.5,46484.3,16050.1,7.5,8.8
1634225190,7.8,64275.5,46484.2,16055.7,23.1,13.0
1634225191,6.9,64275.5,46484.2,16055.9,4.8,15.7
1634225192,6.8,64275.5,46484.2,16056.0,6.2,12.5
1634225193,6.6,64275.5,46484.2,16056.0,4.6,5.9
1634225194,7.2,64275.5,46484.2,16043.0,26.7,11.0
1634225195,6.7,64275.5,46484.2,16042.4,21.8,7.6
1634225196,7.4,64275.5,46484.2,16042.6,9.3,11.1
1634225197,7.1,64275.5,46484.2,16042.7,7.2,16.5
1634225198,6.7,64275.5,46484.2,16042.7,10.0,9.6
1634225199,8.2,64275.5,46484.3,16043.5,4.6,15.8
1634225200,6.8,64275.5,46484.2,16042.8,18.1,7.8
1634225201,6.9,64275.5,46484.2,16043.1,5.8,26.9
1634225202,6.7,64275.5,46484.2,16042.8,7.3,19.7
1634225203,6.6,64275.5,46484.2,16042.8,4.8,6.0
1634225204,8.8,64275.5,46484.3,16050.0,42.7,11.3
1634225205,6.9,64275.5,46484.3,16048.5,6.3,5.7
1634225206,6.9,64275.5,46484.3,16048.3,8.5,11.1
1634225207,7.0,64275.5,46484.3,16050.8,6.4,6.0
1634225208,6.7,64275.5,46484.3,16052.5,11.3,10.6
1634225209,8.5,64275.5,46484.3,16075.0,40.2,13.0
1634225210,7.6,64275.5,46484.3,16060.6,20.7,8.9
1634225211,6.8,64275.5,46484.3,16060.8,5.0,15.5
1634225212,7.6,64275.5,46484.3,16060.6,6.1,15.9
1634225213,6.6,64275.5,46484.3,16047.7,5.4,6.6
1634225214,6.7,64275.5,46484.3,16047.1,7.8,9.1
1634225215,6.8,64275.5,46484.3,16047.1,6.7,15.7
1634225216,6.8,64275.5,46484.3,16047.3,7.5,10.4
1634225217,7.2,64275.5,46484.3,16047.1,16.1,30.9
1634225218,7.0,64275.5,46484.3,16047.1,9.1,8.7
1634225219,8.1,64275.5,46484.3,16047.2,4.2,7.3
1634225220,7.0,64275.5,46484.3,16047.2,21.6,9.1
1634225221,7.1,64275.5,46484.3,16047.2,4.7,14.8
1634225222,7.4,64275.5,46484.3,16047.2,5.9,7.0
1634225223,6.6,64275.5,46484.3,16047.2,4.4,5.8
1634225224,8.5,64275.5,46484.3,16047.6,28.4,13.8
1634225225,10.7,64275.5,46484.3,16047.5,23.5,7.4
1634225226,6.6,64275.5,46484.3,16048.3,8.2,11.1
1634225227,7.9,64275.5,46484.3,16078.6,7.1,15.8
1634225228,6.6,64275.5,46484.3,16047.8,11.4,10.1
1634225229,8.8,64275.5,46484.3,16047.9,20.6,15.0
1634225230,7.2,64275.5,46484.3,16048.0,3.4,20.8
1634225231,7.1,64275.5,46484.3,16048.0,5.9,16.6
1634225232,6.6,64275.5,46484.3,16048.0,7.5,29.4
1634225233,6.5,64275.5,46484.3,16048.0,4.2,5.9
1634225234,8.5,64275.5,46484.3,16048.2,44.6,13.3
1634225235,6.8,64275.5,46484.3,16048.1,7.2,6.1
1634225236,6.7,64275.5,46484.3,16048.3,17.3,17.4
1634225237,7.1,64275.5,46484.3,16048.1,6.3,5.8
1634225238,6.8,64275.5,46484.3,16048.3,10.2,11.6
1634225239,8.2,64275.5,46484.3,16048.1,37.0,7.9
1634225240,6.9,64275.5,46484.3,16048.2,19.9,8.7
1634225241,7.2,64275.5,46484.3,16048.3,5.3,15.3
1634225242,6.6,64275.5,46484.3,16048.2,6.4,16.2
1634225243,6.4,64275.5,46484.3,16048.7,4.0,5.4
1634225244,8.0,64275.5,46484.3,16051.6,8.5,10.0
1634225245,7.7,64275.5,46484.3,16050.0,8.5,16.8
1634225246,6.8,64275.5,46484.3,16050.2,8.6,24.3
1634225247,7.0,64275.5,46484.3,16050.1,6.4,10.8
1634225248,6.7,64275.5,46484.3,16050.0,9.9,9.9
1634225249,7.9,64275.5,46484.3,16050.0,3.7,7.3
1634225250,7.2,64275.5,46484.3,16050.1,21.6,8.9
1634225251,7.7,64275.5,46484.3,16050.5,5.9,16.1
1634225252,6.6,64275.5,46484.3,16050.1,5.5,7.1
1634225253,6.4,64275.5,46484.3,16050.1,4.0,5.7
1634225254,7.4,64275.5,46484.3,16050.2,26.8,11.8
