record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1634127579,221.30000000000004,1606887.6,279202.49999999994,1190877.4000000004,7711.1,7994.6
1,1634127580,205.4,1606887.6,279202.69999999995,1190837.7999999998,8426.5,8705.1
2,1634127581,203.60000000000005,1606887.6,279204.0,1190846.2999999998,7919.2,7756.6
3,1634127582,218.49999999999997,1606887.6,279204.4,1190846.7000000002,8831.0,8984.0
4,1634127583,211.50000000000006,1606887.6,279207.7,1190819.2,8386.999999999998,8419.3
5,1634127584,216.8,1606887.6,279208.1,1190849.4999999998,8240.7,8089.700000000001
6,1634127585,211.70000000000002,1606887.6,279208.9,1190832.0000000002,8477.1,7812.400000000001
7,1634127586,210.5,1606887.6,279209.5,1190841.2,8209.199999999999,7942.4
8,1634127587,209.20000000000002,1606887.6,279209.89999999997,1190834.2000000002,7537.499999999998,7768.4
9,1634127588,200.40000000000003,1606887.6,279210.1,1190823.7,5473.9000000000015,4898.3
10,1634127589,217.9,1606887.6,279210.69999999995,1190888.2999999998,7733.599999999999,8463.6
11,1634127590,202.70000000000005,1606887.6,279211.0,1190887.5,7752.7,8186.700000000001
12,1634127591,209.10000000000002,1606887.6,279211.2,1190883.0,7928.999999999999,7701.3
13,1634127592,215.1,1606887.6,279211.7,1190905.9,7836.499999999999,8413.899999999998
14,1634127593,218.49999999999997,1606887.6,279208.5,1190959.2999999998,156243817.10000002,130633820.09999998
15,1634127594,221.10000000000005,1606887.6,279208.70000000007,1190961.2000000002,8911.200000000003,8365.9
16,1634127595,222.49999999999994,1606887.6,279208.9000000001,1190996.0,8737.900000000005,8285.5
17,1634127596,216.40000000000003,1606887.6,279209.30000000005,1190992.8,9860.100000000002,9567.0
18,1634127597,214.70000000000005,1606887.6,279209.50000000006,1190925.3,9634.200000000003,8225.2
19,1634127598,212.60000000000005,1606887.6,279209.70000000007,1190888.5000000002,8639.400000000001,8379.2
20,1634127599,208.79999999999998,1606887.6,279209.80000000005,1190900.5999999999,8105.300000000001,8388.199999999999
21,1634127600,226.9,1606887.6,279210.00000000006,1190927.5,8051.9000000000015,7836.7
22,1634127601,288.00000000000006,1606887.6,279210.4,1191079.5999999999,8598.7,8475.300000000001
23,1634127602,289.19999999999993,1606887.6,279212.4,1190972.3,8569.700000000003,9127.3
24,1634127603,219.6,1606887.6,279212.80000000005,1191035.4000000001,8769.599999999997,8647.199999999997
25,1634127604,225.09999999999997,1606887.6,279212.80000000005,1191044.4000000001,7636.0999999999985,7079.4
26,1634127605,212.8,1606887.6,279212.9,1191033.6999999997,8758.599999999999,8111.5
27,1634127606,217.50000000000003,1606887.6,279212.9,1191063.0999999996,8627.4,8582.199999999999
28,1634127607,215.30000000000004,1606887.6,279213.2,1191079.7999999998,8753.999999999995,8049.4
29,1634127608,212.6,1606887.6,279213.3,1191019.7,156235157.4,130626580.20000002
30,1634127609,228.70000000000002,1606887.6,279213.8,1191011.4999999998,8749.300000000001,8140.200000000003
31,1634127610,217.79999999999998,1606887.6,279213.8,1191006.5000000002,8914.700000000003,8464.400000000001
32,1634127611,215.00000000000003,1606887.6,279213.8,1191081.2,8860.3,7900.099999999999
33,1634127612,214.89999999999998,1606887.6,279213.9,1190979.3,9936.300000000001,9560.2
34,1634127613,216.50000000000003,1606887.6,279217.0,1190984.7,8688.100000000002,8383.3
35,1634127614,223.49999999999997,1606887.6,279217.30000000005,1191022.8999999997,8527.7,8663.5
36,1634127615,205.6,1606887.6,279217.50000000006,1190988.5999999999,8029.8,8290.900000000001
37,1634127616,213.50000000000003,1606887.6,279217.4,1190985.9,8657.900000000003,8302.300000000001
38,1634127617,230.20000000000002,1606887.6,279217.50000000006,1190961.0,8913.099999999997,8606.3
39,1634127618,222.5,1606887.6,279217.80000000005,1190971.9,9677.800000000003,9345.599999999999
40,1634127619,220.79999999999998,1606887.6,279217.9000000001,1191015.0999999999,8475.099999999999,8225.4
41,1634127620,212.89999999999995,1606887.6,279217.9000000001,1191021.4,8486.399999999998,8141.5
42,1634127621,214.49999999999994,1606887.6,279218.00000000006,1191077.3,8644.1,8370.8
43,1634127622,210.4,1606887.6,279218.10000000003,1191105.9,8787.499999999998,8161.7
44,1634127623,220.29999999999995,1606887.6,279215.50000000006,1191082.4999999998,156220076.39999998,130614138.2
45,1634127624,219.40000000000003,1606887.6,279215.30000000005,1191110.2000000002,8098.100000000003,7864.6
46,1634127625,220.99999999999997,1606887.6,279215.2,1191105.5,9526.5,9039.1
47,1634127626,225.9,1606887.6,279215.5,1191056.7,10342.100000000004,9458.3
48,1634127627,212.90000000000003,1606887.6,279215.60000000003,1191026.4000000001,8461.0,8067.1
49,1634127628,211.00000000000006,1606887.6,279215.7,1191022.6,9388.000000000002,9144.300000000001
50,1634127629,211.99999999999997,1606887.6,279216.39999999997,1191050.3,8569.400000000001,8460.8
51,1634127630,205.4,1606887.6,279216.39999999997,1191102.8,8526.800000000003,7659.200000000001
52,1634127631,212.80000000000007,1606887.6,279216.6,1191077.9000000001,8056.1,7920.099999999999
53,1634127632,210.80000000000004,1606887.6,279216.6,1191089.7000000002,8331.9,8370.899999999998
54,1634127633,215.19999999999996,1606887.6,279216.7,1191088.3,8261.5,8274.300000000001
55,1634127634,222.09999999999997,1606887.6,279216.8,1191107.3,8741.8,8413.3
56,1634127635,219.1,1606887.6,279216.89999999997,1191148.4,8443.300000000001,8009.9
57,1634127636,216.8,1606887.6,279216.89999999997,1191206.7000000002,8856.3,8180.5
58,1634127637,222.39999999999995,1606887.6,279217.2,1191167.6999999997,8865.500000000002,8557.8
59,1634127638,234.3,1606887.6,279217.10000000003,1191192.3,156253169.50000003,130641643.7
60,1634127639,216.0,1606887.6,279217.3,1191106.4,8599.999999999995,7961.9
61,1634127640,212.6,1606887.6,279217.2,1191129.9000000001,8739.000000000002,8168.6
62,1634127641,212.6,1606887.6,279217.3,1191190.4999999998,7480.700000000001,7726.1
63,1634127642,209.6,1606887.6,279217.3,1191145.2,9953.1,9438.499999999998
64,1634127643,216.20000000000005,1606887.6,279220.8,1191145.7999999998,8896.500000000002,8066.800000000001
65,1634127644,221.69999999999996,1606887.6,279221.00000000006,1191127.2999999998,8263.4,7934.299999999999
66,1634127645,209.29999999999995,1606887.6,279221.10000000003,1191132.0999999999,8129.299999999999,7579.799999999999
67,1634127646,207.19999999999996,1606887.6,279221.3,1191173.8,8122.7,8446.0
68,1634127647,222.99999999999994,1606887.6,279221.3,1191156.7,8581.999999999998,8837.1
69,1634127648,212.10000000000005,1606887.6,279221.3,1191207.8,8850.000000000002,9097.8
70,1634127649,215.0,1606887.6,279221.3,1191172.1,9320.300000000001,8476.5
71,1634127650,216.00000000000003,1606887.6,279221.4,1191158.4,8397.099999999995,7892.5999999999985
72,1634127651,221.6,1606887.6,279221.4,1191173.0,8521.300000000001,8226.800000000001
73,1634127652,220.50000000000003,1606887.6,279221.69999999995,1191192.9000000001,9054.599999999999,8400.300000000001
74,1634127653,229.1,1606887.6,279218.5,1191192.0,156240462.59999996,130631150.40000002
