record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1627982280,51.49999999999999,1606890.0000000005,155807.40000000002,1245969.3,8631.9,8573.000000000002
1,1627982281,66.69999999999999,1606890.0000000005,155807.40000000002,1246053.7,35809.899999999994,42116.5
2,1627982282,51.79999999999998,1606890.0000000005,155807.40000000002,1246058.5000000002,25694.800000000003,19588.100000000002
3,1627982283,56.099999999999994,1606890.0000000005,155807.6,1246269.5000000002,9215.799999999997,9237.100000000002
4,1627982284,55.99999999999999,1606890.0000000005,155807.6,1246311.3000000003,8272.999999999998,8018.100000000002
5,1627982285,58.800000000000004,1606890.0000000005,155807.6,1246279.5000000002,8552.499999999996,8070.1
6,1627982286,70.7,1606890.0000000005,155807.6,1246284.8,8731.600000000002,8667.1
7,1627982287,57.699999999999996,1606890.0000000005,155807.7,1246510.3000000003,9328.100000000004,8725.0
8,1627982288,62.39999999999999,1606890.0000000005,155807.80000000002,1246295.3,9467.9,9212.5
9,1627982289,58.0,1606890.0000000005,155807.80000000002,1246387.9000000001,8493.900000000001,9181.6
10,1627982290,56.4,1606890.0000000005,155807.80000000002,1246389.5,8895.600000000002,10109.099999999999
11,1627982291,56.29999999999999,1606890.0000000005,155807.7,1246358.9,8715.400000000001,7820.0999999999985
12,1627982292,75.2,1606890.0000000005,155807.90000000002,1246313.5,9195.500000000007,10471.400000000001
13,1627982293,62.5,1606890.0000000005,155807.90000000002,1246341.6999999997,9837.299999999997,8065.9
14,1627982294,56.3,1606890.0000000005,155808.20000000004,1246350.9999999998,8382.299999999997,8045.699999999998
15,1627982295,56.30000000000002,1606890.0000000005,155808.30000000002,1246291.8999999997,8047.900000000001,8239.900000000001
16,1627982296,48.4,1606890.0000000005,155808.30000000002,1246377.9999999998,8229.300000000001,8416.2
17,1627982297,57.09999999999999,1606890.0000000005,155808.40000000002,1246152.5,8694.499999999998,8633.6
18,1627982298,60.30000000000001,1606890.0000000005,155808.30000000002,1246229.4,8793.500000000002,9222.4
19,1627982299,58.6,1606890.0000000005,155808.40000000002,1246265.9000000001,27247.9,35102.90000000001
20,1627982300,51.8,1606890.0000000005,155808.40000000002,1246374.4000000001,33797.0,25880.8
21,1627982301,63.099999999999994,1606890.0000000005,155808.40000000002,1246415.8,9023.900000000003,8759.500000000002
22,1627982302,57.800000000000004,1606890.0000000005,155808.40000000002,1246420.2,9440.599999999999,9324.1
23,1627982303,55.599999999999994,1606890.0000000005,155808.50000000003,1246381.9000000001,9231.4,9615.1
24,1627982304,61.70000000000001,1606890.0000000005,155808.40000000002,1246370.8000000003,7964.7,8368.4
25,1627982305,66.80000000000001,1606890.0000000005,155808.50000000003,1246310.5,10161.700000000006,10277.599999999999
26,1627982306,54.4,1606890.0000000005,155808.30000000002,1246351.4999999998,8380.900000000003,8379.800000000001
