timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1628099575,22.4,64275.6,10286.4,49090.3,7466.3,481.6
1628099576,13.7,64275.6,10286.4,49090.7,7861.5,506.3
1628099577,14.1,64275.6,10286.4,49091.1,9144.2,519.9
1628099578,21.3,64275.6,10286.4,49072.8,7852.5,560.4
1628099579,16.8,64275.6,10286.4,49090.8,7984.4,506.3
1628099580,15.5,64275.6,10286.4,49096.8,7886.4,499.3
1628099581,26.8,64275.6,10286.4,49093.2,7446.9,442.5
1628099582,23.2,64275.6,10286.4,49179.7,8517.3,509.2
1628099583,21.7,64275.6,10286.4,49250.0,7843.9,454.3
1628099584,26.3,64275.6,10286.4,49249.4,91112.8,772.7
1628099585,25.9,64275.6,10286.4,49260.0,120046.8,873.2
1628099586,17.0,64275.6,10286.4,49259.6,34684.7,587.6
1628099587,15.9,64275.6,10286.4,49263.8,7689.1,527.3
1628099588,25.6,64275.6,10286.4,49265.6,8860.9,804.0
1628099589,25.7,64275.6,10286.4,49260.6,7961.6,521.0
1628099590,26.4,64275.6,10286.4,49245.6,8567.4,540.8
1628099591,32.0,64275.6,10286.4,49255.2,7534.9,464.5
1628099592,23.2,64275.6,10286.4,49464.8,51589.5,697.9
1628099593,20.7,64275.6,10286.4,49466.8,91410.2,809.3
1628099594,18.3,64275.6,10286.4,49264.2,108740.4,877.0
1628099595,23.1,64275.6,10286.4,49259.2,8447.3,442.4
1628099596,21.3,64275.6,10286.4,49238.9,8525.0,641.4
1628099597,23.0,64275.6,10286.4,49250.0,7914.0,660.7
1628099598,22.8,64275.6,10286.4,49258.8,6656.1,595.2
1628099599,18.2,64275.6,10286.4,49262.1,8265.5,639.2
1628099600,17.6,64275.6,10286.4,49266.6,8418.0,657.6
1628099601,16.8,64275.6,10286.4,49264.3,6716.6,614.9
1628099602,23.2,64275.6,10286.4,49257.6,6951.2,596.4
1628099603,19.4,64275.6,10286.4,49250.4,8194.9,658.6
1628099604,18.6,64275.6,10286.4,49251.7,7650.7,639.3
1628099605,23.6,64275.6,10286.4,49256.7,8840.2,693.2
1628099606,17.4,64275.6,10286.4,49257.3,8114.3,609.6
1628099607,19.0,64275.6,10286.4,49258.8,8903.2,694.2
1628099608,17.7,64275.6,10286.4,49261.1,8182.1,682.4
1628099609,23.6,64275.6,10286.4,49261.0,7590.6,600.8
1628099610,18.7,64275.6,10286.4,49265.8,8082.2,616.2
1628099611,16.0,64275.6,10286.4,49267.0,7757.6,612.7
1628099612,22.8,64275.6,10286.4,49266.5,7536.9,568.8
1628099613,17.8,64275.6,10286.4,49262.8,7581.8,651.4
1628099614,17.7,64275.6,10286.4,49266.0,7886.4,640.3
1628099615,18.7,64275.6,10286.4,49268.3,11289.2,650.8
1628099616,22.3,64275.6,10286.4,49264.3,8165.1,610.8
1628099617,17.2,64275.6,10286.4,49265.7,7957.2,623.1
1628099618,19.5,64275.6,10286.4,49269.5,8288.9,611.1
1628099619,23.1,64275.6,10286.5,49257.6,7444.0,594.1
1628099620,16.7,64275.6,10286.4,49260.0,8189.3,642.0
1628099621,17.4,64275.6,10286.4,49261.6,7900.2,635.1
1628099622,15.9,64275.6,10286.4,49257.7,7942.7,603.4
1628099623,24.7,64275.6,10286.4,49264.5,7547.5,603.3
1628099624,19.3,64275.6,10286.4,49265.6,8240.3,636.5
1628099625,20.9,64275.6,10286.4,49260.7,8422.2,659.4
