timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1628093970,1.2,64275.6,5133.6,56874.7,9.0,36.4
1628093971,1.2,64275.6,5133.6,56849.3,15.5,234.1
1628093972,2.4,64275.6,5133.6,56849.2,36.3,384.0
1628093973,2.6,64275.6,5133.6,56850.3,16.2,246.2
1628093974,1.7,64275.6,5133.6,56850.8,16.3,346.4
1628093975,2.0,64275.6,5133.7,56852.5,11.2,61.9
1628093976,3.6,64275.6,5133.7,56865.1,23.1,250.4
1628093977,1.2,64275.6,5133.7,56864.9,14.1,77.4
1628093978,2.1,64275.6,5133.7,56875.8,35.1,237.5
1628093979,1.7,64275.6,5133.7,56875.8,23.8,65.0
1628093980,1.1,64275.6,5133.6,56850.2,10.3,86.6
1628093981,1.5,64275.6,5133.7,56850.3,18.9,61.2
1628093982,1.4,64275.6,5133.7,56850.4,16.3,266.4
1628093983,1.3,64275.6,5133.7,56858.4,34.5,2109.1
1628093984,2.7,64275.6,5133.7,56859.1,166.1,5538.8
1628093985,3.6,64275.6,5133.8,56886.2,92.6,3826.9
1628093986,2.4,64275.6,5133.8,56868.0,9.1,183.2
1628093987,4.6,64275.6,5133.9,56869.6,15.1,210.5
1628093988,5.7,64275.6,5133.8,56893.7,17.7,288.2
1628093989,8.9,64275.6,5133.8,56894.0,15.0,332.6
1628093990,7.6,64275.6,5133.8,56894.0,12.7,181.0
1628093991,7.0,64275.6,5133.8,56894.2,5.1,3.5
1628093992,6.5,64275.6,5133.9,56902.5,4.1,71.8
1628093993,3.0,64275.6,5133.9,56877.5,151.5,4197.3
1628093994,4.4,64275.6,5133.9,56908.5,96.4,4569.4
1628093995,6.3,64275.6,5135.0,56912.1,7.3,27.0
1628093996,8.0,64275.6,5135.2,56932.3,14.0,256.8
1628093997,6.6,64275.6,5135.8,56974.2,12.9,157.5
1628093998,7.6,64275.6,5136.4,56962.3,14.6,214.5
1628093999,7.9,64275.6,5136.4,56959.0,5.2,19.1
1628094000,7.2,64275.6,5136.4,56959.0,9.7,69.8
1628094001,9.8,64275.6,5136.7,56972.3,43.7,372.2
1628094002,8.1,64275.6,5136.7,56971.6,14.8,270.7
1628094003,8.2,64275.6,5136.7,56973.0,16.3,216.3
1628094004,8.7,64275.6,5136.7,56973.3,12.4,372.2
1628094005,7.4,64275.6,5136.7,56973.7,7.4,33.5
1628094006,9.6,64275.6,5136.7,56974.2,46.2,246.7
1628094007,7.5,64275.6,5136.7,56975.4,17.0,109.4
1628094008,7.9,64275.6,5136.7,56994.2,25.9,117.5
1628094009,7.4,64275.6,5136.7,56976.8,23.9,64.8
1628094010,7.3,64275.6,5136.7,56976.9,23.4,92.7
1628094011,6.7,64275.6,5136.7,56977.9,8.9,54.7
1628094012,7.5,64275.6,5136.7,56979.0,16.5,306.1
1628094013,7.6,64275.6,5136.7,56980.0,36.2,2149.0
1628094014,7.4,64275.6,5136.7,56981.4,13.1,88.7
1628094015,7.4,64275.6,5136.7,56982.6,17.0,223.7
1628094016,8.0,64275.6,5136.8,56984.0,11.8,165.8
1628094017,11.3,64275.6,5136.8,56985.5,22.4,368.5
1628094018,12.5,64275.6,5136.8,57002.3,16.1,250.7
1628094019,14.1,64275.6,5136.8,56987.7,25.4,193.6
1628094020,13.5,64275.6,5136.8,56989.1,12.9,166.0
1628094021,31.4,64275.6,5136.8,56990.4,4.1,2.5
1628094022,8.1,64275.6,5136.8,56992.0,5.2,27.5
1628094023,7.9,64275.6,5136.8,56995.2,51.4,2880.6
1628094024,7.0,64275.6,5136.8,56999.5,12.7,5490.5
1628094025,7.0,64275.6,5136.8,57000.7,12.2,210.0
1628094026,8.1,64275.6,5136.8,57002.4,8.4,68.4
1628094027,8.6,64275.6,5137.0,57044.3,56.3,184.1
1628094028,8.3,64275.6,5137.1,57068.4,67.7,574.4
1628094029,7.1,64275.6,5137.2,57068.5,5.4,19.0
1628094030,7.2,64275.6,5137.2,57043.9,10.9,70.4
1628094031,8.7,64275.6,5137.2,57044.1,43.0,349.9
1628094032,8.6,64275.6,5137.2,57068.8,18.6,332.0
1628094033,8.2,64275.6,5137.2,57068.9,19.0,457.8
1628094034,7.8,64275.6,5137.2,57043.4,12.4,122.4
1628094035,7.8,64275.6,5137.2,57044.6,7.8,18.1
1628094036,9.3,64275.6,5137.2,57069.8,24.8,255.1
1628094037,11.8,64275.6,5137.2,57070.4,19.2,122.4
1628094038,14.7,64275.6,5137.2,57044.8,29.4,106.6
1628094039,13.4,64275.6,5137.2,57044.9,22.3,43.1
1628094040,13.4,64275.6,5137.2,57044.8,11.9,85.1
1628094041,13.3,64275.6,5137.3,57045.7,14.0,40.4
1628094042,11.1,64275.6,5137.3,57047.0,25.0,2313.6
1628094043,7.4,64275.6,5137.3,57070.6,28.6,200.9
1628094044,7.5,64275.6,5137.3,57070.8,14.5,105.6
1628094045,7.5,64275.6,5137.3,57070.8,12.4,170.9
1628094046,8.3,64275.6,5137.3,57071.0,9.4,180.3
1628094047,11.2,64275.6,5137.3,57046.0,13.3,348.1
1628094048,14.0,64275.6,5137.3,57070.9,17.3,255.0
