timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1627985590,1.8,64275.6,4873.0,52545.7,7.3,70.3
1627985591,0.5,64275.6,4873.0,52545.5,3.8,43.7
1627985592,0.5,64275.6,4873.0,52545.6,2.0,34.4
1627985593,1.1,64275.6,4873.0,52545.6,5.4,44.5
1627985594,0.8,64275.6,4873.0,52545.6,24.7,36.3
1627985595,0.8,64275.6,4873.0,52545.6,14.0,36.5
1627985596,0.4,64275.6,4873.0,52545.6,2.1,43.1
1627985597,1.1,64275.6,4873.0,52553.8,26.4,675.6
1627985598,2.4,64275.6,4873.0,52572.8,154.9,8342.2
1627985599,2.0,64275.6,4873.0,52578.8,9.0,27.3
1627985600,0.6,64275.6,4873.0,52555.7,2.2,52.0
1627985601,0.6,64275.6,4873.0,52555.7,4.5,75.4
1627985602,1.1,64275.6,4873.0,52555.8,1337.4,41.3
1627985603,0.9,64275.6,4873.0,52555.8,4.0,55.5
1627985604,0.7,64275.6,4873.0,52555.6,1.9,34.5
1627985605,0.9,64275.6,4873.0,52563.2,57.7,2783.1
1627985606,2.4,64275.6,4873.0,52568.8,95.1,5640.6
1627985607,6.2,64275.6,4873.9,52600.6,5.9,34.9
1627985608,5.8,64275.6,4874.2,53651.7,6.8,36.4
1627985609,7.1,64275.6,4874.2,53324.1,1.7,34.6
1627985610,10.3,64275.6,4874.2,53326.4,1.5,33.7
1627985611,6.6,64275.6,4874.2,53328.3,2.9,42.5
1627985612,7.9,64275.6,4874.2,53332.7,39.0,37.8
1627985613,7.4,64275.6,4874.2,53333.1,24.6,36.1
1627985614,6.8,64275.6,4874.2,53336.7,1.9,35.1
1627985615,7.3,64275.6,4874.2,53336.7,24.1,35.8
1627985616,6.4,64275.6,4874.2,53337.2,2.5,67.0
1627985617,7.1,64275.6,4874.2,53337.8,30.9,37.5
1627985618,11.3,64275.6,4874.2,53341.2,4.5,56.4
1627985619,12.4,64275.6,4874.2,53345.8,18.5,35.2
1627985620,6.8,64275.6,4874.2,53346.1,7.5,89.1
1627985621,11.6,64275.6,4874.2,53348.9,4.1,79.4
1627985622,13.2,64275.6,4874.2,53363.5,3.1,35.2
1627985623,7.1,64275.6,4874.2,53352.7,3.8,37.4
1627985624,11.0,64275.6,4874.2,53355.7,24.6,44.3
1627985625,7.3,64275.6,4874.2,53355.8,15.9,39.0
1627985626,6.5,64275.6,4874.2,53355.8,1.9,48.7
1627985627,10.6,64275.6,4874.2,53359.2,1.3,34.2
1627985628,7.5,64275.6,4874.2,53359.3,4.9,37.9
1627985629,13.4,64275.6,4874.2,53361.9,2.1,35.7
1627985630,6.6,64275.6,4874.2,53361.9,1.8,42.8
1627985631,9.7,64275.6,4874.2,53367.0,4.2,66.7
1627985632,6.8,64275.6,4874.2,53383.1,1337.1,49.0
1627985633,7.8,64275.6,4874.2,53369.4,2.8,53.2
1627985634,10.3,64275.6,4874.2,53371.8,1.6,34.7
1627985635,7.2,64275.6,4874.2,53372.0,3.5,88.4
1627985636,11.3,64275.6,4874.2,53375.4,2.1,35.3
1627985637,6.8,64275.6,4874.2,53375.4,2.6,34.2
1627985638,6.6,64275.6,4874.2,53375.5,3.4,43.3
1627985639,8.9,64275.6,4874.2,53377.1,1.8,34.7
1627985640,10.0,64275.6,4874.2,53379.2,1.7,42.5
1627985641,6.6,64275.6,4874.2,53379.6,2.7,43.0
1627985642,7.8,64275.6,4874.2,53387.9,39.0,37.9
1627985643,16.0,64275.6,4874.2,53379.4,34.0,45.9
1627985644,30.0,64275.6,4874.2,53379.7,26.2,36.1
1627985645,30.1,64275.6,4874.2,53380.5,25.4,35.7
1627985646,29.6,64275.6,4874.2,53381.1,4.8,104.9
1627985647,30.4,64275.6,4874.2,53382.4,32.8,38.2
1627985648,30.6,64275.6,4874.2,53383.4,4.6,45.5
1627985649,29.8,64275.6,4874.2,53383.8,20.0,43.9
1627985650,30.5,64275.6,4874.2,53385.5,9.9,89.7
1627985651,30.0,64275.6,4874.2,53386.6,3.9,35.1
1627985652,31.4,64275.6,4874.2,53386.6,4.9,44.2
1627985653,30.2,64275.6,4874.2,53387.9,27.0,36.4
1627985654,30.7,64275.6,4874.2,53387.9,3.0,42.7
1627985655,29.6,64275.6,4874.2,53388.5,17.9,39.5
1627985656,30.4,64275.6,4874.2,53389.7,2.8,34.5
1627985657,30.8,64275.6,4874.2,53391.0,2.9,42.9
1627985658,30.7,64275.6,4874.2,53392.5,4.1,36.8
1627985659,30.6,64275.6,4874.2,53393.6,3.4,35.6
1627985660,29.5,64275.6,4874.3,53394.9,3.2,42.7
1627985661,30.6,64275.6,4874.3,53396.5,5.5,75.2
1627985662,30.3,64275.6,4874.3,53397.9,1339.1,41.7
1627985663,31.1,64275.6,4874.3,53400.0,6.6,54.2
1627985664,30.0,64275.6,4874.3,53401.3,13.1,41.2
1627985665,30.2,64275.6,4874.3,53402.1,5.4,97.0
1627985666,30.6,64275.6,4874.3,53427.7,5.2,58.4
1627985667,30.3,64275.6,4874.3,53429.6,4.3,34.7
1627985668,30.2,64275.6,4874.3,53434.7,4.6,34.8
1627985669,30.9,64275.6,4874.3,53432.0,2.9,42.6
1627985670,30.4,64275.6,4874.3,53408.5,3.5,34.6
1627985671,30.3,64275.6,4874.3,53410.4,4.9,73.6
1627985672,31.2,64275.6,4874.3,53411.2,40.7,46.8
1627985673,30.1,64275.6,4874.3,53422.4,25.7,36.2
1627985674,30.3,64275.6,4874.3,53414.3,3.1,35.3
1627985675,30.4,64275.6,4874.3,53416.5,31.4,39.7
1627985676,28.6,64275.6,4874.3,53417.5,85.1,126.5
1627985677,30.2,64275.6,4874.3,53419.2,19.2,38.1
1627985678,30.5,64275.6,4874.3,53420.8,4.7,63.8
1627985679,30.4,64275.6,4874.3,53422.1,24.0,35.6
1627985680,30.9,64275.6,4874.3,53424.7,4.9,88.6
1627985681,30.8,64275.6,4874.3,53425.8,4.2,43.2
1627985682,30.3,64275.6,4874.3,53428.0,4.5,19.0
1627985683,30.8,64275.6,4874.3,53430.6,26.6,19.5
1627985684,30.6,64275.6,4874.3,53431.9,2.6,25.9
1627985685,30.1,64275.6,4874.3,53433.6,17.0,19.0
1627985686,29.6,64275.6,4874.3,53435.8,12.8,23.9
1627985687,30.3,64275.6,4874.3,53437.7,2.7,25.9
1627985688,29.8,64275.6,4874.3,53440.5,3.8,36.0
1627985689,30.0,64275.6,4874.3,53441.8,3.4,43.7
1627985690,30.3,64275.6,4874.3,53444.5,3.3,42.7
1627985691,28.4,64275.6,4874.3,53446.7,1325.8,70.9
1627985692,30.3,64275.6,4874.3,53448.4,2.6,17.8
1627985693,30.3,64275.6,4874.3,53450.9,4.2,46.1
1627985694,29.9,64275.6,4874.3,53452.7,3.2,35.0
1627985695,30.3,64275.6,4874.3,53454.7,5.0,80.2
1627985696,30.2,64275.6,4874.3,53457.7,2.5,18.2
1627985697,30.9,64275.6,4874.3,53460.1,6.5,19.2
1627985698,30.5,64275.6,4874.3,53465.3,4.1,34.5
1627985699,30.6,64275.6,4874.3,53342.0,4.0,34.6
1627985700,30.0,64275.6,4874.3,53172.7,4.4,34.5
1627985701,16.8,64275.6,4874.3,52977.7,5.6,43.3
1627985702,1.9,64275.6,4874.3,52977.8,39.3,21.7
1627985703,1.1,64275.6,4874.3,52977.9,79.6,3744.1
1627985704,0.4,64275.6,4874.3,52977.9,2.1,35.2
1627985705,1.3,64275.6,4874.3,52977.7,25.0,54.0
1627985706,0.4,64275.6,4874.3,52977.8,16.8,50.5
1627985707,0.9,64275.6,4874.3,52977.8,17.0,44.8
1627985708,5.3,64275.6,4874.3,53634.5,29.9,3301.1
1627985709,7.7,64275.6,4874.3,53633.6,5.9,35.1
1627985710,12.5,64275.6,4874.3,53634.3,7.4,304.5
1627985711,11.0,64275.6,4874.3,53634.7,6.4,4438.0
1627985712,15.3,64275.6,4874.3,53634.5,6.3,610.0
1627985713,11.8,64275.6,4874.3,53634.9,27.7,386.7
1627985714,6.5,64275.6,4874.3,53634.5,1.7,35.2
1627985715,10.5,64275.6,4874.4,53634.5,16.8,35.8
1627985716,6.5,64275.6,4874.4,53634.5,1.4,34.3
1627985717,8.0,64275.6,4874.4,53634.8,1.1,17.5
1627985718,8.7,64275.6,4874.4,53634.9,2.5,35.6
1627985719,7.2,64275.6,4874.4,53634.8,1.7,43.5
1627985720,10.6,64275.6,4874.4,53634.8,1.6,35.0
1627985721,7.1,64275.6,4874.4,53635.1,1338.5,38.5
1627985722,8.0,64275.6,4874.4,53635.3,3.7,126.0
1627985723,6.6,64275.6,4874.4,53635.7,2.8,44.4
1627985724,7.3,64275.6,4874.4,53635.4,3.6,89.4
1627985725,9.1,64275.6,4874.4,53635.7,1.9,43.0
1627985726,9.7,64275.6,4874.4,53635.7,1.7,34.8
1627985727,7.3,64275.6,4874.4,53636.3,2.8,34.5
1627985728,6.5,64275.6,4874.4,53635.8,2.9,34.4
1627985729,11.2,64275.6,4874.4,53635.9,1.6,34.5
1627985730,6.5,64275.6,4874.4,53636.0,1.8,42.6
1627985731,17.0,64275.6,4874.4,53636.0,4.6,260.6
1627985732,8.4,64275.6,4874.4,53635.8,40.7,101.1
1627985734,7.0,64275.6,4874.4,53636.3,24.4,36.3
1627985735,11.0,64275.6,4874.4,53643.1,1.7,36.2
1627985736,7.6,64275.6,4874.4,53636.1,25.7,96.1
1627985737,6.5,64275.6,4874.4,53636.1,16.4,44.5
1627985738,11.3,64275.6,4874.4,53636.3,17.0,53.7
1627985739,6.8,64275.6,4874.4,53636.3,19.6,45.2
