timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive
1628095278,9.0,64275.6,5820.6,52010.1
1628095279,7.3,64275.6,5820.6,52034.2
1628095280,6.7,64275.6,5820.6,52034.5
1628095281,8.4,64275.6,5820.6,52035.9
1628095282,7.8,64275.6,5820.6,52061.1
1628095283,8.1,64275.6,5820.5,52034.0
1628095284,6.8,64275.6,5820.6,52011.7
1628095285,8.1,64275.6,5820.5,52008.7
1628095286,6.9,64275.6,5820.5,52008.7
1628095287,7.4,64275.6,5820.5,52018.9
1628095288,9.3,64275.6,5820.5,52019.0
1628095289,8.8,64275.6,5820.5,52018.8
1628095290,7.6,64275.6,5820.5,52018.8
1628095291,9.6,64275.6,5820.5,52018.8
1628095292,6.5,64275.6,5820.5,52018.8
1628095293,7.4,64275.6,5820.5,52018.5
1628095294,8.4,64275.6,5820.6,52029.8
1628095295,10.6,64275.6,5820.6,52717.6
1628095296,13.0,64275.6,5820.6,52677.8
1628095297,14.1,64275.6,5820.6,52677.5
1628095298,13.2,64275.6,5820.6,52677.5
1628095299,12.5,64275.6,5820.6,52677.5
1628095300,12.9,64275.6,5820.6,52677.5
1628095301,15.7,64275.6,5820.6,52678.4
1628095302,12.5,64275.6,5820.6,52678.7
1628095303,14.2,64275.6,5820.6,52703.4
1628095304,12.6,64275.6,5820.6,52703.4
1628095305,13.1,64275.6,5820.6,52703.4
1628095306,13.0,64275.6,5820.6,52704.0
1628095307,13.0,64275.6,5820.6,52678.2
1628095308,14.5,64275.6,5820.6,52678.2
1628095309,13.5,64275.6,5820.6,52678.2
1628095310,13.3,64275.6,5820.6,52678.2
1628095311,12.7,64275.6,5820.6,52678.2
1628095312,12.1,64275.6,5820.6,52678.2
1628095313,14.4,64275.6,5820.6,52702.9
1628095314,13.0,64275.6,5820.6,52702.9
1628095315,12.9,64275.6,5820.6,52677.1
1628095316,13.5,64275.6,5820.6,52677.1
1628095317,13.8,64275.6,5820.6,52677.2
1628095318,14.9,64275.6,5820.6,52677.2
1628095319,14.2,64275.6,5820.6,52677.2
1628095320,13.1,64275.6,5820.6,52684.5
1628095321,17.0,64275.6,5820.6,52684.5
1628095322,14.4,64275.6,5820.6,52684.6
1628095323,15.6,64275.6,5820.6,52684.6
1628095324,15.2,64275.6,5820.6,52684.6
1628095325,15.8,64275.6,5820.6,52684.6
1628095326,14.5,64275.6,5820.6,52684.7
1628095327,14.5,64275.6,5820.6,52684.7
1628095328,14.6,64275.6,5820.6,52684.7
1628095329,15.6,64275.6,5820.6,52684.7
1628095330,15.6,64275.6,5820.6,52684.7
1628095331,16.7,64275.6,5820.6,52684.7
1628095332,19.1,64275.6,5820.6,52684.7
1628095333,16.3,64275.6,5820.6,52684.7
1628095334,15.7,64275.6,5820.6,52684.7
1628095335,15.5,64275.6,5820.6,52684.7
1628095336,14.5,64275.6,5820.6,52684.3
1628095337,15.1,64275.6,5820.6,52684.3
1628095338,16.6,64275.6,5820.6,52684.3
1628095339,15.7,64275.6,5820.6,52684.3
1628095340,15.1,64275.6,5820.6,52684.3
1628095341,15.3,64275.6,5820.6,52684.3
1628095342,15.2,64275.6,5820.6,52684.3
1628095343,15.6,64275.6,5820.6,52684.3
1628095344,15.2,64275.6,5820.6,52684.3
1628095345,14.0,64275.6,5820.6,52684.3
1628095346,13.3,64275.6,5820.6,52684.4
1628095347,12.9,64275.6,5820.6,52684.4
1628095348,15.8,64275.6,5820.6,52684.4
1628095349,13.4,64275.6,5820.6,52684.4
1628095350,13.0,64275.6,5820.6,52684.4
1628095351,16.5,64275.6,5820.6,52684.4
1628095352,12.4,64275.6,5820.6,52684.4
1628095353,13.6,64275.6,5820.6,52684.5
