timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1628095278,2.1,64275.6,5587.0,56496.6,4.4,3.3
1628095279,1.8,64275.6,5587.0,56546.8,23.6,50.5
1628095280,0.7,64275.6,5587.0,56546.8,1.4,1.0
1628095281,0.9,64275.6,5587.0,56547.5,4.2,41.6
1628095282,0.6,64275.6,5587.0,56546.8,1.5,1.2
1628095283,0.7,64275.6,5587.0,56495.4,18.9,29.9
1628095284,0.9,64275.6,5587.0,56495.5,5.8,1.6
1628095285,1.1,64275.6,5587.0,56495.5,2.9,19.0
1628095286,1.3,64275.6,5587.0,56495.9,1.7,1.1
1628095287,3.1,64275.6,5587.0,56504.8,173.2,3277.6
1628095288,2.2,64275.6,5587.0,56504.9,112.2,6313.9
1628095289,2.7,64275.6,5587.0,56504.9,11.1,308.4
1628095290,1.6,64275.6,5587.0,56504.9,24.3,16.3
1628095291,1.0,64275.6,5587.0,56505.0,3.4,10.6
1628095292,0.8,64275.6,5587.0,56505.0,1.5,0.9
1628095293,0.6,64275.6,5587.0,56505.0,2.1,23.7
1628095294,1.4,64275.6,5587.0,56516.0,55.9,3381.8
1628095295,2.2,64275.6,5545.8,57079.3,88.7,8145.9
1628095296,8.0,64275.6,5546.1,56545.7,5.4,2.3
1628095297,7.4,64275.6,5546.1,56570.2,19.2,25.7
1628095298,7.6,64275.6,5546.2,56570.5,2.0,27.3
1628095299,6.8,64275.6,5546.2,56570.5,1.3,1.0
1628095300,7.2,64275.6,5546.2,56570.2,2.9,17.3
1628095301,7.3,64275.6,5546.1,56544.5,2.9,9.1
1628095302,7.1,64275.6,5546.2,56552.7,4.5,50.0
1628095303,7.4,64275.6,5546.1,56570.1,29.1,24.9
1628095304,6.8,64275.6,5546.1,56570.2,1.6,3.3
1628095305,7.5,64275.6,5546.2,56570.2,23.8,2.4
1628095306,7.9,64275.6,5546.2,56570.2,24.6,4.2
1628095307,7.3,64275.6,5546.2,56570.2,1.8,1.2
1628095308,7.5,64275.6,5546.2,56544.6,1.3,1.9
1628095309,6.8,64275.6,5546.2,56544.6,16.8,2.6
1628095310,6.8,64275.6,5546.2,56544.6,1.3,1.0
1628095311,7.1,64275.6,5546.2,56545.5,5.1,9.9
1628095312,7.5,64275.6,5546.2,56570.3,4.4,24.0
1628095313,6.7,64275.6,5546.2,56570.3,17.4,29.2
1628095314,6.8,64275.6,5546.2,56578.5,5.8,1.6
1628095315,7.4,64275.6,5546.2,56578.7,2.1,18.7
1628095316,7.7,64275.6,5546.1,56552.9,1.7,1.7
