timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1627985590,0.9,64275.6,5196.1,54525.1,3.0,37.8
1627985591,0.6,64275.6,5196.1,54525.1,2.6,9.0
1627985592,0.5,64275.6,5196.1,54525.1,1.1,0.7
1627985593,1.6,64275.6,5196.1,54525.4,20.9,3.5
1627985594,0.4,64275.6,5196.1,54525.3,3.9,3.3
1627985595,0.8,64275.6,5196.1,54525.3,17.3,2.2
1627985596,1.8,64275.6,5196.1,54526.3,23.2,4.7
1627985597,0.5,64275.6,5196.1,54526.4,2.5,1.5
1627985598,1.9,64275.6,5196.1,54559.5,144.6,7766.8
1627985599,2.0,64275.6,5196.1,54575.2,43.2,1311.8
1627985600,0.5,64275.6,5196.1,54554.3,1.4,16.4
1627985601,1.4,64275.6,5196.1,54554.3,3.3,35.9
1627985602,0.4,64275.6,5196.1,54528.6,1.4,1.0
1627985603,0.7,64275.6,5196.1,54528.6,16.3,17.2
1627985604,0.4,64275.6,5196.1,54528.6,5.3,1.2
1627985605,0.7,64275.6,5196.1,54538.6,40.8,1650.4
1627985606,1.9,64275.6,5196.1,54538.7,100.3,5977.3
1627985607,5.5,64275.6,5196.1,55199.8,51.7,3514.5
1627985608,7.8,64275.6,5196.1,55205.7,18.1,3.6
1627985609,6.5,64275.6,5196.1,55207.6,0.6,0.7
1627985610,7.2,64275.6,5196.1,55209.9,20.1,2.5
1627985611,6.7,64275.6,5196.1,55209.9,2.9,10.3
1627985612,7.0,64275.6,5196.1,55212.4,0.5,0.4
1627985613,6.8,64275.6,5196.1,55212.5,0.6,0.6
1627985614,6.6,64275.6,5196.1,55218.7,0.6,4.0
1627985615,6.5,64275.6,5196.1,55218.7,0.7,0.8
1627985616,7.5,64275.6,5196.1,55218.7,1.6,27.2
1627985617,6.9,64275.6,5196.1,55220.6,15.3,2.1
1627985618,7.7,64275.6,5196.1,55220.6,1.0,15.3
1627985619,6.6,64275.6,5196.1,55220.8,0.8,0.7
1627985620,6.6,64275.6,5196.1,55225.5,2.2,45.8
1627985621,6.7,64275.6,5196.1,55226.2,4.0,37.9
1627985622,10.2,64275.6,5196.1,55232.3,20.5,2.6
1627985623,7.1,64275.6,5196.1,55232.2,3.6,31.6
1627985624,9.2,64275.6,5196.1,55231.6,0.7,0.8
1627985625,8.1,64275.6,5196.1,55232.6,20.6,2.6
1627985626,9.4,64275.6,5196.1,55233.2,31.6,20.4
1627985627,8.6,64275.6,5196.1,55236.5,1.3,2.4
1627985628,12.0,64275.6,5196.1,55244.1,0.6,0.6
1627985629,6.6,64275.6,5196.1,55244.1,16.5,428.7
1627985630,7.0,64275.6,5196.1,55244.1,0.9,1.0
1627985631,7.2,64275.6,5196.1,55246.2,3.0,35.8
1627985632,6.6,64275.6,5196.1,55245.8,0.8,0.9
1627985633,7.0,64275.6,5196.2,55246.0,15.9,17.4
1627985634,12.3,64275.6,5196.1,55254.3,5.3,1.3
1627985635,6.5,64275.6,5196.2,55254.5,4.4,1745.4
1627985636,7.0,64275.6,5196.2,55254.5,1.3,1377.9
1627985637,7.1,64275.6,5196.2,55254.5,17.9,2.8
1627985638,7.8,64275.6,5196.2,55254.8,17.8,2.5
1627985639,6.6,64275.6,5196.2,55254.5,0.5,0.5
1627985640,6.9,64275.6,5196.2,55254.5,20.1,2.5
1627985641,6.6,64275.6,5196.2,55254.9,4.3,12.9
1627985642,6.8,64275.6,5196.2,55254.5,1.5,1.5
1627985643,18.8,64275.6,5196.2,55261.8,7.9,11.6
1627985644,6.6,64275.6,5196.2,55261.8,1.3,817.6
1627985645,7.0,64275.6,5196.2,55261.8,0.6,0.7
1627985646,7.3,64275.6,5196.2,55261.6,1.6,27.3
1627985647,6.7,64275.6,5196.2,55261.8,15.3,2.4
1627985648,7.4,64275.6,5196.2,55261.8,1.1,15.6
1627985649,23.3,64275.6,5196.2,55300.2,21.4,152.3
1627985650,9.2,64275.6,5196.2,55348.0,2.3,46.2
1627985651,6.8,64275.6,5196.2,55348.1,12.2,15.3
1627985652,7.5,64275.6,5196.2,55348.2,20.8,3.8
1627985653,7.0,64275.6,5196.2,55348.2,3.9,9.0
1627985654,6.6,64275.6,5196.2,55348.2,1.2,450.3
1627985655,7.0,64275.6,5196.2,55348.6,20.2,2.6
