timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1628095278,18.4,64275.6,10295.0,48377.9,7263.0,441.6
1628095279,22.1,64275.6,10295.0,48372.2,7141.5,371.0
1628095280,16.4,64275.6,10295.0,48411.8,8233.3,461.3
1628095281,15.6,64275.6,10295.0,48413.8,7419.5,410.2
1628095282,18.1,64275.6,10295.0,48410.4,7347.9,408.5
1628095283,15.2,64275.6,10295.0,48412.1,7873.1,383.6
1628095284,21.4,64275.6,10295.0,48382.9,8248.8,438.5
1628095285,27.2,64275.6,10295.0,48452.5,7627.3,381.1
1628095286,19.2,64275.6,10295.0,48723.1,7852.8,426.3
1628095287,13.1,64275.6,10295.0,48730.4,88996.3,2052.7
1628095288,13.3,64275.6,10295.0,48733.7,120183.7,2085.9
1628095289,19.9,64275.6,10295.0,48541.1,35900.1,698.6
1628095290,28.5,64275.6,10295.0,48528.7,7887.9,425.0
1628095291,22.7,64275.6,10295.0,48529.4,7552.5,412.0
1628095292,19.3,64275.6,10295.0,48528.5,8217.7,435.9
1628095293,20.1,64275.6,10295.0,48745.8,8191.4,390.1
1628095294,20.3,64275.6,10295.0,48934.2,80896.7,1641.0
1628095295,14.7,64275.6,10295.0,48747.7,97202.5,1318.2
1628095296,13.3,64275.6,10295.0,48747.0,7323.7,401.2
1628095297,20.4,64275.6,10295.0,48741.9,7332.4,403.3
1628095298,16.9,64275.6,10295.0,48745.0,8395.1,431.9
1628095299,16.0,64275.6,10295.0,48737.2,8347.2,400.9
1628095300,19.7,64275.6,10295.0,48739.8,7900.8,423.1
1628095301,17.0,64275.6,10295.0,48741.4,7307.2,411.0
1628095302,15.4,64275.6,10295.0,48742.1,9132.0,460.9
1628095303,14.1,64275.6,10295.0,48737.1,7674.3,414.6
1628095304,20.4,64275.6,10295.0,48766.3,7376.6,416.2
1628095305,13.4,64275.6,10295.0,48768.3,7692.4,382.8
1628095306,13.2,64275.6,10295.0,48768.4,7517.5,405.2
1628095307,19.7,64275.6,10295.0,48769.4,7012.4,390.0
1628095308,14.7,64275.6,10295.0,48740.2,7606.3,403.6
1628095309,14.9,64275.6,10295.0,48741.5,7282.3,377.4
1628095310,14.2,64275.6,10295.0,48739.7,7784.8,403.8
1628095311,24.2,64275.6,10295.0,48748.1,7420.7,408.2
1628095312,13.0,64275.6,10295.0,48749.5,7772.2,404.5
1628095313,18.2,64275.6,10295.0,48732.8,8337.6,400.6
1628095314,21.3,64275.6,10295.0,48735.3,7601.4,404.2
1628095315,14.9,64275.6,10295.0,48732.5,7726.8,449.0
1628095316,14.6,64275.6,10295.0,48734.9,7568.8,407.9
1628095317,16.0,64275.6,10295.0,48761.2,8825.2,494.2
1628095318,20.6,64275.6,10295.0,48763.3,6855.1,415.1
1628095319,14.7,64275.6,10295.0,48763.4,7995.0,394.2
1628095320,12.7,64275.6,10295.0,48763.5,7251.6,394.6
1628095321,18.2,64275.6,10295.0,48738.8,8023.8,419.3
1628095322,17.6,64275.6,10295.0,48740.6,8037.5,417.1
1628095323,14.7,64275.6,10295.0,48742.0,8635.0,396.4
1628095324,14.5,64275.6,10295.0,48747.1,7613.3,378.0
1628095325,18.9,64275.6,10295.0,48750.3,7181.8,334.0
1628095326,13.6,64275.6,10295.0,48752.3,8212.4,386.6
1628095327,16.4,64275.6,10295.0,48737.5,7799.5,398.3
1628095328,21.5,64275.6,10295.0,48740.8,7181.1,360.5
1628095329,15.5,64275.6,10295.0,48732.4,7443.9,362.0
1628095330,13.9,64275.6,10295.0,48733.8,8514.1,406.0
1628095331,17.2,64275.6,10295.0,48740.6,7897.5,411.3
1628095332,21.8,64275.6,10295.0,48744.6,8513.8,427.3
1628095333,14.5,64275.6,10295.0,48770.0,8124.5,447.2
1628095334,14.8,64275.6,10295.0,48770.6,8083.7,382.8
1628095335,18.6,64275.6,10295.0,48766.1,7350.8,351.7
1628095336,13.1,64275.6,10295.0,48767.0,7662.6,385.1
1628095337,16.2,64275.6,10295.0,48763.1,7718.4,401.6
1628095338,14.5,64275.6,10295.0,48739.6,7970.0,382.8
1628095339,20.7,64275.6,10295.0,48744.1,7700.6,386.6
1628095340,14.8,64275.6,10295.0,48746.6,8245.3,400.8
1628095341,18.1,64275.6,10295.0,48748.7,8704.0,426.9
1628095342,19.3,64275.6,10295.0,48748.8,8194.5,390.7
1628095343,18.4,64275.6,10295.0,48733.5,7984.8,385.0
1628095344,15.3,64275.6,10295.0,48731.0,8167.4,398.3
1628095345,16.8,64275.6,10295.0,48733.5,8179.9,408.0
1628095346,20.0,64275.6,10295.0,48734.5,7854.1,387.2
1628095347,16.6,64275.6,10295.0,48735.9,9356.8,465.6
1628095348,15.9,64275.6,10295.0,48738.0,8501.2,431.4
1628095349,14.9,64275.6,10295.0,48744.6,7994.7,389.1
1628095350,19.1,64275.6,10295.0,48746.4,7433.4,373.7
1628095351,16.3,64275.6,10295.0,48770.2,7623.5,426.6
1628095352,15.6,64275.6,10295.0,48766.7,8471.7,385.5
1628095353,13.5,64275.6,10295.0,48766.2,7585.1,374.4
1628095354,20.2,64275.6,10295.0,48765.9,7573.8,386.2
1628095355,13.4,64275.6,10295.0,48743.4,7545.3,378.4
1628095356,13.4,64275.6,10295.0,48744.7,7671.0,392.9
1628095357,23.4,64275.6,10295.0,48749.1,8096.9,411.9
1628095358,14.1,64275.6,10295.0,48749.5,7359.8,366.2
1628095359,15.3,64275.6,10295.0,48751.3,7769.7,380.4
1628095360,15.1,64275.6,10295.0,48731.6,8147.1,389.2
1628095361,23.6,64275.6,10295.0,48735.4,8008.8,427.7
1628095362,15.5,64275.6,10295.0,48737.1,9189.4,443.8
1628095363,12.6,64275.6,10295.0,48753.9,7045.5,381.1
1628095364,20.3,64275.6,10295.0,48738.3,7823.1,377.6
1628095365,13.9,64275.6,10295.0,48741.9,7724.9,375.1
1628095366,14.3,64275.6,10295.0,48767.9,8622.6,421.0
1628095367,17.0,64275.6,10295.0,48768.4,8106.6,412.5
