timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1627609735,1.4,64275.6,4921.6,54612.7,6.7,10.6
1627609736,0.6,64275.6,4921.6,54612.6,23.6,7.2
1627609737,0.5,64275.6,4921.6,54612.6,21.7,10.3
1627609738,1.0,64275.6,4921.6,54612.6,21.9,8.8
1627609739,1.4,64275.6,4921.6,54612.8,5.3,6.8
1627609740,0.3,64275.6,4921.6,54612.8,5.9,8.2
1627609741,0.4,64275.6,4921.6,54612.8,5.4,6.7
1627609742,1.5,64275.6,4921.6,54612.4,5.0,6.5
1627609743,0.9,64275.6,4921.7,54613.0,24.0,8.4
1627609744,1.9,64275.6,4921.7,54638.1,14.1,122.2
1627609745,11.3,64275.6,4921.7,54731.3,105.8,96.9
1627609746,18.3,64275.6,4921.7,54876.7,6.7,9.6
1627609747,12.4,64275.6,4921.7,54902.5,10.7,11.3
1627609748,1.6,64275.6,4921.7,54913.7,8.8,7.5
1627609749,1.4,64275.6,4921.7,54913.6,5.0,6.6
1627609750,0.7,64275.6,4921.7,54913.6,5.0,6.7
1627609751,0.9,64275.6,4921.7,54921.8,6.0,7.7
1627609752,1.2,64275.6,4921.7,54926.8,5.6,7.2
1627609753,0.6,64275.6,4921.7,54926.9,21.7,8.6
1627609754,0.9,64275.6,4921.7,54927.4,26.5,177.0
1627609755,0.4,64275.6,4921.7,54927.0,5.3,7.0
1627609756,0.7,64275.6,4921.7,54927.0,6.4,8.4
1627609757,1.6,64275.6,4921.7,54613.2,6.9,7.3
1627609758,0.6,64275.6,4921.7,54613.0,5.4,6.9
1627609759,2.4,64275.6,4921.7,54613.1,42.5,10.3
1627609760,0.3,64275.6,4921.7,54613.1,5.2,6.6
1627609761,1.0,64275.6,4921.7,54613.1,21.8,7.7
1627609762,1.2,64275.6,4921.7,54613.1,5.3,6.9
1627609763,0.4,64275.6,4921.7,54613.1,6.2,6.7
1627609764,0.8,64275.6,4921.7,54613.1,8.1,42.9
1627609765,1.1,64275.6,4921.7,54613.1,23.3,8.4
1627609766,0.4,64275.6,4921.7,54613.1,20.4,8.6
1627609767,0.6,64275.6,4921.7,54613.1,5.1,6.8
1627609768,0.9,64275.6,4921.7,54613.1,21.6,8.9
1627609769,1.6,64275.6,4921.7,54613.3,5.3,6.9
1627609770,0.4,64275.6,4921.7,54613.3,5.8,8.2
1627609771,0.6,64275.6,4921.7,54620.4,5.1,6.8
1627609772,1.0,64275.6,4921.7,54613.3,5.4,7.0
1627609773,1.2,64275.6,4921.7,54613.3,23.7,8.5
1627609774,0.6,64275.6,4921.7,54613.9,7.1,16.5
1627609775,0.4,64275.6,4921.7,54613.3,5.1,6.5
1627609776,0.3,64275.6,4921.7,54613.3,6.0,8.4
1627609777,0.6,64275.6,4921.7,54613.3,5.2,6.7
1627609778,0.6,64275.6,4921.7,54613.3,6.7,7.0
1627609779,1.4,64275.6,4921.7,54613.4,5.4,6.7
1627609780,0.6,64275.6,4921.7,54613.4,13.2,11.8
1627609781,1.1,64275.6,4921.7,54627.3,5.1,6.7
1627609782,1.3,64275.6,4921.7,54613.4,5.3,6.8
1627609783,0.5,64275.6,4921.7,54613.4,23.3,10.9
1627609784,0.6,64275.6,4921.7,54614.1,22.3,34.8
1627609785,0.4,64275.6,4921.7,54613.4,5.1,6.7
1627609786,0.3,64275.6,4921.7,54613.4,6.0,8.1
1627609787,0.9,64275.6,4921.7,54613.4,5.0,6.6
1627609788,0.5,64275.6,4921.7,54613.4,5.4,7.0
1627609789,2.4,64275.6,4921.7,54613.4,42.0,10.5
1627609790,0.4,64275.6,4921.7,54613.5,5.0,6.8
1627609791,1.7,64275.6,4921.7,54627.3,24.8,9.4
1627609792,1.1,64275.6,4921.7,54613.5,5.2,6.9
1627609793,0.4,64275.6,4921.7,54613.5,6.3,7.0
1627609794,1.0,64275.6,4921.7,54618.4,7.1,17.0
1627609795,1.4,64275.6,4921.7,54613.5,24.1,26.7
1627609796,0.4,64275.6,4921.7,54613.5,20.1,8.4
1627609797,0.6,64275.6,4921.7,54613.5,5.2,6.8
1627609798,0.9,64275.6,4921.7,54613.5,21.8,8.7
1627609799,1.4,64275.6,4921.7,54613.7,5.2,7.0
1627609800,0.4,64275.6,4921.7,54613.7,6.3,8.5
1627609801,0.9,64275.6,4921.7,54621.5,5.3,6.8
1627609802,0.6,64275.6,4921.7,54613.7,5.4,6.8
1627609803,0.6,64275.6,4921.7,54613.7,23.7,8.6
1627609804,1.3,64275.6,4921.7,54614.3,48.1,33.7
1627609805,0.7,64275.6,4921.7,54613.7,15.6,72.5
1627609806,0.6,64275.6,4921.7,54613.7,6.2,8.6
1627609807,0.6,64275.6,4921.7,54613.8,5.1,7.0
1627609808,1.0,64275.6,4921.8,54613.8,6.3,6.8
1627609809,1.4,64275.6,4921.8,54613.8,5.2,6.7
1627609810,0.3,64275.6,4921.8,54613.8,5.5,6.9
1627609811,1.4,64275.6,4921.8,54613.7,5.2,6.9
1627609812,0.6,64275.6,4921.8,54613.8,5.3,6.8
1627609813,0.6,64275.6,4921.8,54613.8,21.5,8.6
1627609814,0.4,64275.6,4921.8,54614.0,20.5,8.6
1627609815,0.6,64275.6,4921.8,54613.8,16.5,22.4
1627609816,0.7,64275.6,4921.8,54613.8,6.0,8.4
1627609817,0.6,64275.6,4921.8,54614.2,5.1,7.0
1627609818,0.7,64275.6,4921.8,54613.9,5.3,8.3
1627609819,2.0,64275.6,4921.8,54614.0,42.3,9.3
1627609820,0.6,64275.6,4921.8,54613.8,5.3,6.8
1627609821,2.3,64275.6,4921.8,54613.5,22.3,7.8
1627609822,0.5,64275.6,4921.8,54613.9,5.4,6.9
1627609823,0.4,64275.6,4921.8,54613.8,6.4,6.9
1627609824,0.6,64275.6,4921.8,54613.8,5.9,8.4
1627609825,1.2,64275.6,4921.8,54613.9,24.8,17.8
1627609826,0.4,64275.6,4921.8,54613.9,20.4,8.6
1627609827,0.6,64275.6,4921.8,54614.2,5.4,8.6
1627609828,0.6,64275.6,4921.8,54613.9,21.7,7.7
1627609829,1.7,64275.6,4921.8,54613.7,5.4,7.0
1627609830,0.5,64275.6,4921.8,54613.7,6.0,8.1
1627609831,0.9,64275.6,4921.8,54613.2,5.0,6.7
1627609832,0.6,64275.6,4921.8,54614.1,5.5,6.8
1627609833,0.8,64275.6,4921.8,54614.0,23.5,8.5
1627609834,0.7,64275.6,4921.8,54613.9,5.8,7.2
1627609835,1.7,64275.6,4921.8,54614.3,6.6,16.0
1627609836,0.4,64275.6,4921.8,54614.0,6.1,8.3
1627609837,0.6,64275.6,4921.8,54613.7,6.8,7.4
1627609838,0.6,64275.6,4921.8,54613.7,5.3,7.0
1627609839,1.3,64275.6,4921.8,54614.0,5.1,6.8
1627609840,0.7,64275.6,4921.8,54613.8,5.3,7.0
1627609841,0.9,64275.6,4921.8,54614.0,5.3,6.9
1627609842,0.6,64275.6,4921.8,54613.8,5.4,7.1
1627609843,0.5,64275.6,4921.8,54613.8,21.8,8.7
1627609844,0.6,64275.6,4921.8,54613.9,20.4,8.3
1627609845,0.7,64275.6,4921.8,54613.7,7.5,17.9
1627609846,0.7,64275.6,4921.8,54613.8,5.1,6.6
1627609847,0.6,64275.6,4921.8,54614.2,5.2,7.0
1627609848,1.3,64275.6,4921.8,54613.8,23.9,8.9
1627609849,2.1,64275.6,4921.8,54614.2,23.8,8.6
1627609850,0.4,64275.6,4921.8,54614.7,5.3,7.3
1627609851,1.8,64275.6,4921.8,54615.1,24.9,9.0
1627609852,0.7,64275.6,4921.8,54640.0,8.3,29.8
1627609853,0.4,64275.6,4921.8,54639.6,5.5,6.7
1627609854,1.1,64275.6,4921.8,54614.1,6.3,8.5
