record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1627609736,46.8,1606890.0000000005,151184.99999999997,1310562.1,8130.4000000000015,8155.1
1,1627609737,57.800000000000004,1606890.0000000005,151184.9,1310633.9000000001,7975.800000000001,7963.9000000000015
2,1627609738,69.79999999999998,1606890.0000000005,151184.9,1310721.3000000003,7918.499999999999,8081.000000000002
3,1627609739,65.4,1606890.0000000005,151185.19999999998,1310806.1000000003,8172.699999999998,7744.9000000000015
4,1627609740,68.29999999999998,1606890.0000000005,151185.19999999998,1310875.5,8525.499999999998,8318.199999999999
5,1627609741,58.399999999999984,1606890.0000000005,151185.99999999997,1310961.2,8602.300000000001,8386.3
6,1627609742,64.6,1606890.0000000005,151190.09999999998,1311013.9,8540.300000000003,9203.100000000002
7,1627609743,71.8,1606890.0000000005,151192.8,1311058.7000000002,8759.600000000006,9082.7
8,1627609744,89.10000000000002,1606890.0000000005,151196.09999999998,1311404.7999999998,8646.499999999998,9523.800000000001
9,1627609745,189.19999999999993,1606890.0000000005,151205.69999999998,1312373.3000000003,10718.400000000001,8791.299999999997
10,1627609746,226.2,1606890.0000000005,151212.9,1313626.7999999998,8378.5,8182.299999999999
11,1627609747,196.00000000000003,1606890.0000000005,151214.0,1314315.6,7679.499999999999,7777.500000000002
12,1627609748,101.80000000000003,1606890.0000000005,151216.4,1314509.9,8219.800000000001,17499.300000000003
13,1627609749,61.10000000000001,1606890.0000000005,151241.3,1314506.1999999997,34861.29999999999,26006.4
14,1627609750,68.9,1606890.0000000005,151242.8,1314545.2000000002,8536.6,9278.400000000001
15,1627609751,65.19999999999999,1606890.0000000005,151242.9,1314782.9000000001,8096.299999999999,8976.899999999998
16,1627609752,67.0,1606890.0000000005,151245.8,1314891.5999999999,8743.1,9577.300000000001
17,1627609753,69.20000000000002,1606890.0000000005,151248.09999999998,1314906.0,8627.8,7477.0
18,1627609754,90.8,1606890.0000000005,151249.59999999998,1314920.5999999999,9167.999999999998,12142.799999999997
19,1627609755,53.600000000000016,1606890.0000000005,151249.69999999998,1314820.9,12151.199999999999,8421.399999999998
20,1627609756,40.59999999999998,1606890.0000000005,151249.69999999998,1314825.4999999995,8321.0,8271.2
21,1627609757,50.80000000000001,1606890.0000000005,151250.5,1313260.5999999996,8050.5,8847.400000000001
22,1627609758,66.7,1606890.0000000005,151252.19999999998,1311972.9000000001,8497.999999999998,8849.6
23,1627609759,52.40000000000001,1606890.0000000005,151249.69999999998,1312028.7000000002,9093.8,8543.300000000001
24,1627609760,48.69999999999998,1606890.0000000005,151249.69999999998,1312018.5,8554.100000000004,8330.500000000002
25,1627609761,60.99999999999999,1606890.0000000005,151249.69999999998,1312040.5,8309.800000000003,9033.9
26,1627609762,46.29999999999998,1606890.0000000005,151249.8,1312024.1999999997,9791.6,8938.8
27,1627609763,38.7,1606890.0000000005,151250.0,1312017.8000000003,8234.8,9034.999999999998
28,1627609764,53.9,1606890.0000000005,151250.0,1312028.0,8274.300000000001,8738.5
29,1627609765,57.900000000000006,1606890.0000000005,151250.1,1312018.1999999997,8960.499999999998,8540.699999999999
30,1627609766,44.4,1606890.0000000005,151250.19999999998,1312024.2,9121.2,8651.599999999999
31,1627609767,46.20000000000002,1606890.0000000005,151250.1,1311961.5,8919.800000000003,8231.1
32,1627609768,58.299999999999976,1606890.0000000005,151250.1,1311950.8999999997,8282.0,8296.800000000001
33,1627609769,50.199999999999996,1606890.0000000005,151252.4,1311960.2000000002,8044.499999999999,8613.600000000002
34,1627609770,49.8,1606890.0000000005,151252.5,1311944.7000000002,8597.3,9252.4
35,1627609771,51.699999999999996,1606890.0000000005,151250.0,1311982.9,8066.6,8156.6
36,1627609772,44.9,1606890.0000000005,151250.0,1311992.7,8243.599999999999,8046.200000000001
37,1627609773,50.70000000000001,1606890.0000000005,151250.0,1312007.2,8756.3,8513.0
38,1627609774,53.39999999999999,1606890.0000000005,151250.1,1312025.1,8676.599999999999,8381.8
39,1627609775,46.0,1606890.0000000005,151250.1,1311962.7,8204.4,8012.5
40,1627609776,40.9,1606890.0000000005,151250.2,1312013.4000000001,8616.999999999996,8117.699999999999
41,1627609777,41.199999999999996,1606890.0000000005,151250.1,1312033.7999999998,8218.2,8685.1
42,1627609778,63.7,1606890.0000000005,151250.2,1312042.7,7312.599999999998,7076.7
43,1627609779,41.4,1606890.0000000005,151250.2,1312004.8000000003,7824.399999999999,7820.199999999999
44,1627609780,56.49999999999999,1606890.0000000005,151250.6,1311959.7999999998,7970.5,8024.299999999999
45,1627609781,85.89999999999999,1606890.0000000005,151250.6,1311981.7000000002,7893.799999999999,7690.699999999999
46,1627609782,83.4,1606890.0000000005,151250.80000000002,1311992.7000000004,9305.0,9224.8
47,1627609783,48.29999999999999,1606890.0000000005,151250.80000000002,1312014.0,8762.699999999999,10000.4
48,1627609784,45.20000000000001,1606890.0000000005,151250.80000000002,1312013.2000000002,8708.199999999999,9054.900000000001
49,1627609785,52.10000000000001,1606890.0000000005,151250.80000000002,1311979.5000000002,7475.300000000001,7203.599999999999
50,1627609786,38.2,1606890.0000000005,151250.80000000002,1311988.0,9151.7,8385.2
51,1627609787,49.199999999999996,1606890.0000000005,151250.90000000002,1312031.2,9220.800000000001,8575.400000000001
52,1627609788,56.8,1606890.0000000005,151251.0,1312005.7000000002,8080.5999999999985,8692.8
53,1627609789,50.49999999999999,1606890.0000000005,151251.1,1311952.7,8122.199999999999,7867.699999999999
54,1627609790,48.199999999999996,1606890.0000000005,151251.2,1311960.4,7868.0,8276.999999999998
55,1627609791,51.3,1606890.0000000005,151251.1,1311965.8,7803.299999999999,8535.5
56,1627609792,45.1,1606890.0000000005,151251.2,1311959.4000000001,8738.899999999998,8040.9
57,1627609793,40.8,1606890.0000000005,151251.30000000002,1311984.5,8133.0,8501.6
58,1627609794,46.49999999999999,1606890.0000000005,151251.30000000002,1312013.7,8268.600000000002,8572.499999999998
59,1627609795,51.60000000000001,1606890.0000000005,151251.4,1311990.7999999998,7388.800000000001,5855.1
60,1627609796,45.599999999999994,1606890.0000000005,151251.30000000002,1312012.9,7710.7,8468.300000000001
61,1627609797,45.099999999999994,1606890.0000000005,151251.30000000002,1311985.8,7833.0,8533.5
62,1627609798,50.39999999999999,1606890.0000000005,151251.30000000002,1311966.7,8352.4,8304.399999999998
63,1627609799,41.699999999999996,1606890.0000000005,151251.30000000002,1311966.0,8922.499999999996,8723.0
64,1627609800,43.10000000000001,1606890.0000000005,151251.30000000002,1311995.3999999997,9243.900000000001,8386.9
65,1627609801,39.899999999999984,1606890.0000000005,151251.40000000002,1312061.6,8321.0,8100.1
66,1627609802,59.7,1606890.0000000005,151251.40000000002,1312066.5,8055.299999999999,8440.800000000001
67,1627609803,38.39999999999999,1606890.0000000005,151251.60000000003,1312054.8,8078.6,8645.3
68,1627609804,50.9,1606890.0000000005,151251.50000000003,1311979.1999999997,8526.1,8993.4
69,1627609805,60.400000000000006,1606890.0000000005,151254.1,1311956.0000000002,9093.9,8598.400000000001
70,1627609806,45.1,1606890.0000000005,151254.4,1311980.4,8339.7,8745.9
71,1627609807,42.6,1606890.0000000005,151251.9,1311989.5000000002,8807.900000000001,8854.3
72,1627609808,52.599999999999994,1606890.0000000005,151252.0,1312009.2000000002,8168.4000000000015,8369.099999999999
73,1627609809,41.29999999999999,1606890.0000000005,151252.0,1312037.0000000002,8525.1,7962.4
74,1627609810,41.49999999999999,1606890.0000000005,151252.0,1311956.5,8516.6,8055.499999999998
75,1627609811,63.29999999999998,1606890.0000000005,151252.0,1312002.7000000002,8598.100000000002,8206.599999999999
76,1627609812,41.39999999999999,1606890.0000000005,151252.0,1311980.8999999997,9121.599999999995,9400.400000000001
77,1627609813,42.099999999999994,1606890.0000000005,151252.0,1311952.4,8302.7,9074.0
78,1627609814,43.60000000000001,1606890.0000000005,151252.0,1311956.2000000002,8764.499999999998,9119.300000000003
79,1627609815,51.5,1606890.0000000005,151252.1,1311975.0999999999,8332.300000000001,8270.900000000001
80,1627609816,51.00000000000001,1606890.0000000005,151253.80000000002,1311958.5,8268.199999999999,8075.199999999999
81,1627609817,54.599999999999994,1606890.0000000005,151254.50000000003,1311977.5999999999,8410.000000000002,8103.799999999999
82,1627609818,60.70000000000001,1606890.0000000005,151252.2,1311978.7999999998,8618.0,8230.0
83,1627609819,57.8,1606890.0000000005,151252.2,1312015.2,8666.800000000001,8637.099999999999
84,1627609820,50.599999999999994,1606890.0000000005,151252.2,1312012.7999999998,8921.600000000002,9856.8
85,1627609821,47.39999999999999,1606890.0000000005,151252.2,1312021.3000000003,9598.499999999996,9526.5
86,1627609822,47.599999999999994,1606890.0000000005,151252.2,1311990.7000000002,8812.199999999997,8168.200000000001
87,1627609823,42.800000000000004,1606890.0000000005,151252.2,1311947.0,8841.2,8452.699999999999
88,1627609824,48.09999999999999,1606890.0000000005,151252.2,1311995.8,8531.799999999996,9325.499999999998
89,1627609825,54.599999999999994,1606890.0000000005,151252.4,1312002.4,8182.5,7804.199999999999
90,1627609826,46.39999999999999,1606890.0000000005,151252.6,1312029.9,8692.900000000003,8996.0
91,1627609827,59.2,1606890.0000000005,151252.6,1312035.4,8225.6,8204.7
92,1627609828,47.800000000000004,1606890.0000000005,151252.6,1311972.5999999999,7951.100000000001,7665.400000000001
93,1627609829,46.20000000000001,1606890.0000000005,151252.7,1311971.5999999999,7623.199999999999,7678.4
94,1627609830,42.199999999999996,1606890.0000000005,151252.7,1311944.9,8242.0,8549.3
95,1627609831,42.8,1606890.0000000005,151252.7,1311980.4,7917.299999999999,8272.5
96,1627609832,49.80000000000001,1606890.0000000005,151252.7,1311950.6999999997,8436.099999999999,8295.3
97,1627609833,39.8,1606890.0000000005,151252.7,1312043.2,8232.9,7903.200000000001
98,1627609834,54.60000000000001,1606890.0000000005,151252.80000000002,1312095.3000000003,9219.600000000002,9029.4
99,1627609835,55.09999999999999,1606890.0000000005,151252.80000000002,1312025.7,6483.7,7312.199999999999
100,1627609836,43.19999999999999,1606890.0000000005,151252.80000000002,1312001.2,8560.3,8254.8
101,1627609837,47.29999999999999,1606890.0000000005,151252.80000000002,1311988.1,8845.8,8395.499999999998
102,1627609838,49.9,1606890.0000000005,151252.80000000002,1312018.9,9364.3,9063.300000000003
103,1627609839,43.89999999999999,1606890.0000000005,151252.80000000002,1312022.0,8140.099999999999,7912.5
104,1627609840,58.89999999999999,1606890.0000000005,151252.80000000002,1311973.8,7844.4,8245.800000000001
105,1627609841,50.8,1606890.0000000005,151255.6,1312064.2,7981.699999999999,8581.7
106,1627609842,51.4,1606890.0000000005,151255.6,1312050.7,8982.700000000003,9303.300000000001
107,1627609843,49.09999999999999,1606890.0000000005,151253.2,1311969.0999999996,9078.399999999996,8908.5
108,1627609844,47.900000000000006,1606890.0000000005,151255.5,1311928.3,8542.599999999997,8055.4
109,1627609845,51.90000000000001,1606890.0000000005,151255.6,1311951.7,6981.399999999998,7597.5
110,1627609846,43.199999999999996,1606890.0000000005,151253.50000000003,1311945.9999999998,8517.2,8092.0999999999985
111,1627609847,42.4,1606890.0000000005,151253.30000000002,1311969.3,8342.6,8143.0
112,1627609848,51.79999999999999,1606890.0000000005,151253.40000000002,1311987.5,9088.500000000002,9543.099999999999
113,1627609849,52.5,1606890.0000000005,151253.40000000002,1311974.3,8627.600000000004,8293.400000000001
