timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1627345313,1.0,64275.6,5003.9,55103.4,5.5,2.7
1627345314,0.6,64275.6,5003.9,55103.3,0.9,0.7
1627345315,0.3,64275.6,5003.9,55103.4,0.9,0.6
1627345316,2.1,64275.6,5003.9,55103.4,17.9,1.6
1627345317,0.9,64275.6,5003.9,55123.6,1.1,0.8
1627345318,0.7,64275.6,5003.9,55103.4,3.9,2.2
1627345319,1.4,64275.6,5003.9,55103.5,2.5,10.0
1627345321,0.9,64275.6,5003.9,55103.4,22.5,59.9
1627345322,0.9,64275.6,5003.9,55103.4,6.2,168.5
1627345323,1.1,64275.6,5003.9,55103.5,2.6,44.8
1627345324,0.4,64275.6,5003.9,55103.4,2.9,60.7
1627345325,0.9,64275.6,5003.9,55103.4,2.6,58.5
1627345326,1.1,64275.6,5003.9,55110.5,11.6,284.0
1627345327,3.6,64275.6,5004.3,55123.2,9.1,54.7
1627345328,2.9,64275.6,5004.3,55106.8,471255.8,0.0
1627345329,7.0,64275.6,5005.1,55235.6,0.1,0.0
1627345330,15.2,64275.6,5005.7,55307.2,0.1,0.0
1627345331,23.1,64275.6,5005.7,55373.6,0.0,0.0
1627345332,18.5,64275.6,5005.7,55718.9,0.5,0.0
1627345333,7.3,64275.6,5005.7,55734.0,0.0,0.0
1627345334,0.6,64275.6,5005.7,55734.2,2.8,0.0
1627345335,0.5,64275.6,5005.7,55734.1,0.0,0.0
1627345336,4.4,64275.6,5005.7,55759.6,0.0,0.0
1627345337,2.5,64275.6,5005.7,55745.6,0.4,0.0
1627345338,6.8,64275.6,5005.7,55768.0,0.9,0.0
1627345339,3.0,64275.6,5005.7,55764.5,0.0,0.0
1627345340,6.8,64275.6,5005.7,55773.4,0.0,0.0
1627345341,1.3,64275.6,5005.7,55777.9,0.0,0.0
1627345342,0.6,64275.6,5005.7,55782.5,0.4,0.0
1627345343,1.4,64275.6,5005.7,55786.7,0.0,0.0
1627345344,0.8,64275.6,5005.7,55794.7,0.9,0.0
1627345345,1.3,64275.6,5005.7,55803.2,0.0,0.0
1627345346,1.1,64275.6,5005.7,55821.0,0.0,0.0
1627345347,1.4,64275.6,5005.7,55820.8,0.4,0.0
1627345348,2.5,64275.6,5005.7,55864.5,0.8,0.0
1627345349,4.8,64275.6,5005.7,55984.4,0.0,0.0
1627345350,3.8,64275.6,5005.7,56000.5,0.0,0.0
1627345351,2.1,64275.6,5005.7,56005.5,0.0,0.0
1627345352,2.7,64275.6,5005.7,56010.3,0.4,0.0
1627345353,1.4,64275.6,5005.7,56016.8,0.0,0.0
1627345354,0.9,64275.6,5005.7,56021.3,0.5,0.0
1627345355,0.7,64275.6,5005.7,56027.1,0.0,0.0
1627345356,1.3,64275.6,5005.7,56036.3,0.0,0.0
1627345357,0.8,64275.6,5005.7,56049.2,0.4,0.0
1627345358,1.4,64275.6,5005.7,56066.6,0.0,0.0
1627345359,7.1,64275.6,5005.9,56411.5,0.1,0.0
1627345360,14.7,64275.6,5006.7,56594.4,0.1,0.0
1627345361,19.6,64275.6,5006.7,56634.3,0.0,0.0
1627345362,5.2,64275.6,5006.7,56639.4,0.4,0.0
1627345363,11.4,64275.6,5006.7,56674.0,0.1,0.0
1627345364,6.7,64275.6,5006.7,56672.8,0.5,0.0
1627345365,0.5,64275.6,5006.7,56672.3,0.0,0.0
1627345366,1.6,64275.6,5006.7,56672.4,0.0,0.0
1627345367,0.6,64275.6,5006.7,56672.4,0.4,0.0
1627345368,1.3,64275.6,5006.7,56674.4,0.0,0.0
1627345369,0.9,64275.6,5006.7,56674.3,0.0,0.0
1627345370,0.7,64275.6,5006.7,56674.3,0.0,0.0
1627345371,0.6,64275.6,5006.7,56674.3,0.0,0.0
1627345372,0.4,64275.6,5006.7,56674.3,0.4,0.0
1627345373,0.8,64275.6,5006.7,56675.6,0.0,0.0
1627345374,0.8,64275.6,5006.7,56700.1,0.9,0.0
1627345375,1.1,64275.6,5006.7,56700.0,0.0,0.0
1627345376,1.4,64275.6,5006.7,56699.8,0.0,0.0
1627345377,1.1,64275.6,5006.7,56699.8,0.4,0.0
1627345378,1.2,64275.6,5006.7,56674.4,0.1,0.0
1627345379,0.4,64275.6,5006.7,56674.4,0.1,0.0
1627345380,1.9,64275.6,5006.7,56674.5,0.0,0.0
1627345381,0.6,64275.6,5006.7,56674.9,0.4,0.0
1627345382,0.5,64275.6,5006.7,56674.5,0.0,0.0
1627345383,0.6,64275.6,5006.7,56674.6,0.0,0.0
1627345384,0.5,64275.6,5006.7,56674.6,0.4,0.0
1627345385,0.9,64275.6,5006.7,56674.7,0.0,0.0
1627345386,1.6,64275.6,5006.8,56674.6,0.4,0.0
1627345387,0.5,64275.6,5006.8,56674.6,0.0,0.0
1627345388,1.1,64275.6,5006.8,56674.6,0.0,0.0
1627345389,0.5,64275.6,5006.8,56674.6,0.1,0.0
1627345390,0.7,64275.6,5006.8,56674.7,0.0,0.0
1627345391,0.7,64275.6,5006.8,56674.7,0.4,0.0
1627345392,1.0,64275.6,5006.8,56674.6,1.2,0.0
1627345393,0.7,64275.6,5006.8,56675.3,0.0,0.0
1627345394,0.4,64275.6,5006.8,56675.2,3.2,0.0
1627345395,0.7,64275.6,5006.8,56675.6,0.0,0.0
1627345396,1.4,64275.6,5006.8,56675.4,0.4,0.0
1627345397,0.7,64275.6,5006.8,56675.3,0.0,0.0
1627345398,1.2,64275.6,5006.8,56675.3,0.0,0.0
1627345399,0.6,64275.6,5006.8,56677.3,0.0,0.0
1627345400,0.7,64275.6,5006.8,56675.8,0.0,0.0
1627345401,0.9,64275.6,5006.8,56675.8,3.3,0.0
