timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1627344659,1.2,64275.6,4599.1,26214.9,2.7,2.9
1627344660,0.9,64275.6,4599.4,26214.0,1.0,0.7
1627344661,0.6,64275.6,4599.4,26214.0,1.2,0.9
1627344662,1.1,64275.6,4599.4,26214.8,17.9,13.4
1627344663,0.4,64275.6,4599.4,26214.8,2.6,1.2
1627344664,0.3,64275.6,4599.4,26214.5,1.0,0.8
1627344665,0.3,64275.6,4599.4,26214.5,0.9,0.7
1627344666,1.6,64275.6,4599.4,26214.5,1.3,1.1
1627344667,1.1,64275.6,4599.4,26214.7,17.9,2.6
1627344668,0.8,64275.6,4599.4,26220.9,1.0,0.5
1627344669,0.9,64275.6,4599.4,26215.2,1.2,1.0
1627344670,0.9,64275.6,4599.4,26215.5,2.2,1.0
1627344671,1.2,64275.6,4599.4,26215.7,17.7,1.9
1627344672,0.7,64275.6,4599.4,26215.9,2.9,11.6
1627344673,0.3,64275.6,4599.4,26215.7,3.5,0.9
1627344674,0.4,64275.6,4599.4,26215.7,1.1,0.8
1627344675,0.6,64275.6,4599.4,26215.7,0.9,0.5
1627344676,1.5,64275.6,4599.4,26215.7,2.2,0.9
1627344677,0.4,64275.6,4599.4,26215.7,1.8,2.3
1627344678,1.1,64275.6,4599.4,26215.4,2.3,1.0
1627344679,0.3,64275.6,4599.4,26215.7,1.0,0.9
1627344680,1.0,64275.6,4599.4,26215.6,1.4,1.2
1627344681,0.5,64275.6,4599.4,26215.7,1.2,1.0
1627344682,0.8,64275.6,4599.4,26215.9,2.6,11.7
1627344683,1.4,64275.6,4599.4,26215.7,1.1,0.7
1627344684,0.3,64275.6,4599.4,26215.7,1.0,0.7
1627344685,0.4,64275.6,4599.4,26215.8,1.3,1.0
1627344686,1.7,64275.6,4599.4,26215.8,1.1,0.8
1627344687,0.6,64275.6,4599.4,26215.7,1.2,1.0
1627344688,1.4,64275.6,4599.4,26215.4,2.5,1.0
1627344689,0.4,64275.6,4599.4,26215.7,1.0,0.7
