timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1627611244,1.4,64275.6,4753.1,57406.6,20.6,36.5
1627611245,0.8,64275.6,4753.1,57406.6,24.7,44.6
1627611246,0.9,64275.6,4753.1,57380.8,2.5,64.9
1627611247,1.1,64275.6,4753.1,57381.1,31.1,37.8
1627611248,0.6,64275.6,4753.1,57381.2,3.7,36.6
1627611249,2.1,64275.6,4753.1,57381.0,33.8,68.1
1627611250,9.1,64275.6,4753.1,57382.9,89.8,981.3
1627611251,0.4,64275.6,4753.1,57383.0,12.2,41.1
1627611252,0.6,64275.6,4753.1,57394.2,3.2,43.0
1627611253,1.5,64275.6,4753.1,57383.6,6.9,114.7
1627611254,1.2,64275.6,4753.1,57383.3,24.3,35.3
1627611255,0.5,64275.6,4753.1,57383.3,17.7,48.7
1627611256,0.4,64275.6,4753.1,57383.3,2.1,42.9
1627611257,0.6,64275.6,4753.1,57383.3,1.8,34.5
1627611258,0.7,64275.6,4753.1,57383.5,3.3,36.2
1627611259,1.0,64275.6,4753.1,57382.3,2.1,34.4
1627611260,1.2,64275.6,4753.1,57383.1,2.3,35.3
1627611261,0.3,64275.6,4753.1,57383.1,2.0,35.4
1627611262,0.9,64275.6,4753.1,57401.6,915.7,59.4
1627611263,1.7,64275.6,4753.1,57383.3,53.5,195.5
1627611264,0.4,64275.6,4753.1,57383.3,2.1,34.3
1627611265,1.0,64275.6,4753.1,57383.3,2.0,43.2
1627611266,0.4,64275.6,4753.1,57383.3,1.8,42.8
1627611267,0.6,64275.6,4753.1,57383.3,3.1,34.8
1627611268,1.1,64275.6,4753.1,57383.4,3.8,35.0
1627611269,0.8,64275.6,4753.1,57382.9,1.9,34.9
1627611270,0.6,64275.6,4753.1,57383.3,2.2,34.9
1627611271,0.5,64275.6,4753.1,57383.3,2.0,35.0
1627611272,1.6,64275.6,4753.1,57389.5,39.3,46.7
1627611273,2.5,64275.6,4753.1,57383.6,39.6,240.5
1627611274,0.5,64275.6,4753.1,57383.2,2.0,42.7
1627611275,0.8,64275.6,4753.1,57383.2,24.7,44.7
1627611276,0.4,64275.6,4753.1,57383.2,1.8,35.1
1627611277,1.0,64275.6,4753.1,57383.4,33.0,31.7
1627611278,1.1,64275.6,4753.1,57383.7,3.3,21.4
1627611279,2.0,64275.6,4753.1,57383.3,17.9,17.9
1627611280,0.6,64275.6,4753.1,57384.2,5.7,26.2
1627611281,0.4,64275.6,4753.2,57384.1,2.4,35.2
1627611282,1.0,64275.6,4753.1,57383.9,3.7,36.1
1627611283,1.5,64275.6,4753.1,57384.4,27.8,80.3
1627611284,0.5,64275.6,4753.2,57384.3,4.3,35.4
1627611285,0.4,64275.6,4753.2,57384.3,16.6,36.1
1627611286,0.6,64275.6,4753.2,57384.3,2.1,34.8
1627611287,0.5,64275.6,4753.2,57384.4,1.7,34.6
1627611288,1.0,64275.6,4753.2,57384.5,3.5,44.7
1627611289,1.1,64275.6,4753.2,57384.4,2.0,42.4
1627611290,0.6,64275.6,4753.2,57384.5,2.0,34.8
1627611291,0.4,64275.6,4753.2,57384.5,2.2,35.2
1627611292,1.1,64275.6,4753.2,57384.0,909.9,39.2
1627611293,1.0,64275.6,4753.2,57385.3,3.8,36.1
1627611294,0.9,64275.6,4753.2,57384.5,1.6,26.0
1627611295,0.3,64275.6,4753.2,57384.5,2.0,34.7
1627611296,0.5,64275.6,4753.2,57384.5,2.1,42.8
1627611297,0.4,64275.6,4753.2,57384.6,3.2,43.3
1627611298,0.6,64275.6,4753.2,57385.0,4.0,35.7
1627611299,0.9,64275.6,4753.2,57384.1,1.9,34.1
1627611300,1.1,64275.6,4753.2,57385.8,3.3,35.3
1627611301,0.6,64275.6,4753.2,57385.8,2.0,43.0
1627611302,1.8,64275.6,4753.2,57386.0,40.8,46.6
1627611303,1.6,64275.6,4753.2,57385.2,26.3,60.1
1627611304,0.5,64275.6,4753.2,57385.2,2.4,17.6
1627611305,1.1,64275.6,4753.2,57385.3,24.7,28.2
1627611306,1.0,64275.6,4753.2,57409.4,18.0,59.3
1627611307,0.6,64275.6,4753.2,57410.0,18.0,38.3
1627611308,1.2,64275.6,4753.2,57384.6,4.4,56.7
1627611309,1.7,64275.6,4753.2,57385.0,23.7,35.4
1627611310,0.9,64275.6,4753.2,57384.1,3.0,34.8
1627611311,0.4,64275.6,4753.2,57384.1,2.2,35.6
1627611312,1.0,64275.6,4753.2,57384.2,4.0,36.1
1627611313,1.1,64275.6,4753.2,57385.0,27.8,70.0
1627611314,0.4,64275.6,4753.2,57384.3,1.9,35.1
1627611315,0.9,64275.6,4753.2,57384.3,16.3,36.1
1627611316,0.5,64275.6,4753.2,57384.4,2.1,43.2
1627611317,0.4,64275.6,4753.2,57384.4,1.8,34.5
1627611318,0.6,64275.6,4753.2,57385.0,3.4,44.7
1627611319,1.2,64275.6,4753.2,57384.5,1.8,34.3
1627611320,0.7,64275.6,4753.2,57383.6,3.0,35.3
1627611321,0.8,64275.6,4753.2,57383.3,910.1,39.8
1627611322,1.5,64275.6,4753.2,57382.6,2.0,34.8
1627611323,0.7,64275.6,4753.2,57383.6,4.8,44.5
1627611324,0.6,64275.6,4753.2,57383.3,4.2,119.7
1627611325,0.6,64275.6,4753.2,57384.3,3.6,44.0
1627611326,0.6,64275.6,4753.2,57384.5,1.9,34.7
1627611327,0.4,64275.6,4753.2,57384.5,3.3,43.3
1627611328,1.1,64275.6,4753.2,57384.7,5.1,35.7
1627611329,1.1,64275.6,4753.2,57384.3,1.7,26.2
1627611330,0.4,64275.6,4753.2,57384.6,2.0,42.9
1627611331,0.4,64275.6,4753.2,57384.6,2.3,34.8
1627611332,2.1,64275.6,4753.2,57408.2,41.4,62.4
1627611333,1.5,64275.6,4753.2,57408.9,25.8,36.7
1627611334,0.6,64275.6,4753.2,57383.4,3.0,43.0
1627611335,1.2,64275.6,4753.2,57383.4,25.6,66.4
1627611336,0.9,64275.6,4753.2,57383.5,16.7,45.0
1627611337,1.2,64275.6,4753.2,57384.6,16.7,36.3
1627611338,1.4,64275.6,4753.2,57384.9,22.5,37.7
1627611339,1.5,64275.6,4753.2,57409.4,8.2,66.3
1627611340,0.6,64275.6,4753.2,57409.5,11.8,40.6
1627611341,0.9,64275.6,4753.2,57409.4,2.3,34.7
1627611342,1.1,64275.6,4753.2,57383.9,4.7,37.3
1627611343,1.0,64275.6,4753.2,57383.5,26.6,37.0
1627611344,0.6,64275.6,4753.2,57384.2,2.9,45.8
1627611345,1.0,64275.6,4753.2,57383.9,16.6,36.3
1627611346,0.5,64275.6,4753.2,57383.9,2.1,42.9
1627611347,0.9,64275.6,4753.2,57409.6,6.6,66.7
1627611348,0.6,64275.6,4753.2,57409.5,3.4,36.0
1627611349,1.3,64275.6,4753.3,57409.1,1.7,34.0
1627611350,0.9,64275.6,4753.3,57409.3,1.6,17.8
1627611351,0.4,64275.6,4753.3,57384.1,910.1,39.5
1627611352,1.8,64275.6,4753.3,57383.8,52.7,66.9
1627611353,0.7,64275.6,4753.3,57383.9,3.3,44.7
1627611354,0.6,64275.6,4753.3,57383.9,4.6,43.3
1627611355,0.5,64275.6,4753.3,57383.6,1.8,34.6
1627611356,0.5,64275.6,4753.3,57383.7,2.0,34.6
1627611357,0.4,64275.6,4753.3,57383.7,3.3,34.7
1627611358,0.6,64275.6,4753.3,57383.9,3.9,35.6
1627611359,1.5,64275.6,4753.3,57383.7,2.4,50.8
1627611360,0.6,64275.6,4753.3,57384.5,2.2,26.7
1627611361,0.4,64275.6,4753.3,57384.9,4.4,43.7
1627611362,2.0,64275.6,4753.3,57409.2,41.1,60.6
1627611363,1.3,64275.6,4753.3,57409.8,33.3,41.8
1627611364,0.5,64275.6,4753.3,57383.8,3.3,42.4
1627611365,1.8,64275.6,4753.3,57383.8,24.4,36.2
1627611366,0.7,64275.6,4753.3,57384.3,16.7,45.3
1627611367,0.5,64275.6,4753.3,57384.0,16.5,36.2
1627611369,1.1,64275.6,4753.3,57383.9,20.8,47.6
1627611370,1.2,64275.6,4753.3,57383.8,6.1,34.5
1627611371,0.8,64275.6,4753.3,57384.0,2.4,35.1
1627611372,0.5,64275.6,4753.3,57384.0,2.2,42.9
1627611373,1.1,64275.6,4753.3,57383.7,3.9,35.9
1627611374,0.9,64275.6,4753.3,57384.0,26.3,45.3
1627611375,0.7,64275.6,4753.3,57384.0,5.5,35.3
1627611376,0.9,64275.6,4753.3,57384.0,16.6,44.4
1627611377,0.6,64275.6,4753.3,57384.1,1.5,26.0
1627611378,0.4,64275.6,4753.3,57384.1,2.9,44.5
1627611379,0.6,64275.6,4753.3,57384.7,3.2,35.6
1627611380,1.1,64275.6,4753.3,57384.4,1.7,34.2
1627611381,0.9,64275.6,4753.3,57384.1,1.9,43.0
1627611382,1.0,64275.6,4753.3,57384.2,910.1,48.3
1627611383,1.0,64275.6,4753.3,57384.1,1.9,34.4
1627611384,0.6,64275.6,4753.3,57384.2,2.9,36.1
1627611385,0.4,64275.6,4753.3,57384.3,3.4,42.7
1627611386,0.4,64275.6,4753.3,57384.4,1.7,34.4
1627611387,0.9,64275.6,4753.3,57385.2,3.0,34.7
1627611388,0.5,64275.6,4753.3,57385.6,4.3,35.3
1627611389,0.8,64275.6,4753.3,57394.8,5.4,44.4
1627611390,1.6,64275.6,4753.3,57385.7,1.6,34.1
1627611391,0.5,64275.6,4753.3,57385.7,2.0,34.6
1627611392,0.8,64275.6,4753.3,57386.4,2.3,44.5
1627611393,2.2,64275.6,4753.3,57409.9,40.9,59.6
1627611394,1.0,64275.6,4753.3,57410.4,25.0,36.7
1627611395,1.4,64275.6,4753.3,57410.4,25.4,44.6
1627611396,0.5,64275.6,4753.3,57410.4,1.9,34.8
1627611397,0.8,64275.6,4753.3,57410.6,16.8,37.2
1627611398,1.2,64275.6,4753.3,57384.4,16.6,36.5
1627611399,1.3,64275.6,4753.3,57400.6,20.7,48.6
1627611400,0.9,64275.6,4753.3,57384.1,6.1,42.8
1627611401,0.5,64275.6,4753.3,57384.4,2.0,34.6
1627611402,0.6,64275.6,4753.3,57384.4,2.4,35.8
1627611403,0.8,64275.6,4753.3,57384.5,3.9,35.9
1627611404,1.3,64275.6,4753.3,57384.6,25.8,37.0
1627611405,0.5,64275.6,4753.3,57384.6,4.2,66.6
1627611406,0.6,64275.6,4753.3,57384.6,16.6,36.4
1627611407,0.6,64275.6,4753.3,57384.7,1.9,34.7
1627611408,1.1,64275.6,4753.3,57384.7,4.2,46.1
1627611409,0.9,64275.6,4753.3,57393.0,2.5,34.8
1627611410,0.7,64275.6,4753.3,57384.7,2.0,42.6
1627611411,0.4,64275.6,4753.3,57384.7,2.0,34.8
1627611412,0.4,64275.6,4753.3,57384.7,910.2,40.2
1627611413,1.1,64275.6,4753.3,57384.5,1.7,34.5
1627611414,1.1,64275.6,4753.3,57384.5,2.7,44.3
1627611415,0.4,64275.6,4753.4,57384.5,3.0,34.1
1627611416,0.4,64275.6,4753.4,57384.5,1.9,42.8
1627611417,0.7,64275.6,4753.4,57384.5,1.7,34.6
1627611418,0.4,64275.6,4753.4,57384.6,4.8,35.0
1627611419,1.2,64275.6,4753.4,57384.4,3.3,44.4
1627611420,0.5,64275.6,4753.4,57384.6,1.8,34.4
1627611421,1.4,64275.6,4753.4,57384.6,1.9,34.6
1627611422,0.8,64275.6,4753.4,57384.9,25.1,44.9
1627611423,1.1,64275.6,4753.4,57385.0,16.5,36.1
1627611424,1.3,64275.6,4753.4,57384.6,24.7,36.8
1627611425,0.9,64275.6,4753.4,57384.6,25.8,44.4
1627611426,0.9,64275.6,4753.4,57384.6,2.1,64.4
1627611427,0.7,64275.6,4753.4,57384.6,17.0,45.8
1627611428,0.6,64275.6,4753.4,57385.0,18.6,39.8
1627611429,1.8,64275.6,4753.4,57384.6,19.6,44.2
1627611430,0.6,64275.6,4753.4,57384.8,5.9,34.6
1627611431,0.6,64275.6,4753.4,57384.8,12.6,41.4
1627611432,0.8,64275.6,4753.4,57384.8,2.0,43.2
1627611433,1.6,64275.6,4753.4,57384.4,5.1,36.1
1627611434,1.0,64275.6,4753.4,57384.9,24.5,36.9
1627611435,0.6,64275.6,4753.4,57384.9,18.3,47.7
1627611436,0.8,64275.6,4753.4,57384.9,1.6,34.3
1627611437,0.8,64275.6,4753.4,57385.0,1.9,34.5
1627611438,0.4,64275.6,4753.4,57385.0,3.2,36.0
1627611439,1.2,64275.6,4753.4,57385.3,2.0,34.5
1627611440,0.4,64275.6,4753.4,57385.1,1.7,34.2
1627611441,0.4,64275.6,4753.4,57385.1,1.8,34.7
1627611442,0.9,64275.6,4753.4,57385.1,910.4,40.2
1627611443,1.3,64275.6,4753.4,57385.2,52.7,66.8
1627611444,0.6,64275.6,4753.4,57385.2,2.6,36.2
1627611445,0.5,64275.6,4753.4,57385.9,3.4,42.7
1627611446,0.6,64275.6,4753.4,57384.9,2.3,43.4
1627611447,0.4,64275.6,4753.4,57385.0,3.2,34.7
1627611448,0.4,64275.6,4753.4,57385.0,4.0,43.2
1627611449,2.1,64275.6,4753.4,57384.0,2.0,35.1
1627611450,0.9,64275.6,4753.4,57386.2,4.6,35.3
1627611451,0.6,64275.6,4753.4,57410.7,3.9,57.6
1627611452,1.4,64275.6,4753.4,57410.8,24.9,44.7
1627611453,0.9,64275.6,4753.4,57385.1,17.3,37.2
1627611454,1.6,64275.6,4753.4,57385.1,33.9,50.6
1627611455,0.8,64275.6,4753.4,57386.7,25.6,44.4
1627611456,0.6,64275.6,4753.4,57385.1,2.0,35.0
1627611457,0.8,64275.6,4753.4,57385.1,16.8,45.4
1627611458,0.9,64275.6,4753.4,57385.3,18.2,40.0
1627611459,1.9,64275.6,4753.4,57385.3,18.9,35.3
1627611460,0.5,64275.6,4753.4,57385.4,5.9,34.3
1627611461,0.6,64275.6,4753.4,57385.5,2.2,42.7
1627611462,0.9,64275.6,4753.4,57385.5,3.3,34.6
1627611463,1.4,64275.6,4753.4,57385.3,3.9,44.3
1627611464,1.3,64275.6,4753.4,57385.5,27.4,38.7
1627611465,0.5,64275.6,4753.4,57385.4,17.1,36.0
1627611466,0.6,64275.6,4753.4,57385.4,2.4,26.2
1627611467,0.5,64275.6,4753.4,57385.4,1.3,17.7
1627611468,0.7,64275.6,4753.4,57385.4,3.0,27.5
1627611469,1.2,64275.6,4753.4,57385.8,1.7,26.2
1627611470,0.4,64275.6,4753.4,57385.8,1.8,17.7
1627611471,0.5,64275.6,4753.4,57385.5,2.2,34.7
1627611472,0.5,64275.6,4753.4,57385.5,909.8,23.1
1627611473,0.9,64275.6,4753.4,57385.5,2.2,18.9
1627611474,1.1,64275.6,4753.4,57386.7,3.1,26.9
1627611475,0.4,64275.6,4753.5,57386.7,2.3,42.8
1627611476,0.6,64275.6,4753.5,57387.0,3.0,42.8
1627611477,1.3,64275.6,4753.5,57386.8,4.3,34.8
1627611478,0.5,64275.6,4753.5,57386.8,3.8,34.8
1627611479,1.3,64275.6,4753.5,57386.8,2.1,35.1
1627611480,0.4,64275.6,4753.5,57386.8,2.1,34.4
1627611481,1.1,64275.6,4753.5,57411.1,4.0,58.1
1627611482,0.9,64275.6,4753.5,57411.1,39.2,37.8
1627611483,1.4,64275.6,4753.5,57385.7,2.7,44.8
1627611484,0.9,64275.6,4753.5,57385.8,24.2,26.4
1627611485,0.8,64275.6,4753.5,57385.5,24.7,36.3
1627611486,0.9,64275.6,4753.5,57385.5,3.3,42.9
1627611487,0.9,64275.6,4753.5,57385.7,31.3,38.5
1627611488,0.4,64275.6,4753.5,57385.7,3.6,39.4
1627611489,1.8,64275.6,4753.5,57385.5,18.6,35.5
1627611490,0.7,64275.6,4753.5,57385.7,6.3,43.2
1627611491,0.8,64275.6,4753.5,57385.7,2.0,34.9
1627611492,0.7,64275.6,4753.5,57386.4,5.7,36.1
1627611493,1.4,64275.6,4753.5,57411.5,5.7,58.8
1627611494,1.1,64275.6,4753.5,57411.2,25.1,46.2
1627611495,0.9,64275.6,4753.5,57385.8,17.2,44.4
