record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1627611246,65.19999999999999,1606890.0000000005,151164.99999999997,1329276.4000000004,7893.800000000001,8296.0
1,1627611247,61.500000000000014,1606890.0000000005,151165.19999999995,1329400.1,7907.1,7961.599999999999
2,1627611248,69.6,1606890.0000000005,151165.19999999995,1329466.3999999997,8152.5,8498.900000000001
3,1627611249,64.39999999999999,1606890.0000000005,151165.29999999996,1329472.6,8343.600000000002,8110.500000000002
4,1627611250,69.1,1606890.0000000005,151165.49999999997,1329438.8,8295.900000000001,9338.9
5,1627611251,45.19999999999999,1606890.0000000005,151165.59999999995,1329512.4000000001,9105.800000000005,8981.8
6,1627611252,46.6,1606890.0000000005,151165.59999999995,1329482.3000000003,9891.200000000003,10008.900000000001
7,1627611253,56.1,1606890.0000000005,151165.59999999995,1329518.0,9878.699999999992,9380.8
8,1627611254,49.000000000000014,1606890.0000000005,151165.59999999995,1329552.7000000002,8194.1,8190.299999999999
9,1627611255,44.50000000000002,1606890.0000000005,151165.59999999995,1329531.4,8129.900000000002,8317.999999999998
10,1627611256,51.1,1606890.0000000005,151165.59999999995,1329561.7999999996,8078.800000000002,8005.099999999999
11,1627611257,52.900000000000006,1606890.0000000005,151165.59999999995,1329612.2999999998,8157.400000000001,8192.599999999999
12,1627611258,58.500000000000014,1606890.0000000005,151165.69999999995,1329588.4,8341.5,8908.800000000003
13,1627611259,79.60000000000002,1606890.0000000005,151165.69999999995,1329637.7999999998,9252.500000000002,8970.800000000001
14,1627611260,68.5,1606890.0000000005,151165.79999999996,1329614.9999999998,8544.8,8462.2
15,1627611261,93.0,1606890.0000000005,151165.79999999996,1329556.8,8230.1,8212.8
16,1627611262,53.79999999999999,1606890.0000000005,151165.79999999996,1329522.4,9870.000000000002,9656.9
17,1627611263,53.99999999999999,1606890.0000000005,151165.89999999997,1329492.4000000001,8758.900000000001,8832.1
18,1627611264,48.10000000000001,1606890.0000000005,151166.09999999998,1329476.7999999998,8960.5,8888.599999999999
19,1627611265,52.39999999999999,1606890.0000000005,151166.09999999998,1329454.9,8481.300000000003,8395.0
20,1627611266,44.59999999999999,1606890.0000000005,151166.09999999998,1329466.2,8217.5,8256.4
21,1627611267,64.69999999999999,1606890.0000000005,151166.09999999998,1329485.0000000002,8010.3,7996.099999999999
22,1627611268,47.29999999999999,1606890.0000000005,151166.09999999998,1329459.5,8041.700000000002,8185.399999999999
23,1627611269,54.09999999999999,1606890.0000000005,151168.49999999997,1329481.2999999998,8109.099999999999,7916.6
24,1627611270,50.5,1606890.0000000005,151168.8,1329489.7,8344.0,8485.4
25,1627611271,43.79999999999999,1606890.0000000005,151166.49999999997,1329520.0000000002,9047.600000000004,9342.399999999998
26,1627611272,46.89999999999999,1606890.0000000005,151166.3,1329495.3000000007,9296.200000000003,9405.3
27,1627611273,59.3,1606890.0000000005,151166.3,1329436.4000000001,11049.699999999999,10659.0
28,1627611274,49.099999999999994,1606890.0000000005,151166.5,1329487.2000000002,8901.500000000004,9157.4
29,1627611275,48.2,1606890.0000000005,151166.5,1329495.3000000003,8606.900000000003,8290.2
30,1627611276,45.699999999999996,1606890.0000000005,151166.5,1329569.7999999998,8037.2,8120.200000000001
31,1627611277,46.29999999999999,1606890.0000000005,151166.5,1329534.4000000001,8008.200000000001,8320.3
32,1627611278,50.099999999999994,1606890.0000000005,151166.6,1329486.5999999999,8741.399999999996,8671.400000000001
33,1627611279,41.69999999999998,1606890.0000000005,151166.6,1329457.5000000002,9231.5,8793.400000000001
34,1627611280,48.400000000000006,1606890.0000000005,151166.6,1329410.5999999999,8312.999999999998,8079.5999999999985
35,1627611281,48.499999999999986,1606890.0000000005,151169.1,1329423.7999999996,7838.699999999999,8351.1
36,1627611282,48.6,1606890.0000000005,151169.3,1329440.8,8881.600000000002,9180.8
37,1627611283,59.6,1606890.0000000005,151166.80000000002,1329443.9,9273.9,9375.7
38,1627611284,46.900000000000006,1606890.0000000005,151167.0,1329467.8999999997,9000.999999999998,8881.599999999999
39,1627611285,38.6,1606890.0000000005,151167.1,1329434.3999999997,8785.599999999997,8237.1
40,1627611286,38.3,1606890.0000000005,151167.1,1329415.6999999997,9692.800000000003,10341.8
41,1627611287,46.099999999999994,1606890.0000000005,151167.2,1329421.5999999996,8851.5,8186.200000000003
42,1627611288,49.5,1606890.0000000005,151167.2,1329445.7999999998,9025.7,8793.1
43,1627611289,52.89999999999999,1606890.0000000005,151167.40000000002,1329546.3999999994,8248.700000000003,8867.1
44,1627611290,49.899999999999984,1606890.0000000005,151167.50000000003,1329546.7,7979.900000000001,8110.099999999999
45,1627611291,54.300000000000004,1606890.0000000005,151167.50000000003,1329573.9,8334.5,9568.800000000001
46,1627611292,47.90000000000001,1606890.0000000005,151167.50000000003,1329610.5999999996,9508.0,8538.499999999998
47,1627611293,51.20000000000001,1606890.0000000005,151167.60000000003,1329562.7999999996,7453.999999999999,7451.500000000001
48,1627611294,46.400000000000006,1606890.0000000005,151167.70000000004,1329536.6,8874.300000000003,8636.400000000001
49,1627611295,49.6,1606890.0000000005,151167.70000000004,1329523.0,9560.500000000005,8959.4
50,1627611296,43.29999999999999,1606890.0000000005,151167.70000000004,1329498.5999999999,7933.100000000001,8130.3
51,1627611297,60.599999999999994,1606890.0000000005,151167.60000000003,1329481.0000000002,8277.099999999999,8774.599999999999
52,1627611298,44.0,1606890.0000000005,151167.60000000003,1329449.1999999997,8426.899999999996,8794.699999999999
53,1627611299,39.599999999999994,1606890.0000000005,151167.80000000005,1329496.5999999999,8393.399999999998,8334.399999999998
54,1627611300,44.800000000000004,1606890.0000000005,151167.80000000005,1329489.4999999998,8833.2,8298.800000000001
55,1627611301,50.8,1606890.0000000005,151167.80000000005,1329555.9,9153.6,8881.6
56,1627611302,43.89999999999999,1606890.0000000005,151167.80000000005,1329614.4000000001,8639.000000000005,9626.600000000002
57,1627611303,44.7,1606890.0000000005,151167.80000000005,1329637.7,8477.500000000004,7868.600000000001
58,1627611304,55.50000000000001,1606890.0000000005,151167.80000000005,1329615.9,7776.6,7996.500000000001
59,1627611305,50.5,1606890.0000000005,151168.00000000003,1329609.1,8914.000000000004,9084.900000000001
60,1627611306,42.2,1606890.0000000005,151168.00000000003,1329553.3000000003,9253.300000000003,9309.9
61,1627611307,35.19999999999999,1606890.0000000005,151168.00000000003,1329527.2,8404.7,8333.400000000001
62,1627611308,52.1,1606890.0000000005,151168.00000000003,1329470.9000000001,8567.300000000001,8322.5
63,1627611309,41.2,1606890.0000000005,151168.00000000003,1329436.2000000004,7946.499999999999,7895.5
64,1627611310,40.6,1606890.0000000005,151168.10000000003,1329429.7000000002,8092.6,8311.599999999999
65,1627611311,54.29999999999998,1606890.0000000005,151168.10000000003,1329451.1000000003,8068.3,8178.799999999999
66,1627611312,46.0,1606890.0000000005,151168.10000000003,1329432.1000000003,8981.500000000004,8987.5
67,1627611313,45.800000000000004,1606890.0000000005,151168.10000000003,1329457.5,7792.200000000002,7864.500000000002
68,1627611314,54.49999999999999,1606890.0000000005,151168.10000000003,1329429.8000000003,8784.9,8266.3
69,1627611315,41.5,1606890.0000000005,151168.10000000003,1329429.1,9163.100000000002,9605.699999999997
70,1627611316,44.099999999999994,1606890.0000000005,151168.10000000003,1329452.0,9001.700000000003,9209.9
71,1627611317,47.39999999999999,1606890.0000000005,151168.10000000003,1329441.5,7793.299999999997,7822.600000000001
72,1627611318,48.80000000000001,1606890.0000000005,151168.10000000003,1329425.3,8952.399999999998,8257.6
73,1627611319,49.8,1606890.0000000005,151168.10000000003,1329452.2000000002,7861.299999999999,7871.8
74,1627611320,46.89999999999999,1606890.0000000005,151168.10000000003,1329494.4,8172.3,8195.8
75,1627611321,54.6,1606890.0000000005,151168.20000000004,1329553.7999999998,8897.100000000002,9208.300000000001
76,1627611322,42.4,1606890.0000000005,151168.10000000003,1329459.5999999999,8327.699999999999,8553.2
77,1627611323,41.80000000000001,1606890.0000000005,151168.10000000003,1329504.4,8156.099999999999,7800.400000000001
78,1627611324,56.40000000000001,1606890.0000000005,151168.30000000005,1329490.1,9919.599999999999,10053.8
79,1627611325,51.49999999999999,1606890.0000000005,151166.80000000005,1329507.0999999999,9020.200000000004,9391.599999999999
80,1627611326,44.1,1606890.0000000005,151166.90000000005,1329478.7999999998,8379.4,8314.899999999998
81,1627611327,56.9,1606890.0000000005,151166.90000000005,1329423.6999999997,8448.200000000003,8022.699999999999
82,1627611328,52.6,1606890.0000000005,151168.50000000006,1329467.0999999999,8097.9,7949.0999999999985
83,1627611329,47.199999999999996,1606890.0000000005,151169.50000000006,1329542.2,7733.800000000001,7749.799999999999
84,1627611330,45.099999999999994,1606890.0000000005,151167.00000000006,1329532.6,7939.800000000001,8067.799999999999
85,1627611331,49.400000000000006,1606890.0000000005,151167.20000000004,1329555.5999999999,7847.600000000001,7927.099999999999
86,1627611332,42.400000000000006,1606890.0000000005,151167.20000000007,1329583.0999999999,8131.299999999999,8343.3
87,1627611333,45.099999999999994,1606890.0000000005,151167.30000000005,1329580.2,8111.8,7928.100000000002
88,1627611334,58.699999999999996,1606890.0000000005,151167.30000000005,1329495.7,8750.999999999998,8712.3
89,1627611335,46.69999999999998,1606890.0000000005,151167.50000000006,1329511.0999999996,8845.599999999999,9335.9
90,1627611336,42.7,1606890.0000000005,151167.50000000006,1329537.2999999998,9189.4,9214.4
91,1627611337,42.39999999999999,1606890.0000000005,151167.50000000006,1329515.6999999997,8291.3,7897.9
92,1627611338,44.1,1606890.0000000005,151167.60000000003,1329544.0999999999,8134.200000000001,8280.899999999998
93,1627611339,41.9,1606890.0000000005,151167.70000000004,1329565.1,8016.8,7876.200000000001
94,1627611340,43.0,1606890.0000000005,151168.90000000002,1329567.9999999998,7890.800000000002,8066.5
