record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1630064983,77.39999999999999,1606887.6,126447.69999999998,1312423.3,10403.799999999994,9681.5
1,1630064984,53.300000000000004,1606887.6,126447.69999999998,1312397.5000000005,9171.400000000003,8881.3
2,1630064985,51.7,1606887.6,126454.09999999998,1309120.2000000002,8228.499999999998,8906.199999999999
3,1630064986,59.80000000000001,1606887.6,126454.19999999998,1309136.7000000004,8448.600000000002,8452.9
4,1630064987,50.800000000000004,1606887.6,126454.39999999998,1309140.0,8176.299999999998,7369.700000000001
5,1630064988,61.29999999999999,1606887.6,126454.59999999998,1309178.1000000003,8451.900000000001,8687.999999999998
6,1630064989,56.79999999999999,1606887.6,126454.69999999997,1309203.7000000002,8745.500000000002,8573.599999999999
7,1630064990,49.5,1606887.6,126454.69999999997,1309237.6999999997,7993.0999999999985,8684.3
8,1630064991,57.800000000000004,1606887.6,126454.79999999996,1309230.6999999997,8895.400000000005,8378.599999999999
9,1630064992,57.900000000000006,1606887.6,126454.79999999996,1309295.3999999997,9171.399999999996,8800.7
10,1630064993,63.300000000000004,1606887.6,126454.89999999997,1309342.0,8280.8,8374.9
11,1630064994,57.400000000000006,1606887.6,126454.69999999995,1309341.3999999997,7932.5999999999985,8871.500000000002
12,1630064995,55.600000000000016,1606887.6,126454.79999999996,1309392.0999999999,11024.900000000001,8407.2
13,1630064996,62.0,1606887.6,126454.79999999996,1309415.0,6179.499999999997,8550.2
14,1630064997,50.599999999999994,1606887.6,126454.89999999997,1309455.6000000003,8903.299999999996,8629.000000000002
15,1630064998,53.8,1606887.6,126454.99999999997,1309474.5999999999,9271.099999999999,8467.7
16,1630064999,51.8,1606887.6,126455.09999999998,1309511.7999999998,7784.999999999999,8260.0
17,1630065000,48.30000000000001,1606887.6,126455.09999999998,1309564.7999999998,7894.100000000001,8707.600000000002
18,1630065001,51.49999999999999,1606887.6,126454.99999999997,1309590.8000000003,7610.3,7670.0999999999985
19,1630065002,56.59999999999999,1606887.6,126455.09999999998,1309633.4000000001,8471.499999999998,8277.199999999999
20,1630065003,56.30000000000001,1606887.6,126455.09999999998,1309693.8,9030.099999999995,8807.5
21,1630065004,77.7,1606887.6,126455.29999999997,1309708.9,8659.999999999998,8399.6
22,1630065005,121.49999999999999,1606887.6,126455.29999999997,1309785.3,8639.999999999998,8882.7
23,1630065006,89.39999999999999,1606887.6,126455.29999999997,1309815.2,7966.499999999999,7823.800000000002
24,1630065007,67.10000000000002,1606887.6,126455.39999999997,1309850.3000000003,8902.999999999996,8568.8
25,1630065008,58.69999999999998,1606887.6,126455.69999999997,1309894.8000000003,9062.000000000004,8806.600000000002
26,1630065009,54.79999999999999,1606887.6,126455.59999999998,1309930.5000000002,7850.300000000001,8184.999999999998
27,1630065010,60.99999999999999,1606887.6,126455.69999999997,1309947.7,8611.099999999997,8685.1
28,1630065011,51.99999999999999,1606887.6,126455.69999999997,1309990.1,8892.3,8743.2
29,1630065012,59.99999999999999,1606887.6,126455.79999999996,1310013.4,9213.0,9090.9
30,1630065013,62.80000000000001,1606887.6,126455.89999999997,1310046.0,8076.700000000001,7873.200000000001
31,1630065014,55.500000000000014,1606887.6,126456.09999999996,1310106.5,8460.4,7696.5999999999985
32,1630065015,56.5,1606887.6,126456.09999999996,1310121.3,7725.7,8745.5
33,1630065016,61.599999999999994,1606887.6,126456.19999999995,1310189.1000000003,7973.099999999999,7470.5
34,1630065017,57.199999999999996,1606887.6,126456.19999999995,1310226.3,7960.000000000001,9038.7
35,1630065018,65.8,1606887.6,126456.29999999996,1310253.7,9130.7,8629.100000000002
36,1630065019,71.7,1606887.6,126456.29999999996,1310260.9000000001,8632.5,8707.8
37,1630065020,54.599999999999994,1606887.6,126456.39999999997,1310302.2999999998,8488.699999999999,8456.4
38,1630065021,60.69999999999999,1606887.6,126456.39999999997,1310324.0999999999,8396.500000000004,8597.8
39,1630065022,55.20000000000001,1606887.6,126456.49999999996,1310401.3,8558.399999999996,8379.500000000002
40,1630065023,61.10000000000001,1606887.6,126456.69999999997,1310364.1,9232.8,8154.800000000001
41,1630065024,56.7,1606887.6,126456.89999999997,1310378.7000000002,7872.000000000002,8750.899999999998
42,1630065025,56.1,1606887.6,126456.99999999997,1310383.2,9904.4,8638.500000000002
43,1630065026,106.0,1606887.6,126456.99999999997,1310448.8,9112.099999999999,18224.800000000003
44,1630065027,71.4,1606887.6,126456.99999999997,1310486.2999999998,20667.4,12959.399999999998
45,1630065028,57.89999999999999,1606887.6,126457.09999999998,1310514.1000000003,9329.099999999995,8994.100000000002
46,1630065029,53.30000000000002,1606887.6,126457.19999999997,1310518.4999999998,8570.199999999997,8602.900000000001
47,1630065030,50.900000000000006,1606887.6,126457.29999999997,1310561.3,8804.699999999993,8701.100000000002
48,1630065031,52.900000000000006,1606887.6,126457.29999999997,1310614.6,9134.6,9726.5
49,1630065032,58.8,1606887.6,126457.39999999998,1310645.2,8591.299999999997,8034.1
50,1630065033,56.49999999999999,1606887.6,126457.39999999998,1310671.8000000003,7853.399999999998,8376.699999999997
51,1630065034,54.4,1606887.6,126457.39999999998,1310738.4000000001,8908.7,8592.199999999999
52,1630065035,61.2,1606887.6,126457.49999999997,1310784.0,9190.2,8760.0
53,1630065036,60.1,1606887.6,126457.69999999998,1310810.5,8781.399999999992,8952.099999999999
54,1630065037,48.39999999999999,1606887.6,126457.79999999999,1310828.3000000003,8213.699999999999,8168.0
55,1630065038,71.90000000000002,1606887.6,126457.99999999999,1310844.3000000003,7734.0,7888.9
56,1630065039,65.9,1606887.6,126457.99999999999,1310853.0999999999,9579.7,9016.9
57,1630065040,58.59999999999999,1606887.6,126458.39999999998,1310883.7,9074.199999999999,8912.9
58,1630065041,55.3,1606887.6,126458.19999999998,1310935.5,7839.0,8866.600000000002
59,1630065042,60.300000000000004,1606887.6,126458.19999999998,1311018.7,11044.0,10681.8
60,1630065043,62.3,1606887.6,126458.29999999997,1311091.4000000001,8702.6,8445.0
61,1630065044,52.70000000000001,1606887.6,126458.39999999998,1311105.7999999998,8398.999999999998,8732.1
62,1630065045,49.599999999999994,1606887.6,126458.49999999999,1311148.3,9211.299999999996,9233.400000000001
63,1630065046,56.0,1606887.6,126458.59999999998,1311208.7,8819.499999999998,7494.0
64,1630065047,50.5,1606887.6,126458.79999999999,1311199.5999999999,7945.499999999999,8544.4
65,1630065048,57.1,1606887.6,126458.9,1311235.0,7902.300000000001,9735.400000000001
66,1630065049,60.000000000000014,1606887.6,126458.99999999999,1311291.5999999996,9057.700000000003,7880.100000000001
67,1630065050,50.89999999999999,1606887.6,126458.9,1311303.2,8760.300000000001,7822.699999999999
68,1630065051,55.400000000000006,1606887.6,126458.99999999999,1311294.5,8201.9,8463.6
69,1630065052,58.2,1606887.6,126459.09999999999,1311352.2000000002,8328.9,9893.5
70,1630065053,60.8,1606887.6,126459.4,1311378.4,10025.599999999997,8571.400000000001
71,1630065054,47.70000000000001,1606887.6,126459.4,1311454.4000000001,8752.199999999997,9397.699999999999
72,1630065055,59.10000000000001,1606887.6,126459.5,1311473.2,9496.900000000003,7441.000000000001
73,1630065056,61.300000000000004,1606887.6,126459.7,1311502.9999999998,8631.7,10690.6
74,1630065057,56.7,1606887.6,126459.7,1311539.5,8191.1,8440.4
75,1630065058,56.300000000000004,1606887.6,126460.0,1311540.7000000002,9091.899999999996,8389.199999999999
76,1630065059,49.7,1606887.6,126459.8,1311518.8,9071.7,9689.099999999999
77,1630065060,55.3,1606887.6,126459.9,1311589.1999999997,8820.699999999995,8403.599999999997
78,1630065061,56.19999999999999,1606887.6,126459.9,1311562.3,9039.499999999998,8915.099999999999
79,1630065062,57.100000000000016,1606887.6,126459.8,1311639.7999999998,9324.399999999998,9652.3
80,1630065064,59.4,1606887.6,126459.99999999999,1311651.6999999997,8939.399999999996,8442.0
81,1630065065,53.49999999999999,1606887.6,126460.2,1311682.9,8540.5,9587.900000000001
82,1630065066,115.90000000000002,1606887.6,126460.2,1311689.0999999999,8356.6,8420.999999999996
83,1630065067,97.0,1606887.6,126460.3,1311712.9999999998,9102.3,7961.200000000001
84,1630065068,70.2,1606887.6,126460.6,1311785.9000000001,8200.500000000002,7933.300000000001
85,1630065069,60.0,1606887.6,126460.6,1311853.6,8399.499999999998,8002.700000000001
86,1630065070,56.5,1606887.6,126460.4,1311879.3,7581.600000000001,7844.799999999999
87,1630065071,53.400000000000006,1606887.6,126460.59999999999,1311917.3999999997,8478.1,9519.800000000001
88,1630065072,50.8,1606887.6,126460.5,1311946.6999999997,8359.7,8616.1
89,1630065073,76.8,1606887.6,126460.7,1312038.1999999997,10661.499999999998,10009.0
90,1630065074,60.500000000000014,1606887.6,126460.7,1312021.5,8708.999999999998,8828.000000000002
91,1630065075,52.40000000000002,1606887.6,126460.7,1311981.5,8659.300000000001,9116.8
92,1630065076,57.300000000000004,1606887.6,126460.8,1312027.7000000002,8696.599999999997,8264.4
93,1630065077,48.699999999999996,1606887.6,126460.8,1312119.7999999996,9023.800000000001,8663.4
94,1630065078,60.300000000000004,1606887.6,126460.8,1312138.4000000004,8769.399999999998,8818.800000000001
95,1630065079,61.00000000000002,1606887.6,126460.9,1312163.0000000002,8603.2,9141.099999999999
96,1630065080,55.5,1606887.6,126461.0,1312224.1,8883.799999999997,8894.0
97,1630065081,69.2,1606887.6,126461.0,1312278.0999999999,8832.500000000002,8431.0
98,1630065082,53.300000000000004,1606887.6,126461.1,1312335.6999999997,8667.1,9026.400000000001
99,1630065083,52.39999999999999,1606887.6,126461.1,1312371.6,8633.300000000001,8657.999999999998
100,1630065084,64.4,1606887.6,126461.2,1312354.3000000003,8994.3,8774.8
101,1630065085,54.70000000000001,1606887.6,126461.09999999999,1312355.1,8602.299999999997,9000.600000000002
102,1630065086,65.60000000000001,1606887.6,126461.2,1312416.3,10429.699999999997,8462.0
103,1630065087,55.60000000000001,1606887.6,126461.2,1312445.9,9125.899999999996,11295.8
104,1630065088,59.49999999999999,1606887.6,126461.2,1312503.5000000005,8975.699999999999,8960.2
105,1630065089,56.6,1606887.6,126461.2,1312518.7999999998,8918.399999999998,7861.8
106,1630065090,46.99999999999999,1606887.6,126461.2,1312548.9,8037.400000000001,8067.9000000000015
107,1630065091,52.59999999999999,1606887.6,126461.6,1312602.9,8658.800000000001,10103.099999999999
108,1630065092,53.79999999999999,1606887.6,126461.5,1312624.4999999998,9232.000000000004,7979.5999999999985
109,1630065093,49.3,1606887.6,126461.6,1312677.5,8361.3,8061.1
110,1630065094,56.69999999999999,1606887.6,126461.7,1312684.7,8124.499999999998,8662.0
111,1630065095,57.999999999999986,1606887.6,126461.7,1312683.7000000002,8574.9,9523.199999999999
112,1630065096,54.0,1606887.6,126462.00000000001,1312718.5,9041.800000000001,7899.5999999999985
113,1630065097,58.1,1606887.6,126461.90000000001,1312886.5999999999,8632.599999999997,8076.4
114,1630065098,58.50000000000001,1606887.6,126462.20000000001,1312830.7000000004,8373.400000000001,9398.5
115,1630065099,56.3,1606887.6,126462.20000000001,1312861.4000000001,8693.4,9129.6
116,1630065100,56.39999999999999,1606887.6,126462.3,1312866.4,9255.2,8446.400000000001
117,1630065101,53.899999999999984,1606887.6,126462.3,1312909.9999999998,8842.4,9084.2
118,1630065102,47.49999999999999,1606887.6,126462.3,1312966.0999999999,7799.100000000002,8609.6
119,1630065103,63.7,1606887.6,126462.40000000001,1313024.0,10802.999999999996,10237.2
120,1630065104,56.39999999999999,1606887.6,126462.6,1313089.8,8854.4,7908.699999999999
121,1630065105,51.60000000000001,1606887.6,126462.70000000001,1313090.8,8369.3,9266.7
122,1630065106,56.3,1606887.6,126462.70000000001,1313117.6999999997,8603.399999999992,9028.8
123,1630065107,47.699999999999996,1606887.6,126462.80000000002,1313107.4999999998,8903.499999999998,7922.6
124,1630065108,66.7,1606887.6,126462.80000000002,1313159.3,8737.700000000003,8500.3
125,1630065109,62.2,1606887.6,126463.00000000001,1313257.6,8282.8,9426.2
126,1630065110,55.4,1606887.6,126463.00000000001,1313225.5,7725.399999999998,7496.199999999999
127,1630065111,61.400000000000006,1606887.6,126463.00000000001,1313259.2000000002,8193.4,7954.299999999998
128,1630065112,54.199999999999996,1606887.6,126463.1,1313302.1,8794.0,8285.8
129,1630065113,57.9,1606887.6,126463.1,1313350.0000000002,17737286.9,7821.4
130,1630065114,65.39999999999999,1606887.6,126463.30000000002,1313391.2,8223.800000000001,8660.500000000002
131,1630065115,54.2,1606887.6,126463.30000000002,1313447.5,9493.700000000003,9372.100000000002
132,1630065116,68.30000000000001,1606887.6,126463.40000000002,1313512.4000000001,92018771.5,24128265.2
133,1630065117,60.2,1606887.6,126463.50000000001,1313527.3000000003,8761.399999999994,8157.2
134,1630065118,55.90000000000001,1606887.6,126463.50000000001,1313577.6999999997,8641.199999999999,8208.0
135,1630065119,67.69999999999999,1606887.6,126463.60000000002,1313624.8999999997,8122.799999999999,9988.3
136,1630065120,51.69999999999999,1606887.6,126463.60000000002,1313616.5000000002,9134.6,8040.5
137,1630065121,50.0,1606887.6,126463.60000000002,1313683.8,8885.400000000001,8261.9
138,1630065122,47.90000000000001,1606887.6,126463.8,1313695.2000000002,8513.6,9723.300000000001
139,1630065123,61.60000000000001,1606887.6,126463.80000000002,1313662.5000000002,9446.999999999998,8449.399999999998
140,1630065124,57.59999999999999,1606887.6,126463.90000000002,1313763.4000000004,8600.499999999998,8417.0
141,1630065125,53.09999999999999,1606887.6,126464.00000000001,1313797.8,8251.5,9734.300000000003
142,1630065126,84.39999999999998,1606887.6,126464.10000000002,1313925.7000000002,9077.700000000003,8281.799999999997
143,1630065127,113.89999999999999,1606887.6,126464.10000000002,1313995.4000000001,9095.100000000004,8757.299999999997
144,1630065128,82.1,1606887.6,126464.1,1314094.0999999999,8000.499999999999,8005.4
145,1630065129,69.80000000000001,1606887.6,126464.3,1314154.2000000002,8758.899999999998,10075.2
146,1630065130,50.50000000000001,1606887.6,126464.5,1314247.3999999997,9715.8,8055.500000000002
147,1630065131,61.69999999999999,1606887.6,126464.3,1314309.3000000003,8747.899999999998,8694.800000000001
148,1630065132,56.09999999999999,1606887.6,126464.3,1314376.8000000003,8335.6,9841.4
149,1630065133,66.3,1606887.6,126464.3,1314441.8,10740.899999999998,9744.300000000001
150,1630065134,56.199999999999996,1606887.6,126464.4,1314527.8,8964.8,8659.7
151,1630065135,47.9,1606887.6,126464.5,1314584.4,8495.4,9391.599999999999
