record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1630065989,60.2,1606887.6,126716.79999999997,1310566.2000000002,6234.3,7023.4
1,1630065990,52.0,1606887.6,126716.69999999997,1310591.2,8277.6,8193.9
2,1630065991,57.500000000000014,1606887.6,126716.79999999997,1310563.5999999999,9732.300000000003,8353.899999999998
3,1630065992,57.1,1606887.6,126716.79999999997,1310351.3,8377.0,8958.400000000001
4,1630065993,63.099999999999994,1606887.6,126717.59999999996,1308020.1,8024.300000000002,8646.5
5,1630065994,58.60000000000001,1606887.6,126717.59999999996,1308025.9999999998,8338.800000000001,8208.0
6,1630065995,50.80000000000001,1606887.6,126717.59999999996,1308062.2,9054.699999999999,8312.5
7,1630065996,64.0,1606887.6,126717.79999999997,1308108.8,7843.6,7565.499999999999
8,1630065997,54.10000000000001,1606887.6,126717.89999999998,1308248.0999999996,8352.999999999998,8226.999999999998
9,1630065998,61.10000000000001,1606887.6,126717.89999999998,1308210.6,9187.900000000003,9969.2
10,1630065999,54.50000000000001,1606887.6,126718.29999999997,1308208.1,9034.699999999997,8470.7
11,1630066000,52.699999999999996,1606887.6,126718.09999999996,1308198.8,8619.600000000004,8836.300000000001
12,1630066001,58.79999999999998,1606887.6,126718.29999999997,1308196.4999999998,11035.2,10524.500000000002
13,1630066002,53.4,1606887.6,126718.29999999997,1308238.5999999999,8440.199999999997,9104.4
14,1630066003,62.3,1606887.6,126718.79999999996,1308288.5999999999,9044.3,8632.899999999998
15,1630066004,59.19999999999999,1606887.6,126718.99999999997,1308319.5999999999,8668.100000000004,8914.199999999999
16,1630066005,51.7,1606887.6,126719.09999999998,1308353.0,8595.299999999996,8838.399999999998
17,1630066006,51.0,1606887.6,126719.09999999998,1308454.5,8955.199999999999,8489.4
18,1630066007,62.4,1606887.6,126719.19999999997,1308479.9,8778.400000000001,8927.8
19,1630066008,58.500000000000014,1606887.6,126719.19999999998,1308494.4,8344.5,8734.300000000001
20,1630066009,51.90000000000001,1606887.6,126719.19999999997,1308525.5,9725.399999999996,8844.699999999999
21,1630066010,52.4,1606887.6,126719.19999999997,1308529.5000000002,8393.4,9038.999999999996
22,1630066011,59.099999999999994,1606887.6,126719.29999999997,1308537.0,8979.199999999997,9032.8
23,1630066012,55.60000000000001,1606887.6,126719.59999999998,1308631.4,9003.099999999997,8894.3
24,1630066013,61.7,1606887.6,126719.49999999999,1308639.3,8864.300000000001,8716.4
25,1630066014,54.400000000000006,1606887.6,126719.69999999998,1308628.2,7664.5999999999985,8082.699999999999
26,1630066015,67.9,1606887.6,126719.69999999998,1308650.3,11070.500000000005,11304.199999999999
27,1630066016,54.8,1606887.6,126719.69999999998,1308701.4000000001,9328.999999999998,8540.100000000002
28,1630066017,54.099999999999994,1606887.6,126719.69999999998,1308715.9,8124.599999999999,8216.8
29,1630066018,54.5,1606887.6,126719.89999999998,1308812.1,7729.8,8045.800000000001
30,1630066019,48.500000000000014,1606887.6,126719.9,1308830.8,9778.8,9559.500000000002
31,1630066020,49.6,1606887.6,126719.99999999999,1308881.8,7954.4,7922.799999999997
32,1630066021,52.199999999999996,1606887.6,126719.99999999999,1308888.2999999998,7840.399999999999,7806.599999999999
33,1630066022,53.70000000000001,1606887.6,126720.09999999999,1308894.4,9446.699999999999,10025.500000000004
34,1630066023,62.599999999999994,1606887.6,126720.2,1308917.1,8655.899999999998,8162.300000000001
35,1630066024,57.9,1606887.6,126720.2,1308990.4999999998,7670.200000000002,7477.199999999999
36,1630066025,48.099999999999994,1606887.6,126720.2,1309058.0,7387.6,7942.400000000001
37,1630066026,56.099999999999994,1606887.6,126720.29999999999,1309110.4000000004,9067.699999999997,8507.400000000001
38,1630066027,61.30000000000001,1606887.6,126720.29999999999,1309125.9,9371.0,9615.800000000003
39,1630066028,56.999999999999986,1606887.6,126720.4,1309150.4,8077.7,8168.799999999997
40,1630066029,55.00000000000001,1606887.6,126720.49999999999,1309166.2,9584.6,10065.800000000001
41,1630066030,54.10000000000001,1606887.6,126720.59999999999,1309201.5999999999,8989.1,8621.199999999999
42,1630066031,57.900000000000006,1606887.6,126720.49999999999,1309233.4000000004,10006.299999999997,9902.4
43,1630066032,59.300000000000004,1606887.6,126720.49999999999,1309290.5999999999,9231.8,9757.499999999998
44,1630066033,59.9,1606887.6,126720.59999999999,1309356.7000000002,9027.299999999997,8529.6
45,1630066034,49.49999999999999,1606887.6,126720.8,1309410.9000000001,8049.8,7958.899999999998
46,1630066035,54.400000000000006,1606887.6,126721.0,1309421.6,9006.099999999997,9125.099999999999
47,1630066036,50.800000000000004,1606887.6,126721.1,1309510.9999999998,8660.0,8999.900000000001
48,1630066037,63.69999999999999,1606887.6,126721.2,1309505.8,8767.399999999998,8092.5999999999985
