timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1632431411,1.0,64275.5,7461.3,54523.3,14.4,3.8
1632431412,1.1,64275.5,7461.3,54523.4,1.5,10.1
1632431413,1.3,64275.5,7461.3,54523.4,1.2,0.5
1632431414,3.4,64275.5,7461.3,54523.0,2.6,21.8
1632431415,0.7,64275.5,7461.3,54523.4,1.5,0.9
1632431416,0.7,64275.5,7461.3,54523.4,1.9,2.1
1632431417,1.3,64275.5,7461.3,54523.4,18.1,1.5
1632431418,1.1,64275.5,7461.3,54523.4,19.9,2.5
1632431419,1.9,64275.5,7461.3,54523.7,2.9,17.3
1632431420,0.6,64275.5,7461.3,54523.4,1.4,8.4
1632431421,1.3,64275.5,7461.3,54532.7,1.6,2.3
1632431422,6.2,64275.5,7461.3,54523.6,35.7,2.9
1632431423,1.6,64275.5,7461.3,54523.5,1.3,0.9
1632431424,4.1,64275.5,7461.3,54523.9,1.5,8.6
1632431425,0.7,64275.5,7461.3,54523.5,1.7,9.8
1632431426,0.7,64275.5,7461.3,54537.0,6.0,7.9
1632431427,4.2,64275.5,7374.3,54314.7,7.2,347.0
1632431428,6.9,64275.5,7375.0,54314.3,2.0,39.6
1632431429,7.2,64275.5,7375.1,54300.7,4.8,30.0
1632431430,7.0,64275.5,7375.1,54300.7,19.1,2.1
1632431431,6.8,64275.5,7375.1,54311.8,2.3,0.7
1632431432,8.3,64275.5,7375.1,54300.7,2.4,0.8
1632431433,7.9,64275.5,7375.1,54300.9,3.1,2.3
1632431434,9.2,64275.5,7375.3,54301.2,2.3,0.7
1632431435,6.9,64275.5,7375.3,54314.8,6.2,5.9
1632431436,6.5,64275.5,7375.3,54314.8,2.3,0.7
1632431437,6.8,64275.5,7375.3,54314.8,18.5,2.9
1632431438,7.3,64275.5,7375.3,54301.2,21.7,3.7
1632431439,6.8,64275.5,7375.3,54301.2,19.6,11.5
1632431440,7.3,64275.5,7375.3,54301.2,2.6,9.7
1632431441,6.9,64275.5,7375.3,54319.3,18.3,7.7
1632431442,7.1,64275.5,7375.3,54301.2,2.5,5.0
1632431443,8.3,64275.5,7375.3,54301.4,3.6,25.4
1632431444,9.1,64275.5,7375.3,54301.2,3.2,7.3
1632431445,6.6,64275.5,7375.3,54301.3,2.8,1.2
1632431446,6.8,64275.5,7375.3,54301.3,4.8,2.2
1632431447,7.4,64275.5,7375.3,54301.3,19.0,1.4
1632431448,7.1,64275.5,7375.3,54301.6,20.9,2.7
1632431449,7.7,64275.5,7375.3,54301.3,4.1,10.1
1632431450,6.6,64275.5,7375.3,54301.3,2.3,0.7
1632431451,7.5,64275.5,7375.3,54309.6,20.6,2.6
1632431452,6.8,64275.5,7375.7,54302.1,20.9,4.4
1632431453,8.6,64275.5,7375.7,54302.4,2.3,0.6
1632431454,8.2,64275.5,7375.7,54302.1,2.8,3.4
1632431455,6.7,64275.5,7375.7,54302.1,2.7,12.4
1632431456,7.1,64275.5,7375.7,54302.1,10.5,7.0
1632431457,6.7,64275.5,7375.7,54302.1,2.5,10.0
1632431458,6.8,64275.5,7375.7,54302.1,2.6,0.9
1632431459,7.9,64275.5,7375.7,54302.2,4.8,29.5
1632431460,6.9,64275.5,7375.7,54302.4,20.7,2.4
1632431461,7.3,64275.5,7375.7,54302.2,2.3,0.7
1632431462,6.4,64275.5,7375.7,54302.2,2.6,1.0
1632431463,8.8,64275.5,7375.7,54301.9,2.9,2.1
1632431464,8.2,64275.5,7375.7,54302.1,2.8,1.1
1632431465,6.7,64275.5,7375.7,54302.1,2.3,0.8
1632431466,6.6,64275.5,7375.7,54302.1,3.9,1.0
1632431467,6.8,64275.5,7375.7,54302.1,18.2,2.3
1632431468,7.7,64275.5,7375.7,54302.1,20.8,2.8
1632431469,7.6,64275.5,7375.7,54302.1,20.2,20.9
1632431470,6.6,64275.5,7375.7,54302.1,2.2,0.6
1632431471,7.4,64275.5,7375.7,54301.8,18.2,2.7
1632431472,6.6,64275.5,7375.7,54302.1,2.8,10.3
1632431473,9.1,64275.5,7375.7,54302.4,13.1,8.4
1632431474,8.1,64275.5,7375.7,54302.2,1.4,20.1
1632431475,6.8,64275.5,7375.7,54302.2,2.5,0.7
1632431476,7.6,64275.5,7375.7,54302.2,6.1,4.2
1632431477,7.4,64275.5,7375.7,54302.2,18.9,1.5
1632431478,7.1,64275.5,7375.7,54302.6,20.7,2.4
1632431479,7.2,64275.5,7375.7,54302.3,3.9,9.9
1632431480,6.6,64275.5,7375.7,54302.2,2.5,1.0
1632431481,7.9,64275.5,7375.7,54301.7,20.8,2.7
1632431482,9.1,64275.5,7375.7,54302.1,18.2,2.5
1632431483,12.5,64275.5,7375.9,54302.1,2.3,0.8
1632431484,7.5,64275.5,7375.9,54302.0,2.7,9.6
1632431485,6.7,64275.5,7375.9,54302.3,2.5,0.8
1632431486,6.6,64275.5,7375.9,54302.3,3.4,11.7
1632431487,6.8,64275.5,7375.9,54302.3,2.4,0.8
1632431488,6.9,64275.5,7375.9,54302.6,3.1,20.4
1632431489,7.6,64275.5,7375.9,54302.6,3.9,9.8
1632431490,7.2,64275.5,7376.0,54302.3,20.7,2.4
1632431491,7.8,64275.5,7376.0,54302.1,2.6,0.9
1632431492,6.7,64275.5,7376.0,54302.3,1.2,0.8
1632431493,9.8,64275.5,7376.0,54302.2,1.8,11.6
1632431494,7.8,64275.5,7376.0,54261.5,2.3,0.7
1632431495,6.8,64275.5,7376.3,54261.8,2.7,0.8
1632431496,7.8,64275.5,7376.3,54261.5,1.1,0.9
1632431497,8.1,64275.5,7376.3,54262.0,16.8,2.5
1632431498,8.2,64275.5,7376.2,53810.4,19.9,2.6
1632431499,7.0,64275.5,7376.3,54304.1,23.4,25.6
1632431500,6.7,64275.5,7376.3,54221.0,17.1,15.6
1632431501,7.7,64275.5,7376.3,54219.8,0.9,0.7
1632431502,6.6,64275.5,7376.3,54221.0,1.1,10.0
1632431503,9.8,64275.5,7376.3,54221.0,1.4,1.9
1632431504,7.2,64275.5,7376.3,54220.8,1.5,20.3
1632431505,6.6,64275.5,7376.3,54221.2,1.3,0.8
1632431506,6.6,64275.5,7376.3,54221.2,1.4,2.0
1632431507,7.1,64275.5,7376.3,54303.2,19.2,1.9
1632431508,7.9,64275.5,7376.3,54303.1,21.4,2.6
1632431509,6.6,64275.5,7376.3,54308.4,3.6,9.5
1632431510,6.8,64275.5,7376.3,54303.2,2.8,1.9
1632431511,7.6,64275.5,7376.3,54302.4,20.3,2.9
1632431512,6.8,64275.5,7376.3,54303.2,18.4,8.5
1632431513,9.4,64275.5,7376.3,54303.2,2.5,1.1
1632431514,7.5,64275.5,7376.3,54304.4,4.0,11.3
1632431515,7.2,64275.5,7376.3,54316.7,4.9,4.5
1632431516,6.8,64275.5,7376.3,54316.9,3.2,11.7
1632431517,6.6,64275.5,7376.3,54303.9,2.6,1.0
1632431518,8.0,64275.5,7376.3,54304.0,3.4,20.8
1632431519,6.8,64275.5,7376.3,54328.9,9.0,29.4
1632431520,7.3,64275.5,7376.3,54288.2,21.4,11.6
1632431521,7.3,64275.5,7376.3,54303.2,2.9,0.9
1632431522,6.7,64275.5,7376.3,54303.3,1.2,9.0
1632431523,9.7,64275.5,7376.3,54303.2,4.1,27.4
1632431524,7.4,64275.5,7376.3,54302.8,3.2,8.8
1632431525,6.6,64275.5,7376.3,54303.4,2.4,0.7
1632431526,7.1,64275.5,7376.3,54303.4,4.2,1.0
1632431527,6.7,64275.5,7376.3,54303.4,20.0,4.7
1632431528,8.1,64275.5,7376.3,54303.4,20.7,2.5
1632431529,6.8,64275.5,7376.3,54303.4,18.5,11.4
1632431530,6.9,64275.5,7376.3,54303.4,20.0,11.7
1632431531,7.5,64275.5,7376.3,54303.1,4.4,12.0
1632431532,6.9,64275.5,7376.3,54329.1,4.7,23.7
1632431533,9.6,64275.5,7376.3,54328.7,3.7,22.0
1632431534,7.1,64275.5,7376.3,54329.0,2.7,1.0
1632431535,6.6,64275.5,7376.3,54329.2,1.2,0.8
1632431536,6.9,64275.5,7376.3,54303.5,3.3,2.5
1632431537,7.8,64275.5,7376.3,54303.5,19.0,1.4
1632431538,7.7,64275.5,7376.3,54303.6,22.4,2.7
1632431539,6.7,64275.5,7376.3,54303.5,0.9,0.6
1632431540,6.8,64275.5,7376.3,54303.5,5.4,45.3
1632431541,8.0,64275.5,7376.3,54305.1,24.1,4.6
1632431542,7.2,64275.5,7376.7,54328.7,23.3,36.8
1632431543,14.8,64275.5,7376.7,54328.9,2.2,0.8
1632431544,7.1,64275.5,7376.7,54303.9,3.2,10.3
1632431545,6.8,64275.5,7376.7,54303.2,9.9,5.6
1632431546,6.8,64275.5,7376.7,54303.2,3.5,11.8
1632431547,6.4,64275.5,7376.7,54303.2,2.5,0.8
1632431548,6.9,64275.5,7376.7,54302.8,3.3,20.5
1632431549,7.3,64275.5,7376.7,54303.2,2.3,0.6
1632431550,8.8,64275.5,7376.7,54303.2,32.2,439.4
1632431551,7.6,64275.5,7376.7,54302.9,4.0,1.0
1632431552,6.7,64275.5,7376.7,54303.2,2.5,0.8
1632431553,9.5,64275.5,7376.7,54303.6,3.0,2.3
1632431554,7.7,64275.5,7376.7,54303.3,2.3,0.6
1632431555,6.6,64275.5,7376.7,54303.6,2.7,1.0
1632431556,6.6,64275.5,7376.7,54303.6,2.6,1.0
1632431557,6.9,64275.5,7376.7,54303.6,36.5,4.2
1632431558,6.9,64275.5,7376.7,54303.6,2.7,1.0
1632431559,7.7,64275.5,7376.7,54262.6,18.3,11.3
1632431560,7.1,64275.5,7376.7,54303.8,20.1,11.5
1632431561,7.6,64275.5,7376.7,54304.2,3.3,11.7
1632431562,6.9,64275.5,7376.7,54317.0,4.2,4.3
1632431563,9.7,64275.5,7376.7,54319.2,16.6,29.6
1632431564,7.3,64275.5,7376.7,54304.5,3.4,1.5
1632431565,6.7,64275.5,7376.7,54317.2,4.8,5.5
1632431566,6.8,64275.5,7376.7,54303.7,1.2,0.8
1632431567,7.5,64275.5,7376.7,54303.9,37.4,3.2
1632431568,7.7,64275.5,7376.7,54303.3,2.6,1.1
1632431569,7.0,64275.5,7376.7,54303.7,2.4,0.6
1632431570,7.2,64275.5,7376.7,54100.3,3.8,10.1
1632431571,9.8,64275.5,7376.7,54099.5,19.2,2.7
1632431572,6.7,64275.5,7376.7,53936.1,18.8,2.5
1632431573,9.3,64275.5,7376.7,53936.5,0.8,0.6
1632431574,7.4,64275.5,7376.7,53936.4,1.2,9.4
1632431575,6.6,64275.5,7376.7,53936.2,1.4,1.9
1632431576,6.6,64275.5,7376.7,54305.9,2.8,27.1
1632431577,6.4,64275.5,7376.7,54305.5,1.2,15.9
1632431578,8.1,64275.5,7376.7,54264.8,5.5,22.0
1632431579,6.5,64275.5,7376.7,54305.5,2.3,16.0
1632431580,7.2,64275.5,7376.7,54305.5,20.8,12.8
1632431581,7.1,64275.5,7376.7,54305.2,2.9,0.9
1632431582,7.1,64275.5,7376.7,54305.6,2.6,0.9
1632431583,9.6,64275.5,7376.7,54306.1,2.9,2.0
1632431584,7.5,64275.5,7376.7,54305.9,2.5,0.7
1632431585,6.6,64275.5,7376.7,54306.0,2.3,0.6
1632431586,6.8,64275.5,7376.7,54306.0,2.5,0.9
1632431587,8.0,64275.5,7376.7,54306.0,37.4,5.4
1632431588,7.1,64275.5,7376.7,54306.3,2.4,0.7
1632431589,6.6,64275.5,7376.7,54306.0,18.4,11.2
1632431590,6.9,64275.5,7376.7,54305.8,20.2,32.4
1632431591,7.3,64275.5,7376.7,54305.6,4.7,10.9
1632431592,6.7,64275.5,7376.7,54306.1,1.1,0.8
1632431593,9.8,64275.5,7376.7,54305.8,3.5,21.8
1632431594,8.2,64275.5,7376.7,54307.1,2.5,2.2
1632431595,7.0,64275.5,7376.7,54319.5,5.9,6.9
1632431596,8.1,64275.5,7376.7,54319.6,2.7,1.5
1632431597,7.1,64275.5,7376.7,54306.4,37.2,2.9
1632431598,6.9,64275.5,7376.7,54306.4,2.3,0.6
1632431599,6.7,64275.5,7376.7,54306.1,2.4,0.8
1632431600,6.7,64275.5,7376.7,54306.1,3.8,9.7
1632431601,7.8,64275.5,7376.7,54305.9,22.4,4.8
1632431602,6.6,64275.5,7376.7,54306.1,18.6,2.9
1632431603,11.7,64275.5,7376.7,54306.3,2.4,0.6
1632431604,10.9,64275.5,7376.7,54319.1,6.5,14.9
1632431605,6.7,64275.5,7376.7,54319.8,3.0,2.1
1632431606,7.4,64275.5,7376.7,54306.8,2.9,10.4
1632431607,6.8,64275.5,7376.7,54319.6,5.4,4.2
1632431608,6.9,64275.5,7376.7,54324.1,4.2,22.6
1632431609,7.6,64275.5,7376.7,54319.8,2.2,0.5
1632431610,7.3,64275.5,7376.7,54307.1,22.3,11.9
1632431611,7.4,64275.5,7376.7,54306.2,2.8,1.0
1632431612,6.6,64275.5,7376.7,54306.2,2.8,1.2
1632431613,9.6,64275.5,7376.7,54319.1,2.9,2.2
1632431614,7.4,64275.5,7376.7,54306.1,2.5,0.9
1632431615,6.6,64275.5,7376.7,54265.0,2.2,0.6
1632431616,6.9,64275.5,7376.7,54306.1,2.8,1.1
1632431617,7.6,64275.5,7376.7,54306.1,36.4,4.2
1632431618,7.4,64275.5,7376.7,54307.2,4.0,2.3
1632431619,7.0,64275.5,7376.7,54319.6,20.8,15.1
1632431620,6.9,64275.5,7376.7,54319.6,18.2,11.3
1632431621,7.3,64275.5,7376.7,54319.7,2.9,10.4
1632431622,6.6,64275.5,7376.7,54306.1,2.9,1.2
1632431623,9.4,64275.5,7376.7,54317.7,3.8,22.0
1632431624,7.4,64275.5,7376.7,54306.1,2.5,0.8
1632431625,6.6,64275.5,7376.7,54306.1,2.9,2.1
1632431626,8.1,64275.5,7376.7,54306.1,19.2,1.7
1632431627,7.1,64275.5,7376.7,54306.1,20.8,2.5
1632431628,6.8,64275.5,7376.7,54306.1,2.4,0.8
1632431629,7.0,64275.5,7376.7,54306.1,2.3,0.6
1632431630,6.9,64275.5,7376.7,54306.1,3.9,9.8
1632431631,7.6,64275.5,7376.7,54306.1,36.2,4.2
1632431632,6.8,64275.5,7376.7,54306.1,5.5,3.1
1632431633,9.5,64275.5,7376.7,54311.1,2.7,1.1
1632431634,7.1,64275.5,7376.7,54306.2,2.8,10.4
1632431635,7.4,64275.5,7376.7,54306.2,11.4,7.1
1632431636,7.0,64275.5,7376.7,54306.2,2.6,10.3
1632431637,6.5,64275.5,7376.7,54306.2,2.3,0.6
1632431638,7.0,64275.5,7376.7,54265.2,3.4,21.1
1632431640,7.1,64275.5,7376.7,54306.2,2.5,1.9
1632431641,7.6,64275.5,7376.7,54306.2,20.6,11.3
1632431642,8.3,64275.5,7376.7,54060.0,1.9,0.7
1632431643,7.8,64275.5,7376.7,54080.4,6.7,2.7
1632431644,9.9,64275.5,7376.7,53936.7,1.1,0.9
1632431645,7.6,64275.5,7376.7,53937.3,0.9,0.6
1632431646,6.6,64275.5,7376.7,54265.6,2.1,0.6
1632431647,6.8,64275.5,7376.7,54265.6,16.7,2.5
1632431648,6.8,64275.5,7376.7,54306.6,22.9,2.6
1632431649,7.0,64275.5,7376.7,54306.6,16.7,2.4
1632431650,6.8,64275.5,7376.7,54306.6,1.0,9.4
1632431651,6.8,64275.5,7376.7,54306.6,20.9,13.3
1632431652,7.3,64275.5,7376.7,54306.6,2.9,10.5
1632431653,8.3,64275.5,7376.7,54306.7,2.7,1.2
1632431654,9.7,64275.5,7376.7,54306.3,14.0,28.4
1632431655,6.8,64275.5,7376.7,54306.7,2.6,1.0
1632431656,6.7,64275.5,7376.7,54306.7,3.2,2.6
1632431657,7.2,64275.5,7376.7,54306.7,19.2,2.2
1632431658,7.1,64275.5,7376.8,54306.7,20.6,2.3
1632431659,6.8,64275.5,7376.8,54306.7,2.4,0.9
1632431660,6.6,64275.5,7376.8,54306.7,2.8,7.4
1632431661,6.9,64275.5,7376.8,54306.7,4.0,16.7
1632431662,8.3,64275.5,7376.8,54306.7,36.7,3.3
1632431663,7.4,64275.5,7376.8,54306.7,1.1,1.0
1632431664,9.6,64275.5,7376.8,54306.1,2.6,1.0
1632431665,11.5,64275.5,7376.8,54306.8,2.8,9.8
1632431666,6.4,64275.5,7376.8,54306.8,2.9,2.2
1632431667,6.7,64275.5,7376.8,54306.8,2.6,10.3
1632431668,7.2,64275.5,7376.8,54306.8,2.5,0.9
1632431669,6.9,64275.5,7376.8,54306.8,3.2,20.8
1632431670,7.2,64275.5,7376.8,54306.8,20.5,2.4
1632431671,7.1,64275.5,7376.8,54311.5,3.9,15.9
1632431672,7.5,64275.5,7376.8,54307.9,4.2,2.2
1632431673,7.6,64275.5,7376.8,54320.4,5.2,11.4
1632431674,9.3,64275.5,7376.8,54280.2,2.5,1.1
1632431675,6.8,64275.5,7376.8,54320.9,2.8,0.9
1632431676,7.2,64275.5,7376.8,54307.9,2.6,0.9
1632431677,7.1,64275.5,7376.8,54307.3,16.3,2.6
1632431678,6.9,64275.5,7376.8,54307.3,20.9,2.8
1632431679,6.9,64275.5,7376.8,54307.3,18.2,2.5
1632431680,7.0,64275.5,7376.8,54307.3,2.5,9.6
1632431681,7.1,64275.5,7376.8,54317.6,19.0,2.6
1632431682,7.5,64275.5,7376.8,54308.5,3.5,20.5
1632431683,8.9,64275.5,7376.8,54332.9,5.0,25.7
1632431684,8.7,64275.5,7376.8,54333.1,3.8,21.9
1632431685,6.8,64275.5,7376.8,54307.8,3.1,1.5
1632431686,6.6,64275.5,7376.8,54307.4,3.1,2.3
1632431687,7.8,64275.5,7376.8,54307.4,18.9,1.6
1632431688,7.1,64275.5,7376.8,54307.4,20.7,2.4
1632431689,6.6,64275.5,7376.8,54307.4,0.9,0.6
1632431690,6.8,64275.5,7376.8,54307.4,2.3,0.8
1632431691,7.8,64275.5,7376.8,54318.4,21.1,2.6
1632431692,7.3,64275.5,7376.8,54307.4,19.3,11.2
1632431693,8.3,64275.5,7376.8,54307.4,2.6,1.1
1632431694,8.4,64275.5,7376.8,54307.5,2.6,0.9
1632431695,6.9,64275.5,7376.8,54307.4,2.8,10.0
1632431696,6.6,64275.5,7376.8,54266.4,2.9,2.1
1632431697,6.6,64275.5,7376.8,54307.8,3.1,10.4
1632431698,6.6,64275.5,7376.8,54307.5,2.3,0.7
1632431699,7.2,64275.5,7376.8,54307.5,3.4,20.7
1632431700,7.9,64275.5,7376.8,54307.5,20.7,2.3
1632431701,7.3,64275.5,7376.8,54312.3,2.4,0.8
1632431702,6.8,64275.5,7376.8,54307.5,2.3,9.4
1632431703,8.4,64275.5,7376.8,54307.5,2.9,2.1
1632431704,8.3,64275.5,7376.8,54307.3,2.7,1.0
1632431705,7.1,64275.5,7376.8,54307.3,2.7,1.1
1632431706,6.7,64275.5,7376.8,54307.3,2.4,0.7
1632431707,6.9,64275.5,7376.8,54307.3,18.2,2.6
1632431708,6.9,64275.5,7376.8,54307.3,20.9,2.5
1632431709,7.6,64275.5,7376.8,54307.4,18.4,7.3
1632431710,8.2,64275.5,7376.8,54307.4,0.9,4.4
1632431711,8.3,64275.5,7376.8,54060.9,17.9,2.6
1632431712,7.9,64275.5,7376.8,54063.7,5.1,19.1
1632431713,8.8,64275.5,7376.8,54063.7,0.8,0.6
1632431714,8.0,64275.5,7376.8,54063.8,2.4,22.0
1632431715,6.7,64275.5,7376.8,54104.9,2.5,1.4
1632431716,6.7,64275.5,7376.8,54104.9,1.5,1.9
1632431717,7.3,64275.5,7376.8,54104.9,20.7,2.0
1632431718,6.9,64275.5,7376.8,54104.9,20.5,10.2
1632431719,7.4,64275.5,7376.8,54104.9,2.0,0.7
1632431720,6.8,64275.5,7376.8,54104.9,2.0,0.8
1632431721,7.9,64275.5,7376.8,54186.7,21.2,7.2
1632431722,7.4,64275.5,7376.8,54186.9,21.8,14.6
1632431723,8.8,64275.5,7376.8,54186.9,1.0,0.7
1632431724,7.8,64275.5,7376.8,54186.5,2.8,17.5
1632431725,9.3,64275.5,7376.8,54188.3,4.6,10.3
1632431726,10.2,64275.5,7376.8,54241.7,12.6,10.9
1632431727,6.8,64275.5,7376.8,54241.7,2.5,10.2
1632431728,6.8,64275.5,7376.8,54228.4,2.6,1.1
1632431729,6.9,64275.5,7376.8,54187.1,3.2,28.4
1632431730,7.1,64275.5,7376.8,54187.1,20.7,2.4
1632431731,7.4,64275.5,7376.8,54187.4,1.0,0.7
1632431732,7.1,64275.5,7376.8,54212.8,7.1,34.2
1632431733,9.1,64275.5,7376.8,54212.8,2.7,1.9
1632431734,8.7,64275.5,7376.8,54188.0,2.5,1.0
1632431735,7.0,64275.5,7376.8,54187.5,2.6,1.2
1632431736,6.7,64275.5,7376.8,54187.5,2.3,0.9
1632431737,6.7,64275.5,7376.8,54187.5,18.0,2.7
1632431738,6.8,64275.5,7376.8,54187.5,20.5,2.6
1632431739,6.8,64275.5,7376.8,54187.5,18.1,11.2
1632431740,6.7,64275.5,7376.8,54187.5,2.2,0.8
1632431741,8.3,64275.5,7376.8,54187.1,18.5,12.0
1632431742,6.7,64275.5,7376.8,54187.7,2.3,9.5
1632431743,9.5,64275.5,7376.8,54187.5,13.4,28.0
1632431744,7.2,64275.5,7376.8,54187.6,2.1,0.6
1632431745,7.3,64275.5,7376.8,54187.6,2.7,1.3
1632431746,6.8,64275.5,7376.8,54187.6,3.0,2.5
1632431747,7.1,64275.5,7376.8,54146.6,18.6,1.7
