record,timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
0,1632431411,56.300000000000004,1606887.6,209503.6,1289541.6000000003,7627.900000000001,7200.6
1,1632431412,66.9,1606887.6,209503.6,1289545.7,34634536.199999996,9153.1
2,1632431413,63.3,1606887.6,209503.7,1289563.9000000004,8394.2,8329.6
3,1632431414,64.4,1606887.6,209503.9,1289546.3,136711396.60000002,93895197.2
4,1632431415,54.700000000000024,1606887.6,209504.00000000003,1289584.4000000001,7878.9,7911.599999999999
5,1632431416,55.50000000000001,1606887.6,209505.9,1289514.0000000002,8534.199999999997,7996.700000000001
6,1632431417,55.4,1606887.6,209505.9,1289543.0999999999,8322.099999999999,8799.900000000001
7,1632431418,70.10000000000001,1606887.6,209505.80000000002,1289552.2000000002,7981.0,8428.4
8,1632431419,63.3,1606887.6,209505.80000000002,1289511.9999999998,7792.5,7769.500000000001
9,1632431420,67.8,1606887.6,209505.80000000002,1289494.1999999997,8129.0999999999985,7998.300000000001
10,1632431421,64.8,1606887.6,209506.19999999998,1289582.0000000002,9181.4,8327.5
11,1632431422,90.70000000000003,1606887.6,209506.5,1289596.0999999999,8393.599999999999,9020.6
12,1632431423,110.89999999999999,1606887.6,209506.50000000003,1289609.6,7897.699999999999,8604.8
13,1632431424,97.40000000000002,1606887.6,209506.4,1289616.5999999999,7998.0,8063.300000000001
14,1632431425,61.00000000000001,1606887.6,209506.5,1289652.1,10591.899999999998,7967.5
15,1632431426,113.10000000000001,1606887.6,208027.80000000002,1289775.7999999996,20748.8,17136.8
16,1632431427,182.49999999999997,1606887.6,207413.10000000003,1285993.2999999998,33854654.699999996,15907.2
17,1632431428,213.6,1606887.6,207417.99999999997,1285827.9000000001,8082.400000000001,8156.800000000001
18,1632431429,214.99999999999994,1606887.6,207420.80000000002,1285779.5999999999,136714193.4,93897601.0
19,1632431430,197.40000000000003,1606887.6,207422.99999999997,1285810.0,8406.0,7607.4000000000015
20,1632431431,202.49999999999997,1606887.6,207425.4,1285902.5000000002,8051.499999999999,8806.1
21,1632431432,213.70000000000005,1606887.6,207426.00000000003,1285943.0,8374.699999999997,9083.5
22,1632431433,208.79999999999998,1606887.6,207426.40000000002,1285598.1,9026.999999999998,8259.800000000001
23,1632431434,206.10000000000002,1606887.6,207426.9,1285553.5999999994,8343.000000000004,7873.8
24,1632431435,202.6,1606887.6,207428.0,1285567.7,7640.5999999999985,8502.7
25,1632431436,206.59999999999994,1606887.6,207428.40000000002,1285513.5,7848.799999999999,8729.400000000001
26,1632431437,197.29999999999998,1606887.6,207428.50000000003,1285523.1,8128.7,8512.099999999999
27,1632431438,214.9,1606887.6,207428.7,1285503.0,8532.000000000004,7978.899999999999
28,1632431440,206.1,1606887.6,207428.80000000002,1285491.2,8169.999999999999,7915.6
29,1632431441,201.8,1606887.6,207428.80000000002,1285547.5,7838.0,7717.5
30,1632431442,207.89999999999998,1606887.6,207430.60000000003,1285605.2999999998,8362.8,7890.799999999999
31,1632431443,209.2,1606887.6,207432.60000000003,1285559.3,34634076.70000001,9536.9
32,1632431444,213.80000000000004,1606887.6,207432.7,1285566.2000000002,8261.6,8125.9
33,1632431445,209.79999999999995,1606887.6,207432.7,1285483.0999999999,136700037.6,93889031.49999999
34,1632431446,200.8,1606887.6,207435.80000000002,1285495.5000000002,7697.499999999999,8584.9
35,1632431447,207.29999999999998,1606887.6,207437.90000000002,1285527.6000000003,7733.799999999998,8262.800000000001
36,1632431448,199.00000000000003,1606887.6,207438.4,1285522.4999999998,7645.9000000000015,8108.299999999999
37,1632431449,214.5,1606887.6,207438.4,1285508.6,7634.500000000001,7754.800000000001
38,1632431450,209.39999999999998,1606887.6,207438.80000000002,1285508.6,8272.3,7531.800000000002
39,1632431451,208.80000000000007,1606887.6,207438.90000000002,1285513.9000000001,8681.200000000003,7751.800000000001
40,1632431452,199.50000000000003,1606887.6,207438.90000000002,1285535.8,7883.799999999999,7625.700000000001
41,1632431453,204.4,1606887.6,207439.30000000005,1285523.2,7511.4,7676.6
42,1632431454,207.6,1606887.6,207439.40000000002,1285540.2999999998,7469.700000000002,8389.300000000003
43,1632431455,208.10000000000005,1606887.6,207440.10000000003,1285599.5999999999,7871.799999999998,8584.3
44,1632431456,221.59999999999997,1606887.6,207440.20000000004,1285571.2000000002,9906.3,7862.999999999998
45,1632431457,223.90000000000006,1606887.6,207438.80000000005,1285629.8,8620.000000000002,9855.7
46,1632431458,203.79999999999998,1606887.6,207438.90000000005,1285624.4999999995,34636319.10000001,8695.0
47,1632431459,213.3,1606887.6,207439.00000000006,1285625.8,7580.800000000001,8443.599999999999
48,1632431460,202.80000000000004,1606887.6,207439.00000000006,1285634.8,136672209.70000002,93869228.39999999
49,1632431461,195.40000000000003,1606887.6,207438.90000000005,1285580.4,7914.300000000001,8074.499999999998
50,1632431462,205.70000000000002,1606887.6,207439.00000000006,1285578.9000000001,7666.300000000001,7542.299999999999
51,1632431463,200.09999999999997,1606887.6,207438.90000000005,1285609.5000000002,7613.499999999999,7774.099999999999
52,1632431464,203.4,1606887.6,207438.90000000005,1285620.1000000003,7540.299999999999,8086.8
53,1632431465,206.7,1606887.6,207438.90000000005,1285602.9,7690.900000000001,7647.900000000001
54,1632431466,202.99999999999994,1606887.6,207438.80000000005,1285576.1,8230.099999999999,7743.9
55,1632431467,204.79999999999998,1606887.6,207438.90000000005,1285581.0999999996,8209.699999999997,8634.400000000001
56,1632431468,202.49999999999997,1606887.6,207439.10000000003,1285590.9999999998,8229.599999999999,7704.799999999999
57,1632431469,210.2,1606887.6,207439.10000000003,1285620.2000000002,7121.300000000002,8288.7
58,1632431470,204.99999999999994,1606887.6,207439.2,1285621.5999999999,8378.7,8398.6
59,1632431471,196.69999999999996,1606887.6,207439.30000000002,1285671.7999999996,8725.100000000002,7978.3
60,1632431472,203.7,1606887.6,207439.40000000002,1285647.8,8414.500000000002,7879.599999999999
61,1632431473,211.1,1606887.6,207439.5,1285657.9000000001,34639388.0,9456.2
62,1632431474,199.0,1606887.6,207439.60000000003,1285608.1999999997,8150.0,8254.8
63,1632431475,202.89999999999998,1606887.6,207439.5,1285568.9000000001,136658422.3,93859694.3
64,1632431476,208.20000000000002,1606887.6,207439.5,1285614.4,7964.9,8602.6
65,1632431477,208.2,1606887.6,207441.6,1285608.7999999998,8296.999999999998,8409.599999999999
66,1632431478,206.7,1606887.6,207442.0,1285632.9000000001,7786.499999999999,8357.300000000001
67,1632431479,221.70000000000002,1606887.6,207442.0,1285668.8,7747.400000000001,7988.699999999999
68,1632431480,212.70000000000002,1606887.6,207442.0,1285702.9,7476.200000000001,7667.800000000001
69,1632431481,218.29999999999998,1606887.6,207442.6,1285710.8,7510.0999999999985,7925.299999999999
70,1632431482,208.6,1606887.6,207444.9,1285662.5999999999,8373.499999999998,8075.1
71,1632431483,212.10000000000005,1606887.6,207445.90000000002,1285618.2999999998,8914.099999999999,7703.199999999999
72,1632431484,260.3,1606887.6,207451.90000000002,1285579.7,7660.6,8368.7
73,1632431485,234.20000000000002,1606887.6,207454.50000000003,1285569.5000000002,7412.9,7702.500000000002
74,1632431486,222.7,1606887.6,207455.3,1285580.3,9009.9,7348.7
75,1632431487,228.6,1606887.6,207453.6,1285600.3,34339452.49999999,9633.9
76,1632431488,198.6,1606887.6,207453.7,1285631.3,8117.3,7696.6
77,1632431489,212.5,1606887.6,207453.80000000002,1285675.4,136701212.09999996,93890712.60000001
78,1632431490,202.2,1606887.6,207453.80000000002,1285650.9000000001,8044.899999999999,6956.300000000001
79,1632431491,197.49999999999994,1606887.6,207453.90000000002,1285629.1999999997,8381.799999999997,9152.2
